event-href,organizer_link-href,full_description
https://www.eventbrite.co.uk/e/90s-silent-disco-in-the-grote-kerk-alkmaar-tickets-578746254627?aff=ebdssbdestsearch,https://www.eventbrite.co.uk/o/silent-discos-in-incredible-places-55836839893,"Following a sold out tour which swept across some of the UKs most beautiful Cathedrals & inspiring places... An experience like no other is coming to The Netherlands for the first time!A 90s Silent Disco in the Grote Kerk, Alkmaar! ⛪️ ✨Expect some of the Netherlands best 90s DJs playing all your favourite tunes inside the stunning & illuminated surroundings of the Grote Kerk!W﻿e only have a limited number of tickets available for this event so get yours quickly to avoid missing out!________________________________Venue: Grote Kerk, AlkmaarDate: Saturday 10th June 2023Time: 7-10pm📣 WHAT TO EXPECT 📣🥂 A UNIQUE EXPERIENCE YOU DON'T WANT TO MISS🔥 THE GROTE KERK ILLUMINATED LIKE YOU'VE NEVER SEEN IT BEFORE🎧 3 DJS PLAYING YOUR FAVOURITE 90s POP / PARTY / DANCE / RNB💖 100'S OF LIKE MINDED 90s FANS💫 STATE OF THE ART LED HEADPHONES WITH 3 CHANNELS TO CHOOSE FROMThis is strictly a 18+ event! Valid photographic I.D. may be requested on entry*﻿limited cloakroom spaces available**Please note that in-line with normal consumer standards for ticket purchases, tickets  are non-refundable unless we move or cancel the event. Should you no longer be able to attend, you are welcome to gift or sell your tickets onwards as we do not check names on tickets as a condition of entry*"
https://www.eventbrite.nl/e/tickets-full-colour-innercircle-605809471437?aff=ebdssbdestsearch,https://www.eventbrite.nl/o/la-fuente-30590660098,"After 19 insane editions, we're going for another holy sh*t experience! It's time to reset the levels: Full Colour Innercircle, we go to church!What was good, became better and we turned the better into something even more special. This is Full Colour Innercircle: A story only we can tell with an exclusive full night set by La Fuente. Tech house music at it’s best with a virtually unparalleled energetic stage performance, unique theatrical acts, special effects and the best tech-house music has to offer. Approaching the limits of appropriate and inappropriate in a sophisticated way. It’s a story we tell and we invite you to take part in it to experience the vibrancy and to feel the fascinating nature that Full Colour Inner Circle has to offer..Ready to experience this most colourful, music filled, energetic and exclusive show? Take part in our story here!DOORS:21.00 EVENT DOORS OPEN: Walk-in22.00 EVENT DOORS CLOSE: Event starts (we all start the event together) 02.00 EVENT ENDSAGE: 21+DINER: THE LAST SUPPERWant to start the magic early? Join our exclusive all-in dinner, limited to 100 unique spots, where your Full Colour Innercircle night starts even before the event! We're setting up a table for our ""Last Supper"" in the chapel at the venue for the few who get to be part of this intimate Innercircle where we get an exclusive early start to the evening!DOORS:18.30 WALK-IN EXCLUSIVE DINNER19.00 EXCLUSIVE DINNER21.00 END EXCLUSIVE DINNERIMPORTANT NOTE:Any allergies or dietary restrictions? Let us know before september 22nd via email: kim@djlafuente.com and we'll take care of it all!And during the dinner: we'll make sure you have your tickets scanned and you'll be able to get your drink coins before you enter the Full Colour Innercircle!The Last Supper is provided by the magicians from Victoria by Goyvaerts.HOTEL: EXTEND THE MAGICWant to extend the magic? Use our promo-code: FCIC to book your stay at Marienhage hotel, located inside the Full Colour Innercircle venue! Book here : Extend The Magic  IN THE NAME OF THE LA FUENTE, THE MUSIC AND THE INNERCIRCLE: AMEN.."
https://www.eventbrite.co.uk/e/amsterdam-sins-poison-of-the-heart-with-shaykha-dr-haifa-younis-usa-tickets-633482171227?aff=ebdssbdestsearch,https://www.eventbrite.co.uk/o/al-buruj-press-5887911881,"Sins: Poison of the Heart with Shaykha Dr Haifa Younis (USA)Taught for the 1st time in Amsterdam! We all sin, on a daily basis. However, in many cases, we are unaware and neglectful of the sins (acts of disobedience to Allah) we commit, or we underestimate the consequences of sins on us, our relationship with Allahﷻ, other people, and even the environment.In the current times we find ourselves in, we are constantly surrounded by opportunities and temptations to sin. We need to ensure we learn from the religious teachings of the past to be able to deal with the reality of the intensive and busy contemporary times that we are living in now.The following topics in relation to sins, will be discussed: •	Definition and understanding of the word sin according to the Qur’an and Hadith.•	Difference between major and minor sins.•	Most common types of sins in Islam.•	The effects of sins on our relationship with Allah ﷻ.•	Will Allah ﷻ forgive me?•	Will others get affected because of my sins?•	Are all the sins the same?•	Do all sins have consequence?Special Guest Speaker:Shaykha Dr Haifa Younis (USA) Price: €25 early bird discount, €30 after the 30th June 2023 (No kids under 7), small eventbrite fee also appliesDate: Saturday 8th July 2023Time: 6:30pm-9:30pm (Doors open from 5:30pm) Venue: Amsterdam (Venue details will be released soon) For more info and to book, please visit:  https://HYounisAM2.eventbrite.co.uk No refunds accepted under any circumstances unless requested 17 days or more before the event. Any ticket(s) brought within 17 days of the event is non refundable. Kids under 7 are not allowed on this course. Kids 7 years and above normal ticket rules apply. We reserve the right to change the content of the schedule on the day or have any extra presentations without any approval or notice. By enrolling, you agree to Al Buruj Press being in contact with you with regards to future events/courses, trips and campaigns. Your information is not shared with any 3rd party."
https://www.eventbrite.co.uk/e/amsterdam-mending-the-heart-with-shaykha-dr-haifa-younis-usa-tickets-633460907627?aff=ebdssbdestsearch,https://www.eventbrite.co.uk/o/al-buruj-press-5887911881,"Mending the Heart: A Transformative Journey towards Purifying the Soul Taught by Dr Shaykha Haifa Younis (USA) for the 1st time in Amsterdam!One of the most important tasks of the Prophet (saw) was to help purify the soul towards the true worship of God. Allah has linked the success of His servant with the purity of his/her soul. Join us with Dr Shaykha Haifa Younis (USA) for this thought-provoking seminar as we journey together discussing ways to come to God with a pure and sound heart. The seminar will cover some of the following:-Understanding the oneness of Allah -Elements of Purification in the world today -Sincerity and the type of hearts-Key obstacles in purifying the heart -Diseases of the heart: anger, pride, jealousy and more-Seeking Allah’s forgiveness -Key practical steps leading to a sound heart -Q and A SessionSpecial Guest Speaker:Shaykha Dr Haifa Younis (USA)Price: €25 early bird discount, €30 after the 30th June 2023 (No kids under 7), small eventbrite fee also appliesDate: Saturday 8th July 2023Time: 2pm-5pm (Doors open from 1pm) Venue: Amsterdam (Full details will be released soon)For more info and to book, please visit: No refunds accepted under any circumstances unless requested 17 days or more before the event. Any ticket(s) brought within 17 days of the event is non refundable. Kids under 7 are not allowed on this course. Kids 7 years and above normal ticket rules apply. We reserve the right to change the content of the schedule on the day or have any extra presentations without any approval or notice. By enrolling, you agree to Al Buruj Press being in contact with you with regards to future events/courses, trips and campaigns. Your information is not shared with any 3rd party."
https://www.eventbrite.com/e/tickets-dunamis-2k23-fire-in-the-stadium-crusade-453875703447?aff=ebdssbdestsearch,https://www.eventbrite.com/o/revolutionise-the-nations-apostolic-center-40323783353,"DUNAMIS is an annual revival conference of RTN Apostolic Center where people around the world gather to witness a move of the Holy Spirit. On Saturday 17th & Sunday 18th June 2023, DUNAMIS will have a stadium crusade where the gospel of JESUS CHRIST will be preached and demonstrated. We are blessed to have the most seasoned voices of this time such as Apostle Arome Osayi, Pastor Brian Amoateng, Pastor Randolf Adjei, Minister Theophilus Sunday and Apostle Shamil Gesser. For inquiries, kindly contact us via: rtnac.dunamis@gmail.com"
https://www.eventbrite.com/e/using-nature-as-a-guide-exploring-the-potential-of-natural-processes-tickets-489330800597?aff=ebdssbdestsearch,https://www.eventbrite.com/o/natuurinvest-56861593303,"Welcome to Nature As A Guide. We'll be exploring the potential of natural processes in a man-made landscape on the 12th of June.International conference of the Erasmus+ project ‘Process oriented nature conservation'.Programme:1pm - 5pm: Conference with international speakers including sir Charles Burrell (Knepp Estate, UK), Liesbeth Bakker (professor in Rewilding Ecology, WUR, NL) and Jörgen Andersson (Fjällbete/Savory Institute Nordic Hub, SE)5pm - 7pm: Networking event"
https://www.eventbrite.nl/e/tvalley-tech-conference-2023-tickets-537764045737?aff=ebdssbdestsearch,https://www.eventbrite.nl/o/tvalley-19926896646,"TVALLEY: ENGINEERING FUTURE INDUSTRIES TOGETHERGet ready for the TValley Tech Conference on 31 May! Together we empower future industries with smart technology.Gain and share knowledge, connect with hightech companies, like Voortman Steel Machinery, VIRO, Demcon, and meet upcoming talent. All you need to do: sign up, receive a free ticket and mark 31 May 2023 in your calendar! Date | Wednesday the 31st of MayTime | 12:30 - 18:00 Place | De Grolsch Veste, EnschedeMain language | EnglishWatch the 2022 aftermovieEMPOWER FUTURE INDUSTRIES WITH SMART TECHNOLOGYMinister for Economic Affairs and Climate, Micky Adriaansens, states, in the context of EDIH, that ""Sustainability and digitization of our economy create jobs and income. The Netherlands is already leading the way with digital infrastructure and using data by entrepreneurs in their processes and products, for example. But we can and must take further steps. Think of the use of artificial intelligence by SMEs.”TValley contributes to this ambition by creating the preliminary conditions for knowledge transfer, networking and multidisciplinary R&D projects. We specifically stimulate further development in 4 roadmap tracks: Autonomous Systems, Recognition, Data Analytics and Systems Engineering. A number of key concepts within Smart Industry.Through our rich network containing various areas of expertise, we organize a variety of knowledge and inspiration sessions. Not only do we broaden and deepen our knowledge, but we also ensure that students gain the proper knowledge during their education.In addition, we share challenges and solutions to help each other move forward based on challenge-based innovation. If You Want to Go Fast, Engineer Alone. If You Want to Go Far, Engineer Together. OUR PROGRAMAn afternoon filled with interactive knowledge sessions Business fair presenting the entire TValley communityPlenty of smart technology demonstrators Matchmaking: meet regional frontrunners, passionate engineers, talent and potential cooperation partners!We will discuss the developments of the last few years and, of course, the possibilities of the future, some of them developed today by TValley partners. Enjoy in-depth knowledge sessions, prepare to be blown away by innovative demonstrators and allow fellow engineers and entrepreneurs to impress you.DON’T MISS OUT!Engineers and technicians looking to improve their knowledge of smart technology topics such as autonomous systems, vision, systems engineering and data analytics.IT professionals interested in the application of technology in the industrial sector and the integration of smart technology solutions.Entrepreneurs and managers looking to learn about the latest technologies and trends in industry automation and digitization.Researchers and academics interested in learning about the latest developments and challenges in industrial automation.Students who want to be introduced to high-tech companies to boost their careers.Investors and entrepreneurs seeking to explore new business opportunities in the field of smart industry.Overall, it’s the ultimate opportunity to network with peers, attend informative sessions and workshops, and gain a better understanding of how smart industry can benefit your business or career."
https://www.eventbrite.co.uk/e/climate-fresk-workshop-tickets-643643413777?aff=ebdssbdestsearch,,
https://www.eventbrite.co.uk/e/design-for-change-retreat-tickets-631108521577?aff=ebdssbdestsearch,https://www.eventbrite.co.uk/o/new-order-of-fashion-lab-46145471893,"DESIGN FOR CHANGE RETREATNew Order of Fashion (NOoF) invites (aspiring) fashion design professionals to join us for an invigorating week-long programme exploring the knowledge and skills we need for a better fashion future!Located at the NOoF LAB in Eindhoven, the ‘Design for Change’ retreat addresses the contemporary issues fashion faces: on climate, environment, production, consumption, and wellbeing for people. Through a combination of theory and hands-on exercises, we’ll examine the various paths that can be taken to a cleaner, smarter and more caring fashion future. Together with a stellar line up of international speakers, experts and workshop hosts, we will collectively investigate the overarching goal of sustainable and circular fashion design. The program includes topics and methodologies such as systemic thinking, local regeneration, material understanding & value, crafts, remake and repair skills, and building resilient communities. Join us at NOoF's sustainable fashion and textile LAB for a fun and exploratory week with a group of like-minded individuals who wish to commit to a better fashion future!PROGRAM OUTLINEDay one: Getting to know you and what you want to achieve this week. What is sustainable fashion? What is the difference between circular and regenerative? Deepening systemic understanding both theoretically as in practice, followed by a upcycling dinner party!Day two: Business routes for circular visions & the role of community.  Learning to value materials. Upcylcing through bio-based screen printing and a remake workshop.Day three: Circular context in practice, Material understanding, and an excursion to visit regeneratively grazing sheep in the Strabrechtse Heide.Day four: Connecting twines workshop, developing cordage, basketry and weaving techniques with the natural material, Esparto grass.Day five: dedicated to finishing your Design for Change assignment using the NOoF LAB facilities, machines and expert mentorship. Presentation of your end results to the retreat participants and staff. Wrap up. E﻿XPERTS & MENTORS (More to be announced)Dr. Troy NachtigallDr Troy Nachtigall is a Designer and Design Researcher exploring the data-material relationship through Fashion and Design.  As a Professor at Amsterdam University of Applied Sciences and researcher at TU/e, Troy leads research into personalized computational fabrication of clothing, shoes, and accessories. For the Design for Change retreat, Troy will introduce the concept of Systems Thinking and guide participants actively into this way of thinking by collectively playing a designerly game called ‘Loopholes’. The Loopholes game has been collaboratively developed by Amsterdam University of Applied Sciences, New Order of Fashion, Elisava University School of Design and Engineering of Barcelona, and other European knowledge partners of the EU Transitions project,.Evey Kwong [futurprimitiv]Evey Kwong is a designer and researcher whose practice evolves in the theme of craft-based technology by connecting with the origin of material cultures, people and place.Her works have been exhibited at the Museum of European Cultures [DE], HOW&WOW BASK IT! [Dutch Design Week] and U-JOINTS: Knots & Knits [Fiskars Biennale, FI]. fueled by her desire to promote crafts making, she collaborates with various institutions on design research projects and workshops. For the Design for Change Retreat, Evey will lead the workshop ‘Connecting Twines’. The earliest twine was made by twisting, untwisting and braiding lengths of plant fiber. Twine is most commonly used in textiles and basketry. The invention of twine is at least as important as the development of stone tools for early humans. Archaeologists have called the development of twine, which can be made stronger and longer than its component fibers, “the string revolution”.Pollyanna MossPollyanna Moss engages in local practices of crafts and explores their inherent narratives. Her work materialises subjective and complex relationships between humans and the environment through design pieces and video installations, which together provide a careful reading of the landscapes she investigates. Through her design practice, Pollyanna develops strong working relationships with multiple parties - co-ordinating and communicating through shared care for the environment, and the species that inhabit various local domains. For the Design for Change Retreat, Pollyanna will be taking participants to the sheep stall in Heeze, near Eindhoven, for an afternoon of grounding and embodied learning experiences about  the local endemic Kempisch Heideschaap. You will see and feel the landscape the sheep regeneratively graze, hear from a local shepherd and work with the precious wool collectively.PRACTICALThe Design for Change Retreat offers a limited number of seats to ensure an intensive, safe and intimate learning environment, where exchange, fee sharing of ideas and open discussion are at the heart of the learning experience. Tickets include a daily lunch, coffee, tea and other non-alcoholic drinks, a daily closing drink and a welcome diner. STUDENTSPast the Early Bird period (9 June 2023), s﻿pecial Student Only fees apply. Please e-mail anouk@neworderoffashion.com for more info on Student tickets."
https://www.eventbrite.com/e/tedxeindhoven-2023-reshaping-our-future-tickets-621959255877?aff=ebdssbdestsearch,https://www.eventbrite.com/o/tedxeindhoven-64737310093,"What will the future look like? It’s a question that has fascinated thinkers and dreamers for centuries. But as we stand on the cusp of a new era, the need to reshape the future has never been more urgent. From climate change and technological disruption to political instability and social inequality, our world faces unprecedented challenges that demand innovative solutions.At TEDxEindhoven 2023, we’ll be guided by designers and innovators from different fields who are all committed to creating a better future. They’ll share their bold ideas, cutting-edge researches, and inspiring stories to help us imagine a better tomorrow. We’ll explore the role of technology, the importance of building sustainable and resilient communities, and the power of human connection to drive positive change.At a time of great changes and challenges we need a new perspective on what’s possible.Don’t miss out on this opportunity to be a part of TEDxEindhoven community! Tickets are selling fast, so don’t wait too long to secure your spot. Join us for a day of inspiring talks, networking opportunities, and delicious food and drinks. Be sure to book your ticket soon before they’re all gone!"
https://www.eventbrite.nl/e/tickets-the-vibe-of-the-future-festival-2023-500047474457?aff=ebdssbdestsearch,https://www.eventbrite.nl/o/noviotech-campus-49394688303,"Curious about what the future of Health & High Tech looks like? Experience it at The Vibe of the Future Festival! Immerse yourself in a world of innovation and technology, and discover what it takes to create a healthier, more sustainable world. At The Vibe of the Future Festival, we bring together talented students, inspiring teachers, cutting-edge scientists, and visionary entrepreneurs working to build a future-proof society. You'll hear their inspiring stories and discover how they gain knowledge, overcome challenges, and make a positive impact. All while enjoying a relaxing atmosphere with delicious food, drinks, and artistic performances.Don't miss this chance to dive into the minds of those shaping our future. Get your free tickets  and join us for a truly unforgettable event!"
https://www.eventbrite.nl/e/eco-anxiety-workshop-tickets-645821989957?aff=ebdssbdestsearch,https://www.eventbrite.nl/o/tint-eindhoven-28231096971,"How optimistic are you about our planet's future? 🌍️

How much do you think climate change really affects you? 🤔

Or do you not care at all? 🤷

It can be quite difficult to grasp what it truly means that our climate is changing. Actions need to be taken on a global scale to slow down the change and halt it. But during everyday life, nothing seems to be out of the ordinary. 

If you've ever wondered or had doubts about your future because of climate change, this is for you. 

We teamed up with TGD and Green Week TU/e  to create a unique workshop to help you with anxiety or apathy due to climate change.
We'll look at ways of dealing with the stress and pressure you can experience if you are taking action, to avoid burnout!

This workshop is for everyone and all can find something to learn!

If you're hooked on more information, click the link in the bio and reserve your spot now!"
https://www.eventbrite.nl/e/yoga-for-eco-anxiety-tickets-638057295547?aff=ebdssbdestsearch,https://www.eventbrite.nl/o/askolto-yoga-66031536703,"Eco-anxiety is the chronic fear of environmental cataclysm emerging from our observation of the irrevocable impact of climate change and our associated concerns for the future. To ease the effects of anxiety, yoga can help you. The practice of yoga helps you to build a resilient response to stress. Through asanas, pranayama (breathing techniques), and meditation, your nervous system receives the stimulus to 'relax and digest' by activating the parasympathetic nervous system. In every class you learn techniques that can help you build resilience and strategies to deal with eco-anxiety."
https://www.eventbrite.com/e/libraries-as-actors-of-climate-empowerment-tickets-623591016517?aff=ebdssbdestsearch,https://www.eventbrite.com/o/bibliotheek-midden-brabant-and-ensulib-amp-pls-64783058103,"The IFLA Environment, Sustainability and Libraries Section (ENSULIB) together with the Public Libraries Section (PLS) in collaboration with Bibliotheek Midden-Brabant, LocHal are organising a satellite conference prior to the IFLA World Library and Information Congress 2023 in Rotterdam, the Netherlands. The focus will be on “Libraries as Actors of Climate Empowerment”. Libraries can empower all members of society to engage in climate action. They are deeply connected to their communities and can reach people of all demographics. As such, they are in a unique position to provide public awareness and to create platforms for engagement in climate action for all members of society. This one-day conference will emphasise exchange and interaction between participants. Participants will play an active role in shaping the outcome of the day by coming together, sharing ideas and developing plans. With a mix of keynotes, lightning talks and workshops, it will be an interactive, engaging and inspiring day. One keynote will be given by Ton van Vlimmeren. He has been President of EBLIDA (European Bureau of Library, Information and Documentation Associations) since 2018, is active as one of the founders of Public Libraries 2030 and was Director Governor of the Utrecht Public Library for 20 years. The full programme will be published in early June."
