web-scraper-order,web-scraper-start-url,event,event-href,organizer_link,organizer_link-href,full_description
"1685718704-1","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","90s Silent Disco in the Grote Kerk: Alkmaar!","https://www.eventbrite.co.uk/e/90s-silent-disco-in-the-grote-kerk-alkmaar-tickets-578746254627?aff=ebdssbdestsearch","Silent Discos in Incredible Places","https://www.eventbrite.co.uk/o/silent-discos-in-incredible-places-55836839893","Following a sold out tour which swept across some of the UKs most beautiful Cathedrals & inspiring places... An experience like no other is coming to The Netherlands for the first time!A 90s Silent Disco in the Grote Kerk, Alkmaar! ⛪️ ✨Expect some of the Netherlands best 90s DJs playing all your favourite tunes inside the stunning & illuminated surroundings of the Grote Kerk!W﻿e only have a limited number of tickets available for this event so get yours quickly to avoid missing out!________________________________Venue: Grote Kerk, AlkmaarDate: Saturday 10th June 2023Time: 7-10pm📣 WHAT TO EXPECT 📣🥂 A UNIQUE EXPERIENCE YOU DON'T WANT TO MISS🔥 THE GROTE KERK ILLUMINATED LIKE YOU'VE NEVER SEEN IT BEFORE🎧 3 DJS PLAYING YOUR FAVOURITE 90s POP / PARTY / DANCE / RNB💖 100'S OF LIKE MINDED 90s FANS💫 STATE OF THE ART LED HEADPHONES WITH 3 CHANNELS TO CHOOSE FROMThis is strictly a 18+ event! Valid photographic I.D. may be requested on entry*﻿limited cloakroom spaces available**Please note that in-line with normal consumer standards for ticket purchases, tickets  are non-refundable unless we move or cancel the event. Should you no longer be able to attend, you are welcome to gift or sell your tickets onwards as we do not check names on tickets as a condition of entry*"
"1685718708-2","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Full Colour Innercircle","https://www.eventbrite.nl/e/tickets-full-colour-innercircle-605809471437?aff=ebdssbdestsearch","La Fuente","https://www.eventbrite.nl/o/la-fuente-30590660098","After 19 insane editions, we're going for another holy sh*t experience! It's time to reset the levels: Full Colour Innercircle, we go to church!What was good, became better and we turned the better into something even more special. This is Full Colour Innercircle: A story only we can tell with an exclusive full night set by La Fuente. Tech house music at it’s best with a virtually unparalleled energetic stage performance, unique theatrical acts, special effects and the best tech-house music has to offer. Approaching the limits of appropriate and inappropriate in a sophisticated way. It’s a story we tell and we invite you to take part in it to experience the vibrancy and to feel the fascinating nature that Full Colour Inner Circle has to offer..Ready to experience this most colourful, music filled, energetic and exclusive show? Take part in our story here!DOORS:21.00 EVENT DOORS OPEN: Walk-in22.00 EVENT DOORS CLOSE: Event starts (we all start the event together) 02.00 EVENT ENDSAGE: 21+DINER: THE LAST SUPPERWant to start the magic early? Join our exclusive all-in dinner, limited to 100 unique spots, where your Full Colour Innercircle night starts even before the event! We're setting up a table for our ""Last Supper"" in the chapel at the venue for the few who get to be part of this intimate Innercircle where we get an exclusive early start to the evening!DOORS:18.30 WALK-IN EXCLUSIVE DINNER19.00 EXCLUSIVE DINNER21.00 END EXCLUSIVE DINNERIMPORTANT NOTE:Any allergies or dietary restrictions? Let us know before september 22nd via email: kim@djlafuente.com and we'll take care of it all!And during the dinner: we'll make sure you have your tickets scanned and you'll be able to get your drink coins before you enter the Full Colour Innercircle!The Last Supper is provided by the magicians from Victoria by Goyvaerts.HOTEL: EXTEND THE MAGICWant to extend the magic? Use our promo-code: FCIC to book your stay at Marienhage hotel, located inside the Full Colour Innercircle venue! Book here : Extend The Magic  IN THE NAME OF THE LA FUENTE, THE MUSIC AND THE INNERCIRCLE: AMEN.."
"1685718711-3","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","AMSTERDAM: Sins: Poison of the Heart with Shaykha Dr Haifa Younis (USA)","https://www.eventbrite.co.uk/e/amsterdam-sins-poison-of-the-heart-with-shaykha-dr-haifa-younis-usa-tickets-633482171227?aff=ebdssbdestsearch","Al Buruj Press","https://www.eventbrite.co.uk/o/al-buruj-press-5887911881","Sins: Poison of the Heart with Shaykha Dr Haifa Younis (USA)Taught for the 1st time in Amsterdam! We all sin, on a daily basis. However, in many cases, we are unaware and neglectful of the sins (acts of disobedience to Allah) we commit, or we underestimate the consequences of sins on us, our relationship with Allahﷻ, other people, and even the environment.In the current times we find ourselves in, we are constantly surrounded by opportunities and temptations to sin. We need to ensure we learn from the religious teachings of the past to be able to deal with the reality of the intensive and busy contemporary times that we are living in now.The following topics in relation to sins, will be discussed: •	Definition and understanding of the word sin according to the Qur’an and Hadith.•	Difference between major and minor sins.•	Most common types of sins in Islam.•	The effects of sins on our relationship with Allah ﷻ.•	Will Allah ﷻ forgive me?•	Will others get affected because of my sins?•	Are all the sins the same?•	Do all sins have consequence?Special Guest Speaker:Shaykha Dr Haifa Younis (USA) Price: €25 early bird discount, €30 after the 30th June 2023 (No kids under 7), small eventbrite fee also appliesDate: Saturday 8th July 2023Time: 6:30pm-9:30pm (Doors open from 5:30pm) Venue: Amsterdam (Venue details will be released soon) For more info and to book, please visit:  https://HYounisAM2.eventbrite.co.uk No refunds accepted under any circumstances unless requested 17 days or more before the event. Any ticket(s) brought within 17 days of the event is non refundable. Kids under 7 are not allowed on this course. Kids 7 years and above normal ticket rules apply. We reserve the right to change the content of the schedule on the day or have any extra presentations without any approval or notice. By enrolling, you agree to Al Buruj Press being in contact with you with regards to future events/courses, trips and campaigns. Your information is not shared with any 3rd party."
"1685718715-4","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","AMSTERDAM: Mending the Heart with Shaykha Dr Haifa Younis (USA)","https://www.eventbrite.co.uk/e/amsterdam-mending-the-heart-with-shaykha-dr-haifa-younis-usa-tickets-633460907627?aff=ebdssbdestsearch","Al Buruj Press","https://www.eventbrite.co.uk/o/al-buruj-press-5887911881","Mending the Heart: A Transformative Journey towards Purifying the Soul Taught by Dr Shaykha Haifa Younis (USA) for the 1st time in Amsterdam!One of the most important tasks of the Prophet (saw) was to help purify the soul towards the true worship of God. Allah has linked the success of His servant with the purity of his/her soul. Join us with Dr Shaykha Haifa Younis (USA) for this thought-provoking seminar as we journey together discussing ways to come to God with a pure and sound heart. The seminar will cover some of the following:-Understanding the oneness of Allah -Elements of Purification in the world today -Sincerity and the type of hearts-Key obstacles in purifying the heart -Diseases of the heart: anger, pride, jealousy and more-Seeking Allah’s forgiveness -Key practical steps leading to a sound heart -Q and A SessionSpecial Guest Speaker:Shaykha Dr Haifa Younis (USA)Price: €25 early bird discount, €30 after the 30th June 2023 (No kids under 7), small eventbrite fee also appliesDate: Saturday 8th July 2023Time: 2pm-5pm (Doors open from 1pm) Venue: Amsterdam (Full details will be released soon)For more info and to book, please visit: No refunds accepted under any circumstances unless requested 17 days or more before the event. Any ticket(s) brought within 17 days of the event is non refundable. Kids under 7 are not allowed on this course. Kids 7 years and above normal ticket rules apply. We reserve the right to change the content of the schedule on the day or have any extra presentations without any approval or notice. By enrolling, you agree to Al Buruj Press being in contact with you with regards to future events/courses, trips and campaigns. Your information is not shared with any 3rd party."
"1685718718-5","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","DUNAMIS 2K23: FIRE IN THE STADIUM CRUSADE","https://www.eventbrite.com/e/tickets-dunamis-2k23-fire-in-the-stadium-crusade-453875703447?aff=ebdssbdestsearch","Revolutionise The Nations Apostolic Center","https://www.eventbrite.com/o/revolutionise-the-nations-apostolic-center-40323783353","DUNAMIS is an annual revival conference of RTN Apostolic Center where people around the world gather to witness a move of the Holy Spirit. On Saturday 17th & Sunday 18th June 2023, DUNAMIS will have a stadium crusade where the gospel of JESUS CHRIST will be preached and demonstrated. We are blessed to have the most seasoned voices of this time such as Apostle Arome Osayi, Pastor Brian Amoateng, Pastor Randolf Adjei, Minister Theophilus Sunday and Apostle Shamil Gesser. For inquiries, kindly contact us via: rtnac.dunamis@gmail.com"
"1685718723-6","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Samenwerken in een bouwteam","https://www.eventbrite.be/e/tickets-samenwerken-in-een-bouwteam-616407771237?aff=ebdssbdestsearch","Kamp C","https://www.eventbrite.be/o/kamp-c-43851243933","Wat is een bouwteam? Wat zijn de voor- en nadelen van dit samenwerkingsverband? Verschillende actoren uit de bouwsector delen hun eigen ervaring en inzichten over deze manier van werken. 

Tijdens dit event zullen experts uit de bouwsector hun inzichten delen over hoe je als één bouwteam aan de slag kan gaan.

Of je nu een bouwprofessional bent of gewoon geïnteresseerd in de bouwsector, deze sessie biedt een unieke kans om je kennis te vergroten en te netwerken met gelijkgestemde mensen. 

Ontdek meteen ook de demowoning The Exploded View Beyond Building die tijdelijk op Kamp C staat!Programma van Samenwerken in een bouwteam
Op dinsdag 06 juni:
17:00 - 18:00	Rondleiding Exploded View Beyond Building groep 1
18:00 - 18:30	Welkom met hapje
18:30 - 19:15	Keynote spreker Lode Lefevre (VK Architects & Engineering)
19:15 - 20:00	Panelgesprek met Sara Theeuws (WEST architectuur), Claire Dewispelaere (Sidati) en Dries Hubrechts (Eurabo)
20:00 - 22:00	Rondleiding Exploded View groep 2 (tot 21u) en netwerkdrink"
"1685718727-7","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Fashion & Beauty Congress","https://www.eventbrite.be/e/tickets-fashion-beauty-congress-489314000347?aff=ebdssbdestsearch","RetailDetail","https://www.eventbrite.be/o/retaildetail-23442183603","Fashion & beauty Congress 2023T﻿aking care of tomorrow's shoppersHow can the fashion and beauty sector reinvent itself in the face of a circular economy? We dive into the trends, from personalisation and sustainability to technological retail innovations and virtual influencers.With I﻿ne Verhaert & Helga Meersmans - KAAI NVM﻿aud Loonen - KruidvatFind information on our website! RetailDetail.be PriceRegular ticket  €445 (excl. servicekosten & BTW)LanguagePresentations and slides are  in Dutch, unless stated otherwise on our website.Program10u00: Welcome10u30: Keynotes part 112u00: Lunch Break13u00: Keynotes part 214u30: Break15u00: Keynotes part 317u00: Networking, drinks and bites"
"1685718731-8","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Modern Future","https://www.eventbrite.com/e/tickets-modern-future-594551979977?aff=ebdssbdestsearch","Alfacollege","https://www.eventbrite.com/o/alfacollege-62626245363","Beste werkgever, Graag willen wij jullie uitnodigen voor Summer event “Grand Hair show Modern Future 2023!” op maandag 5 juni a.s.  Wij willen onze werkgevers en studenten trakteren op de nieuwste trends in ons vak en ze de gelegenheid geven om te kunnen netwerken. Duurzaamheid in het kappersvak en onderwerpen op het gebied van visagie, nailstyling en langhaarkapsels komen ook aanbod. Bereid jullie voor op een avond vol haarinspiratie, kleur- en stylingtechnieken, muziek en dans! Dit wil je niet missen! Onderstaand een greep uit het programma:•	Studenten Salonmanager nemen je mee naar de nieuwste haartrends •	Empirebarbershop laat barbierwerk zien •	Keune Academy Team lanceert “So Pure” vegan haarproducten•	Goldentouch neemt je mee in Black & European Hair •	Rock 'n Rose Studio het inspirerende verhaal van Ruthley & Kelsey•	Green Chapter neemt je mee van het belang van verduurzaming binnen de kappersbranche•	Miranda Haarschool laat snelle, feestelijke opsteek kapsels zien•	Bersantai Hair, master Etienne•	Dans school Bcd C-nation•	Bruis en Bubbels, verkoop van vooral plastic vrije producten die gemaakt zijn van natuurlijke en vegan ingrediënten, bruisballen, zepen, lichaamsverzorging en gezichtsverzorging•	Lak of Smak accessoires zoals sieraden, tassen en meer•	Kappershandel, alles op het gebied van kappersmaterialen en meer•	Techniek, geluid en DJ door Thomassound We hopen jullie te zien!Vriendelijke groeten,Studenten Salonmanager en Team Haarverzorging Alfa-college Groningen"
"1685718735-9","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Startweekend Festival van Verbinding @Blikfabriek - 1 september","https://www.eventbrite.be/e/tickets-startweekend-festival-van-verbinding-blikfabriek-1-september-644278834337?aff=ebdssbdestsearch","Festival van Verbinding","https://www.eventbrite.be/o/festival-van-verbinding-66455060763","Podium ""expo""18u30 - 19u30 ""Een nieuwe voedingscultuur : mens en voeding bekeken vanuit een holistisch gezichtspunt"" | Peter Vandermeersch - De zonnekeuken19u30 - 20u30 ""Digitaliseren en toch de menselijke relaties eren?"" | Peter Van den Broucke 20u30 - 21u30 ""Natuurhumanisme -  Levensbeschouwelijke overtuiging in de groei ""| Paul De Hert - Mensenrechtendeskundige (VUB)21u30 - 22u30 Gesprek tussen de 3 sprekers met moderator Geraldine HuybrechtsM﻿eer info nodig over de activiteiten? Dat vind je terug op www.festival-van-verbinding.com-﻿1, 2 en 3 september: kick off Festival van Verbinding in De BlikfabriekTijdens deze 3 dagen kunnen particulieren, ondernemers en organisaties genieten van workshops, lezingen, animatie, filmvoorstellingen, panelgesprekken en kunst, zodat iedereen kennis kan maken met de mensen die maatschappelijk verantwoord bezig zijn vanuit het hart. We doen een expo van verbinding, een ‘partner muur’ waar zichtbaarheid wordt gegeven aan partners en waar bezoekers zien wat ze kunnen verwachten tijdens de festivalmaand. Daarnaast nodigen we lokale kunstenaars uit om te werken rond de thema’s van het FvV. Zaterdag en zondag (overdag) is er een standenbeurs van partners van het FvV. Wat is het Festival van Verbinding?Het Festival van Verbinding is een jaarlijks terugkerend event waarbij we zichtbaarheid geven aan warme initiatieven, organisaties, ondernemers en locaties (kortom partners) die werken vanuit hun hart, gedreven worden door maatschappelijke verantwoordelijkheid, persoonlijke groei en die voor verbinding zorgen met jezelf, met anderen en met de omgeving. Heel de maand september, 30 dagen lang over heel VlaanderenHet Festival van Verbinding is een opendeurdag-concept. Wij nodigen ‘partners’ uit om hun werking te tonen om bijvoorbeeld een opendeurdag van verbinding te creëren op hun eigen locatie. Andere voorbeelden van hoe je zou kunnen meedoen: je organiseert zelf workshops, lezingen, ontmoetingsmomenten, een pot luck, een wandeling, muziek, ….  Het FvV zet al wie iets organiseert in de kijker: via onze website, sociale media, nieuwsbrief. Je bent zichtbaar tijdens het FvV. Binnenkort ook via (online) magazine en podcast.-﻿~ Ons ticketsysteem ~ Koop tickets per activiteit naar keuze.Kies voor een dagticket en ontvang een unieke code om eenvoudig jouw plaats te reserveren voor elke gewenste activiteit op die dag.Ga voor een Combiticket en ontvang een unieke code waarmee je moeiteloos jouw plaats kunt reserveren voor elke gewenste activiteit gedurende het Festival van Verbinding. Geniet van deze mogelijkheid gedurende de volledige maand september, met maar liefst 30 dagen vol inspiratie en verbinding.*﻿Wij sturen deze codes manueel door en garanderen dit binnen de 24u door te sturen zodat jij met alle gemoedsrust activiteiten kan reserveren.-﻿Jaar van VerbindingHet hele jaar door komen we samen om verder te bouwen aan een sterk netwerk met als doel om de transitie naar een warme duurzame wereld te versnellen vanuit samenwerking, liefde en vertrouwen.-﻿Vragen? Contacteer festivalvanverbinding@gmail.com of peter@dezachteomwenteling.be | +32 483 41 01 48O﻿nze contactinfo staat ook op onze website: www.festival-van-verbinding.com"
"1685718739-10","https://www.eventbrite.com/d/netherlands--amsterdam/sustainability/?page=5","Using nature as a guide. Exploring the potential of natural processes","https://www.eventbrite.com/e/using-nature-as-a-guide-exploring-the-potential-of-natural-processes-tickets-489330800597?aff=ebdssbdestsearch","Natuurinvest","https://www.eventbrite.com/o/natuurinvest-56861593303","Welcome to Nature As A Guide. We'll be exploring the potential of natural processes in a man-made landscape on the 12th of June.International conference of the Erasmus+ project ‘Process oriented nature conservation'.Programme:1pm - 5pm: Conference with international speakers including sir Charles Burrell (Knepp Estate, UK), Liesbeth Bakker (professor in Rewilding Ecology, WUR, NL) and Jörgen Andersson (Fjällbete/Savory Institute Nordic Hub, SE)5pm - 7pm: Networking event"
