event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/saturday-night-at-the-zoo-an-adults-only-evening-at-lincoln-park-zoo-tickets-638890236897?aff=ebdssbdestsearch,Lincoln Park Zoo,https://www.eventbrite.com/o/lincoln-park-zoo-41873465723,"At this adults-only (21+) evening, guests can enjoy beer, wine, seltzer and cocktails while strolling through the zoo's lush gardens and alongside animal habitats featuring nearly 200 animal species. A live DJ will get the party going for those looking to dance the night away! No kids, no strollers, this event is for adults only! Take a break from your usual routine and do something different; spend a Saturday Night at the Zoo with your friends! Event tickets include exclusive after-hours, limited capacity access to Lincoln Park Zoo. THIS EVENT WILL FEATUREDJ Marcus Carter performing live on the zoo’s Main MallLive Music by Maddy Griseto & Gerry D’ Antonio on The South LawnLawn games and plenty of spaces to stroll, sit, and sip with friends and familyAfter-hours access to Lincoln Park Zoo’s gardens and animal habitatsPop-up bars serving adult beverages throughout the zooConcession stands serving up your favorite zoo foodsRiver North Fests events at Lincoln Park Zoo help keep the zoo free and open to all 365 days a year. Support the zoo while sipping a cocktail! FREQUENTLY ASKED QUESTIONS:What parts of the zoo will be open, and will I see animals?Saturday Night at the Zoo will take place throughout Lincoln Park Zoo's buildings and grounds.Animals that live at Lincoln Park Zoo always have the choice to be indoors or out, in view of the public or not. This is a zoo policy that promotes positive animal welfare. We hope many animals will choose to be outside, but they may choose to spend their evening indoors. Is this event accessible?Yes! To learn about accessibility at Lincoln Park Zoo, please visit lpzoo.org/accessibility. What are the age restrictions for this event?21+. No one under this age will be permitted into the event. All guests must have a ticket.Can I purchase tickets at the door?Maybe. If tickets remain available, a limited number of tickets will be for sale at the door at a higher price. We highly recommend purchasing tickets in advance, though, as this event always sells out quickly!I am a member. How can I apply my membership benefits?Members get 10% off registration for all zoo events. To redeem your member discount:Click “REGISTER NOW” at the top of the website.Click “TICKETS.”In the top-right-hand corner, select “ENTER PROMOTIONAL CODE.”Enter the first three digits of your Lincoln Park Zoo membership number.Select “APPLY CODE.”Select the number of tickets you need and proceed to checkout.Can I transfer my tickets or get a refund? What happens if there is inclement weather?All Lincoln Park Zoo event tickets are non-refundable. If you are not able to make it to the event, feel free to give your ticket to a friend or family member. All events will be held rain or shine. Please dress accordingly!How do I enter the event and can I re-enter once checked in?Enter the zoo at the East Gate on Cannon Drive and Fullerton Parkway (the zoo’s parking lot) or the West Gate at Stockton Drive and Webster Drive. Tickets can be scanned on your smartphone or on a printed sheet of paper. Re-entry is not permitted.What items are prohibited at this event?Lincoln Park Zoo has a strict policy of restricted items for this event. Please make note of the below items that are restricted for this event:NO OUTSIDE FOOD OR BEVERAGESNo water bottles, beverage containers, cans, or bottlesNo folding chairsNo luggage of any kindNo animals (with the exception of service animals)No coolers (unless medically required)No illegal substancesNo noisemakers or balloonsNo Segways or motorized scootersNo thermal containersNo weaponsNo remote-controlled aircrafts or dronesNo items deemed dangerous or inappropriateAlcohol purchased outside the zoo is prohibited, and we ask that you refrain from smoking tobacco and cannabis inside the gates for the health and safety of our animals and visitors. Lincoln Park Zoo’s Code of Conduct can be found here. No firearms or weapons of any kind are allowed, except for on-duty police or security personnel. For the safety of guests, staff, volunteers, and animals, all purses, bags, and other items carrying personal belongings are subject to inspection upon entry."
https://www.eventbrite.com/e/screw-city-beer-festival-2023-tickets-647268626887?aff=ebdssbdestsearch,Kryptonite LTD,https://www.eventbrite.com/o/kryptonite-ltd-21962315536,"The 12th annual Screw City Beer Festival will be held on Saturday, September 9th, 2023, along the banks of the Rock River in the heart of downtown Rockford, IL.General Admission $55 (limited to 4 per transaction)All sales are final. SCBF is a rain or shine event. In the event of a cancellation due to any reason, all ticket sales will be deferred to the following year's event.2023 will retain the smaller format from the past few years:1500 Attendance~30-40 Brewery Participants Single Ticket Tier & Session. (VIP will not return this year but won't be gone forever!) Event Session: 12pm to 4pmIn lieu of a physical program, event maps and beer lists will be accessible on your smartphone via our website. Save it or pin it to your smart phone home screen ahead of time or scan QR codes placed throughout the event for instant access.These changes produced overwhelmingly positive feedback from both guests and brewery participants in 2021 and 2022 so we will continue this reduced format for the time being.Code of Conduct:Screw City Beer Festival strives to provide a safe and inclusive environment for all patrons, volunteers, and representatives of the event against any forms of physical/verbal/sexual harassment & assault and any racial, ethnic, religious, and gender discrimination.Terms of Service:Our top priority is to provide a safe and responsible setting for all involved participants, and in doing so, we plan to follow closely the recommendations and guidelines of community leaders and any such mandates as they evolve.SCBF takes place outdoors with reduced capacity to ensure  and encourage adequate distancing for all participants. Please stay home if you have tested positive for COVID-19, are waiting for COVID-19 test results, have COVID-19 symptoms, or if you have had close contact with a person who has tested positive for or who has symptoms of COVID-19.Additional Terms & Conditions at www.screwcitybeerfest.com"
https://www.eventbrite.com/e/volleywood-featuring-corona-electric-beach-tickets-595987353217?aff=ebdssbdestsearch,Chicago Sport and Social Club,https://www.eventbrite.com/o/chicago-sport-and-social-club-11154762554,"Get ready for 16 hours of music, 14 incredible artists, and the stage with the best backdrop at Chicago’s only beachfront Music Festival. Immerse yourself with skyline views, breezy beats, full-service bars, and local food on July 15-16.  #VolleywoodChicagoSATURDAY, JULY 15TH LINEUP:Don Diablo 5:45-7:00pmSam Feldt 4:30-5:45pmTres Mortimer 3:30-4:30pmSherm 2:30-3:30pmRed Achinelli 1:00-2:30pmBareju 12:00-1:00pmCHI LANE 11:00am-12:00pmSUNDAY, JULY 16TH LINEUP:Dillon Francis 5:45-7:00pmCrankdat 4:30-5:45pmParty Shirt 3:15-4:30pmTESSLA 2:00-3:15pmReibs 1:00-2:00pmFlipside 12:00-1:00pmClur 11:00am-12:00pm1-Day General Admission Pass includes:Admission only to Saturday OR Sunday1-Day VIP Pass includes:Admission + express entry to Saturday OR Sunday(2) Drink vouchers Reserved area with express bar, access to VIP lounge + restrooms, and front of stage area2-Day General Admission Pass includes:Admission to BOTH Saturday and Sunday2-Day VIP Pass  includes:Admission + express entry to BOTH Saturday and Sunday(4) Drink vouchers Reserved area with express bar, access to VIP lounge + restrooms, and front of stage areaPrivate Cabana includes:12 Cabana Tickets + express entryA preset drink package with designated server Shaded area with comfort seating, sponsor giveaways, access to VIP bar, restrooms, lounge, and front of stageFor more information on the event's details and regulations, please click here.This event is 21+. All sales are final."
https://www.eventbrite.com/e/sangria-fest-on-the-beach-sangria-tasting-at-north-ave-beach-tickets-668908763117?aff=ebdssbdestsearch,River North Fests,https://www.eventbrite.com/o/river-north-fests-27477579011,"Come enjoy this beachfront getaway while sipping on sweet sangria! With a variety of flavors to choose from, you're sure to find the perfect sangria to delight your taste buds!ABOUT SHORE CLUB: Shore Club offers an experience rivaling those on the best beaches around the world.  As an extension of the community in Lincoln Park and the Gold Coast, Shore Club offers a unique Chicago experience with unparalleled views of Lake Michigan.BECOME A VENDOR: Want to have your beverage featured at the fest? E-mail us at Vendors@RiverNorthFests.com now to find out how to sample at any of our upcoming events!FREE TICKETS/RAISE MONEY FOR YOUR CAUSE: See below for more info.FREE STUFF: Your tickets also include over $200 in Freebies* including: $10 of FREE Bitcoin from Coinbase, $10 in FREE food from Ritual and more! Click HERE for more info. *All offers valid for first time users only and subject to change without notice.REASONS TO BUY EARLY: In addition to getting tickets at a lower price, those who purchase early will also receive free tickets and/or deeply discounted tickets to future events.PHOTO CONTEST: Enter to win by tagging us on Instagram or Facebook (@RiverNorthFests)! Our panel of judges will go through the pictures and winners will be contacted afterward! Prizes include tickets to tasting festivals, cocktail cruises on Lake Michigan and more!SPONSORSHIP OPPORTUNITIES: For questions, sponsorship opportunities, and press inquiries, please email Sponsors@RiverNorthFests.com.FREE TICKETS/RAISE MONEY FOR YOUR CAUSE:Fundraising Opportunity: Are you trying to raise money for a certain cause? Email Fundraising@RiverNorthFests.com for more info!Celebrate your birthday at the fest and your ticket is free! Email Birthdays@RiverNorthFests.com for more info (conditions apply).Want to earn a free ticket and some cash for spreading the word? Email Ambassadors@RiverNorthFests.com for more info!CAN'T FIND YOUR TICKET? Click here.WORK WITH US: Interested in meeting new people while having fun running the best events in Chicago? Email EventStaff@RiverNorthFests.com.Rules, Regulations & Disclaimers: All guests must be 21+ with a valid government issued ID that will be checked by security prior to entrance. Brands subject to change. Tickets include tastings. Enjoy responsibly. We reserve the right to curtail service to anyone if intoxicated. Please be aware that this event will comply with the Illinois Liquor Control Act 235 ILCS 5/6-16(a) A valid ticket with scannable QR code is required by all guests to enter event. It is recommended to print a paper ticket to prevent any technology complications which would prevent your ticket from displaying on your phone. There is no guest list. Each ticket must be scanned. Security reserves the right to inspect all bags and persons. Absolutely no outside food or beverage may be brought into the event. Guests who are deemed intoxicated (or otherwise unfit), will be denied entry and no refunds will be given. We want all guests to enjoy themselves, but our number one priority is the safety of all guests. Any ticketing/technical issues will be handled by Eventbrite.com. Please contact them directly at https://www.eventbrite.com/contact-us/. Sorry – no refunds or price adjustments. The Eventbrite system does not allow us to restrict people who are underage from buying tickets. If you are not 21 and purchase a ticket, you will not be allowed into the event.  For further Terms and Conditions of this event and ticket purchase please see “Ticket Purchase and Event Terms and Conditions” in checkout before purchasing these tickets; which shall also be binding and shall be incorporated by reference as though fully stated herein."
https://www.eventbrite.com/e/chicago-food-truck-festival-season-10-summer-tickets-501339368547?aff=ebdssbdestsearch,Chicago Food Truck Festival,https://www.eventbrite.com/o/chicago-food-truck-festival-6289692797,"Here we go again foodies! Season 10 of one of America's top food truck festivals, the Chicago Food Truck Festival is back celebrating 10 years of providing cultured mobile culinary cuisine. A taste of the Chicago food scene from Chicago's top gourmet food trucks. Join us as we gather some the nation's top food trucks for a foodie heaven, tasting chef prepared dishes and delighting the palate with a splash of Sangria or some Chicago's best Beers. Also, did we mention games and live music? Get your VIP admission tickets now. To expedite registration lines, there no longer are separate Saturday or Sunday Tickets. Tickets may be used on either day for one use only. So, if you plan to attend both days you will need to claim two free tickets or buy two VIP tickets. For more information, head on over to our website and subscribe to receive regular updates.Location: South Loop, 2300 S. Indiana Ave., Chicago, IL 60616 For More Information and to buy VIP & Drink Tickets go to our website: chicagofoodtruckfestival.comWe have come along way. Once looked upon with amuse, food trucks have become an integral part of community, culture and food. Starting in 1866 with the first Chuck Wagon up until today during lunch hour and festivals. Food trucks have become a welcomed part of culture worldwide. We are now planning for the 10th annual Chicago Food Truck Festival, slated for Saturday, July 29th 2023, and Sunday, July 29th, 2023.The Chicago Food Truck Festival will continue to feature some of Chicago's top gourmet food trucks serving a variety of delicious dishes and tasty treats. Also, since Chicago is now the beer capital of America, we have decided to showcase a variety of Chicago's Best while also featuring wine and spirits pouring. We will continue with free and VIP admission this year as well. So, prepare yourself to enjoy gourmet eats and an assortment of cold beers and live music expressing the heart and culture of Chicago. And as always, this year is about family, food and fun!What: Chicago Food Truck Festival (Summer Festival)When: Saturday, July 29th, 2023 & Sunday, July 30th, 2023, Time: 11 am to 7 pmWhere:  South Loop, 2300 S. Indiana Ave., Chicago, IL 60616This year's new and returning features:1. Free general admission & VIP admission with tickets (required)2. Gourmet food trucks. 3. Assortment of Chicago's Best Beers & wine.4. Outdoor games: corn hole and more5. Limited seating. Nonstop entertainmentFor more information: http://www.chicagofoodtruckfestival.comLast Edited: 6.29.23 at 9:18am"
https://www.eventbrite.com/e/usgbc-wisconsin-member-meeting-decarbonization-registration-620821883967?aff=ebdssbdestsearch,USGBC Wisconsin Community,https://www.eventbrite.com/o/usgbc-wisconsin-community-14859777374,"When is a building more than just brick and mortar? Always.We’re excited to invite you to the third installment of our 2023 Member Meeting series!  The series will take place in-person, and this time we're headed to Milwaukee. This USGBC Wisconsin event will convene members and stakeholders who make sustainable, healthy, resilient, and equitable buildings a reality in our community.   We'll kick off the program with a brief welcome from local leadership to make sure you're aware of the amazing things happening with USGBC, highlight recently certified projects, and then dive into the main program exploring a critical industry topic.   DecarbonizationDecarbonization is a priority topic for USGBC and we are developing strategies and partnerships that reduce greenhouse gas (GHG) emissions from the building sector while improving health and equity.  Decarbonizing buildings, including the construction and operations phases, is essential to meeting our collective climate goals.T﻿his forum will feature multiple speakers and an opportunity to talk to and learn from one another. Join us as we explore the following topics: Decarbonization 101 - Urgency and opportunity for greenhouse gas emissions reductions in our buildings and communitiesDecarbonization at Scale - How a zero carbon community plans to improve health and equity outcomes. Embodied Carbon and LEED: How projects can make material choices to have the greatest impact and improve specification practices in your firm for the future. Operational Emissions: Opportunities to reduce ongoing carbon emissions. Nexus with LEEDFor over a decade, LEED has aimed to reduce the GHG pollution of buildings, and USGBC intends to address all opportunities for reducing carbon emissions, including operational carbon, embodied carbon, refrigerants, electric mobility options and carbon sequestration.Project teams working to decarbonize a project can apply LEED as a holistic framework, helping not only to develop an integrated approach for climate but also to ensure baseline consideration of human health, clean water and other vital outcomes.  Learn more.Featured Speakers:  ﻿Announcement coming soon!Moderator and Event Host: Korinne Haeffel, Director, U.S. Green Building CouncilAgenda:9:30pm – Doors Open & Networking (Coffee and pastries served)10:00 am - Welcome and review of the morning10:15 am -  Program: Decarbonization11:50pm - Wrap-up12:00pm – Formal program concludesIf you have any event registration issues or access to the event, please contact Korinne Haeffel at khaeffel@usgbc.org.  Featured Speakers: Announcement Coming Soon!If you have any event registration issues or access to the event, please contact Korinne Haeffel at khaeffel@usgbc.org.  Sponsors:Gold Series Sponsor:We EnergiesSilver Series Sponsor:WangardInterested in sponsorship or volunteer opportunities? Contact Korinne Haeffel (khaeffel@usgbc.org or 202-609-7156) for more information.Support our Mission:Make a donation to help us raise the living standard in communities everywhere https://www.usgbc.org/give-center/donation  As the leading voice on green building, we are working every day on behalf of our community of builders, educators and sustainability professionals. The contributions made by our USGBC community over the past 30 years have helped further the green building marketplace and our mission greatly. Your gift will help support what matters most within our buildings: people. Our focus must be on people because the standards we are most committed to raising is that of the quality of life itself—for every member of this community, and in populations spanning every corner of the planet. FAQs:How can I contact the organizer with any questions?Email khaeffel@usgbc.org.What's the refund policy?Attendees can receive refunds up to 7 days before the first event start date. To request a refund, go to Tickets in your Eventbrite account (go here if you've never logged in before), find your order, then select ""Request a Refund."" For detailed guidance visit the Eventbrite help page.Can I update my registration information?You can update the information on your order (like name, email address, or answers to the organizer's questions) by by clicking your order on the Tickets page. For detailed guidance visit the Eventbrite help page.How to claim tickets registered on your behalf?If someone registered a ticket on your behalf, you can claim your ticket from the email you received from Eventbrite. By claiming your order, you can access your ticket at any time online in your Eventbrite account (on the Tickets page) and in the Eventbrite app for iPhone and Android. To claim your ticket, just hit ""Claim Your Order"" in the email you received. You'll be taken to Eventbrite to log in or set a password.What to do if there's a typo in the email address on your Eventbrite order?If you registered for an event on Eventbrite but didn't receive an order confirmation email, there may be a typo in the email address on your order. Contact the event organizer to resend your tickets  to the correct email.  NOTE: This is especially important for virtual events, since the follow up emails with connection information and other program related information will be sent to the email used during registration.How to access your eventbrite account  and online event access pages:NOTE: If you haven't set a password for your account, Eventbrite will email you a link to set it. If you've forgotten your password, reset it.Computer (desktop/web):1. Go here.2. Enter the email address you used to register.3. Click “Get started”.4. Enter your password.5. Find your order (under Tickets).6. Click the event name.Mobile (iOS):1. Download the Eventbrite App.2. Open the app on your device.3. Enter the email address you used to register.4. Enter your password.5. Tap the “tickets” icon (in the app footer).6. Find your order (under “Upcoming” or “Past tickets”). The tap to select.7. View registration information, event information (date and location), add to calendar, view the event listing, save the ticket as an image, add to Apple Wallet, or show the QR code for scanned entry at the event."
https://www.eventbrite.com/e/student-leadership-collaborative-pewaukee-wi-registration-638335808587?aff=ebdssbdestsearch,,,"WHO’S INVITED?Any number of change making educators and student leaders! C﻿OST?This Jostens Renaissance event is being brought to you at NO CHARGE by your local Jostens representatives.*Note that lunch and transportation will not be provided. This event will not be presented virtually.Culture. Climate. Leadership.You deserve to love going to school each day! ...And so do the students and staff around you! That's what the Jostens Renaissance Educator Leadership Collaborative is all about. Join us for an inspiring day filled with ideas for making a positive impact on your school's culture and climate. WHAT’S THIS EVENT ALL ABOUT? This engaging and interactive LIVE day will include:Inspiration and insights from renowned educator, administrator and public speaker, Dr. Phil Campbell (PC)Proven ideas for making a positive impact on your school’s culture and climateCollaborative time to create action plans and share ideasLeadership skills for educators Proven methods for improving graduation, attendance and discipline ratesFEATURED SPEAKER: Dr. Phil Campbell, known to his students as 'PC,' is a sixteen-year educator with experience as a teacher, coach, athletic director, and principal. PC implemented Renaissance in his school and saw reduced discipline rates, increased attendance rates, improved graduation rates, and an overall enhancement of school culture. PC has made it his mission to help schools create a positive school culture in which every adult and student feels seen, heard, and valued. Video & digital images will be taken throughout this conference. Your attendance at this conference grants Jostens the right to use those images for promotional materials unless otherwise stated.WHAT IS JOSTENS RENAISSANCE EDUCATION?J﻿ostens Renaissance is a framework for building a culture and climate where teachers love their job and students thrive in school. J﻿ostens Renaissance is, by design, a contrast to the prescriptive educational programs that we've all seen come in and out of vogue. And perhaps best of all, it is provided at no additional cost to Jostens customers!Schools have been using the Jostens Renaissance framework and resources for more than 30 years for: Educator Morale & RetentionAcademic AchievementCharacter DevelopmentLearn more about Jostens Renaissance."
https://www.eventbrite.com/e/the-womens-convention-2023-tickets-642295873247?aff=ebdssbdestsearch,Women's March,https://www.eventbrite.com/o/womens-march-12198304570,"We’re at an inflection point in our country. What we do in the next five years will impact the next five decades. If we are going to protect our personal rights, our communities, and democracy itself, we need to build the biggest movement possible. We need to consolidate women and allies around shared values, experience, and culture to build a nation that works for all of us. The 2023 Women’s Convention will provide a space for you to rejuvenate and find connection and support. Whether you are brand new to social change work or a veteran activist, this space is built for you.  You will gain tools, make connections, and experience the feminist future we want to live in. Learn more: www.thewomensconvention.com FQAsWhat is the Women's Convention?The Women’s Convention is a weekend of workshops, strategy sessions, inspiring forums, creative expression, and intersectional movement building. It will be a place where cause, community, and creativity intersect. We will provide a space where people can meet, share common interests, and engage on issues of civic engagement, accelerated by pop culture. We will engage activists by melding traditional organizing programming with non-traditional programming, including salons, art spaces, screenings, social programming, and women’s workforce development. This convention will leverage the power of culture shift through skilling up and storytelling to create an empowered space of feminist momentum. This event will mobilize and unite movements for gender justice, racial justice, LGBTQ rights, and environmental justice and bring thousands of participants to combine activism and creative expression among everyday people. When and where is it? The Women’s Convention will run from Friday, October 20, to Sunday, October 22, 2023. The location is the Baird Center in Milwaukee, WI. Visit  www.thewomensconvention.com  to learn more about transportation, lodging, and to find our feminist guide to visiting Milwaukee.How much does it cost?General admission is $350 per person—an amount that covers the full cost of entrance to the Women's Convention. If your employer is paying for your registration, we ask that you please register at the institutional level, $555 per person. We also offer a number of other registration levels for movement partners, essential workers, students, youth, seniors, and anyone else for whom the full registration cost would represent a hardship. Below is an overview of ticketing options:Early to the Party Diva: $300, Limited amount of early bird tickets are available until August 31 11:30PM CT. Saves $50 off the general admissions ticket. Early to the Party Sisterhood Special: $550+, Allows you to buy two or more tickets, each discounted to $275, with a minimum 2 ticket purchase ($550). There are a limited amount of these tickets available until August 31 11:30PM CT. Feminist Force: $350, General Admissions, Will be available starting on September 1.Feminist Force Sisterhood Special: $650+, Allows you to buy two or more tickets, each discounted to $325, with a minimum 2 ticket purchase ($650). Saves $25 off the general admissions ticket. These tickets will be available starting on September 1.Home Grown Feminist: $125, Available to movement community, youth & students, seniors, and individuals with fixed incomes.Essential Workers: $150, Available to those who work tirelessly to keep our communities safe, healthy, and functioning)Solidarity Registration: $475, General admission into the Women's Convention, and covers the costs for an additional ticket for a scholarship recipient.Institutional Registration: $555, if your employer is paying for your registration, and they are able, please register at this level.Are children permitted?Children are permitted to attend. This would not be a feminist event without a baby (or 20) in the mix! Children age 11 and younger can attend the Women’s Convention free of charge. Youth ages 12 and up can attend for the discounted fee of $125 (Home Grown Feminist Ticket). Private areas for nursing parents will be provided, although parents who are pumping should bring their own coolers. Please note that all minors must be accompanied by an adult at all times unless enrolled in our Feminist Kids Summer Camp.Children ages 5 to 12 can enroll in our Feminist Kids Summer Camp, a dedicated kids program that will mirror the convention schedule, with ticketed entry. Enrollment will open this summer and is first-come, first-serve. More information will be available this summer. Will there be programming for youth?Yes, there will be a Young Leaders Room with programming specific to youth activists aged 13-20. There will also be a dedicated space created on Friday night so youth can meet other young activists from all over the country. Are scholarships available?The Women's Convention strives to be accessible to women and allies regardless of economic barriers. We wish we could make the event less for everyone, but the prices we are offering are necessary to cover the cost of the conference. The Women’s Convention aims to award scholarships, ranging from waived admission to full travel and accommodations. Donate to our scholarship fund here or donate when your purchase your ticket. If you're interested in getting more information about scholarships, once we release more information, please click here.Why Wisconsin? We’re continuing to build on the success of the 2022 Women’s Convention by hosting it in Wisconsin for 2023 & 2024. Wisconsin is a vitally important state in 2024. Referred to as the incubator for our country’s tribal politics, many pundits think that Wisconsin is one of the states that will be both a deciding factor in the 2024 Presidential election and one that demonstrates the deep polarization that characterizes U.S. politics. With strong organizing, Wisconsin is flippable and Women’s March has the ability to make an impact on the outcome of the election. Women’s March has been making strategic interventions in Wisconsin since 2022, through both mobilizations and electoral strategies. The Women’s Convention will continue that investment with those women and communities who are the backbone and future of Wisconsin. We know that Women’s March belongs to our marchers and that they are the ones that make a change in whatever place they call home. We can support, connect, and amplify what they are doing and can do in their own backyards.Who will be there?The Women’s Convention will bring together over a thousand everyday women activists, allies, movement leaders, rising political stars that reflect our nation’s changing demographics, and thousands of new grassroots leaders who’ve organized in their communities and taken to the streets since January 2017. We hope to make this one of the largest convenings of its kind, and a unique opportunity for everyday women and our allies—from all backgrounds, and experiences—to learn together, share expertise, and unite around collective goals and strategies.What is the program? What can attendees expect? We are developing a program of workshops, strategy sessions, inspiring forums, and intersectional movement building based on the input, ideas, and efforts of organizers from our grassroots movements. Attendees—regardless of prior experience—can expect to be inspired, challenged, connected, and educated. The goal of the Women’s Convention is for participants to leave inspired and motivated, with new connections, skills, and strategies for working towards a collective feminist future. Visit www.thewomensconvention.com  for up-to-date programming information. Want to submit a workshop or idea for consideration? Visit www.thewomensconvention.com Where can I stay?Women's March has negotiated a limited amount of discounted rooms rates at the Hilton and Doubltee Hotels, both across the street from the convention center.  Visit www.thewomensconvention.com to book directly and take advantags of these rates.Will there be a live-stream?Yes. Selected events will be live-streamed. Are people of all faiths welcome?The Women’s Convention is open to people of all or no religious faiths. We will have space to accommodate for observance and prayer.Will the convention be accessible for disabled participants?Yes! We are working hard to make sure the convention is inclusive and accessible. The Baird Center is ADA-compliant.  If you have specific accessibility requests, please email accessibility@womensmarch.com, or visit our on-site help desk.  Refund PolicyAll ticket sales are final, but if you are unable to attend, you may transfer your ticket one time to another attendee."
https://www.eventbrite.com/e/first-fridays-infinite-soul-virbrations-wrap-sip-learn-tickets-467693232047?aff=ebdssbdestsearch,Patrick A. Weller,https://www.eventbrite.com/o/patrick-a-weller-12679659633,"While you listen to “Neo Soul Music” pick your vibrant copper wrap, sip a refreshing beverage, and learn the “Magick” behind the beauty of “Natural Healing Crystals”.Curious?! How do they work? How can they work to heal you?It's a vibe, let's talk vibration frequencies! What are the health benefits of copper?!How can you raise your vibration?! How do you master the art of raising your frequency?!Come discover the true purpose of crystal and gemstone wearables."
https://www.eventbrite.com/e/r1-swot-workshop-built-environment-neighborhoods-tickets-665602754757?aff=ebdssbdestsearch,Region 1 Planning Council,https://www.eventbrite.com/o/region-1-planning-council-34387171945,"Where do I park?Please park in the north parking lot.R1 Planning Council is hosting six SWOT workshops designed to gather input from residents to find out their perceptions about the Northern Illinois region. R1 uses feedback from this workshop to guide local policymakers as they update federally-required planning documents that steer progress in the area’s transportation, economic development, and climate needs. These documents include the Comprehensive Economic Development Strategy (CEDS), Metropolitan Transportation Plan (MTP), and the new Climate Action Plan (CAP)."
