event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/rose-bowl-flea-market-sunday-july-9th-tickets-377542157757?aff=ebdssbdestsearch,R.G. Canning Enterprises,https://www.eventbrite.com/o/rg-canning-enterprises-16808362654,"The world famous Rose Bowl Flea Market takes place the second Sunday of every month! Come shop from over 2,500 vendors selling everything from coveted antiques, rare vintage finds, and today's most up-to-date trends!  For the first time ever you can now purchase general admission tickets online and avoid the lines! Come see why we have been known as the ""Flea Market of the Stars"" for 50 years! You may enter beginning at the time displayed on your ticket (i.e. 5:00AM or 9:00AM). Entrance into the flea market will not be permitted after 3:00PM. You may shop until 4:30PM, however, vendors may begin packing up as early as 3:00PM. When arriving please check in  at Gate A and have your QR code ready. This event occurs rain or shine."
https://www.eventbrite.com/e/uncorked-la-summer-wine-fest-tickets-622066917897?aff=ebdssbdestsearch,Uncorked Wine Festivals,https://www.eventbrite.com/o/uncorked-wine-festivals-9781640515,"Join us at the CA Science Center on Saturday July 22nd. Enjoy over 100 wines & bubblies from across the globe plus full after hours access to the museum with interactive exhibits, a DJ, food trucks and more!There are three ticket types for this event. VIP ($100) is very limited capacity. Admission is at 7pm and includes four full hours of tasting plus exclusive access to the third floor VIP level with higher end wineries and entrance to see ""Maya the Exhibition"" all night. Early admission ($80) is also at 7pm and includes the 4 hours of tasting with shorter lines during the first hour. General admission ($65) is at 8pm and the event ends at 11pm. All tickets include all wine tasting and museum access with food sold separately. This is the last weekend the Endeavour shuttle will be there in this exhibit space so come raise a glass and toast not only to it's incredible journey but to all the fun things at Uncorked: LA!This event benefits the nonprofit A Kid Again (www.akidagain.org)21 and over only. For more info go to uncorkedwinefestivals.com~No refunds"
https://www.eventbrite.com/e/free-80s-concert-when-in-rome-flock-of-seagulls-dramarama-more-tickets-658065821587?aff=ebdssbdestsearch,L.A. Concerts,https://www.eventbrite.com/o/la-concerts-8399593435,"80'S RETRO REBELLION!SATURDAY JULY 8TH@﻿ PERSHING SQUARE DTLA2﻿1+ EVENT (VALID ID)P﻿ERFORMING LIVE:WHEN IN ROME UK, FLOCK OF SEAGULLS, MEN WITHOUT HATS, & DRAMARAMA E﻿VERYBODY FREE W/ RSVP!$﻿30 VIP TICKETS (ACCESS TO PIT - FRONT STAGE)F﻿ULLY STOCKED BARS, FOOD TRUCKS, & ART VENDORS!F﻿OLLOW US ON IG: @WEAREHAPPYCORThe event operates on a first-come, first-served basis. While your RSVP grants you the opportunity to attend, we encourage you to arrive early to secure your spot. The venue has limited capacity, and once it reaches its maximum occupancy, entry will be denied. We look forward to hosting you at the event. Thank you."
https://www.eventbrite.com/e/626-night-market-mini-downtown-santa-monica-2023-tickets-649382870647?aff=ebdssbdestsearch,626 Night Market,https://www.eventbrite.com/o/626-night-market-2520237026,"626 Night Market Mini continues this Summer--bringing the epic flavors of our giant flagship food festivals to the Westside: Downtown Santa Monica!Featuring three dozen rotating local food pop-ups, curated by the 626 Night Market team, merchandise & craft vendors, and a full bar. We designed these free-to-attend mini markets for the communities that have supported us for 10+ years!The markets are every other weekend; Saturdays and Sundays.  Hours are 1pm-10pm each night. See available tickets for specific dates. Register for free tickets now and get ready to munch!Limited tickets available. Entry will be determined by available capacity at the time of entry. Tickets do not guarantee entry at any time. Thank you for your patience.For more information or vendor inquiries, please visit 626nightmarket.com."
https://www.eventbrite.com/e/reptile-super-show-anaheim-ca-1-day-pass-july-8-9-2023-tickets-565567947957?aff=ebdssbdestsearch,Reptile Super Show,https://www.eventbrite.com/o/reptile-super-show-8086561443,"ANAHEIM CONVENTION CENTER - JULY 8 , 2023 10AM-6PM  or  JULY 9, 2023 11AM- 5PMGENERAL ADMISSION TICKETS 1  DAY TICKET:ADULT:$16.00 +feeKIDS $10.00+fee (12 & under)  Two and under are FREECAN BE EITHER DAYJuly 8, 2023 (10am-6pm) HOURSORJuly 9, 2023 (11am-5pm) HOURSVIP TICKETS CAN BE USED BOTH DAYS & GETS YOU INTO THE SHOW 1 HOUR BEFORE OPENING TIMES.VIP ADMISSION TICKETS 2  DAY TICKET:ADULT:$50.00 +feeKIDS $30.00+fee (12 & under) July 8, 2023 VIP HOURS 9am-6pm (1 hour before doors open)andJuly 9, 2023  VIP HOURS 10am-6pm (1 hour before doors open)Over 200,000 sq.ft. (5 acres)  of reptile, amphibians, turtles, supplies, cages, lights, supplements, educational workshops, and more. This HUGE SALE is OPEN TO THE PUBLIC! Reptile Super Show is a fun and educational environment for the reptile enthusiast in your family. We promote conservation through education and captive breeding. If you love reptiles and are between the ages of 3-99 ( 2 & under are FREE), than you will love the Reptile Super Show & Breeders Expo. Don’t miss it… we look forward to seeing you there!!!Anaheim Convention Center800 W. Katella Ave.Anaheim, Ca. 92802Parking at CAR PARK 41980 West St.Anaheim, Ca. 92802Reptile Super Show & Breeders Expo. Don’t miss it… we look forward to seeing you there!!"
https://www.eventbrite.com/e/nature-walk-talk-el-nino-and-climate-impacts-on-shorebird-conservation-tickets-673166849167?aff=ebdssbdestsearch,MCCS,https://www.eventbrite.com/o/mccs-67903106623,"Camp Pendleton provides one of the largest breeding locations for California Least Tern, a rare sea bird in danger of going extinct. Join us to find out how the El Nino (ENSO) cycle and sea level rise impact bird conservation and hear about some interesting research projects that could help the recovery of Least Tern populations.  Our guest speaker, Wildlife Manager Ms. Sherri Sullivan."
https://www.eventbrite.com/e/nra-ccw-instructor-class-tickets-603705257677?aff=ebdssbdestsearch,High Desert Firearm Training,https://www.eventbrite.com/o/high-desert-firearm-training-15212596943,"This is a two-day class: You must attend both days The goal of this course is to develop NRA Certified Instructors who possess the knowledge, skills, and attitude necessary to conduct the NRA Basic CCW Class.***Prerequisite:  Must have completed the NRA BIT Class in the previous 2-years & hold an NRA Basic Pistol Instructor Certification.   If you need this, call 951 544-9190The prerequisite of completing the NRA CCW class as a student will be met. The Student CCW Class will be  given as part of this NRA CCW Instructor Class. Required Equipment:Firearm (.22 cal is NOT acceptable), 2 extra magazines (3 total) or speed-loadersMinimum of 500 Rounds of Factory New Ammunition   Quality Strong Side Outside The Waistband Holster * No nylon or flimsy holsters allowed, Your holster must not collapse on itself. Your holster must completely cover the trigger guard and fit your gun. Gun Belt * Must be a quality belt that supports your gun.  No nylon or flimsy belts allowed. mag pouches Eye and Ear Protection (Electronic Preferred)Concealment Garment; Shirt, vest, jacket etc.Empty  3 Ring Binder, Notepad, Pen, Pencil & HighlighterB﻿ring your NRA Basics of Pistol Shooting book.  If you need a new book, they will be available for purchase at the class for $25.NRA CCW Instructor Course will include: Firearm Safety Drawing From ConcealmentLoading and Stoppage RemediationMindset, Responding to an Attack and the AftermathCarry Modes and Pistol ConcealmentBasic Defensive Pistol SkillsRunning/Managing a CCW firing lineRange PreparationDrill preparationQualification DrillsInstructor QualificationFor more information call or text the Instructor at 951 544-9190 If the class is full, you may add yourself to the wait-list and we will notify you if we have cancellations, or you may call 951 544-9190 to see if there is a seat available. TO REGISTER: Call or Text 951 544-9190 OR Email: HighDesertFirearmTraining@gmail.com Online Registration at http://www.HighDesertFirearmTraining.eventbriAnswers to many questions may be found on  our website at http://www.HighDesertFirearmTraining.com Please call us with any questions or concerns at (951) 544-9190 or Email HighDesertFirearmTraining@gmail.comYour NRA Training Counselor will make a recommendation to the NRA concerning your certification based on an evaluation of your knowledge, skills, and attitude. You will be demonstrating your organizational and teaching skills through participation in practical exercises. You will take a written examination & range qualification. Attendance at the course does not guarantee that you will receive the recommendation. You are not paying for certification, you have the opportunity to become certified.Classes, training and / or certification are for individuals who are not disqualified from possessing a firearm as defined by applicable federal, state, or local law. Individuals who have been convicted of a crime of violence are disqualified. In compliance with U.S. Federal ITAR Regulations, Student must be a U.S. Citizen or Legal Resident with a Green Card.Comfortable and Clean, Well Organized, Climate Controlled Classroom"
https://www.eventbrite.com/e/ccw-non-resident-utah-and-arizona-class-allows-conceal-carry-in-35-states-tickets-598853666437?aff=ebdssbdestsearch,High Desert Firearm Training,https://www.eventbrite.com/o/high-desert-firearm-training-15212596943,"You DO NOT need to be a Utah or Arizona  resident.  Any U.S. citizen or Legal resident of the United States may obtain these CCW permits. We will cover the following topics and more:     Basic Handgun and Ammunition SafetyHandgun Parts, Operation and MaintenanceAmmunition Types, Components and Firing SequenceHandgun & Ammunition StorageAmmunition MalfunctionsBasic Shooting FundamentalsHolstersConcealmentPresentation and HolsteringLaws Regarding Self-Defense, Use of Force, Deadly Force, Transportation and Concealment of Firearms.																											These are the most coveted Multi-State CCW Permits in the Nation!  Having these CCW permits will allow you to conceal carry in 35+ states. They are not valid to conceal carry in California. Because firearms laws are continually changing, you should check to see if states have been added or subtracted. 								   Eligibility - Applicant must be at least 21 years of age.  Not convicted of a felony, any crime of violence, any offense involving the use of alcohol, unlawful use of narcotics or other controlled substances, any offence involving moral turpitude, offence involving domestic violence, and has not been adjudicated by a court of a state or of the United States as being mentally incompetent , unless the adjudication has been withdrawn or reversed. Our instructors are NRA, USCCA, BCI, & CA DOJ Certified Instructors  We will provide you with the applications &  fingerprint cards for each state.  Once you successfully complete the class you will submit your application(s) with the instructor's signature and stamp, certificate of completion, fingerprint cards, passport quality photo, a copy of your drivers license, and payments payable to whichever states you are applying to.  A background check will be completed by each state.   For more information call or text the Instructor at 951 544-9190If the class is full, you may add yourself to the wait-list and we will notify you if we have cancellations, or you may call 951 544-9190 to see if there is a seat available. Check out our website at http://www.HighDesertFirearmTraining.com Please call us with any questions or concerns at (951) 544-9190 or Email HighDesertFirearmTraining@gmail.comComfortable and Clean, Well Organized, Climate Controlled Classroom"
https://www.eventbrite.com/e/access-to-capital-tickets-654441481087?aff=ebdssbdestsearch,Inland Empire Small Business Development Center (SBDC),https://www.eventbrite.com/o/inland-empire-small-business-development-center-sbdc-27481411653,"H﻿YBRID EVENTAre you looking for ways to fund your business? Financing in any economic climate can be challenging. Whether you are looking for start-up funds or capital to expand, this workshop is for you.Topics:The basic requirements to qualify for a loanThe different types of funding availableSteps to assess a funding solution that best meets your needsF﻿or questions regarding this workshop, including late registration, please email us at training@iesmallbusiness.com."
https://www.eventbrite.com/e/nra-crso-chief-range-safety-officer-class-tickets-601567343117?aff=ebdssbdestsearch,High Desert Firearm Training,https://www.eventbrite.com/o/high-desert-firearm-training-15212596943,"A﻿VGC Members use the gate code for the discount.The goal of this course is to develop NRA Certified CRSO’s; Chief Range Safety Officers who possess the knowledge, skills, and attitude necessary to instruct, train and supervise NRA RSO’s; Range Safety Officers and to provide the essential information required to develop Range Standard Operating Procedures.At successful completion of this course you will be certified to teach the NRA Range Safety Officer Course.Required Materials: Bring an empty 3-ring binder and your RSO book from when you took the RSO Course.  If you need a new book they will be available for purchase for $25 each.This course is completed entirely in the classroom while learning the knowledge and skills needed to teach the NRA RSO; Range Safety Officer Course. Role-playing is a major part of an instructor course. Candidates take turns working in teams conducting portions of the course to other candidates who portray basic students. Instructor candidates will receive the NRA CRSO; Chief Range Safety Officer Instructor’s Manual and other instructor materials.In order to take this course, you must already be an NRA RSO; Range Safety Officer. You also must have had Basic Instructor Training (BIT) within the last 2 years. If you need to take the Basic Instructor Training  call us at 951 544-9190.Questions???  Call or Text 951 544-9190  OR  Email: HighDesertFirearmTraining@gmail.comPlease remember NRA Instructor Courses are performance-based courses. Instructor Candidates must possess the knowledge, skills and attitude necessary for this level of training. You are not paying to automatically pass and become an NRA Instructor. You pay to have the opportunity to pass and become an NRA Instructor.Classes, training and / or certification are for individuals who are not disqualified from possessing a firearm as defined by applicable federal, state, or local law. Individuals who have been convicted of a crime of violence are disqualified. In compliance with U.S. Federal ITAR Regulations, Student must be a U.S. Citizen or Legal Resident with a Green CardComfortable and Clean, Well Organized, Climate Controlled Classroom"
