event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/the-together-space-23rd-july-event-tickets-654763474177?aff=ebdssbdestsearch,The Together Space,https://www.eventbrite.com/o/the-together-space-35828414513,"Join us on Sunday 23rd  July from 2pm-5pm at Higham Hill Hub.  The space comprises an indoor room (also where toilets are located), large enclosed garden and within the garden is an open tent.Please note: we are now running one longer session.  The idea is that any ages are welcome for the whole time but suggesting the first 1.5hrs is for the younger ones and second 1.5hrs for the older children. The main reason for this is so we don’t have such a large age difference on the soft play / inflatable equipment at the same time. Here's what to expect at the space: INDOORS:S﻿ensory Den with sensory objects, materials and books.  GARDEN:Obstacle Course Inflatable with slide. Giant Connect 4. Make-Do-PlayMake-Do Play are coming back to The Together Space to run our art workshop!Make-Do Play CIC run child-led, non-judgemental community play sessions with loose parts - repurposed everyday objects which have multiple playful possibilities. Rooted in the Playwork Principles, children are free to explore the space, take risks, get as messy as they desire, build and destroy, and play in whichever ways they choose without unnecessary adult interference but alongside supportive playworkers.To find out more, visit their website: https://make-do-play.weebly.com/O﻿PEN TENT:S﻿oft Play and Ball PitActivities:2﻿:30 - 4:30: Blink Dance Theatre workshop. BLINK are a neurodiverse group of four artists who perform and facilitate together and they’re coming to The Together Space to run an interactive multi-sensory workshop. This workshop will run throughout the event:SPACE ODDITYLoud / Shiny / MysteriousOur most popular workshop remixed; SPACE ODDITY combines all the sensory space favourites (glowing moons, astronaut dress up and ambient astral soundscapes) with a climate change twist.Participants follow David Bowie’s Ziggy Stardust in his mission to save earth from destructive humans. Expect bold rebellion as participants are lead by Ziggy’s band the Spiders from Mars in a quest that will thrill intensive interaction fans. The workshop ends with a visit from the visually arresting Starman; he offers his dazzling light to all but will it be enough to save the day?3﻿:30 - 4:30: Double Bass Dan. After the huge success of his previous performance at The Together Space, Dan is back! CaféWhilst your children are doing these activities, you can sip on a hot drink and munch a pastry from local café Haven Coffee who will be popping up. Pastries made by Today Bread. If your child needs more time to get used to the space and/or would benefit from arriving before others, please feel free to come a bit before the stated start time. We look forward to welcoming you at The Together Space soon! LoveAlexwww.thetogetherspace.co.uk"
https://www.eventbrite.co.uk/e/twc-x-cyd-connects-conscious-female-leaders-network-tickets-669348367987?aff=ebdssbdestsearch,"Michelle de Klerk, Founder of The Women's Chapter",https://www.eventbrite.co.uk/o/michelle-de-klerk-founder-of-the-womens-chapter-8080177063,"Join us for curated connections and insight at the Soho Works Conscious Female Leaders event. Led by  Aisling Connaughton, Co-founder of the women-led sustainability consultancy Cyd Connects ,and Michelle de Klerk, Founder of The Women's Chapter, this breakfast gathering will be all about lifting and supporting the amazing women around us. We will discuss how we harness the power of our feminine energy and use it as a force for good, and how female leadership is key to a sustainable future. We will also be hearing from two women, both experts in their fields, on the top tips they have for business growth.Come and connect with fellow members and work with us to build a support network of strong female leaders. This event is complimentary but places are limited."
https://www.eventbrite.co.uk/e/being-a-trustee-in-an-age-of-perma-crisis-tickets-653786702627?aff=ebdssbdestsearch,New Philanthropy Capital,https://www.eventbrite.co.uk/o/new-philanthropy-capital-579126707,"About this eventPlease join us on 19 July for a trustee networking event and the launch of our latest governance guide, Being a Trustee in an Age of Perma-Crisis.   

At the event you will hear about NPC’s latest governance guide, which has been generously funded by The Clothworkers’ Company. The guide collates key ideas and information for trustees to navigate constant change and uncertainty, from the impact of Brexit and Covid-19 to the ongoing challenges of climate change. It offers insight into topics such as how to keep focused on your mission, how to adapt in fast moving situations, how to draw on the right information to make decisions, how to blend lived experience with learnt expertise and data, and how to think about your mission in the context of the wider system. 

We are grateful to PwC who are hosting this networking event.  The event will provide the opportunity for trustees of charities of all sizes to connect with colleagues across the sector.  Date: 19th July  Time: 6:00 – 8:00 PM  Venue: PwC, 1 Embankment Place, London, WC2N 6RH AccessibilityWe are actively working to improve the accessibility of our online and in-person events. As part of our commitment, for all online events we use live closed captions and upload the recordings to YouTube which has the capability to select subtitles. For in-person events we strive to use accessible venues. If you have any additional accessibility requirements that we can assist with, please email us at Events@thinkNPC.org."
https://www.eventbrite.co.uk/e/food-for-thought-tickets-640019604867?aff=ebdssbdestsearch,The Ǝncore Theatre Company,https://www.eventbrite.co.uk/o/the-ncore-theatre-company-16677599676,"Food was our starting point. Food is a necessity. Food is a function. Food is a love language. Food is life.Food contributes to your health. Food contributes to your mood. Food contributes to Climate Change. The list is endless.Food is many things, in many ways. Food contributes to many things, in many ways. Everyone needs food. Encore created Food for Thought to creatively explore food, while highlighting the current foodbank crisis in our communities. Designed to be thought provoking, informative and entertaining; expect comedy, drama, dance and song suitable for everyone at any age. It is widely reported that our foodbanks are struggling to meet the record demand they are experiencing. It is for that reason we ask you to bring an item to donate. All donations will be received by the Norwood & Brixton Foodbank. They are in particular need of the following items: Long life UHT MilkTinned fish like tuna, mackerelTinned/Cartons UHT custardTinned Rice puddingTinned pulsesSmall packets BiscuitsSavoury biscuits like crackers.Tinned potatoes or instant mash.If you are bringing something, please make sure it has a reasonable shelf life. We hope you, like us, feel empowered, excited and eager to exercise change.  Let’s create communities we are proud to live in. Lucy Lucy Scammell, DirectorOur venue is the  ‘Barn’ at the Brockwell Park Community Greenhouses. You can get to the venue from any of the Brockwell Park entrances  where you will find park maps. If you can’t find us, give us a call on 07973 308328 and will guide you in."
https://www.eventbrite.co.uk/e/a-nature-positive-future-tickets-646959331777?aff=ebdssbdestsearch,Arup and  WRc presents Wet Networks,https://www.eventbrite.co.uk/o/arup-and-wrc-presents-wet-networks-12683418764,"Now in its sixteenth year, Wet Networks showcases new ideas and technology to help transform the way we manage water.  Join us on 13th July  2023 at our next Wet Networks event, in person at Arup, London or virtually.  The theme will be  A Nature-Positive Future.5.00 pm – 8.30 pm with refreshmentsArup, 8 Fitzroy Street, London, W1T 4BQArup and WRc are proud to stage the Wet Networks series of event, supporting new collaborations to enable a broader innovation ecosystem. For more information on Wet Networks, please contact Joanna Britton (joanna.britton@arup.com) or to catch up with previous Wet Networks conversations.Agenda 5:00 pm	   Introduction to Wet Networks 5:05 pm	   Chair’s Introduction 5:15 pm	   Keynote presentation 5:30 pm	   Innovation presentations 6:30 pm	   Charity presentation6:40 pm		Chair’s close6:50 pm		Networking / Refreshment's 8:30 pm		Event closeGuest Chair – Carmen SnowdonCarmen Snowdon, a Chartered Environmentalist, is the Water Research Centre’s Director of Commercial Services, and formerly a Principal Consultant in Demand Management. With eighteen years’ experience at WRc Carmen is passionate about the water sector and delivering positive environmental outcomes through all the work she herself delivers and supports others in delivering. She is very active within a number of industry bodies, including as a fellow of the Institute of Water, and as a member of the Efficient Urban Water Management committee for the International Water Association.K﻿eynote speaker:D﻿ani Jordan - People and Nature Dani has worked for over 15 years at the nexus of social science and nature. Now the Behavioural Science Lead at WWF, Dani’s team uses behavioural and social science with deep audience research to understand, influence and enable individuals to create positive change for nature and climate – through their own behaviours, as community members, and as active and engaged citizens. Much of Dani’s career has had a water focus, from policy to programme management, specifically on protecting and restoring UK rivers with WWF.  Most recently Dani has set up Sewersmart, a small NGO taking a collaborative, solutions-focused approach to achieving a sewerage network fit for people and the environment.WWF is the world’s leading independent conservation organisation. Our mission is to create a world where people and wildlife can thrive together. To achieve our mission, we're finding ways to help transform the future for the world’s wildlife, rivers, forests, and seas; pushing for a reduction in carbon emissions that will avoid catastrophic climate change; and pressing for measures to help people live sustainably, within the means of our one planet. We’re acting now to make this happen.Innovation presenters:T﻿om Godfrey - Wholescape Innovation: Improving the quality of Water by building high value ecosystems As managing Director of Earth Change, Tom has operated at CEO/Board levels for the last 22 years. He has spent his career marketing, selling, and delivering new, purpose-driven concepts and programmes to different local marketplaces on a global basis, that involve public, private and third sectors delivering commercial and community benefit to all.  Earth Change, part of the Land and Water Group, are pioneering an innovative habitat restoration approach that we call Sustainable Self-Financing Enhanced Habitat Creation which optimises the natural capital of old problem land. We partner with the landowner to realise more revenue from their land over 50-80 years with little or no investment on their part. Gregg Brill - NBS Benefits Explorer toolGregg is a Senior Researcher with the Pacific Institute and Technical Lead for the United Nations Global Compact CEO Water Mandate. His current work focuses on developing and scaling the private sector's awareness and investment in nature-based solutions (NBS). This work includes developing and implementing a standardized method, guide, and tool to demonstrate stacked water, carbon, biodiversity, and socio-economic benefits associated with NBS for watersheds worldwide. His technical support stretches across water resilience, net positive water impact, water access, sanitation, and hygiene (WASH), and target setting. Gregg has 15 years of experience in corporate sustainability, ecological infrastructure/nature-based solutions, conservation, economic water resilience, and stakeholder engagement. He has worked in the public and private sectors, for NGOs, and in academia. Andrew Brown - Managing surface water runoff for multiple outcomes Andrew Brown is a Director of HR Wallingford Ltd with responsibility for the company’s water and flood management business and has over 27 years of experience in the hydraulic modelling and software sectors of the civil and environmental industries. Andrew has experience of technical delivery and management of a wide variety of global projects including wastewater collection system analysis, urban drainage design, river engineering and modelling, flood inundation and mapping, flood forecasting and warning, sustainable drainage and surface water flood risk management systems, water supply and coastal hydraulic engineering. Drawing on our unique capabilities in science, technology, and engineering, we invest in knowledge to deliver insight and innovation. We harness research, intelligent data, and the power of our collective expertise to design smarter, more resilient solutions to address future challenges and opportunities in, on and near water. As independent experts, we aspire to being the global leaders in how to live and work sustainably with water. Charity presentation:M﻿inni Jain - Water Positive globally- with Communities locally For over 25 years Minni Jain has been working with communities to regenerate their landscapes and lives. She is the Operations Director of The Flow Partnership, working on community-led management of droughts and floods across Africa, India and Europe. To share and make available this community knowledge and their simple, successful, low-cost, methods of landscape water resilience, Minni is working on a strategy with communities that combines Water literacy and Water retention implementation simultaneously. The Flow Partnership, a UK based NGO, works with global partners to rejuvenate landscapes and counter the increasing threat of floods, droughts, soil erosion, habitat loss at their source. They provide a crucial link between communities, government, business, scientists and landowners, empowering local communities to implement simple, low-cost landscape measures as part of an informed, holistic, catchment-based strategy"
https://www.eventbrite.co.uk/e/wens-summer-gathering-how-does-your-future-garden-grow-tickets-670671064207?aff=ebdssbdestsearch,Wen (The Women's Environmental Network),https://www.eventbrite.co.uk/o/wen-the-womens-environmental-network-8592612174,"Wen is pleased to invite you to the Summer Gathering of the Tower Hamlets Food Growers 2023.H﻿ow does your future garden grow?Come and hear local food growers share ideas on how we can grow well with the climate changing: the extreme heat, lack of water, then too much water and cold! How to future-proof our gardens in all sorts of ways. This is a fun, family-friendly event with stalls selling plants and local produce, talks, workshops, garden tours and a delicious free lunch.StallsTalksFree lunchGardener’s Question TimeGarden tourAre you from a Tower Hamlets Community Garden? What would you like to see or offer at the next gathering? Share your ideas: julie@wen.org.uk"
https://www.eventbrite.co.uk/e/venture-capital-panel-discussion-exploring-startup-fundraising-tickets-665218465337?aff=ebdssbdestsearch,Entrepreneurs Collective,https://www.eventbrite.co.uk/o/entrepreneurs-collective-26163087533,"Join Entrepreneurs Collective for an impactful afternoon panel discussion with prominent global venture capital investors, exploring the dynamic world of startup fundraising. Gain invaluable insights into the evolving landscape and discover strategies and trends shaping the industry.Our panel of investors will share expertise and offer invaluable advice for startup founders seeking funding opportunities. Engage in thought-provoking conversations to understand the current fundraising climate.Key Talking Points:Fundraising Strategies: Discover effective techniques for attracting venture capital investment and capturing investors' attention.Investor Perspectives: Gain a deeper understanding of the investor's mindset, criteria, and decision-making processes.Challenges and Solutions: Overcome common fundraising challenges and learn how to navigate due diligence and valuation negotiations.Don't miss this unique chance to learn from investors, gain insider knowledge, and network opportunities. Whether you're a startup founder or an aspiring entrepreneur, reserve your spot now for this must-attend event. Join us for an afternoon of invaluable insights and networking opportunities."
https://www.eventbrite.com/e/upcycling-at-girdlestone-community-centre-with-archway-upcycling-group-tickets-630188259047?aff=ebdssbdestsearch,Archway Upcycle Group,https://www.eventbrite.com/o/archway-upcycle-group-65355970613,
https://www.eventbrite.co.uk/e/careers-fair-tickets-595729853027?aff=ebdssbdestsearch,The Geological Society London,https://www.eventbrite.co.uk/o/the-geological-society-london-18746134768,"A hybrid careers fair providing the opportunity for geoscience students to find out the latest career developments, meet industry experts and discover all of the varied opportunities in geoscience.The society is producing a dynamic programme, including presentations covering the different areas of geology and academia with experts. There will also be an opportunity to meet industry professionals and sponsors for interview, CV and networking advice.This is a hybrid event, students can watch the live stream of talks remotely, or they can come along in person to Burlington House, to meet sponsors and speakers in person. Registration is FREE. However pre- booking is essential due to numbers being limited. Delegates will receive a student manual and timetable, in person delegates will receive lunch and refreshments.Careers Fair Timetable						M﻿ain doors open/ registration	  9.45Networking & Drinks 			10:00Welcome Address with the Geological Society President Ruth Allington			10:30Session 1: Energy Transition (to include Energy, Mining Commodities & Exploration, Decarbonisation)			10:45						Break (including networking)			11:30Interview Skills			12:00Session 2: Digital Geoscience (to include geophysics, remote sensing, geoscience data)			12:15						The Geological Society Resources -The possibilities with Lyell 			12:45Lunch & networking plus exhibition			13:00Session 3: Climate & Ecology (including climate & environmental, palaeo)			14:00						An Introduction to The Geological Society Membership and Chartership 			14:45Session 4: Planetary (including space & astro)			15:00Break (including networking)			15:30Session 5: Geohazards, Geoengineering & Georesilience (to include hydro, engineering, contaminated land if not in climate)			16:00						Closing words			16:45Networking Reception around building 			17:00			EVENT ENDS			18:00"
https://www.eventbrite.co.uk/e/woking-environment-action-special-general-meeting-tickets-652394578747?aff=ebdssbdestsearch,Woking Environment Action (WEAct),https://www.eventbrite.co.uk/o/woking-environment-action-weact-34290540225,"WEAct is hosting a Special General Meeting, to approve our new constitution as we move to becoming a Charitable Incorporated Organisation (CIO). As well as taking a vote on our new governance arrangement, we'll also be joined by two guest speakers.Clement Metivier, climate and biodiversity policy expert, will talk about what happened during the biodiversity negotiations at COP15 in 2022what the new Global Biodiversity Framework is, and why it matters for life on Earth here and now.We will also hear from Julia Moreno Rosino, data and policy expert with C40 Cities, about how local authorities around the world are taking urgent action to tackle the climate crisis.The event will highlight how biodiversity loss and climate change impact towns like Woking, and how local residents and decision-makers could better address the nature and climate crises."
