event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/nick-fuller-googins-presents-the-great-transition-with-gina-chung-tickets-659268378467?aff=ebdssbdestsearch,P&T Knitwear,https://www.eventbrite.com/o/pampt-knitwear-41790821233,"P&T Knitwear is pleased to welcome Nick Fuller Googins for a discussion of his debut novel, The Great Transition​​​​​​​, along with an audience Q&A and book signing. For fans of Station Eleven and The Ministry for the Future, this richly imaginative, immersive, and “profound” (Alice Elliott Dark, author of Fellowship Point) novel is the electrifying story of a family in crisis that unfolds against the backdrop of our near future.Nick will be joined in conversation by Gina Chung, author of Sea Change and a 2021–2022 Center for Fiction/Susan Kamil Emerging Writer Fellow. After the talk, Nick will sign copies of his book.RESERVE YOUR SIGNED COPY OF THE GREAT TRANSITIONAVAILABLE TO SHIP MOST PLACESP﻿RAISE FOR THE GREAT TRANSITION“Hopeful, bold, imaginative, and heartbreaking, The Great Transition lucidly shows the incredible capacity of utopian thinking to inspire and change lives, while addressing the devastating costs of climate inaction. I can’t stop thinking about this visionary novel and its singular characters. Nick Fuller Googins has written a book for the present and the future — read this and you will be changed.” — Michelle Min Sterling, New York Times bestselling author of Camp Zero“A magnificent debut novel that’s both an important cautionary tale and a deeply compelling family story. Although set in a stunningly well-imagined future in the aftermath of a climate apocalypse, The Great Transition is electrifyingly relevant.” — William Kent Krueger, New York Times bestselling author of This Tender Land“[The Great Transition] melds the huge and the intimate, the imperatives of our global climate crisis with the more compact narrative of a family trying to do right by one another when the world goes sideways. Fuller-Googins stares down some of today's biggest societal issues with abundant imagination and endless empathy.” — Emily Nemens, author of The Cactus League“Nick Fuller Googins demonstrates exactly the kind of clear-eyed utopian thinking we’ll need more of as we work together to solve our climate crisis, wrapping a call to action, accountability, and mutual aid in a story that’s as thrilling as it is moving. Every worthwhile novel sets out to change its reader—this one sets out to change the world. I hope it does.” — Matt Bell, author of Appleseed“The Great Transition asks what it means to start over — as a society and as individuals — and then answers with visionary scope. Offering readers thrilling glimpses into utopic possibilities born from collective mobilization, as well as an unflinching assessment of our climate crisis, Nick Fuller Googins brilliantly renders the personal political and the political personal.” — Allegra Hyde, author of EleutheriaRESERVE YOUR SIGNED COPY OF THE GREAT TRANSITIONAVAILABLE TO SHIP MOST PLACESEmi Vargas, whose parents helped save the world, is tired of being told how lucky she is to have been born after the climate crisis. But following the public assassination of a dozen climate criminals, Emi’s mother, Kristina, disappears as a possible suspect, and Emi’s illusions of utopia are shattered. A determined Emi and her father, Larch, journey from their home in Nuuk, Greenland to New York City, now a lightly populated storm-surge outpost built from the ruins of the former metropolis. But they aren’t the only ones looking for Kristina.Thirty years earlier, Larch first came to New York with a team of volunteers to save the city from rising waters and torrential storms. Kristina was on the frontlines of a different battle, fighting massive wildfires that ravaged the western United States. They became part of a movement that changed the world­—The Great Transition—forging a new society and finding each other in process.Alternating between Emi’s desperate search for her mother and a meticulously rendered, heart-stopping account of her parents’ experiences during The Great Transition, this novel beautifully shows how our actions today determine our fate tomorrow. A triumphant debut, The Great Transition is a breathtaking rendering of our near future, told through the story of one family trying to protect each other and the place we all call home.This is a free in-store event with limited amphitheater-style seatingWe encourage all guests to wear masks.The talk will be followed by a book signing. Books signed at P&T Knitwear events must be purchased from P&T Knitwear. If you would like a signed copy and cannot attend the event, we're happy to take your pre-order. We ship most places!ABOUT THE AUTHOR Nick Fuller Googins has published short stories and essays in The Paris Review, the Los Angeles Times, The Southern Review, and elsewhere. He lives in Maine, and works as an elementary school teacher. The Great Transition is his first novel.ABOUT THE MODERATORGina Chung is a Korean American writer. Born in Queens and raised in New Jersey, she is now based in Brooklyn, New York. She is the author of the novel Sea Change (Vintage, March 28, 2023; Picador, April 13, 2023 iin the Commonwealth and in the UK on August 10, 2023), which was a 2023 B&N Discover Pick and a New York Times Most Anticipated Book, and the short story collection Green Frog (Vintage, 2024; out in the UK/Commonwealth from Picador in 2024). A recipient of the Pushcart Prize, she is a 2021-2022 Center for Fiction/Susan Kamil Emerging Writer Fellow and holds an MFA in fiction from The New School's Creative Writing Program and a BA in literary studies from Williams College. Her work appears or is forthcoming in The Kenyon Review, Literary Hub, Catapult, Electric Literature, Gulf Coast, Indiana Review, Idaho Review, The Rumpus, Pleiades, and F(r)iction, among others. Her stories have been recognized by the American Short(er) Fiction Contest, the Black Warrior Review Contest, the Los Angeles Review Literary Awards, the CRAFT Elements Contest, and the Ploughshares Emerging Writer's Contest, as well as named Longform Fiction Pick of the Week."
https://www.eventbrite.com/e/afrobeats-party-cruise-friday-saturday-tickets-627850115597?aff=ebdssbdestsearch,Blue Glove Hospitality,https://www.eventbrite.com/o/blue-glove-hospitality-60462031173,"The Official NYC Spring Edition Friday Night Yacht party Cruise Skyport Marina Jewel YachtAbout this event**** YACHT WILL BE SAILING OUT AT 12:30AM! ****The Official Spring Edition Afrobeats Cruise at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Spring Edition Friday Midnight Yacht party Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets are 20$ ** Limited CapacityWhat You'll GetCustomers can arrive by 11:45 p.m. for check-in with yachtBottle service priority Full name & email for priority reservation seating.The yacht will be sailing. Boarding 11:45pm, Sail 12:30am. The Yacht returns to Marina at 3:30am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!What will be included?ID is a Must. Drinks Bar onboard. 2 Floors of music with a climate-controlled Main Floor & Upper Deck!For more ticket information on NYC Spring Edition Friday Midnight Yacht party Cruise at the Jewel Yacht Cruise email sammy@blueglovehospitality.com.**** YACHT WILL BE SAILING OUT AT 12:30 AM! ****"
https://www.eventbrite.com/e/sat-july-29th-summer-wave-latin-vibes-yacht-party-tickets-654427980707?aff=ebdssbdestsearch,Social Society Group,https://www.eventbrite.com/o/social-society-group-58902016983,"THE SUMMER WAVE LATIN VIBES YACHT PARTYUnleash your inner party beast and set sail with Latin Vibes on the Water for an extraordinary Latin & Reggaeton Sunset Yacht Party on the Cabana Yacht! Lose yourself in the electrifying atmosphere, surrounded by like-minded partygoers, as the music transports you to a world of endless fun and excitement. Get ready for a night you'll never forget!Your Experience Includes:2 levels of climate controlled cabins - Main Floor and Upper DeckHookah available upon requestVIP Bottle Service and Sections Available - Call/Text (929)-333-4651 and/or email thesocialsocietygroup@gmail.com for more informationWaitress Service - order drinks right to your tableFood available for purchaseLive music provided by top DJs all night long - Latin , Reggaeton, & House Music!Large indoor dance floor and indoor seating areasEtiquette:Dress TRENDY & COMFORTABLE No  joggers, sweats, or basketball shorts!Event Information:Location @ CABANA YACHT - 2 Levels Climate Controlled Main Floor + Upper Deck Skyport Marina Cabana Yacht 23rd Street & FDR Drive, New York, NY 10010Boarding: 5:45PM | Returning: 10:00PM21+ w/ Physical ID | Drinks | Hookah Available | Bottle Service | Dinner Menu | Live Music Birthday Celebrations | Anniversary | Graduation | Bachelor/Bachelorette | Holiday Inquiries: Call/Text: (929)-333-4651 | Email: thesocialsocietygroup@gmail.com | Visit: www.SocialSocietyGroup.com"
https://www.eventbrite.com/e/booze-cruise-boat-party-saturday-july-8th-tickets-661460314607?aff=ebdssbdestsearch,Blue Glove Hospitality,https://www.eventbrite.com/o/blue-glove-hospitality-60462031173,"The Official NYC Spring Edition Friday Night Yacht party Cruise Skyport Marina Jewel YachtAbout this event**** YACHT WILL BE SAILING OUT AT 6:00PM! ****The Official Spring Edition Afrobeats Cruise at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Spring Edition Friday Midnight Yacht party Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets are 25$ ** Limited CapacityWhat You'll GetCustomers can arrive by 5:30p.m. for check-in with yachtBottle service priority Full name & email for priority reservation seating.The yacht will be sailing. Boarding 5:30pm, Sail 6:00pm. The Yacht returns to Marina at 9:30pm/10;00pm. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!What will be included?ID is a Must. Drinks Bar onboard. 2 Floors of music with a climate-controlled Main Floor & Upper Deck!For more ticket information on NYC Spring Edition Friday Midnight Yacht party Cruise at the Jewel Yacht Cruise email sammy@blueglovehospitality.com."
https://www.eventbrite.com/e/venezuela-independence-day-boat-party-cruise-reggaeton-on-the-river-tickets-669072262147?aff=ebdssbdestsearch,Bombay Events NY,https://www.eventbrite.com/o/bombay-events-ny-59435646423,"Join us on an unforgettable voyage as we set sail to celebrate Venezuela's Independence Day 🇻🇪🇻🇪🇻🇪 in style!
After nearly 600 sold out concert cruises, iBoatNYC returns in 2023 for Season 4 with over 150 shows featuring top international talent across New York, San Diego, Philadelphia and Chicago.

A summer evening on the Hudson is a visit to the world’s best city in the 2019 Time Out Index. Warm breezes, city views and brilliant sunsets melting into moonlit waves. What a better way to enjoy them with three floors of music, friends & family, food & the Statue of Liberty!

Multiple levels of music with each floor catering to different tastes, playing Salsa, Reggaeton, Cumbia, Vallenato, House Music & More!
Live performance by:
ANONIMA ORCHESTRA
Special guests:
CHAMO NYC
CHAMO
RA J

Hosted by:BOMBAY
Owen Garcia & Once Again
Your Cruise Experience Includes:
Scenic 3-hour cruise of the NYC harbor;
Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;
Waitress Service Available ; Order Drinks directly to your table.
VIP Bottle Service & Sections Available - Call/text Allan (646)-263-4593 and/or email rsvp@iboatnyc.com for the Bottle Services Flyer & Packages.
Open-Air deck and a climate-controlled cabins.
4 levels of music (Outdoor Floor of Music ; Three Indoor Floors of Music).
Live DJs playing all styles of Latin Music, Pop, Top 40, Oldies & more.
Rain? No problem, there are two large indoor dance floors and indoor sitting areas!
Food Available for Purchase.
The purchase of the GROUP VIP Champagne Dinner Tickets guarantees reserved seating (Groups of 10 or more).
Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed). Birthday and Special occasion flyers available as add-ons in the ticket section!
Dedicated Party Photography Services Available (more details in the add-ons ticket section).
VIP Ticket Includes Express Line Entry.
Free Street Parking Available around the Pier (it is relatively easy to find parking). Pier 15 has parking garages for an average of $40.00 per vehicle. Pier 40 also serves as a large parking complex with an average rate of $40.00 per vehicle.
The dress code is Dress to Impress: No hats | No Tims/boots | No joggers | No sweats | No basketball shorts.Dinner Menu Includes:
*VENEZUELAN SPECIALS*

Event Information:
Boarding: 9.30 PM

Departure: 10:30 PM

Return: 1.30 AM

Ends: 2 AM

Rain or Shine

21 & over with proper ID (no pictures of ID accepted)

﻿Did you enjoy your concert cruise experiences? Learn more about our partner Hudson-360.com, one of NYC's premier audio and visual production companies that offers event production & marketing services, audio and visual solutions and can book any artist for your next event."
https://www.eventbrite.com/e/sunset-cruise-white-party-tickets-619512527647?aff=ebdssbdestsearch,Private Rentals (Soffhir-Events),https://www.eventbrite.com/o/private-rentals-soffhir-events-64644907773,"LET'S HAVE AN AMAZING BDAY CELEBRATION ON A YACHT WHILE ENJOYING  THE BEAUTIFUL SKYLINE, AND DANCING HOUSE MUSIC B﻿EATS BY JKRUZCLOSE SETBELLA LOPERA.Free Street Parking Available around the Pier (it is relatively easy to find parking). Skyport Marina also has parking garages for an average of $30.00 per vehicle.P﻿LEASE TAKE IN CONSIDERETION ADDITIONAL TIME FIND PARKING AND WALK TO THE PIER, BOAT DEPARTS AT 1:00 PM ON THE DOTOpen-Air deck and a climate-controlled cabins.Event Information:Location: Skyport Marina, 2430 FDR Dr, New York, NY 10010Boarding:  12:45 PMDeparture: 1:00 PMReturn: 5:00 PMEnds: 5:00 PMRain or Shine21 & over with proper ID (no pictures of ID accepted)Dress to Impress WHITE APPAREL : No hats | No Tims/boots | No joggers | No sweats | No basketball shortsContact us for more information & special reservations: soffhir@gmail.com or call / text Sebastian (929) 639 -2392"
https://www.eventbrite.com/e/informational-session-on-disadvantaged-communities-tickets-668485156097?aff=ebdssbdestsearch,Queens Solid Waste Advisory Board,https://www.eventbrite.com/o/queens-solid-waste-advisory-board-28553262453,Queens Solid Waste Advisory Board is hosting an informational session with a panel of experts and environmental justice advocates on the Department of Environmental Conservation's mapping of disadvantaged communities. We will address the impact and implications this can have on the Queens communities adversely affected by the climate crisis.
https://www.eventbrite.com/e/soca-vs-reggae-labor-day-weekend-yacht-party-tickets-557956782757?aff=ebdssbdestsearch,Capital Events Marketing Group,https://www.eventbrite.com/o/capital-events-marketing-group-9769672320,"**** YACHT WILL BE SAILING OUT AT 6:30PM! ****The Official  Soca Vs Reggae ®Cruise Summer  Yacht party at Skyport Marina Cabana Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Soca Vs Reggae  Sunset Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Tickets Are on Sale nowWhat You'll GetCustomers can arrive by 10:45 p.m. for check-in with yachtBottle service AvailableThe yacht will be sailing. Boarding 10:45pm, Sail 11:30pm. The Yacht returns to Marina at 3:00am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Temperature readings upon entry so we can create a safe haven for our attendees!For more ticket information on   Reggae Vs Soca Party Cabana Yacht Cruise call/ or text 646-623-6619**** YACHT WILL BE SAILING OUT AT 11:30PM! ****"
https://www.eventbrite.com/e/nyc-1-booze-cruise-boat-party-mega-yacht-infinity-tickets-549626115507?aff=ebdssbdestsearch,iBoatNYC,https://www.eventbrite.com/o/iboatnyc-12316350145,"Set Sail for the Ultimate Weekend Party on the most luxurious yacht in New York City & enjoy iconic views of the Skyline, Statue of Liberty and Brooklyn Bridge!  Enjoy Live Music, Delicious Food and meet new friends! You can  sip on drinks at our fully stocked bars or order waitress service right to your table!Your Infinity Experience includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Waitress Service Available ; Order Drinks directly to your table.VIP Bottle Service & Sections Available - Call/text Allan (646)-263-4593 and/or email rsvp@iboatnyc.com for the Bottle Services Flyer & Packages.Open-Air deck and a climate-controlled cabins;4 levels of music (Outdoor Floor of Music ;  3 Indoor Floors of Music)Live DJs playing all styles of music ;Rain? No problem, there are two large  indoor dance floors and indoor sitting areas! Food Available for Purchase.Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed)VIP Ticket Includes Express Line Entry (and access to a VIP area if a VIP area is designated on a certain cruise)Free Street Parking Available around the Pier (it is relatively easy to find parking).  Pier 15 has parking garages for an average of $40.00 per vehicle. Pier 40 also serves as a large parking complex with an average rate of $40.00 per vehicle.The dress code is Dress to Impress: No hats | No Tims/boots | No joggers | No sweats | No basketball shortsContact us for special reservations: rsvp@iboatnyc.com or call / text  Allan  (646) 263 -4593Dinner Menu Includes:""Wendy Style"" Fish n' Chips[ Fried Fish, Oven Roasted Potatoes, Sauteed String Beans & Baby Carrots]Wendy’s Famous Jerk Chicken[ Jamaican Jerk Chicken, Pasta Salad, Fried Plantains, Rice & Beans ]Italian Stallion Baked Ziti[ Baked Ziti, Oven Roasted Potatoes, Mixed Green Salad ]The Loaded Mediterranean Falafel Bowl[ Authentic Palestinian Falafels, Sauteed String Beans & Baby Carrots, Rice & Beans,  Mixed Green Salad ]Mix & Match + add more to your plate (at no extra cost) Buffet Style! - Wild Wild West Buffalo Wings- Blast to the Past Chicken Nuggets- All American Mac n Cheese- Deli Pasta Salad- Empanadas (Beef, Chicken, & Cheese)And our Famous Crust Nation Pizza powered by Tabel 87 	  Food Options may vary based on availablity.Event Information:Location: PIER 40, INFINITY YACHTEverything about the Hornblower Infinity is impressive. This isn’t just a yacht, it’s a first-class venue, with the added bonus of being on the water. And you can experience incredible views from all four decks. Boarding: 9:30 PMDeparture: 10:30 PMReturn: 1:30 AMEnds: 2:00 AMRain or Shine21 & over with a physical ID (no photos of ID accepted)Did you enjoy your concert cruise experiences? Learn more about our partner Hudson-360.com, one of NYC's premier audio and visual production companies that offers event production & marketing services, audio and visual solutions and can book any artist for your next event."
https://www.eventbrite.com/e/harlem-evenings-comedy-show-tickets-662123789077?aff=ebdssbdestsearch,Rashad Bashir,https://www.eventbrite.com/o/rashad-bashir-17135422156,"This is it! Live Stand Up Comedy has returned uptown! We all need a laugh in this toxic climate. And what better place to do it than Harlem Nights Bar. It’s a 1 food and drink minimum per guest during the show. No vaccination card required to enter the venue. Also, please arrive 30 minutes early for seating. It is a free show, so seats fill up fast!Leave your problems outside. Come ready to laugh and have a good time! We have comedians seen on Comedy Central, AGT, Netflix, Hulu, Amazon Prime, TruTV, VH1, Tubi, Showtime and HBO.  We have a DJ spinning after the show so stay for the after party!There will be a tip bucket passed around during the show. If you don’t have cash, all donations can be sent to CashApp: $rashad417 or Venmo: @rashad417. See you at the show!"
