event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/washington-midsummer-renaissance-faire-2023-camping-packages-tickets-433154896957?aff=ebdssbdestsearch,Washington Renaissance Arts & Education Society,https://www.eventbrite.com/o/washington-renaissance-arts-amp-education-society-12357670376,"A Whole Weekend of Fun for the Whole Family!WMRF offers a unique experience not found at many festivals – the opportunity to camp with us! Her Majesty, Queen Elizabeth, I invites you to stay in the Merriwick Meadows and spend the entire weekend galivanting through Faire, meeting new friends, and making unforgettable memories! We have evening entertainment on both Friday & Saturday nights so you can fully enjoy the festivities without worrying about getting home or drinking & driving. A few important things to remember: 1.	Camping tickets are all-inclusive (minus the pub crawl). What does this mean? It means you get entrance to the Faire Saturday & Sunday, entrance to both the Friday night & Saturday night events, and camping space (Friday – Sunday). 2.	Camping tickets are *date specific* and *capped* at a certain number. We are working hard this season to avoid over-crowding. We want everyone to have a great experience.3﻿.  Friday evening entertainment is for 21+ only. Saturday entertainment is available for all ages.4﻿. If you are camping with a group, let the Camping Staff know when you check in, and they will do their best to accommodate your larger group to camp all together. F﻿AQ1﻿. Do I need a reservation? Our Camping Packages are all-inclusive for a weekend of fun and excitement at the Faire. Camping Packages should be bought in advance. Tickets are NOT available for purchase at the Faire. Camping packages are date-specific so choose your weekend!2. Can I park near my camp? You may park your vehicle in your camping area as long as it is not in the ‘fire lane’ and it is not impeding other's ability to camp. You may drive to the main site and park closer if desired.3. What are the ""Quiet Hours""?  Quiet hours start at 10:00 pm, so we ask that you speak in whispers and silence all things that make noise.This includes generators, drumming, loud music, and loud parties.4. What facilities are available? Our camping area is a large field and very primitive. There are no plug-ins, but it’s ok to use a generator during the daylight hours (6am – 10pm). We have porta-potties and a dumpster for your use. Please remember to pack out your supplies/equipment and garbage.5. Where and when can I check-in? Check-in for camping is on Friday from noon until midnight each Friday before the Faire weekends. Check-out is after the Faire on Sunday evening by 8pm. Once you check in on Friday, each family member will receive a bracelet which allows entry into the camping area and into the Faire site during the weekend and after hours. Please ask your family to wear them all weekend. They are waterproof, so it’s okay to shower/bathe in them. If you would like to check-in for camping on Saturday, please go to the Towne Gate (on the Main Faire site) and the Towne Gate staff will contact camping staff for help finding your camping space.If you are camping with a group, let the Camping Staff know when you check in, and they will do their best to accommodate your larger group to camp all together. ***NOTE*** If you have a bracelet, go right to the town gate for entrance on Saturday or Sunday. You don’t need to wait in the lines.6. Can I have a camp fire? What can I cook on? Open fires are not allowed on our site, per the Pierce County Fire Marshal. This includes, but is not limited to, wood & charcoal braziers, fire pits, tiki torches, open candles or any other source of open flame. We do allow propane stoves and propane BBQ's for cooking and propane firepits. These items must have a shut-off valve. Candles are allowed only in enclosed lanterns.Please make sure if you choose to use one of the above approved methods, that you also have a fire extinguisher at your camp."
https://www.eventbrite.com/e/rock-the-boat-presents-clint-black-at-boxcar-park-tickets-609755092897?aff=ebdssbdestsearch,Cruzin To Colby,https://www.eventbrite.com/o/cruzin-to-colby-63942132543,"Come enjoy a great night of music with Clint Black, Santa Poco and Iris Drive. Doors open at 4:30 PM with a DJ set, Iris Drive will kick things off at 5:15, followed by Santa Poco at 6:30PM and Clint Black at 8:00 PM. We will have local food vendors, a beer garden serving beer,ciders,wine and cocktails."
https://www.eventbrite.com/e/re-evolution-festival-music-camping-tickets-588576767957?aff=ebdssbdestsearch,Re-Evolution Festival,https://www.eventbrite.com/o/re-evolution-festival-62579570913,"The Re/Evolution continues at the beautiful Darrington Music Park in Darrington, WAAugust 4-6, 2023 - With a special Thursday early entry pass available.Comfortable camping among grassy meadows, evergreen forest, and slow winding river at the base of snowcapped Whitehorse Mountain.Located in the incredible city of Darrington, WA - Re/Evolution will be an event for the ages...Venue Address: Darrington Bluegrass Music Park42501 Ste Rte 530Darrington, WA 98241Camping, Music, Speakers, Workshops, and  more! Camping and General Parking are included with ticket price.A  3-day transformational experience! www.reevolutionfestival.comArtists featured are:  Markus Schulz, Oliver Smith, Kyau & Albert, Luttrell, Genix, Nox Vaughn, Bexxie, Holly Bowling, Yak Attack, Indubious, Nico Luminous, The Itals, Cytrus (x2), Indubious, High Step Society, Cappy Franti, VOLO, Cedric Swan, Spunj, and Family Mystic.Rain or Shine.. Artists subject to change without notice.. No Refunds... No Dogs.. No Glass...A﻿ll Ages... Children 12 and under free..."
https://www.eventbrite.com/e/seattle-tech-career-fair-exclusive-tech-hiring-event-tickets-146585255445?aff=ebdssbdestsearch,Tech Career Fair,https://www.eventbrite.com/o/tech-career-fair-12448110053,"Tech Career FairWe will be hosting a Tech Career Fair with our hiring partners from fast growing startups and Fortune 500 companies in technology.  There will be a focus on helping companies achieve their diversity and inclusivity initiative with more diverse candidates to their talent pool. Available roles that our hiring companies are looking to fill are of the following:Software EngineeringProduct ManagementData ScientistAI/Machine Learning EngineerData AnalystUI/UX DesignMarketingSalesTo make sure your profile is visible and accessible to hiring partners and companies in their system please make sure you complete your profile and upload your resume to the platform.Steps:Complete the Sign-up form here or the link below and upload your resume to the system to get your QR code/candidate profile link: https://careerscrossroad.com/signup?code=SeattleTCFImprove your profile while you are waiting for your profile to be approved * Completed and approved profiles will then be visible to different companies for each career fair where companies will then select who to send the invitation to attend their career fair with the next steps.Follow the instructions in your email invitation from the employers and attend the career fair with your QR code/digital profile link with the hiring companies that you have been assigned to.*Note: This is an ""invite-only"" event due to limited space and high demand. Signing up on Eventbrite alone does not give you access to the event. You would still need to apply with the steps above for a potential invitation.  Only shortlisted candidates will then be notified for  the next steps on how  to attend. Please make sure you complete your profile as completely as you can and upload your resume to the platform for approval(If  the reviewer feels your profile is incomplete, they might not approve it in order to maintain the quality of candidates being presented to  the companies). Approval process timeline varies depending on  the backlog. Once approved, your profile will be visible and accessible to hiring partners and companies  on the platform. To increase your chances to be selected by one of our hiring companies and partners to one of the hiring events, it is recommended that you constantly refine and improve your profile.Employers:To reserve your spot signup here to get your company or get your company on the waitlist here for the next event and we will reach out to you with more info if we can slot you in."
https://www.eventbrite.com/e/blastfest-tickets-586320970807?aff=ebdssbdestsearch,BLAST Music Festival,https://www.eventbrite.com/o/blast-music-festival-62494006123,"T﻿he high-energy rhythms of Africa are coming to Seattle, Washington. BLASTFEST is the brand new Afrobeats festival hitting The Seattle Center on July 29, 2023. Featuring a lineup of top-tier performers such as Asake, Tiwa Savage, Ayra Starr, Focalistic and more, BLASTFEST promises to be an unforgettable celebration of African music and culture.From the moment you step onto the festival grounds, you'll be immersed in a world of color, energy and excitement. Feast on delicious cuisine from local food trucks, shop for unique crafts and fashion from vendors, and dance the night away to the infectious drums of Afrobeats music.Located at the iconic Seattle Center, BLASTFEST offers a stunning backdrop of the city's skyline and Space Needle. Join us for a day of non-stop entertainment, cultural exchange, and celebration of Afrobeats music and culture. Don't miss out on this first-of-its-kind event - get your tickets to BLASTFEST now! L﻿et's go to the moon."
https://www.eventbrite.ca/e/2023-canadian-open-data-summit-cods23-tickets-663297610007?aff=ebdssbdestsearch,Canadian Open Data Society,https://www.eventbrite.ca/o/canadian-open-data-society-31621182611,"Now is the perfect time to start planning your getaway to Victoria on November 23 and 24, and prepare for a memorable event. Here is what we have in store for you when you attend in person:The chance to discover the charm of Victoria, a true one-of-a-kindland on the Pacific coast.2 full days of dynamic speakers and hands-on workshops (without time difference!) on compelling themes:Open Data, Digital Futures and AI: Data is often at the center of digital service transformation. Discussions around open data and AI bring exciting opportunities, along with unanswered questions. How can we leverage data as part of our digital future? How do we regulate the use of data in emerging technology? Who is responsible for the risks and rewards of using artificial intelligence? Did anyone say ChatGPT?Actionable Data for Equity, Inclusion, Diversity and Anti-Racism: We know, across Canada, there is much work to be done to break down barriers, become more equitable, and to eliminate racism—people are asking for systemic change in our justice, healthcare and education systems. Data is key in identifying where these barriers exist, and ways to eliminate them. How can we better use data to support this important work? How do we assure the public their data is safe and being used in the right ways?Open Energy: As climate change and political tensions bring more awareness to the importance of energy in our daily lives, many organizations are advocating for greater access to energy data. How can we contribute to the rise of open energy? Together we’ll discuss solutions to improve access and use of energy data – for efficiency, economic stimulation, policy development, and to change the world!Your professional development for the benefit of your organisation;As many meetings as you can fit into your schedule, plus mixers and socials to help make sure you get connected with the right people;For the foodies, also included are: 2 breakfasts, 2 lunches, 1 dinner, snacks; and let's not forget coffee, tea and other drinks.Be sure to reserve your place today to take advantage of the early bird rate, as this is a limited-time offer. Visit the event website to discover all the options to participate in #CODS23!Need a helping hand in the art of persuasion?You don't know how to approach your manager and it's the last step separating you from an enriched experience and a practically infinite source of knowledge? Don't worry, we've got you covered! We prepared a letter for you, so all you have to do is personalise it, send it and voilà![ Help me convince my boss ]"
https://www.eventbrite.ca/e/preserve-the-bounty-3-part-food-preservation-series-tickets-462405044937?aff=ebdssbdestsearch,Compost Education Centre,https://www.eventbrite.ca/o/compost-education-centre-3022484318,"Join us for a series that explores 3 key ways to preserve food!Whether you are brand new to food preservation or have experimented with some of these methods of food preservation, you'll get the complete accurate and safe run down from PreserveSafe Trained teacher Kayla on how to dehydrate, ferment and hot water bath can your favourite seasonal vegetables and fruits.This series features three 2-hour long workshops between September and October, with samples of dried, fermented and canned goods, demonstrations and hands on activities preparing foods for preservation, and you'll even get to take home some sauerkraut to ferment in your kitchen! T﻿icket cost includes a $15 materials fee. Series Outline:Preserve the Bounty #1: Dehydrating - September 9 (1:00PM-3:00PM Pacific Time)Summary: In this first of a 3 part series, come learn the science and the practicalities behind food dehydration in a solar dryer and in an electric dehydrator. Workshop Description: Come learn the basics of how to preserve the autumn abundance by solar and electric dehydration! We’ll cover food preservation basics, then launch into the science of dehydration. We’ll inspect and experience the Compost Education Centre’s Solar food dehydrators (an Appalachian solar dryer and a portable food dryer in action). You can borrow the food dryer from the CEC for free! Preserving foods is not only a delicious way to taste summer in the dark rainy days of winter, but it is also an act of sustainability and creates more security in the food system.Preserve the Bounty #2: Fermented vegetables - September 16 (1:00PM-3:00PM Pacific Time)Summary: In this second of a 3-part series, come learn the practical steps involved in preserving vegetables using fermentingWorkshop Description: The most delicious food preservation method of all – fermenting! Come learn the basics of fermenting vegetables. We’ll cover the basic science of fermenting, and how by harvesting yeasts and bacteria’s we can make healthy nutritious foods that will support gut health! Together we’ll make a simple sauerkraut for you to take home. Kayla will also do a demo of preparing fermented salsa, and we’ll even get to taste some delicious, prepared ferments.  Bring to this workshop a 500mL wide mouth jar with lid for you to take home your sauerkraut in. Preserve the Bounty #3: Hot Water Bath Canning - October 21 (1:00PM-3:00PM Pacific Time)Summary: In this third of a 3-part series, come learn the safe steps to successfully make home canned goods using the hot water bath method.Workshop Description: Ever wonder what to do with all those tomatoes? How about the epic number of beets your neighbor just gifted you? Or just want to Do-It-Yourself and make your own berry jam to enjoy in the dark days of winter? In this workshop we will talk about the basics of safe produce preservation using the hot water bath method of preservation. You’ll get to taste some yummy home canned goodies, and we’ll make a batch of home canned jam together. You will come away with a knowledge needed to can the season’s abundance safely and have a list of resources to consult for further learning._______________________ Instructor Bio: Kayla Siefried (she/her) is a settler in Lekwungen Territory and grew up in Anishinaabe and Haudenosaunee Territory. Kayla is the steward of the Compost Education Centre demonstration gardens and the curator and main educator of the Adult Education Program. She can be found growing seedlings for plant sales, working with volunteers to keep gardens healthy, flipping hot compost, arranging expert instructors to teach workshops, or out in the community teaching about soil health, organic gardening, and Do-It-Yourself tasks that increase our climate resilience.Kayla holds a Bachelor of Environmental Studies from the University of Waterloo, and she continued on with practical hands-on permaculture training, gardening and farming internships in various places on Turtle Island and beyond. Kayla is passionate about sharing her knowledge with people young and old through formal and informal education. She’s facilitated youth programs for sustainability all across Canada, Guatemala, and Cambodia, and has a zest for travel and adventure.Kayla sees the act of growing food and stewarding the soil as one that can heal on many levels. A keen sustainability activist, Kayla finds meaning in advocating for and living an environmentally sustainable life that involves bicycles, healthy food systems, and a good amount of outdoor dancing!_______________________ You must pre-register for this event.Customers can request a refund within 30 days of ticket purchase.  After 30 days refunds and workshop exchanges are not permitted due to administrative staffing capacity. Please be in touch if you are no longer able to attend but hold a ticket so we can make your space available to someone else.You can also register for the event by calling our office at 250 386 9676 or via email by contacting office@compost.bc.caIf you identify as BIPOC or are someone who experiences significant financial barriers to being involved in our programming, please get in touch about a reduced ticket cost.  The Compost Education Centre is continually in the process of examining the ways in which our program accessibility can be improved for all members of our community. This ticket gesture is by no means a fulsome examination of the systems of oppression that exist for people inside and outside of our community. We welcome your ideas and feedback.  If you are a member and would like to redeem your workshop discounts for this series, please email office@compost.bc.ca.________________________Accessibility info: The Compost Education Centre site has paths made of stone gravel (20%), and wood chips (80%). Mobility devices with wheels (such as wheelchairs, walkers etc.) are sometimes difficult to use on site, especially on the gravel paths. The strawbale learning classroom is accessed via a wooden ramp and has a wide double door and a ramp leading up to it. Once inside everything is flat. There is a single-stall gender neutral washroom on site. The washroom is not wheelchair accessible and has a small step up from the gravel pathway, and another small step up from the washroom boardwalk.________________________The Compost Education Centre is located on unceeded and occupied Indigenous territories, specifically the land of the Lekwungen people— specifically the Esquimalt and Songhees Nations. These nations are two of many, made up of individuals who have lived within the porous boundaries of what is considered Coast Salish, Nuu-Chah-Nulth and Kwakwa'wakw Territory (Vancouver Island) since time immemorial. At the CEC we seek to respect, honour and continually grow our own understandings of Indigenous rights and history, and to fulfill our responsibilities as settlers, who live and work directly with the land and its complex, vital ecologies and our diverse, evolving communities.Compost Education Centre memberships get you free workshops, discounts at garden centres around town and more great perks! Sign up or learn more on our website."
https://www.eventbrite.ca/e/growing-perennial-vegetables-tickets-465418036877?aff=ebdssbdestsearch,Compost Education Centre,https://www.eventbrite.ca/o/compost-education-centre-3022484318,"Learn about the wide variety of perennial vegetables you can grow in the Pacific Northwest. Many people know about asparagus and artichokes, but did you know that there are many different perennial vegetables that do well is our climate? These plants are nutrient dense, long lived, and resilient to a changing climate, and are also delicious! We'll explore how to propagate perennial veg and incorporate them in your edible landscape, as well as your diet. Instructor Bio:  Solara Goldwynn and her husband Tayler Krawczyk own and manage Hatchet & Seed, an edible landscaping & ecological design company based in Victoria, BC. Since 2011, they've been transforming underutilized spaces into thriving edible ecosystems (in urban and rural landscapes). They also practice regenerative agriculture in their own backyard in Vic West, with integrated chicken coop + compost systems, light greywater re-use, edible plant nursery, rain gardens, greenhouses, fruit trees, and no-dig veggie gardens; all on 1/10th of an acre rented city lot.________________________This workshop is happening in person only. Any health and safety protocols will be emailed to you 24 hours in advance. Please dress appropriately for all types of weather, the workshop may be outside or in our unheated strawbale building._______________________Only current members in good standing are eligible to use the free ticket option as a part of their member benefits package.There are a limited number of Pay What You Can tickets available for folks who self-identify as Black, Indigenous, and People of Colour (BIPOC), and people who are facing significant financial barriers to their involvement in our programming. The Compost Education Centre is continually in the process of examining the ways in which our program accessibility can be improved for all members of our community. This ticket gesture is by no means a fulsome examination of the systems of oppression that exist for people inside and outside of our community. We welcome your ideas and feedback.  You must pre-register for this event.Customers can request a refund within 30 days of ticket purchase.  After 30 days refunds and workshop exchanges are not permitted due to administrative staffing capacity. Please be in touch if you are no longer able to attend but hold a ticket so we can make your space available to someone else.You can also register for the event by calling our office at 250 386 9676 or via email by contacting office@compost.bc.ca________________________Accessibility info: The Compost Education Centre site has paths made of stone gravel (20%), and wood chips (80%). Mobility devices with wheels (such as wheelchairs, walkers etc.) are sometimes difficult to use on site, especially on the gravel paths. The strawbale learning classroom is accessed via a wooden ramp and has a wide double door and a ramp leading up to it. Once inside everything is flat. There is a single-stall gender neutral washroom on site. The washroom is not wheelchair accessible and has a small step up from the gravel pathway, and another small step up from the washroom boardwalk.________________________The Compost Education Centre is located on unceeded and occupied Indigenous territories, the land of the Lekwungen people— specifically the Esquimalt and Songhees Nations. These nations are two of many, made up of individuals who have lived within the porous boundaries of what is considered Coast Salish, Nuu-Chah-Nulth and Kwakwa'wakw Territory (Vancouver Island) since time immemorial. At the CEC we seek to respect, honour and continually grow our own understandings of Indigenous rights and history, and to fulfill our responsibilities as settlers, who live and work directly with the land and its complex, vital ecologies and our diverse, evolving communities.Compost Education Centre memberships get you free workshops, discounts at garden centres around town and more great perks! Sign up or learn more on our website."
https://www.eventbrite.com/e/mycopsychology-tickets-666654460437?aff=ebdssbdestsearch,B.A. Sacred Kinscape,https://www.eventbrite.com/o/ba-sacred-kinscape-67771219833,"Fungi are everywhere, inherent to the human condition, acting as agents of multi-dimensional transformation. In this daylong experience, we’ll build symbiotic relationships with Fungi in ways that unlock the potential for larger scale multi-dimensional transformation on somatic, social, cultural, psychological and ecological levels. In building our connection with Fungi and learning how to work with them, we can also support processes of cultivating inner wholeness, decolonizing, rewilding, and finding our place in our human and ecological communities. Together we’ll practice building “mycelial connections” on a somatic level and explore how the ecological roles of Fungi can align with the roles we play in our lives. We’ll collaborate with Fungi to practice decomposing trauma with a hands-on mycological project to decompose toxins from a home that burned in a wildfire. And we’ll eat a delicious, nutritious, locally grown lunch with delicious mushrooms.About the favolitator: Maya Elson weaves together the wildness of our ecosystems with the wildness of our human selves, cultivating belonging and resilience. Raised in the forest, Maya brings their skills as a Mycologist, organizer, naturalist and teacher as an offering for addressing the root causes of our social, psychological and ecological crises. Maya developed the term “Mycopsychology”, and has developed this as a modality for facilitating deeper connection with Fungi personal and planetary transformation. Since 2009, Maya has been teaching Mycopermaculture, Fungal Biology, Mycorenewal and Mushroom Identification to all ages and currently offers classes in the Santa Cruz area. As the Executive Director of CoRenewal from 2016-2021, they worked to mitigate toxins from wildfires, petroleum contamination and other environmental disasters by working in collaboration with Fungi. Maya is the co-founder and Program Coordinator of the CoRenewal’s Post Fire Biofiltration Initiative, an effort and experiment using Fungi to prevent toxins from burned homes from entering sensitive waterways. Maya is one of the founding members of Radical Mycology, and has started applied Mycology groups in Olympia, WA and the San Francisco Bay area. Maya has worked as a campaign organizer with a number of climate justice and wilderness defense struggles over many years. Since 2006, Maya has been spent supporting youth in finding their place in their ecological and human communities by working with Wild Child Santa Cruz, Gaia Passages, and other programs. Maya holds a Graduate Certificate in Ecopsychology, and BA in Environmental Studies from The Evergreen State College."
https://www.eventbrite.ca/e/fracking-the-peace-screening-tickets-658081959857?aff=ebdssbdestsearch,Stand.earth,https://www.eventbrite.ca/o/standearth-13066654768,"Join us on Thursday, July 13th for a screening of Fracking the Peace, a powerful new documentary telling the story of residents in Northeastern B.C. whose daily lives, homes, environment and health have been changed by fracking in the region. The event is free and open to all, but register quickly to save your seat as space is limited.What: Documentary screening + panel discussion and Q&AWhen: Thursday, July 13th | 7-9pm PTWhere: The Vic Theatre, 808 Douglas St, Victoria, BC, Lekwungen territoriesTickets: FREE, but register to save your spotAbout the film:Fracking the Peace follows community members living on Treaty 8 territory in Northeastern B.C. as they tell the story of how fracking has impacted their lives. Home to the majestic Peace River, this region has been ravaged by more than 25,000 fracking wells threatening livelihoods, physical and mental health, and the very water that sustains the life and spirit of these communities. Fracking in B.C. is currently responsible for the majority of B.C.’s methane emissions. Methane is a powerful greenhouse gas that is 86x more toxic for the atmosphere than CO2, and has been historically under-reported in B.C. Yet the fracking industry receives the single largest oil and gas subsidy from the B.C. government. Fracking the Peace paints a picture of how fracking development in B.C. has been allowed to skyrocket at the expense of the health and safety of watersheds, communities, and the rich agricultural landscape they call home.Fracking the Peace was created by Desiree Wallace in partnership with Stand.earthAre you unable to make the in-person event, or want to spread the word to friends and family outside of Victoria? Find out more about our online screenings here: https://www.stand.earth/Fracking-the-Peace-documentaryNote: These screenings are being organized in collaboration with Fracking the Peace. All registrants will be added to Stand.earth's email list for communication purposes, though one can unsubscribe at any time."
