event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/plants-2-table-dinner-on-the-farm-4th-annual-benefit-update-tickets-580438997667?aff=ebdssbdestsearch,aPlantBasedDiet.org 501(c)(3) non-profit,https://www.eventbrite.com/o/aplantbaseddietorg-501c3-non-profit-12336721755,"2﻿023 DINNER TIX ON SALE NOW!  2023 DESCRIPTION WILL BE UPDATED SOON...*** NEW for 2022! ALL FOOD served will meet the CERTIFIED http://HealthyVeganFood.info guidelines! + will be 100% GLUTEN FREE + 100% ORGANIC ! A YUMMY Health Optimizing Feast you can't get anywhere else except HERE once per year !V﻿IDEO PREVIEW: https://youtube.com/shorts/e7hPGiP8me4?feature=shareHang out with friends at this FUN dinner experience + meet NEW like-minded friends!! 😃 😃 Unique outdoor 100% #plantbased & #vegan Networking / Farm Tour / Dinner / Benefit / Annual Update on location @ an organic farm!!  This is our annual aPlantBasedDiet.org 501(c)(3) non-profit & Planetary Farms  limited availability ticketed small event so please RSVP now! This fantastic multi course dinner experience will be prepared by a Chef utilizing mostly ingredients grown on site!This is a FULLY OUTDOOR event so please dress for the farm + bring a hat and sunglasses ( if needed ) and jacket / coat depending on the weather.We are bringing you the best of what we have from the gardens of Planetary Farms!! This event will include an epic farm tour, a multi course meal mostly from the garden, live musical performances, & a late night afterparty (optional) with awesome surprises! Get your tickets now while available!!This is an annual benefit event where a majority of the proceeds are going to the nonprofit, aPlantBasedDiet.org., which is focused on spreading awareness when it comes to eating a healthy, whole foods plant based diet.Stick around if you'd like for the afterparty! There are so many reasons to consider attending this event and we look forward to seeing you all there!** M﻿ENU SOON **Non-alcoholic drinks are included. RAINDATE: Sunday, October 22ndSCHEDULE...3:30 to 4:00pm | Meet & Greet + Appetizers4:00 to 4:30pm | Farm Tour4:30pm | Delicious Dinner5:00 to 5:30pm | Annual Updates from aPlantBasedDiet.org non-profit and Planetary Farms5:30 to 6:30pm | + Dessert + Socializing ( optional ) 6:30pm and beyond | Cacao Ceremony + Camp Fire +  FUN AFTER PARTY !CARPOOLING ENCOURAGEDDonations accepted. This is a non-alcoholic event. Thank YOU for supporting the mission and work of our non-profit!!We anticipate the following freshly picked organic vegetables will be available for us  @ Planetary Farms to prepare the delicious meal...Corn, beans, summer squash, winter squash, sweet potatoes, tomatoes, peppers, cucumbers, tomatillos, basil, dill, possibly broccoli & brussels sprouts, ground cherries, watermelons, possibly figs, celery, fennel, carrots, beets, mushrooms, lettuce, chard, spinach, collards, kale, cilantro, snap peasLink back to the Facebook Event: https://www.facebook.com/events/759217515767374There will be salt shakers on the table so please feel free to add salt to taste, if needed."
https://www.eventbrite.com/e/free-community-event-to-build-on-your-finances-tickets-673539844807?aff=ebdssbdestsearch,University of Maryland College Park Extension,https://www.eventbrite.com/o/university-of-maryland-college-park-extension-50460909973,
https://www.eventbrite.com/e/lets-keep-it-real-womens-empowerment-panel-tickets-652525209467?aff=ebdssbdestsearch,New Commandment Church,https://www.eventbrite.com/o/new-commandment-church-66954794583,"“Let’s Keep it Real” hosted by Tyshera Wilhite, is a social panel event supporting women’s mental health and character development. The goal of this event is to empower women by using unique stories and experiences that transpired in real life and how their connection to God created an entire NEW reality. You THEN and you NOW. Lady STORM and Ms. Elisha B Thomas will be our panelist. They both share unique experiences and perspectives according to how life handled them and how God rescued them. Baltimore Best selling author, Wellness Center CEO & Owner, children and family life advocates, most importantly women of God. Nothing is out of bounds so Let’s Keep it Real!"
https://www.eventbrite.com/e/a-reflection-in-the-mirror-teen-conference-tickets-656851559697?aff=ebdssbdestsearch,Self Campaign FXBG,https://www.eventbrite.com/o/self-campaign-fxbg-67190875663,"This is the First Annual Youth Empowerment Conference for young girls ages 10yrs. - 15 yrs. old The Conference is called a reflection in the mirror. Young girls will hear from speakers in the beauty field such as hairstylists, Nail Technician, Entrepreneurs, and more. The girls will be given tips on skin care, hair care, nail care, and also learn some helpful tools that can help them to achieve their full potential as they grow into successful woman."
https://www.eventbrite.com/e/scales-tails-program-tickets-668956505917?aff=ebdssbdestsearch,Historic Sotterley,https://www.eventbrite.com/o/historic-sotterley-18920482720,"Join us at Historic Sotterley for a perfect family fun activity! This event is being brought to us by Samantha Warby from the Maryland Department of Natural Resources to introduce our visitors to some of the wild and wonderful creatures that live right in our back yards. Learn about all friends scaley and their incredibly important roles in our environment!Activities run 10:30 am – 1:00 pm and are available for our regular $5/person grounds fee.  Please begin your visit at the Visitor Center and pay onsite.Proceeds from programming, membership and events support the education and preservation efforts of Historic Sotterley.Walking and standing required, please dress appropriate for weather conditions.FAQsHow can I contact the organizer with any questions?You may call 301-373-2280 or email edteam@sotterley.org."
https://www.eventbrite.com/e/professional-women-boss-babes-she-eos-join-the-sexy-circle-baltimore-tickets-494467564797?aff=ebdssbdestsearch,Food & Fitness Coach for Driven-Women,https://www.eventbrite.com/o/food-amp-fitness-coach-for-driven-women-30085401876,"After a year of doing what many have called ""the best kept secret,""  It's time to let you in on a TOTAL LIFE CHANGER.This is a  Workshop designed to teach you how to get the body you've been wanting without...Killing yourself with Intense Cardio methods that aren't  Sustainable nor enjoyable.Restricting yourself from foods that make you happy & eating foods that you don't even like. Obsessing about the numbers on the scale & dreading looking at yourself without clothes on.  Losing sleep over looming health issues & procrastinating about  dealing with them. My Name is Ramell.I'm a Former Pro Basketball Player, and a current Certified Fitness and Nutrition Specialist. I have a passion for helping Professional Women because they are so Selfless, always giving themselves to their loved ones & colleagues, & sometimes they need to be reminded just how it feels to show up for themselves. It brings me great satisfaction to help women  reach their potential peak and unlock the person inside of you that is dying to come out and say hi. All It takes CONSISTENCY, SUSTAINABILITY, ACCOUNTABILITY AND RECOVERY. I know that it’s not easy, butI'm here to show you how get it done!The Best Investments you can make for your career and your family is to improve your Health & Happiness. Visit www.HardWorkIsSexy.com for more info"
https://www.eventbrite.com/e/how-top-professionals-achieve-their-1-year-goals-without-burnout-using-tmrf-tickets-674126509537?aff=ebdssbdestsearch,Chad Earhart Coaching Company,https://www.eventbrite.com/o/chad-earhart-coaching-company-67872030603,"In this workshop, participants will learn to:Identify areas where you need to take control of your time management.Overcome procrastination and manage stress effectively.Develop strategies to process and retain critical information efficiently.Improve comprehension and focus for enhanced productivity.Adapt and act decisively when priorities shift.Utilize tools for problem-solving and decision-making.Organize and estimate your workload accurately.Boost performance and productivity in your professional endeavors.Manage interruptions and conflicts with greater ease.Achieve a balance between professional goals and personal time.Learn techniques for driving sustainable action in the long term. You will leave the workshop equipped with actionable strategies to optimize your workflow, overcome common productivity challenges, and create a balanced and fulfilling life.Who Should AttendYou must be someone who:is willing to invest in themselves and not so proud they cannot learn from othersis wanting to grow their dream/calling/business/practice with more focus and less work is committing themselves to achieve this outcome right nowOn the other hand, if you're someone who is:is not willing to see themselves as part of the problem and also part of the solution is not actively seeking support nowwill not see their own ''stuff'' and only blame circumstances for their lack of success... then this might not be a fit for your right now.Don't let time slip through your fingers – join us for this transformative workshop and unlock your potential to manage your time effectively, supercharge your productivity, and create the life you envision. Seize the opportunity to gain control over your schedule and register now to secure your spot!If you want a quick strategy session, just go to chadearhart.com/busyleader to set up a schedule or click here.Go on... it's totally free!You can also join our Facebook group called Time Management Rocket Fuel if you would like to continue to get more tips and tools for doing more of what is important to you in less time and with less stress."
https://www.eventbrite.com/e/leadership-book-study-tickets-648433039677?aff=ebdssbdestsearch,St John Baptist Church,https://www.eventbrite.com/o/st-john-baptist-church-6391677729,"All SJBC elected and appointed leaders, along with staff, are encouraged to participate in a book study in preparation for our Mid-Year Leadership Conference that will take place on Sat. July, 29th at 10:00am.We will be reading and discussing a transformative book called ""Sustaining While Disrupting: The Challenge of Congregational Innovation.” This book will help us to achieve our leadership goals of excellence and innovation. S﻿tudy Schedule:
Thur. June 22nd at 7:00pp - Introduction & Chapter 1
Thur. June 29th at 7:00pm - Chapters 2 & 3
Thur. July 6th  at 7:00pm - Chapters 4 & 5
Thur. July 13th at 7:00pm - Chapters 6 & 7
Thur. July 20th at 7:00pm - Chapters 8 & 9"
https://www.eventbrite.com/e/the-gathering-of-the-remnant-tickets-625844165747?aff=ebdssbdestsearch,Yolanda Stith,https://www.eventbrite.com/o/yolanda-stith-57402473143,
https://www.eventbrite.com/e/living-your-best-life-now-tickets-658510000137?aff=ebdssbdestsearch,Bronze Girl Collective,https://www.eventbrite.com/o/bronze-girl-collective-62689555453,
https://www.eventbrite.com/e/financial-empowerment-tickets-631161128927?aff=ebdssbdestsearch,Alicia Ashley Weathersby,https://www.eventbrite.com/o/alicia-ashley-weathersby-10646321205,"L﻿earn how to design  your ideal life in this trillion dollar industry. TRAVEL.D﻿o what you love and enjoy what you love to do. Enjoy time, personal and financial FREEDOM.S﻿erious about building financial independence  in your own homebased travel business? Join me.R﻿egister to confirm your attendance.A﻿rrive 15 minutes early.D﻿ress professionally.e﻿arthwyre@comcast.netD﻿o what you love. Share what you love, earn while you learn.E﻿very 2nd and 4th Tuesday. Registration 7:00. T﻿he Sheraton Hotel9﻿03 Dulaney Valley Road, T﻿owson, Maryland 21204"
https://www.eventbrite.com/e/the-guardians-of-baltimore-preserving-our-legacy-exhibition-opening-tickets-615202696827?aff=ebdssbdestsearch,The Peale,https://www.eventbrite.com/o/the-peale-13515246079,"Please join us in celebrating our second cohort of 12 Guardians with new portraits and oral histories, now representing all corners of Baltimore City. Hors d'oeuvres and drinks will be served. There will be a speaking portion of the event to hear from the Guardians, lead artists, and Mayor Scott.The Guardians is a photo documentary and storytelling project that celebrates the unrecognized community work of Black female leaders from across Baltimore City neighborhoods. By uplifting their stories and experiences through recorded interviews and large-scale photographs, we honor how the union of art and activism can make real, lasting change that can help us see realities and (re)shape culture. The Guardians is a platform for women who spend their lives fighting for better, more equitable communities."
