event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/empowher-free-community-talk-series-2023-tickets-530698873617?aff=ebdssbdestsearch,Women Rise Psychological and Wellness Center,https://www.eventbrite.com/o/women-rise-psychological-and-wellness-center-38054377943,"Are you wanting to elevate your health, wellness, and be empowered? Women Rise is excited to host this free community talk series with our team and amazing guest community collaborators to support you as you build sustainable  tools for your health, wellness, and empowerment!We aim to empowHER YOU with the tools you need to RISE to a healthier, happier, and more connected version of yourself. *Limited Space Available* Reserve your spot today.2023 Line-Up:2/22/23: 6:00 pm-- Tamera Freehling, RN, of Stead Heart and Vascular Center, Pomona Valley Hospital Medical Center, speaking on ""Women's Heart Health "" 3/22/23: 6:00 pm-- Women Rise, speaking on ""Integrative Wellness for the WHOLE Woman""4/19/23: 6:00 pm: Project Sister Family Services, Self-Defense CLASS5/10/23: 6:00 pm  Dr. Rachelle Murphy,  DHSc, OTR/L, DipACLM, speaking on ""Rested: Sleep & Women's Health""7/19/23 6:00 pm Project Sister Family Services, ""Self-Defense Class""9/20/23 6:00 pm -Aging Next, speaking on ""Healthy Aging""Sleep & Women's Health""10/18/22 6:00 pm- House of Ruth, speaking on ""Healthy Relationships & Domestic Violence Awareness""1﻿1/8/23: 6:00 pm- Women Rise: ""Holiday Peace: Preventing & Managing Holiday Stress""Women Rise Psychological and Wellness Center  is a boutique integrative wellness center  specializing in women's mental health and wellness across the lifespan. We offer therapy, yoga, massage, clinical functional nutrition, and  pregnancy/postpartum support. We aim to help women thrive and RISE in their wellness and overall lives."
https://www.eventbrite.com/e/yoniswell-x-divinity-in-motion-beach-fitness-sunset-group-surf-tickets-668211507607?aff=ebdssbdestsearch,Yoniswell Surf Collective,https://www.eventbrite.com/o/yoniswell-surf-collective-34566119873,"Join us for a dance beach workout led by Divinity Gaines followed by a sunset group surf hosted by Yoniswell Surf Collective! Surfing is optional! Jordan, Founder of Yoniswell will lead a beginner's surf clinic, wetsuits and boards are available to rent upon request. Feel free to email us :) Yoniswell Surf Collective is a community on a mission to empower and heal the soul through the sport of surfing. To connect, take ownership of our lives creating a life we desire, love, and pursue to fulfill. For more info, please visit https://www.yoniswell.comDivinity Gaines is the future of personal training, fitness, and wellbeing. This highly sought after former Knicks City Dancer and current Clippers Spirit Dancer has been seen by millions dancing on television, featured in numerous magazines, and media outlets worldwide. Divinity has an unyielding passion for helping the youth and is involved in social activism. Divinity is a strong believer in dedicating her time to mentorship, traveling and teaching her fitness method Divinity In Motion - these endeavors keep her well grounded. Divinity is 200 RYT, Master Personal Trainer and Sufer. Divinity is able to turn a personal training season into a deeper understanding of mind, body, spirit. She is a gifted woman with a passion for artistic expression. Trailblazing for the ‘slash’ generation. CEO of Divinity in Motion Professional Dancer, Co-founder of Jamal Gaines Non-Profit Organization, and Evolutionary Coach..We look forward to connecting with you & sending you oceans of love!!"
https://www.eventbrite.com/e/how-the-top-professionals-achieve-their-goals-without-burnout-using-tmrf-tickets-670154308577?aff=ebdssbdestsearch,Chad Earhart Coaching Company,https://www.eventbrite.com/o/chad-earhart-coaching-company-67872030603,"In this workshop, participants will:Identify areas where you need to take control of your time management.Overcome procrastination and manage stress effectively.Develop strategies to process and retain critical information efficiently.Improve comprehension and focus for enhanced productivity.Adapt and act decisively when priorities shift.Utilize tools for problem-solving and decision-making.Organize and estimate your workload accurately.Boost performance and productivity in your professional endeavors.Manage interruptions and conflicts with greater ease.Achieve a balance between professional goals and personal time.Learn techniques for driving sustainable action in the long term. You will leave the workshop equipped with actionable strategies to optimize your workflow, overcome common productivity challenges, and create a balanced and fulfilling life.Who Should AttendYou must be someone who:is willing to invest in themselves and not so proud they cannot learn from othersis wanting to grow their dream/calling/business/practice with more focus and less work is committing themselves to achieve this outcome right nowOn the other hand, if you're someone who is:is not willing to see themselves as part of the problem and also part of the solution is not actively seeking support nowwill not see their own ''stuff'' and only blame circumstances for their lack of success... then this might not be a fit for your right now.Don't let time slip through your fingers – join us for this transformative workshop and unlock your potential to manage your time effectively, supercharge your productivity, and create the life you envision. Seize the opportunity to gain control over your schedule and register now to secure your spot!If you want a quick strategy session, just go to chadearhart.com/busyleader to set up a schedule or click here.Go on... it's totally free!You can also join our Facebook group called Time Management Rocket Fuel if you would like to continue to get more tips and tools for doing more of what is important to you in less time and with less stress."
https://www.eventbrite.com/e/how-the-top-professionals-achieve-their-goals-without-burnout-using-tmrf-tickets-670209102467?aff=ebdssbdestsearch,Chad Earhart Coaching Company,https://www.eventbrite.com/o/chad-earhart-coaching-company-67872030603,"In this workshop, participants will:Identify areas where you need to take control of your time management.Overcome procrastination and manage stress effectively.Develop strategies to process and retain critical information efficiently.Improve comprehension and focus for enhanced productivity.Adapt and act decisively when priorities shift.Utilize tools for problem-solving and decision-making.Organize and estimate your workload accurately.Boost performance and productivity in your professional endeavors.Manage interruptions and conflicts with greater ease.Achieve a balance between professional goals and personal time.Learn techniques for driving sustainable action in the long term. You will leave the workshop equipped with actionable strategies to optimize your workflow, overcome common productivity challenges, and create a balanced and fulfilling life.Who Should AttendYou must be someone who:is willing to invest in themselves and not so proud they cannot learn from othersis wanting to grow their dream/calling/business/practice with more focus and less work is committing themselves to achieve this outcome right nowOn the other hand, if you're someone who is:is not willing to see themselves as part of the problem and also part of the solution is not actively seeking support nowwill not see their own ''stuff'' and only blame circumstances for their lack of success... then this might not be a fit for your right now.Don't let time slip through your fingers – join us for this transformative workshop and unlock your potential to manage your time effectively, supercharge your productivity, and create the life you envision. Seize the opportunity to gain control over your schedule and register now to secure your spot!If you want a quick strategy session, just go to chadearhart.com/busyleader to set up a schedule or click here.Go on... it's totally free!You can also join our Facebook group called Time Management Rocket Fuel if you would like to continue to get more tips and tools for doing more of what is important to you in less time and with less stress."
https://www.eventbrite.com/e/orange-county-women-in-green-registration-655387290027?aff=ebdssbdestsearch,USGBC Orange County,https://www.eventbrite.com/o/usgbc-orange-county-31951593409,"USGBC Orange County will host our Annual Women in Green Luncheon on Tuesday, September 12th. This will celebrate women in our local green building community but also encourage discussion regarding the pathway to leadership. The 2023 USGBC Women in Green platform theme, Self-titled, celebrates the crucially needed and deliberate voice that women bring to society and to the green building movement. Taking control of your narrative is a mighty act. Women are represented across the full spectrum of professional careers in the building industry. With career goals and life aspirations, we define ourselves without gendered limits. Join us in our Annual Women in Green to celebrate your narrative that will define the future for women leaders all over the world.At Women in Green, we unapologetically celebrate, sharing our experiences and honoring our impact as professionals. We acknowledge the past while defining ourselves and the future—without altering who we are or asking permission.Featured Speakers: Carol Samaan, VP Corporate Counsel and ESG, Healthpeak PropertiesModerator: Alicia Strayer, JLL - USGBC Orange County - Women in Green Vice ChairIf you have any event registration issues or access to the event, please contact Alicia Strayer, Alicia.Strayer@jll.com.  E﻿vent SponsorBecome an event sponsor or annual sponsor. USGBC's California communities represent a network of more than 26,000 LEED professionals, over 17,000 event participants, a deep bench of about 50 LEED Fellows, and a thriving society of emerging professionals, who are the future of our industry. It is this impactful group of USGBC volunteers and market leaders who advance the single largest market for green building in the country. Through our programs, our communities cultivate and celebrate this leadership. Your annual sponsorship is a year-long partnership that supports this work and makes all these outcomes possible.2023 S﻿ponsorship ProspectusContact Us: Email mcolburn@usgbc.org"
https://www.eventbrite.com/e/veteran-community-spirit-hike-tickets-667276741697?aff=ebdssbdestsearch,Joe Ramirez,https://www.eventbrite.com/o/joe-ramirez-29084122643,"T﻿he event is in partnership with the Ronald Reagan  Palisades Post and Revive LA Chapel's spiritual support program. In the beautiful trails of Pacific Palisades, California. Veterans & Community will come together - Join us for a soulful hike to connect with nature and find inner peace. Hike is followed by lunch & guest speaker former Army Iraq War POW Jessica Lynch. WE ARE INVITING SPONSORS - FOR MORE INFO CLICK HERE   We are asking for a  $25.00 donation or higher to cover costs.  Free for veterans.  All additional proceeds go to the Spiritual Support program.  Registration fee includes T-Shirt, Lunch & Guest Speaker.About our Guest Speaker Jessica Lynch is a former Private First Class (PFC) in the United States Army and a former Prisoner of War. On March 23, 2003, she was injured and captured by Iraqi forces after her unit was ambushed in Iraq. She was rescued after nine days in captivity on April 1, 2003 by U.S. special operations forces. Jessica's rescue was the first successful rescue of an American POW since World War II.Today, Jessica speaks to various groups around the United States about overcoming her obstacles and how perseverance helped her survive. Jessica further explains that despite the most difficult circumstances - whatever they might be - a positive outlook and determination can truly help individuals live fulfilling lives and accomplish their goals.Jessica has appeared on Good Morning America, Today Show, CBS Morning Show, Huckabee Show, CNN, MSNBC, David Letterman Show, Fox, Prime Time on ABC with Dianne Sawyer, E News!, CBN, and various local networks throughout the country. She has appeared on numerous magazine covers such as TIME and People. She has been named West Virginian of the Year as well as Glamour Woman of the Year.A﻿genda9﻿:00 am Check-in, Invocation & Hike Begins1﻿1:00 am Return and preparation 1﻿1:30 am Lunch & Guest Speaker1﻿2:30 pm  Interview and Q&A1﻿:00 pm PicturesF﻿OR MORE ABOUT THE EVENT HOST AND SPONSORSHIPS CLICK HERE"
https://www.eventbrite.com/e/5th-annual-disability-pride-parade-festival-tickets-668963587097?aff=ebdssbdestsearch,SCRS-IL,https://www.eventbrite.com/o/scrs-il-67947132663,"The Disability Pride Parade is back, and registration is now open! The 5th Annual Disability Pride Parade and Festival is scheduled for Sunday, October 8, 2023, beginning at 10 A.M.This year, our Grand Marshal is Nancy Bargmann, Director of the California Department of Developmental Services! Nancy has been leading the Department of Developmental Services since 2016 when she was appointed by then Governor Jerry Brown. Since then, and particularly during this global pandemic, Nancy has fiercely led 21 regional centers and the thousands of service providers and the nearly 400,000 consumers, families, caregivers and supporters of our community. One of Nancy's largest undertakings was successfully transitioning California from sheltered workshops and into home and community-based programs. Nancy is a firm believer in our event's mission, and we look forward to having her and hearing more from her at our event.This event is open to the general public and the entire community is welcome to attend. Allies and supporters are encouraged to join us and celebrate with us. Help us spread the word by sharing this email, posting our flyer on social media and telling everyone you know!We are accepting a limited number of vendors to have their table/booth. We are looking for vendors that offer low-cost or no cost resources, programs or services, specifically to people with disabilities or all inclusive. We are also looking for volunteers to sign up for various shifts to help us ensure our event runs as smoothly as possible and is inviting and accommodating to all people. Please use the provided links below to register. Note that your participation to be a vendor or to volunteer is not confirmed until a staff member from SCRS connects with you confirming your participation.This 5th annual event is supported by: L.A. County Supervisor Hilda L. Solis, Southern California Gas Company, Molina Healthcare, Southern California Edison, L.A. County Department of Public Works, Eastellos Barbershop and Uroh The Barber, U.S. Department of Aging, Access Paratransit Services, Inc. and the California Department of Developmental Services. Disability Pride LA Website SCRS-IL Website T﻿o Participate: Click Here T﻿o Volunteer: Click HereI﻿f you'd like to become a vendor: Click Here"
https://www.eventbrite.com/e/a-day-of-healing-metaphysical-artisan-fall-fair-tickets-649824401277?aff=ebdssbdestsearch,Healing Arts SFV,https://www.eventbrite.com/o/healing-arts-sfv-30932509409,"Healing Arts SFV presents""A DAY OF HEALING""Metaphysical & Artisan Fall FairWHEN & WHERESunday, November 12, 202311:00AM ~ 4:00PMTarzana Community & Cultural Center19130 Ventura Blvd., Tarzana,  CA 91350O﻿UTDOOR EVENT/ FREE ADMISSIONCome join us for our Fall community healing event where we will come together to celebrate life and focus on HEALING, LOVE, CREATIVITY, WELLNESS and CONNECTION to each other as well as to our higher selves, angels & guides.Healing Arts Practitioners, Artists, Artisans, Intuitive Readers, Food, Music, Jewelry, Crystals, Shopping, Interactive art/crafts, Meditation , Drum Circle, and much more.SCHEDULE OF ACTIVITIESOpening Ceremony ~ 11:15AMMeditation ~ 12:00PMMeditation  ~ 1:00PMDrum Circle ~ 2:00PMSound Bath ~ 3:00PMABOUT HEALING ARTS SAN FERNANDO VALLEYFounded in January of 2019 Healing Arts San Fernando Valley is a trade organization for heart centered holistic professionals, practitioners, artists, artisans, business owners, and resource providers and a community for the purpose of healing.Our mission is to introduce variety of healing arts modalities to San Fernando Valley community and to provide a platform for local like-minded healing arts practitioners, artists and artisans to expand their network and grow their businesses.With so much uncertainty and divisiveness in our country and in the world today, unity and cooperation is essential for building a strong community. Our intention is to keep growing and to encourage unity and diversification. Everyone is welcome if they come from a place of peace and love.For Vendor, Volunteer or Sponsorship Opportunities visit www.healingartssfv.com.F﻿or most up to date information follow us on IG or on FB ."
https://www.eventbrite.com/e/sexy-conversations-women-learning-how-to-tie-fitness-self-care-together-tickets-492092571127?aff=ebdssbdestsearch,Food & Fitness Coach for Driven-Women,https://www.eventbrite.com/o/food-amp-fitness-coach-for-driven-women-30085401876,"After a year of doing what many have called ""the best kept secret,""  It's time to let you in on a TOTAL LIFE CHANGER.This is a 3 Day Workshop designed to teach you how to get the body you've been wanting without...Killing yourself with Intense Cardio methods that aren't  Sustainable nor enjoyable.Restricting yourself from foods that make you happy & eating foods that you don't even like. Obsessing about the numbers on the scale & dreading looking at yourself without clothes on.  Losing sleep over looming health issues & procrastinating about  dealing with them. My Name is Ramell.I'm a Former Pro Basketball Player, and a current Certified Fitness and Nutrition Specialist. I have a passion for helping Professional Women because they are so Selfless, always giving themselves to their loved ones & colleagues, & sometimes they need to be reminded just how it feels to show up for themselves. It brings me great satisfaction to help women  reach their potential peak and unlock the person inside of you that is dying to come out and say hi. All It takes CONSISTENCY, SUSTAINABILITY, ACCOUNTABILITY AND RECOVERY. I know that it’s not easy, butI'm here to show you how get it done!The Best Investments you can make for your career and your family is to improve your Health & Happiness. Visit www.HardWorkIsSexy.com for more info"
https://www.eventbrite.com/e/cvu-101-2-day-course-tickets-416238248807?aff=ebdssbdestsearch,Cla-Val Company,https://www.eventbrite.com/o/cla-val-company-37661084023,"Developed specifically for Waterworks System Operations and Maintenance personnel, CVU-101 is an excellent choice for individuals who are new to the industry or as a refresher course for experienced Operators and Maintenance Personnel. This class focuses on basic valve operation along with hands-on training for various applications. This course qualifies for 13 contact hours.Training Topics:Maintenance, Repair, and Troubleshooting• 90 Series Pressure Reducing Valves• 50 Series Pressure Sustaining/Relief Valves• 210 Series Altitude Valves• 136 Series Solenoid Control Valves• 124 Series Float Control Valves"
