event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.co.uk/e/the-climate-emergency-and-the-future-of-sustainable-construction-tickets-663578199257?aff=ebdssbdestsearch,CIOB London,https://www.eventbrite.co.uk/o/ciob-london-33379036049,"Join CIOB London Tomorrow's Leaders for this face to face Carbon Training CPD with Sajni Vekaria, an Environmental Sustainability Graduate. Sajni will provide a  high-level overview about carbon management and look at how we can all become carbon conscious in our work and home lives.The purpose of this CPD is to:•	Gain a better understanding of climate change and carbon management to become carbon conscious in your day-to-day activities•	Consider the role of the construction sector in a world where action is needed to decarbonise and halt climate change•	Understand how you can positively influence changeAt the end of this course, you will have:•	Gained an understanding of the basic science of climate change and how climate change will affect us both globally and locally•	Be aware of how climate change will affect the construction industry•	Explored the low carbon objectives across the construction industry•	Be comfortable on strategies for influencing others to take action on climate changeThere will also be opportunity to ask questions to Sajni at the end of this CPD.Members: gain 3 CIOB CPD points when you reflect on the ethical aspects of your learning from this activity.SpeakerS﻿ajni Vekaria - Environmental Sustainability GraduateSajni is an Environmental Sustainability Graduate at Balfour Beatty. She is responsible for leading and delivering Carbon Literacy & Carbon Conscious Training, Sustainability Moments, and Low Carbon in Construction Plans, creating a strong carbon culture across the business. She is committed to empowering, encouraging and inspiring other ethnic minority women to join the industry. Sajni is also a WICE 2023 Environment & Sustainability Finalist!ContactsGemma Lovell, Member Services and Events Coordinator - London & Hemel, g﻿lovell@ciob.org.ukPaige Frith,  Member Services and Events Coordinator - London & Hemel, pfrith@ciob.org.uk"
https://www.eventbrite.co.uk/e/merton-green-schools-network-summer-2023-meeting-tickets-656758300757?aff=ebdssbdestsearch,,,"Purpose The aim of the Green School’s Network is to put climate education and sustainability on the agenda of all schools in Merton. The network will aim to share best practice and resources to support schools in progressing with a selection of their new responsibilities under the Government’s Sustainability and Climate Change Strategy for Education and Children’s Services.Why should my school join the network?•Receive council support to advance work on pledges, that are complimentary to achieving an Eco Schools Green Flag Award.•Be recognised locally for the brilliant work of your students and the wider school community in addressing climate change.•Prepare for incoming DfE changes that are included in the Government’s Sustainability Strategy for education and children’s services.  •Joining is free, so there is nothing to lose.M﻿embershipT﻿he network is open to Governors, Business Manager and Teachers, so everyone can play their part in advancing climate action across four main action areas:Action 1 – Climate Education (for teachers)Action 2 – Green Skills and Careers (for teachers and governors)Actions 3  - Educational estate and digital infrastructure  (for business managers and governors)Action 4 - Operations and Supply Chains  (for business managers and governors)T﻿he Council's Climate Team operate the network as secretariat and facilitators, but the topics covered are decided by schools in Merton.F﻿or more information about the network, contact amy.mallett@merton.gov.uk"
https://www.eventbrite.co.uk/e/gclgs-monthly-london-mixer-tickets-648046944857?aff=ebdssbdestsearch,Green Collar Lawyers Group,https://www.eventbrite.co.uk/o/green-collar-lawyers-group-66573222143,"GCLG stands for the Green Collar Lawyers Group. This is a networking group for any lawyer who considers themselves a 'Green Collar' lawyer, as well as for those who aspire to become Green Collar lawyers in the future.We are a networking collective of likeminded individuals that share knowledge, socialise and support one another in pursuing the protection of the environment using legal means.Not sure if this includes you? Find out here: https://greencollarlawyers.wixsite.com/gclg/about-2O﻿ur monthly events tend to happy on the fourth Tuesday of the month, subject to any conflicts with similar events. If future events do get rescheduled, we shall let you know via email the updated date."
https://www.eventbrite.co.uk/e/worthing-people-planet-pint-sustainability-meetup-tickets-660999456167?aff=ebdssbdestsearch,Small99,https://www.eventbrite.co.uk/o/small99-32771843245,"Whether you're a sustainability professional, small business owner, local resident, local council/government worker, student, consultant, looking to switch careers, or anything else besides, come down and meet others interested in sustainability. No agenda, workshops or webinars. Just chat over some nibbles and beers.This relaxed event brings together those with a shared passion for sustainability in all its forms.We meet monthly to chat about what's going on in the Net Zero / Sustainability space, ""network"" and meet others who are interested in the industry.Let's see where the conversation, and night, takes us!Chat with other industry experts and talk directly to business owners facing the challenges you're trying to solve. Find others who can collaborate and help you on your journey and have fun doing so!Your HostsHi, I'm Laura and I'm sustainable marketing manager for Brevity Marketing. Come have a drink and a chat to see what we can achieve collectively. I look forward to meeting you! Our Sponsor KRYSTAL are an award-winning, 100% green web hosting provider,  with datacentres in the UK, US, & Europe. They are climate positive, and their approach centres on value, quality and transparency. We are delighted to announce our partnership with Krystal (the UK's only B Corp web hosting/cloud provider), and welcome them on board as sponsors  of the People, Planet, Pint events. This means the first 33 drinks are on Krystal at every event, and has allowed us to invest and upscale the series to accelerate action on climate change.About UsSmall99 is a platform that guides small business owners to Net Zero and avoids the overwhelm. Small99 organises the PPP events, with the belief that bringing people together will spark unexpected solutions to collaboration in tackling climate change.Simon Blackler is the founder and CEO of KRYSTAL, and Co-Founder of MillionTreePledge."
https://www.eventbrite.com/e/climate-tech-summit-2023-tickets-606861728767?aff=ebdssbdestsearch,Climate Tech,https://www.eventbrite.com/o/climate-tech-63768273993,"Climate Tech Summit 2023 in London UK Europe is Climate Tech Conference 2023 (   https://climatetechconference.co.uk/ )for climate change, environment, sustainability, net zero & AI. The climate tech summit focuses on clean tech, green tech, green, transportation, environment, sustainability, smart buildings, iot, solar energy, renewable energy, oil & gas, climate action, carbon reduction, carbon capture, carbon storage, ocean, carbon credits, wind energy, plant based foods, food security, climate finance, climate mitigation and climate adaptation. More info: https://climatetechconference.co.uk/"
https://www.eventbrite.co.uk/e/greening-transport-in-your-area-shaping-your-local-transport-plan-tickets-648219139897?aff=ebdssbdestsearch,Low Traffic Future,https://www.eventbrite.co.uk/o/low-traffic-future-66343787263,"Low Traffic Future are delighted to announce a series of regional events in England, to help guide campaigners through the fascinating world of your Local Transport Plan (LTP).LTPs are an important part of transport planning in England. Local and Combined Authorities are expected to prepare them as forward-looking plans covering a number of years, and present them to the Department for Transport.Why should you be interested? Well, if you care about green, clean and healthy transport in England, they represent a fantastic opportunity to shape the priorities in your area. Better buses! Better trains and light rail! More investment in walking and cycling and joined up thinking around shared transport, electric vehicles and managing freight and deliveries!All of these items can and should be included and our events will help you make sure they are. You’ll learn about what Local Transport Plans are and why they are so important. You’ll hear about exciting things like ‘Quantifiable Carbon Reductions’! More than that, you’ll meet with a room full of engaged and enthusiastic people keen to help you work towards a future where everyone can travel in a way that is clean, healthy and good for local business.We’re charging a small fee to help cover the cost of lunch and refreshments. Doors will open at 10am and you can find an indicative running order below. We’ll update this in the run up to the event so you can see which experts will be attending.We look forward to seeing you there!If you would like to reclaim your entrance ticket and rail fare we do have a small amount to pay for bursaries. Information about this will be in your confirmation email.A﻿genda10.00	Registration and teas/coffees10.30	Opening Plenary11.45	Break12.00	Workshop session 112.45	Lunch1.45	Short plenary2.00	Workshop session 22.45	Break3.00	Campaigner skills workshops, led by local campaigners4.00	Final plenary4.45	End"
https://www.eventbrite.co.uk/e/london-trainees-conference-2023-future-proofing-your-career-in-healthcare-registration-629911541377?aff=ebdssbdestsearch,London Trainee Network,https://www.eventbrite.co.uk/o/london-trainee-network-15554016265,"Join us for London's most exciting conference, FREE* for trainee doctors and dentists of all grades and specialties ACROSS LONDON. Other HCPs and healthcare students also welcome!This London Trainees' Conference is our annual exploration of medical training in all its forms, tackling issues cutting across specialty and stage of training. We'll be addressing future-proofing a career in healthcare in a variety of areas including sustainability,  mental health, work life balance, making a difference and coping with error. There's something for everyone.We have a fantastic spread of talks and workshops organised. Speakers: Dr Simon Carley, Coping with ErrorDoctorpreneurs: Careers in Healthtech, Innovation and EntrepreneurshipRia Clark: Taking Control of the Medical Treadmill A﻿nd more TBC! Workshops:Practitioner Health ProgrammeY﻿ogaR﻿eporting to the GMC C﻿entre for Sustainable Healthcare D﻿r Simon CarleyA﻿nd more TBC! Coffee, lunch, and more coffee, will of course all be provided!If you are a medical student, please fill in your institution in the form.Location: Hallam Conference Centre, 44 Hallam Street, London, W1W 6JJTimings: Delegates to arrive from 8.40am for a prompt 9am start. Poster and art presenters welcome from 8.30am to set up.T﻿here will also be space for oral and poster presentations on any theme - please submit abstracts of no more than 250 words to londontraineenetwork@gmail.com by 17th July"
https://www.eventbrite.co.uk/e/isst-talks-climate-resilience-tickets-625276096637?aff=ebdssbdestsearch,Institute for Security Science and Technology,https://www.eventbrite.co.uk/o/institute-for-security-science-and-technology-32330144849,"Heatwaves in Europe and India. Record-breaking floods in Pakistan, Australia, and the Democratic Republic of Congo. Extreme weather events are only going to become more frequent, more intense, and more damaging to human health and critical infrastructure as climate change progresses. Climate resilience is defined as the ""capacity of social, economic and ecosystems to cope with a hazardous event or trend or disturbance"". The key focus of increasing climate resilience is to reduce  climate vulnerability at all scales of society.How can societies, particularly the UK, become more climate resilient? By gathering speakers and audience members from across academia, industry, government, and grassroots organisations for a panel discussion, the Institute for Security Science and Technology (ISST) aims to identify interdisciplinary solutions and actions that we can recommend to funding bodies for further research and attention.The event will be chaired by Professor Jordan Giddings, Non-Executive Director for the Met Office Board and ISST Honorary Principle Research Fellow. He has previously worked with the British government in a number of roles, most recently as Head of Defence Capability Assessment, leading on areas including digital, innovation, transformation and cyber, and previously as Deputy Chief Scientific Advisor for both National Security and Transport.D﻿oors will open to attendees at 10:45am.T﻿he event will begin with short presentations from each speaker, including Professor Samer Bagaeen, Dr Ronita Bardhan, and Ellie Murtagh.There will then be a panel discussion chaired by Professor Giddings, during which there will be opportunities for engagement and discussion from in-person and online audience members. The panel discussion will then be followed by a catered lunch and networking.S﻿peaker biographiesP﻿rofessor Samer Bagaeen is a Technical Director with the Environmental Planning team at Arcadis, a Professor of Planning & Resilient Systems, and a Councillor since 2019. Samer is a Chartered Town Planner, a Distinguished Fellow of the Royal Institution of Chartered Surveyors, a Design Council Expert, and a Fellow of the Royal Society of Arts. He is a Trustee of the Royal Town Planning Institute and is Chair of the RTPI’s International Committee in 2023. He is a Non-Executive Board Member on the South East (England) Regional Board at the RICS and a member of the Academic Advisory Group at the Real Estate Data Foundation. As Associate Director (City Relationships) with 100 Resilient Cities – Pioneered by the Rockefeller Foundation, Samer partnered with city leaders in Milan, Rome, Barcelona, Lisbon, Tbilisi, Amman and Ramallah to mobilise resources for resilience. He previously worked at the RICS in London in a thought leadership role and delivered the Institution’s corporate training on ESG & sustainability to the Saudi Public Investment Fund.Dr Ronita Bardhan is an architectural engineer and urban studies educator, with a PhD in urban engineering. Bardhan directs the research group Sustainable Design Group at the University of Cambridge, where she works on data-driven intelligence of built environments can effectively address sustainability goals and policies. Bardhan works on climate heat stress & health in built environment. She has extensively worked in Slum Rehabilitation (social) housing (in India, Indonesia, Ethiopia, Kenya, South Africa and Brazil).  Bardhan uses data-driven methods that couples architectural engineering, AI and machine learning with social sciences to provided built environment solutions for health in resources constraint societies.Ellie Murtagh is UK Climate Adaptation Lead  for British Red Cross, a new role established to assess the humanitarian climate related risks and impacts that individuals and communities face and will face in the UK. Through this role, Ellie identifies where the British Red Cross can add most value by supporting communities to anticipate, prepare for, respond to, and recover from the impacts of climate including developing partnership with key stakeholders.ISST Talks are hosted by the Institute for Security Science and Technology, Imperial College London’s hub for security research. These events convene thought leaders and relevant stakeholders to discuss grand challenges in security, with the aim of facilitating knowledge exchange.  About the Institute for Security Science and Technology (ISST)  Security is often only viewed through the narrow lens of conflict and war. Our mission at the Institute for Security Science and Technology is to challenge that perception and demonstrate the breadth and depth of a topic that touches everyone in society, wherever they are in the world."
https://www.eventbrite.co.uk/e/living-walls-walking-tour-canary-wharf-tickets-656577510007?aff=ebdssbdestsearch,Biotecture,https://www.eventbrite.co.uk/o/biotecture-67083599953,"Join the Biotecture team for a walking tour of the Canary Wharf estate to see how our living walls have transformed the estate, helping to reconnect people with nature and contribute to the client's ambitious sustainability goals.Using the freestanding, stackable PlantBox living wall system Biotecture delivered multiple living walls in prominent locations across the Estate within a short timeframe. The walls have helped reconnect people with nature, improve air quality, attenuate rainwater, and increase Biodiversity.  The tour will also include a visit to one of Biotecture's hydroponic BioPanel projects. The living wall at One and Five bank street was installed in 2019 and is integrated into the building fabric and acts as the rainscreen cladding replacing more traditional materials. Meeting time: 3pm Meeting point: Jubilee Plaza, Outside the Canary Wharf Underground Station (West Entrance) near the Santander cycles station. Followed by drinks at The Grandstand BarIf you have any queries please contact Marketing@Biotecture.uk.com"
https://www.eventbrite.co.uk/e/basingstoke-people-planet-pint-sustainability-meetup-tickets-658446991677?aff=ebdssbdestsearch,Small99,https://www.eventbrite.co.uk/o/small99-32771843245,"Whether you're a sustainability professional, small business owner, local council/government worker, student, consultant, looking to switch careers, or anything else besides, come down and meet others interested in sustainability. No agenda, workshops or webinars. Just chat over a drink.This relaxed event brings together those with a shared passion for sustainability in all its forms.We meet monthly to chat about what's going on in the Net Zero / Sustainability space, ""network"" and meet others who are interested in the industry.Let's see where the conversation, and night, takes us!Chat with other industry experts and talk directly to business owners facing the challenges you're trying to solve. Find others who can collaborate and help you on your journey and have fun doing so!Your Volunteer HostKaia Vincent is the Founder and Director of Brevity, a sustainable marketing agency in Basingstoke, Hampshire.  Kaia is a Marketing Fellow with over 25 years’ marketing experience – focussed on SMEs. She established her marketing agency in 2010 and now employs a seven-strong team.  In addition, she is a trustee for M3 Job Club in Basingstoke and is currently training to be an independent visitor for a child in care. Currently at the final stages of BCorp Assessment and Verification, Brevity is passionate about supporting people and planet. And what better way than over a pint!Our Sponsor KRYSTAL are an award-winning, 100% green web hosting provider,  with datacentres in the UK, US, & Europe. They are climate positive, and their approach centres on value, quality and transparency. We are delighted to announce our partnership with Krystal (the UK's only B Corp web hosting/cloud provider), and welcome them on board as sponsors  of the People, Planet, Pint events. This means the first 33 drinks are on Krystal at every event, and has allowed us to invest and upscale the series to accelerate action on climate change.About UsSmall99 is a platform that guides small business owners to Net Zero and avoids the overwhelm. Small99 organises the PPP events, with the belief that bringing people together will spark unexpected solutions to collaboration in tackling climate change.Simon Blackler is the founder and CEO of KRYSTAL, and Co-Founder of MillionTreePledge."
