event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.at/e/kick-start-business-sustainability-with-celemi-sustainabilitytm-demo-tickets-665127212397?aff=ebdssbdestsearch,make SHIFT happen,https://www.eventbrite.at/o/make-shift-happen-62677048513,"Join us for a 60-minute webinar to experience how make SHIFT happen is helping businesses tackle today's sustainability challenges with a fun, interactive, gamified approach that provokes thought, conversation and action.We'll demonstrate how a world-class simulation can bring the thorny topic of sustainability to life and get people across your business engaged and involved.We look forward to meeting you there."
https://www.eventbrite.com/e/government-outlook-on-sustainability-policies-monthly-sustainability-group-tickets-546502532787?aff=ebdssbdestsearch,HAYVN Coworking,https://www.eventbrite.com/o/hayvn-coworking-20026119377,"About HAYVN's Sustainability and Social Impact Group: If you are interested in learning about Sustainability and exploring topics/trends to make a difference please join us. You'll hear from experts, have social impact in our community, connect with like-minded peers. This group brings like-minded people together to help our planet, and ourselves, build a more sustainable future.HYBRID EVENT: Monthly meetings are free, in-person at HAYVN or by joining virtually - you decided when you register. Please register only once. If you signed up to attend this event in person but later on decide to attend the event virtually, don't sign up again, just reply to the confirmation email and we'll send you the Zoom link. SIGN UP IS OPEN NOW. More information on speakers and event still to come.QUESTIONS? Contact questions@hayvn.comCAN'T MAKE THIS EVENT? Get on our email list for future event notifications.CURIOUS ABOUT HAYVN?  Book a tourWANT TO SEE MORE? View our full calendar of eventsLEARN MORE about HAYVN's Sustainability and Social Impact group."
https://www.eventbrite.co.uk/e/the-sustainability-show-manchester-tickets-523717391817?aff=ebdssbdestsearch,Frontier Events,https://www.eventbrite.co.uk/o/frontier-events-14731017319,"The Sustainability Show is the UK’s first large scale consumer show aimed at helping you tackle the Climate Crisis. It kicks off this year in Manchester - and it's FREE.H﻿ead down to Manchester Central for a weekend packed with sustainable ideas, brands and eco-pioneers - all in one place.We all want to help the planet but often get overwhelmed, and that's where The Sustainability Show steps in with the best brands, products, services, tips, hacks and more.S﻿upercharge your impact, more easily. Switch to the most sustainanble options, confidentially.S﻿hop guilt free with total ease, total trust and total delight.This packed, fun show helps you cut down the noise, understand the most eco-friendly things to do and inspires you to take action at home.What’s on...W﻿e're SO excited to welcome Hamza Yassin (cameraman and Strictly winner) to our main stage on Saturday 9 July for a keynote talk and a meet and greet session. Low waste chef and author, Max La Manna on Sunday 9 July, Max will be doing a talk, cooking demo and book signing.Your free ticket gets you entry to our exclusive live debate with Manchester Mayor Andy Burnham, Metro Mayor of Liverpool Steve Rotherham and the North West Youth Council about the future of renewables at 9.30am, Sat 8 July - come down early and have your say! We want you to come down and share your thoughts.P﻿lus the first 50 people through the doors on Sat 8 July for the debate get a free goodie bag worth £60.T﻿esla will be operating a test drive track to try out their latest EV cars - book your free slot via our Link in Bio on our Instagram.P﻿ick up expert tips and tricks at our panel talks on how to reduce the impact of your outfit, how to use your voice for environmental causes and how to eat good food that helps the planet. Here’s what you can find at the Sustainability Show at Manchester Central…Pick up realistic and actionable tips and tricks from our sustainable expertsBe inspired by and meet vegan chefs, sustainable authors and conservationistsGet up close and personal with the UK’s best eco-friendly brandsLearn how to be a savvy, circular consumerShop our exclusive secondhand fashion storeDrop in to our hands on workshops focusing on repair, upcycling, mending and makingJoin us for free daily mindfulness sessionsKids will love our drop in eco crafts and seed planting workshopsMeet other conscious people at our collaboration with People, Planet, Pint in a nearby pub from 6pm on Saturday 8 JulyAll of our tickets this year are FREE but they are limited. Grab your space today!U﻿nder 5s do not need a ticket. Assistance dogs only."
https://www.eventbrite.nl/e/african-food-festival-rotterdam-tickets-602371227557?aff=ebdssbdestsearch,Unity in Diversity Rotterdam,https://www.eventbrite.nl/o/unity-in-diversity-rotterdam-39435055503,"African food festival  is gericht op culturele uitwisseling en het vieren van het Afrikaansecultuur in de meest trendy stad van Nederland. ❖ Food		 ❖ Art		  ❖ Music   ❖ Kids’ activities   ❖  Live actsA﻿frica united ❤️"
https://www.eventbrite.nl/e/tickets-druif-fier-bussum-521073744597?aff=ebdssbdestsearch,Wijnfestival Druif,https://www.eventbrite.nl/o/wijnfestival-druif-37327696533,"Deelnemers:Food:Trev's Soep & SmullokaalHendrikse Slagerij & CateringEchte Liefde Kaas & DelicatessenF﻿ish & Wine by DruifWine:Wijnkoperij Henri Bloem BussumWijnhandel Eduard MolIl diVino Wijnwinkel BussumS﻿iersma WijnadviesOttovinoW﻿ijngaard ZonnestraalZondag 9 juli 13.00 – 20.00 uurFier in teken van 2e Bussumse wijnfestival DruifZondag 9 juli vanaf 13.00 uur staat Fier, aan de Abraham Kuyperlaan in Bussum, in het teken van de eerste Bussumse editie van het wijnfestival Druif. Regionale ondernemers zetten dan hun beste beentje voor om de bezoekers te trakteren op spannende wijnen en heerlijke gerechten. Het geheel wordt omkleed met livemuziek in het unieke fort Fier.Bij Druif staat de wijnDRUIF centraal. De smaakpapillen kunnen worden verwend door foodspecialisten.“We kijken reikhalzend uit naar Druif bij Fier, een unieke locatie naast Spant! in Bussum. We  zijn blij dat we in het rijksmonument en werelderfgoed van Unesco terecht kunnen en daarbij ook gebruik kunnen maken van de boerderij voor workshops en masterclasses. We beschikken over alle ingrediënten om een groot succes te maken van de 2e editie van Bussumse Druif!”"
https://www.eventbrite.nl/e/tickets-full-colour-innercircle-605809471437?aff=ebdssbdestsearch,La Fuente,https://www.eventbrite.nl/o/la-fuente-30590660098,"After 19 insane editions, we're going for another holy sh*t experience! It's time to reset the levels: Full Colour Innercircle, we go to church!What was good, became better and we turned the better into something even more special. This is Full Colour Innercircle: A story only we can tell with an exclusive full night set by La Fuente. Tech house music at it’s best with a virtually unparalleled energetic stage performance, unique theatrical acts, special effects and the best tech-house music has to offer. Approaching the limits of appropriate and inappropriate in a sophisticated way. It’s a story we tell and we invite you to take part in it to experience the vibrancy and to feel the fascinating nature that Full Colour Inner Circle has to offer..Ready to experience this most colourful, music filled, energetic and exclusive show? Take part in our story here!DOORS:21.00 EVENT DOORS OPEN: Walk-in22.00 EVENT DOORS CLOSE: Event starts (we all start the event together) 02.00 EVENT ENDSAGE: 21+DINER: THE LAST SUPPERWant to start the magic early? Join our exclusive all-in dinner, limited to 100 unique spots, where your Full Colour Innercircle night starts even before the event! We're setting up a table for our ""Last Supper"" in the chapel at the venue for the few who get to be part of this intimate Innercircle where we get an exclusive early start to the evening!DOORS:18.30 WALK-IN EXCLUSIVE DINNER19.00 EXCLUSIVE DINNER21.00 END EXCLUSIVE DINNERIMPORTANT NOTE:Any allergies or dietary restrictions? Let us know before september 22nd via email: kim@djlafuente.com and we'll take care of it all!And during the dinner: we'll make sure you have your tickets scanned and you'll be able to get your drink coins before you enter the Full Colour Innercircle!The Last Supper is provided by the magicians from Victoria by Goyvaerts.HOTEL: EXTEND THE MAGICWant to extend the magic? Use our promo-code: FCIC to book your stay at Marienhage hotel, located inside the Full Colour Innercircle venue! Book here : Extend The Magic  IN THE NAME OF THE LA FUENTE, THE MUSIC AND THE INNERCIRCLE: AMEN.."
https://www.eventbrite.co.uk/e/90s-silent-disco-in-the-waalse-kerk-amsterdam-tickets-630240705917?aff=ebdssbdestsearch,Silent Discos in Incredible Places,https://www.eventbrite.co.uk/o/silent-discos-in-incredible-places-55836839893,"Following a Sold Out tour which swept across some of the UKs most beautiful Cathedrals & inspiring places... An experience like no other is coming to Amsterdam for the first time!A 90s Silent Disco in the Waalse Kerk, Amsterdam! ⛪️ ✨Expect Amsterdam's best 90s DJs playing all your favourite tunes inside the stunning & illuminated surroundings of Waalse Kerk!W﻿e only have a limited number of tickets available for this event so get yours quickly to avoid missing out!________________________________Venue: Waalse Kerk - AmsterdamDate: Saturday 8th July 2023 Session1 = 5:45pm - 8:15pm Session 2 = 8:30pm - 11:00pm📣 WHAT TO EXPECT 📣🥂 A UNIQUE EXPERIENCE YOU DON'T WANT TO MISS🔥 WAASLE KERK ILLUMINATED LIKE YOU'VE NEVER SEEN IT BEFORE🎧 3 DJS PLAYING YOUR FAVOURITE 90s POP / PARTY / DANCE / RNB💖 100'S OF LIKE MINDED 90s FANS💫 STATE OF THE ART LED HEADPHONES WITH 3 CHANNELS TO CHOOSE FROMThis is strictly a 18+ event! Valid photographic I.D. may be requested on entry*﻿limited cloakroom spaces available**Please note that in-line with normal consumer standards for ticket purchases, tickets  are non-refundable unless we move or cancel the event. Should you no longer be able to attend, you are welcome to gift or sell your tickets onwards as we do not check names on tickets as a condition of entry*"
https://www.eventbrite.co.uk/e/netherlands-sins-poison-of-the-heart-with-shaykha-dr-haifa-younis-usa-tickets-633482171227?aff=ebdssbdestsearch,Al Buruj Press,https://www.eventbrite.co.uk/o/al-buruj-press-5887911881,"Sins: Poison of the Heart with Shaykha Dr Haifa Younis (USA)Taught for the 1st time in the Netherlands! We all sin, on a daily basis. However, in many cases, we are unaware and neglectful of the sins (acts of disobedience to Allah) we commit, or we underestimate the consequences of sins on us, our relationship with Allahﷻ, other people, and even the environment.In the current times we find ourselves in, we are constantly surrounded by opportunities and temptations to sin. We need to ensure we learn from the religious teachings of the past to be able to deal with the reality of the intensive and busy contemporary times that we are living in now.The following topics in relation to sins, will be discussed: •	Definition and understanding of the word sin according to the Qur’an and Hadith.•	Difference between major and minor sins.•	Most common types of sins in Islam.•	The effects of sins on our relationship with Allah ﷻ.•	Will Allah ﷻ forgive me?•	Will others get affected because of my sins?•	Are all the sins the same?•	Do all sins have consequence?Special Guest Speaker:Shaykha Dr Haifa Younis (USA) Price: €25 early bird discount, €30 after the 30th June 2023 (No kids under 7), small eventbrite fee also appliesDate: Saturday 8th July 2023Time: 6:30pm-9:30pm (Doors open from 5:30pm) Venue: Partycentre Luxury Utrecht16-18 Californiëdreef, Utrecht, UT, 3565 BL, Limited Free parkingFor more info and to book, please visit:  https://HYounisAM2.eventbrite.co.uk No refunds accepted under any circumstances unless requested 17 days or more before the event. Any ticket(s) brought within 17 days of the event is non refundable. Kids under 7 are not allowed on this course. Kids 7 years and above normal ticket rules apply. We reserve the right to change the content of the schedule on the day or have any extra presentations without any approval or notice. By enrolling, you agree to Al Buruj Press being in contact with you with regards to future events/courses, trips and campaigns. Your information is not shared with any 3rd party."
https://www.eventbrite.nl/e/free-flow-2024-pre-registration-tickets-657942532827?aff=ebdssbdestsearch,World Fish Migration Foundation,https://www.eventbrite.nl/o/world-fish-migration-foundation-19732673535,"Free Flow 2024 is an international conference on protecting and restoring free-flowing rivers that is gathering policy makers, river managers, ecologists, researchers, students and industry. Rivers are under threat and freshwater biodiversity in decline. More than ever, the need to find solutions to build climate resilience and safeguard rivers that adapt to a changing environment becomes pressing for the future of nature and people.The event will take place in Groningen (NL), and it is expected around 400 delegates from all over Europe and the rest of the world. Full programme will be announced in early December.This is pre-registration. The delegate fee will be announced when registration opens on September 1st. The fee for two days will be around 150 - 200 euro, with additional fees for the dinner and field trips should you wish to attend those. Visit Free Flow 2024 website! Pre-register so you don't miss any updates!"
https://www.eventbrite.be/e/tickets-fashion-beauty-congress-489314000347?aff=ebdssbdestsearch,RetailDetail,https://www.eventbrite.be/o/retaildetail-23442183603,"Fashion & beauty Congress 2023T﻿aking care of tomorrow's shoppersHow can the fashion and beauty sector reinvent itself in the face of a circular economy? We dive into the trends, from personalisation and sustainability to technological retail innovations and virtual influencers.With I﻿ne Verhaert & Helga Meersmans - KAAI NVM﻿aud Loonen - KruidvatFind information on our website! RetailDetail.be PriceRegular ticket  €445 (excl. servicekosten & BTW)LanguagePresentations and slides are  in Dutch, unless stated otherwise on our website.Program10u00: Welcome10u30: Keynotes part 112u00: Lunch Break13u00: Keynotes part 214u30: Break15u00: Keynotes part 317u00: Networking, drinks and bites"
