event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/sustainability-fair-2023-exhibitor-and-vendor-signup-tickets-495180055877?aff=ebdssbdestsearch,Waukesha County Green Team,https://www.eventbrite.com/o/waukesha-county-green-team-19833446039,"Discover. Connect. Engage.The fourth Sustainability Fair will be held at Retzer Nature Center on Saturday, August 26. The Fair will include interactive exhibits, expert presentations, planetarium showings, and guided activities for children and adults that celebrate environmental sustainability and show how it can be approachable, economical, and fun!Bring your organization to over 1,000 ecologically minded visitors of all ages. U﻿se this Eventbrite form to register your organization, nonprofit, or business as an exhibitor or vendor at the Sustainability Fair. This form is for exhibitors to purchase space to sell their goods and services and/or educate about their mission. Admission to the Fair is FREE for visitors.The Fair is open from 9:30 am to 3:00 pm. Exhibitor setup begins at 8:00 and takedown concludes at 3:45 pm. For additional mutual benefit, consider the promotional partnership and support offered through becoming a Sustainability Fair Sponsor.Early Bird Discount and Other Deadlines:T﻿he Early Bird Registration deadline for a $10 discount is May 15.To ensure inclusion in printed promotional materials, please register as an exhibitor or sponsor by July 28th.  Final deadline for exhibitor or sponsor registration: August 18th. All payments must be made in full by August 18, 2023.Learn more by accessing our Exhibitor and Sponsor Packet. FAQHow can I contact the organizer with any questions?Email us at sustainabilityfair@waukeshacountygreenteam.org.What is available at Retzer, and what should I bring? How much space will I have? Outdoor exhibit spaces, reachable by paved trails, will be on relatively even ground, shaded and approximately 10 feet by 10 feet. Food vendors will have an outdoor paved-surface location. Because of the varieties of presentations and activities available throughout Retzer's beautiful grounds, we expect plentiful foot traffic in all locations.Along with exhibit materials and signage, exhibitors are asked to provide their own tables, chairs, and tents. In case of wind, tents and awnings should be secured with weights. No guy ropes or stakes, please."
https://www.eventbrite.com/e/refuge-recovery-tickets-673040501257?aff=ebdssbdestsearch,Enlightened Living Center,https://www.eventbrite.com/o/enlightened-living-center-33498659593,"Refuge Recovery is a FREE monthly support group where all are welcome! Our primary purpose is to offer a Buddhist- inspired path to recover from addiction of all kinds.  We take our guidance from the ""Refuge Recovery"" book by Noah Levine.  I will have a few books that I will lend for use during meetings.  This book may also be purchased online (Amazon).  Meetings are simple and consist of a welcome, time of meditation, shoprt reading from the book and recovery group sharing.W﻿e hope you will come and make this a weekly part of your addiction recovery journey!*﻿ For questions call Erin Huemann @262-206-1818 or email erinhuemann@gmail.com"
https://www.eventbrite.com/e/womens-betrayal-recovery-support-growth-group-tickets-654077000917?aff=ebdssbdestsearch,Social worker with over 25 years experience,https://www.eventbrite.com/o/social-worker-with-over-25-years-experience-67038295023,"This is a four part group: July 6, July 20, August 3, August 17.  $160.00 payment is for all four sessions. Please email with questions.A support and growth group for women 18 yrs or older, who have experienced betrayal by a partner in an intimate relationship, regardless of the status of the relationship or when the betrayal took place. This group is not twelve-step based, not religious based  and not intended to provide relationship advice or treatment.  It is a safe, non-judgemental space where discussions are guided by a licensed clinical social worker with over 25 years experience.  Group focus is on women supporting other women in their healing journeys through personal recovery work, processing emotions, building resiliency and creating a vision of hope.This group is held in a private setting within the McHenry County Mental Health Board building in Crystal Lake, and is limited to 8 participants.Thursday evenings, 6-7:30 pmJuly 6, 2023July 20, 2023August 3, 2023August 17, 2023Cost: Four sessions for $160.00Email Healingtcgroups@gmail.com with questions and for information on how to registerAll of us need places where we canSimply name what is true for us.And when that happens in an atmosphereof non-judement something in us heals.Every single time.-Carmen Wilde"
https://www.eventbrite.com/e/organic-farm-brewery-tasting-tour-tickets-611506210537?aff=ebdssbdestsearch,River Saint Joe Brewery,https://www.eventbrite.com/o/river-saint-joe-brewery-64011937783,"Want to learn more about the brewing process and natural hop production? Then look no further!Located on a 180-acre Organic farm, River Saint Joe is a true farmstead brewery. Flatwater Farms grows 10+ varieties of hops, and countless fruits and veggies during the warmer months. In this tour you get the inside look into our brewing process, our farming techniques, and the ways that we practice sustainability on a daily basis!

2023 Tour Dates: May 21st, June 17th, July 16th, August 20th, September 17th, October 15th

The tour begins at 11 am EST and lasts approximately 45 minutes.  

A tasting of three 5oz beers is included in the tour.

Tasting tours are limited to 20 guests.

The cost is $20/person.

Reserve your spot by purchasing a ticket below!"
https://www.eventbrite.com/e/embrace-a-wellness-retreat-tickets-649306813157?aff=ebdssbdestsearch,Blumen Gardens,https://www.eventbrite.com/o/blumen-gardens-15029779114,"Indulge in relaxation and self-care at the Embrace: Wellness Retreat at Blumen Gardens . Embody inner peace with a rejuvenating sound bath and guided meditation, connect with your body with Kundalini Yoga, cultivate growth through inspiring workshops and savor a delicious farm-to-table lunch. Come together with like-minded women and leave feeling refreshed, inspired and ready to Embrace all that life as to offer.Take a step towards self-care and join us from 9AM to 3PM- along with our wonderful instructors to discover the power of mindfulness, self-love, and healthy living in a supportive and nurturing environment."
https://www.eventbrite.com/e/postponed-the-next-evolution-exploring-the-metaverse-tickets-237748581407?aff=ebdssbdestsearch,VR/AR Chicago,https://www.eventbrite.com/o/vrar-chicago-17449053313,"We had hoped that 2022 would be the year we could increase the scale of physical events, but the Omicron variant is making those plans questionable. Many of the events and organizations we are working with have already cancelled, postponed, or significantly scaled back the physical events they had planned for the first half of 2022, to help mitigate the spread of COVID.Keeping in line with the guidance we are hearing from other professional event planning organizations, we have made the difficult decision to postpone our ""Exploring the Metaverse"" return to physical events. It had originally been planned for March 2, but will be postponed to a later date. We hope to be able to host this event in 2022, and will reserve the topic of the Metaverse for a date when we can return to physical in-person meetings. However, we feel at this time it is best for our audience, presenters, partners and staff to prioritize everybody's health and safety. Details:Is this the Metaverse? Is this just Fantasy?The idea of ‘The Metaverse’ is expansive, still evolving, and not collectively agreed upon yet. It has many of us scratching our heads and coming up with a slew of existential questions. What does this mean, how will it affect me, and what does it mean for our future and children growing up in it?Coinciding with Chicago's Birthday, VRAR Chicago welcomes physical audiences back to our first in-person event since the beginning of the COVID pandemic.Our venue, 1871, is named after the year of Chicago's rebirth after the Great Fire. This great city is once again poised to redefine itself. We now ""return"" to a new normal, following two years of social distancing and immersive technology acceleration. On March 2nd, city and technology leaders will join us to present: The Next Evolution: Exploring The Metaverse.The event will explore the transformational combination of virtual and augmented reality with mobile and internet technology, as they all combine to evolve the way we work, play, and live here in Chicago and beyond.Covid Policy for Physical EventsVRAR Chicago is committed to keeping our Chicago community safe.Proof of Vaccination RequirementAll guests will be required to show state-issued ID along with proof of vaccinations of the final shot of immunization regime over two weeks prior to event via card or photo of proof.Face Coverings RequiredIn all common areas when not actively eating or drinking. What's The Format:The primary event will be held at 1871: 222 W Merchandise Mart Plaza.More details TBA: https://www.vrarchicago.com/metaverseAttending Virtually: We will be using Virbela's Open Campus to host the virtual aspects of the program. We suggest that you download, set-up, get familiar with the Virbela program (virbela.com/download) and environment prior to the program, as we will be unable to provide support during the event. The event will also streamed on Facebook.com/VRARChicago  (facebook.com/VRARChicago/live_videos/).The virtual environment resembles a physical space, so you will be able to talk with other attendees during open networking both before and after the presentations. The sound is spatialized, so if at any point it feels too loud, feel free to move your conversation to another part of the room where there are less people. We begin with informal networking and then start the stage portion promptly at 6:15pm CDT. There will be a handful of presentations before we move on to answer audience questions and then finish with more networking. We keep it simple and informal - this MeetUp is about you, our members, and not the host or presenters. Come and get your questions answered, take your next step into immersive technology.Host:Matt Wren - BUNDLARConfirmed Panel:Details Coming Soon...About Our Panelists' Companies:   Details Coming Soon...For more details about our presenters or their companies, please visit the event page on VRAR Chicago's Website.Thank you to our sponsors, 1871, BUNDLAR, and Virbela for providing venue, management, marketing & logistics support and to our partners 2112, VR Motion Learning, XR Women, & International Game Developers Association Chicago (IGDA Chicago) to the VRAR Chicago event series: The Next Evolution."
https://www.eventbrite.com/e/helping-you-reach-your-retirement-goals-tickets-623709591177?aff=ebdssbdestsearch,Maryniw Financial,https://www.eventbrite.com/o/maryniw-financial-64891894663,"A FREE luncheon will be held on Wednesday, July 19th from 11:30-1:30pm  in the Solarium Room at Prairie Lodge, catered by Jameson's Charhouse  to inform and educate on investment strategies.  This opportunity is limited to the first 25 people so make sure to register today!I﻿f you would like to have a meeting to discuss your personal options before July 19th,  please call me at 847.658.9251.  I would be happy to meet with you.T﻿erry Maryniw"
https://www.eventbrite.com/e/temeritys-4th-annual-fashion-show-tickets-670247356887?aff=ebdssbdestsearch,Temerity Boutique,https://www.eventbrite.com/o/temerity-boutique-34307469909,
https://www.eventbrite.com/e/forgiveness-its-time-to-heal-tickets-673956491007?aff=ebdssbdestsearch,Liberty Temple Bolingbrook,https://www.eventbrite.com/o/liberty-temple-bolingbrook-18416439947,Every Sunday we invite you to experience the freedom and power of forgiveness!  God loves you and wants to give you another chance! Join us!
https://www.eventbrite.com/e/wrap-wellness-recovery-action-plan-tickets-623754645937?aff=ebdssbdestsearch,NAMI (National Alliance on Mental Illness) Metro Suburban,https://www.eventbrite.com/o/nami-national-alliance-on-mental-illness-metro-suburban-17629545979,"What is WRAP?WRAP is an 8 week course designed to help develop a personalized plan to manage symptoms and achieve your recovery goals. The Wellness Recovery Action Plan is a self-designed prevention and wellness process that anyone can use to get well, stay well and make their life the way they want it to be.WRAP Will Help You:WRAP will help you discover your own simple and safe Wellness Tools. During the course of 8 weeks, you will develop a list of things to do every day to stay as well as possible and to identify upsetting events and early warning signs that things have gotten much worse. You will compile and use Wellness Tools to develop action plans for responding at these times.This is an 8-week, in-person class starting on June 15th and occuring every Thursday until August 3rd, 2023.P﻿riority registration will be for Oak Park residents and individuals who have NOT taken WRAP prior."
