event-href,organizer_link,organizer_link-href,full_description
https://www.eventbrite.com/e/seasons-tickets-627132499187?aff=ebdssbdestsearch,Lifestyles Events llc,https://www.eventbrite.com/o/lifestyles-events-llc-14076230674,"Seasons Summer Extravaganza,The ulimate day party curated by Event Manager Chantell of Lifestyles Events.  Executed with love! You can expect top notch service from an amazing team, breath taking ambience & a whole lot of vibes.  This years location on a beautiful rooftop with an amazing skyline view of the city.  You don't want to miss it!The Event this year is food inclusive for the first three hours."
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-friday-july-28th-pm-session-tickets-665620748577?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/health-wellness-and-business-expo-queens-ny-tickets-629610270267?aff=ebdssbdestsearch,The Health Wellness Network of Commerce and Trust,https://www.eventbrite.com/o/the-health-wellness-network-of-commerce-and-trust-5360767521,"The Health, Wellness & Business Expo is designed for Businesses, Practitioners and Service & Product Professionals, to highlight how you benefit the health-conscious consumer.We are dedicated to promoting and sharing WELLNESS EDUCATION through breakthrough SERVICES, PRODUCTS and INFORMATION in Health, Wellness, Sustainability, Spirituality, Financial Wellness and overall Healthy Lifestyles, as well as contributing in our communities to the QUEST for SUCCESS.JOIN US! DO NOT MISS OUT!Click on Tickets NOW to exhibit and showcase yourself at the event!Exhibitor ticket Price and Benefits$﻿297 Till September 30th, 20236 foot covered table (with white tablecloth)2 chairsYour logo on all our Social Media Efforts and on passport given to attendees7﻿ Attendee Tickets (Valued at $10 each at the Door)Exhibitor Ticket Plus Speaker Ticket Price and Benefits: ONLY 10 SPOTS AVAILABLE$﻿594 Till September 30th, 2023There  will be No Speaker Spots Available After May 15th or After all 10 Spots are Sold Out which can be before.Exhibitor 6 Foot Table (with white tablecloth)2 chairs• 25-minute speaker spotlightYour picture on Our Social Media EffortsYour Picture and Company on the passport given to AttendeesThe Title of your talk and Audience Takeaways on all our Social Media7﻿ Attendee Tickets (Valued at $10 each at the Door)*﻿*electrical available for an additional feeOrganizer of Health, Wellness and Business Expo Westchester: The Health and Wellness Network Of Commerce Centers & Trust (HWNCC.com)HWNCC Mission Statement:  Our mission is to provide a platform for health and wellness professionals, practitioners, service and product providers to network with corporate professionals while providing a sustainable support system for both.For more information Please Email us at info@hwncc.com or call 917-825-9322*** Space will Sell Out Fast get your Spot Today ***"
https://www.eventbrite.com/e/community-storytelling-event-kids-who-have-changed-the-world-tickets-639886436557?aff=ebdssbdestsearch,"Northeast Earth Coalition, Inc.",https://www.eventbrite.com/o/northeast-earth-coalition-inc-16050913366,"The Northeast Earth Coalition and  Our Lady of Mt. Carmel Oratory (St. Teresa of Calcutta Parish) and the Community Outreach Program  have partnered to host a community storytelling gathering on Sunday, June 11, at 3pm at the auditorium of the Our Lady of Mt. Carmel Oratory. Join us with your kids for this inspirational event. When it comes to making this world a better place, we can see how our children can make a difference at any age.Readers will be sharing beautiful and inspirational stories about children who transformed our world by promoting social justice, sustainability in economically disadvantaged communities, race and gender equality, and environmental protection.Come hear their amazing inspirational stories, and your children may want to share their own!Among the readings will be the story of Kelvin Doe, one of Sierra Leon's most famous inventors; Marley Dias, the activist behind the #1000BlackGirlBooks twitter phenomenon; worldwide environmental activist Greta Thunberg.Jaylen Arnold is one of the featured children. After being diagnosed with Tourette's Syndrome, Asperger's and OCD, Jaylen was bullied by peers. The bullying worsened the symptoms of his disabilities.  That led Jaylen to found the Jaylen Challenge Foundation, which has educated more than 100,000 kids on recognizing bullying behavior and understanding each other differences.Another featured story is that of Malala Yousafzai, who at 17 became the youngest Nobel Prize laureate for her humanitarian efforts and advocacy for women education. There is also Sophie Cruz, who made a name for herself at five years old when she visited Washington D.C. with her family. Representing an L.A. based immigration advocacy group, they delivered a letter to Pope Francis urging him to speak out on behalf of undocumented immigrants. The Pope discussed the issue in a meeting with Congress the following day, and Cruz's activism earned her a meeting with President Obama.The Northeast Earth Coalition is a 501(c)(3) tax exempt, and volunteer driven non-profit organization. We do not receive public funding and rely on individual donations.  Help us to continue providing community support in northern New Jersey."
https://www.eventbrite.com/e/the-triumph-of-a-homeless-woman-the-story-of-an-overcomer-tickets-631239242567?aff=ebdssbdestsearch,Clark Clyburn,https://www.eventbrite.com/o/clark-clyburn-65148810573,
https://www.eventbrite.com/e/sacred-geometry-celebration-live-5-day-intensive-training-nyc-august-tickets-633787654937?aff=ebdssbdestsearch,Roger Green,https://www.eventbrite.com/o/roger-green-34421929557,"A Grand Unification of the Sciences, Arts & Consciousness - with some of the most experienced Sacred Geometry practitioners and teachers in the world. INTRODUCTION Evening - open house with wine, drinks and food.August 17th, 7pm. Introduction to the 5 day intense training with Scott, Melodi and Lance. Hosted by Roger Green and the Academy Sacred Geometry Cash at door $20. Prebooking via email essential. Venue: 242 East 53rd Street, Manhattan, INTENSIVE TRAINING: August 18-22, 9.30-5pmVenue: 242 East 53rd Street, NYC NY 10022.Early payment tuition fee:  $1100 by 30th June includes open house / introduction evening After 30th June tuition is $1350 (save $250)Inquires: info@academysacredgeometry.comSome scholarships are available...If you are under 30 years old and want to study with some of the foremost sacred geometry teachers in the world, we have 6 scholarship positions that includes shared accommodation at our center (3 male and 3 female). There is a reduction in tuition fee and savings for accommodation. You will be required to help out over the 5 day event including the open house on August 17th.info@academysacredgeometry.comSacred Geometry is a study of the universal language of truth, harmony, beauty, proportion, rhythm and order.  It is a blueprint of creation, an interface between the seen and unseen, the manifest and un-manifest. It is often described as the Architect of the Universe. Sacred Geometry is a term used to describe the patterns, shapes, and proportions found in nature and the cosmos, which are believed to have spiritual and metaphysical significance. It is the study of the inherent order and symmetry present in the universe. These geometric patterns are fundamental to understanding the nature of reality, and that they can help us unlock the secrets of the universe.Certain geometric shapes and ratios have specific energetic properties. For example, the golden ratio (also known as phi) is a mathematical ratio that appears frequently in nature, from the spirals of seashells to the proportions of the human body. We will deep-dive into a visual and educational extravaganza of how the Geometric Principles of Nature, Cosmos and the Ageless Wisdom lie behind an imminent Grand Unification of the Sciences, Arts & Global Consciousness.Throughout the history of the world, a hidden undercurrent of Ageless Wisdom (arising through the Mystery Schools, initiation and other transformative experiences) has existed alongside the traditional body of academic education.The student will depart from this course with a solid understanding of the Geometric Principles underlying the current Renaissance in the Sciences, Arts & Consciousness, together with a meaningful selection of Geometric Drawings & 3-D Constructions that will help illustrate this revelatory experience. What we will cover in this in this LIVE Face-to-Face Workshop (but is not limited to) :1.	  Cracking the Code of Plato’s Secret Doctrine – and Uncovering the Underlying Principles.2.	  The resulting golden mean number system and its central role in the Sciences, Arts & Consciousness.3.	  The Sacred Geometric Principles of Nature – focusing on bio-mimicry, ecology & sustainability.4.	  The Human Body – Aesthetic Canons of Proportion and Energetic Transformation.5.	  Sacred Measure, Golden Mandalas & Transformative Experience amongst the Ancient Egyptians, Chinese, Hebrew Kabbalists, Greeks, Aztecs, and Florentine Renaissance artists & philosophers.6.	  An enhanced group of drawings and 3-D geometric constructions, including Metatron’s Cube with the Flower of Life, Golden Chalice of Orion, Felt’s Mystic Kabbalistic Figure, the Golden Mandala, the 5 Platonic solids (including illustrative Archimedean & Catalan solids) and assemblage of a Golden Ruler.7.	  Resonance, Attunement and the Transformation of Consciousness. What it means to live in a Fractal Holographic Universe with Self-Similarity at each level, and the potential of the Whole Universe enfolded into each Part. In essence, we will “see” How the One becomes Many, and get a pretty good idea of How Each of the Many may return back unto the One.Scott Olsen, Ph.D. will focus on Sacred Geometric Principles related to:1.	The unveiling of Plato’s Secret Doctrine – fully revealing Plato’s Mystery of the One and Indefinite Dyad. Note: Pythagoras and Plato were both initiated into the Egyptian and Eleusinian Mysteries and were thus under the Sodalian oath of silence. Nevertheless, both maintained an oral doctrine or “agrapha dogmata,” their so-called Secret Doctrine.2.	The significance of numerous Biometric Anomalies – pointing again and again to the golden mean number system as the substructure of all reality, abductively leading to a Grand Unification of the Sciences, Arts and Consciousness.  3.	How this ubiquitous presence of the golden mean number system has emerged at the heart of quantum mechanics (including quark masses, chaos border, fine structure constant and entanglement), nanotechnology, crystallography, cryptography, genetics, DNA structure, biometric measurements of skulls, cardiac anatomy and physiology, phyllotaxis, weather turbulence, planetary orbits and sizes, black holes, dark energy, dark matter, and even cosmogenesis – the very origin and structure of the universe. 4.	And the realization that the golden mean number system lies at the heart of aesthetics, where form, function and performance coalesce in Beauty, Truth and the Good.The related drawings and philosophical insights:1.	The Golden Rectangle leading to the Golden Chalice of Orion – a single composite drawing showing how root two, root three, and the semi-elevation of the Great Pyramid arise naturally out of the Golden Section – the Primordial Scission.2.	George Henry Felt’s rediscovery of the Star of Perfection along with the Egyptian, Kabbalistic & Greek Canons of Proportion. Note: Felt’s lecture on this topic in H.P. Blavatsky’s apartment (here in New York city) was the catalyst for the founding of the Theosophical Society.3.	Discussion of how the hexagram (6), pentagram (5) and septagram (7) are involved in initiation and the transformation of consciousness.4.	A discussion (along with Harding) of the Mystery surrounding the 3 Means (Geometric, Harmonic and Arithmetic) and their special relation to the Series of Golden Powers.5.	A recognition of what we are actually doing: solving the greatest philosophical puzzle: “How does the One become the Many?” And further: “How do each of those Many return back to the One?” Recall Heraclitus: “The Way Up & the Way Down are One & the Same.”Melodi will focus on Sacred Geometry related to: 1.	The unveiling of Nature’s Genius by deep looking into her design processes using an art & science approach. This is to understand how she builds up synergistically from micro to macro, part to whole and vice-versa.2.	Meeting with Nature, our great mentor’s teachings of Life’s Principles from the fields of biomimicry, ecology and sustainability. 3.	Geometry of Space & Time within the perspective of the form and function core-relation.4.	Qi-Gong knowledge connected with our body and its movements in Traditional Chinese Wisdom. 5.	Visualization and experiencing our own unique self-expression.The related concepts, philosophical insights and drawings & constructions:1.	Free hand drawings analyzing nature’s shapes and forms.2.	Metatron’s Cube drawings and their relations with Sacred Geometry.3.	Part to whole relation as in natural building up processes with individual intuitions and teamwork experience. 4.	3D constructions of Platonic and some Archimedean and Catalan solids.5.	Golden Ruler construction along with experiencing nature’s Golden Section.Lance will focus on Sacred Geometry concepts and drawings related to:1.	The Golden Mandala geometric analysis of the Dendera Zodiac and The Aztec Calendar.2.	Solomon’s Temple, the Tabernacle of Moses & the Arc of the Covenant.3.	DaVinci’s Vitruvian Man and The Lost Golden Canon of Polyclitus.4.	Egyptian Canons of Proportion and the Ashmolean metrological figure. BOOK NOW- EARLY PAYMENT DISCOUNT BY 30th JUNEScott Olsen, Ph.D.Emeritus Professor of Philosophy and Religion at the College of Central Florida, Scott is author of award winning book The Golden Section: Nature’s Greatest Secret, and more recently A Grand Unification of the Sciences, Arts & Consciousness: Rediscovering the Pythagorean Plato’s Golden Mean Number System. An avid collector of visionary artwork from Peru, Scott is also a national lecturer for both the Theosophical Society in America and in England and a regular lecturer for the New York Open Center’s Esoteric Quests and gives talks for IANDS.Melodi Simay Acar, M.Sc.Bio-inspired Kinetic Architect from Istanbul, Turkiye. Sustainability and Permaculture Designer (GEN), Inventor of BiO-ToL - a self-patented efficient & variable structural system, Design Scientist (Buckminster Fuller Institute). Understanding the significance of how nature-inspired technologies bring powerful solutions to human needs, Melodi focuses on nature’s ingenuity and regenerative life processes. She teaches Bio-inspired Design courses at universities and facilitates workshops for children and adults ranging from ages 3 to 93.  C. Lance Harding, Ph.D.Dr. Harding lives in Utah where he received his B.A. from Brigham Young University. He worked with archeologist Garth Norman at the petroglyph calendar site, the Parowan Gap. Lance did his Ph.D. (1998) on Ancient Canons of the Human Body at V.I.T.A. in The Prince’s Foundation School of Traditional Arts while studying art history and aesthetics under Keith Critchlow. In 2008 Dr. Harding did archaeo-astronomical research on the Temple Mount in Jerusalem with Garth Norman and astronomer & ancient calendar expert John Pratt.Inquires:info@academysacredgeometry.com"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-29th-pm-session-tickets-665622543947?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-15th-pm-session-tickets-661659069087?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-22ndam-session-tickets-665602624367?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/how-to-turn-your-journal-into-a-self-empowerment-tool-elizabeth-tickets-520900295807?aff=ebdssbdestsearch,HONORARY KIN,https://www.eventbrite.com/o/honorary-kin-58839129833,"This workshop will be held live on Zoom.In just one hour, you’ll learn a simple journaling technique that will reconnect you to yourself and others. All that's required is an open mind and a willingness to be compassionate and supportive. Plan for 60 minutes on Sunday, from 12:00-1:00 PM EASTERN.This workshop is for you if: You're naturally everyone else's biggest cheerleader, and you're ready to prioritize being your own.  You need to remember how to make time for yourself. And you've grown accustomed to being on auto-pilot as you tend to the needs of everyone around you.  You're looking for a process that will guide you into a sustainable journaling practice that celebrates you. You're looking for a supportive community that will celebrate your wins alongside you and motivates you to keep going. If you’re tired of feeling disconnected, then this completely FREE workshop is for you. I’ve designed it to help people like you celebrate themselves, connect with like-minded people, and (finally!) start their journaling journey. Because let's face it. You've exceeded goals and met deadlines set by other people, all while sensing that something's missing. This sense is your desire knocking on the door. The desire to redefine what success means, to celebrate and capture your journey as it unfolds, and to do it alongside supportive, like-minded individuals. ANYONE CAN WRITE SOMETHING DOWN ON PAPER, BUT BUILDING A SUSTAINABLE JOURNALING PRACTICE THAT'S FUN REQUIRES CONSISTENCY. Are you ready to explore what journaling that celebrates yourself could look and feel like for you? Sign up today, check your email for details, and arrive ready to go all in! I can't wait to connect with you. ~ Claire"
