web-scraper-order,web-scraper-start-url,event,event-href,organizer_link,organizer_link-href,full_description
"1685654035-1","https://www.eventbrite.com/d/dc--washington/climate/?page=5","Beer, Bourbon & BBQ Festival - DC Metro/NOVA","https://www.eventbrite.com/e/beer-bourbon-bbq-festival-dc-metronova-tickets-432961267807?aff=ebdssbdestsearch","Drink Eat Relax Events LLC","https://www.eventbrite.com/o/drink-eat-relax-events-llc-20230700490","The 13th Annual Beer Bourbon & BBQ Festival will feature a great day of beer sippin’, bourbon tastin’, music listenin’, cigar smokin’, and barbeque eatin’. Your admission buys you a sampling glass so you can enjoy an ALL-YOU-CARE-TO-TASTE sampling of beer and bourbon.A few things have changed and a few things are NEW.  We look forward to seeing you!Each Guest Receives a Souvenir Glass to enjoy All You Care To Taste Beer and Bourbon  as you stroll from table to table. BBQ Galore! Enjoy the great barbeque selection from our vendors onsite – pulled pork from whole hogs, ribs, brisket, chickens, sausages and all the fixins’ you can imagine. We’ll keep the portions heavy and the prices low.The SHRINE OF SWINE is back! Enjoy whole hogs during each session. Pork worship at its finest!GAME IT: The Cochon Carnival is loaded with fun activities and games to keep everyone challenged. Connect four, giant jenga, basketball, ping pong and so much more……Enjoy Seminars in the Tasting Theater with Master Distillers, Brewmasters, and Pit Masters From the Deep South.DANCE: Listen To Live Rock & Blues Music on The Main Stage.SHOP: Browse brewerania, hot sauces, and BBQ accessories.VIP SESSION:(12pm-6pm) In addition to all of the features above, this session offers a BBQ Plate dinner ticket that is available from any BBQ vendor. Other benefits include 2 extra hours of sampling & much more. *Limited Capacity Tickets – This WILL SELL OUT*GENERAL ADMISSION SESSION:(2PM-6PM) Guests will enjoy a souvenir tasting glass, unlimited sampling of beer and bourbon, and all live entertainment.PLEASE NOTE: All sales are FINAL and NON-REFUNDABLE. Please email Team@drinkeatrelax.com for alternative options.E﻿vent is Rain or Shine. Pets are not permitted to enter the event; this is for the safety and comfort of other attendees. Service animals excluded.For Additional Information, Please Visit our Website!https://nova.beerandbourbon.com/Interested in being Vendor? Email: sales@drinkeatrelax.com"
"1685654048-2","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Lion's Pride J'Ouvert (2023): Pirates of the West Indies!","https://www.eventbrite.com/e/lions-pride-jouvert-2023-pirates-of-the-west-indies-tickets-565146968797?aff=ebdssbdestsearch","Hookie Life Entertainment","https://www.eventbrite.com/o/hookie-life-entertainment-27821892451","Lion's Pride J'Ouvert is a drinks-inclusive event featuring paint, music trucks and incredible vibes. Registrants will receive a package that includes a bag, t-shirt and wristband for entry among other complimentary items. The deadline for pre-registration is May 22nd at 11:59PM. Packages purchased after May 22nd are considered late and will not receive a shirt in the requested size or specific items with their package."
"1685654052-3","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Hookie DC (2023): Cloud 9","https://www.eventbrite.com/e/hookie-dc-2023-cloud-9-tickets-565049637677?aff=ebdssbdestsearch","Hookie Life Entertainment","https://www.eventbrite.com/o/hookie-life-entertainment-27821892451","Join us for Hookie DC: Cloud 9, the ultimate summer soca pool party experience! On Friday, June 16th, we're bringing the biggest fete of the year to Rosecroft Raceway. Featuring performances by soca superstars Bunji Garlin, Lyrikal, and Voice, Hookie DC promises to be an unforgettable day filled with music, food, drinks, and good vibes. So grab your swimsuit, gather your crew, and come ready to fete like never before! Get your tickets now at www.hookielife.com before prices increase. #HookieDC #SocaFete #SummerVibes #PoolParty #HookieLife"
"1685654057-4","https://www.eventbrite.com/d/dc--washington/climate/?page=3","FLAVA  Food Truck Block Party","https://www.eventbrite.com/e/flava-food-truck-block-party-tickets-602966879167?aff=ebdssbdestsearch","MVEMNT.COM: The amplifiers of blk biz & ent.","https://www.eventbrite.com/o/mvemntcom-the-amplifiers-of-blk-biz-amp-ent-21755427386","Join us for a monthly food truck fest of delicious food, great music, and an amazing community atmosphere. This event is a unique opportunity to try a variety of mouth-watering dishes, all made by Black-owned food truck owners."
"1685654061-5","https://www.eventbrite.com/d/dc--washington/climate/?page=3","2023 Summer Reggae Festival","https://www.eventbrite.com/e/2023-summer-reggae-festival-tickets-597970364457?aff=ebdssbdestsearch","Linganore Winecellars","https://www.eventbrite.com/o/linganore-winecellars-40891681003","S﻿ATURDAY VIP IS SOLD OUT! Join the waitlist through Tixel, here.Gates Open at 9AM, Event Begins at 10AM Headliners:S﻿aturday, July 15: TBAS﻿unday, July 16: TBAwith DJ Sprang International as our daily DJ/Emcee! General Admission Tickets Include:- Samples of 19 different wines, varying from dry to sweet to fruit wine, and a souvenir stemless wine glass- Samples of beer & cider from Red Shedman Farm Brewery- Live music from 10 AM-6 PM, featuring two live bands per day- Food & shopping from over 40 local vendors and artisans- Full bottle sales available at the Pavilion and inside the Tasting RoomVIP Tickets Include: All of the General Admission perks, PLUS- Separate VIP Entry into the festival- no long wait!- Access to the air-conditioned Abisso Hall for seating- Specialty indoor tasting featuring 6 additional wines and specialty beer samples- A souvenir stemless wine glass with a wine glass lanyard - Indoor restroom facilities for VIP ticket holders onlyPlus, Enjoy Discounted Tickets for Active & Retired Military, Designated Drivers, and Children Ages 18-20!  NEW FOR 2023- VERIFIED TICKET RESALE WITH TIXELI﻿f your plans change and you can no longer attend the Summer Reggae Wine & Music Festival, it's easy to list your ticket for resale with Tixel. Visit tixel.com/sell for more information."
"1685654066-6","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Iris DeMent","https://www.eventbrite.com/e/iris-dement-tickets-574704595917?aff=ebdssbdestsearch","The Tin Pan","https://www.eventbrite.com/o/the-tin-pan-18118706299","Seating: We assign seats in order of when you purchase your tickets. All reservations are subject to a food and drink minimum of $15 per guest.  Gratuity of 20% is automatically added to all food and beverage purchases. Box Office: The Tin Pan charges lower fees for box office versus online sales. Our box office is open Tue-Sat 12PM-5PM. Please visit us during those hours or call 804-447-8189.Iris DeMentWebsite | Facebook | Instagram | Twitter On her transcendent new record, Workin' On A World, Iris DeMent faces the modern world — as it is right now — with its climate catastrophe, pandemic illness, and epidemic of violence and social injustice — and not only asks us how we can keep working towards a better world, but implores us to love each other, despite our very different ways of seeing. Her songs are her way of healing our broken inner and outer spaces. With an inimitable voice as John Prine described, ""like you've heard, but not really,""  and unforgettable melodies rooted in hymns, gospel, and old country music, she's simply one of the finest singer-songwriters in America as well as one of our fiercest advocates for human rights. Her debut record Infamous Angel, which just celebrated its 30th anniversary, was recently named one of the “greatest country albums of all time” by Rolling Stone, and the two albums that followed, My Life and The Way I Should, were both nominated for GRAMMYs. From there, DeMent released three records on her own label, Flariella Records, the most recent of which, The Trackless Woods (2015), was hailed as “a quietly powerful triumph” by The Guardian. DeMent’s songs have also been featured in film (True Grit) and television (The Leftovers) and recorded by numerous artists. Fittingly, she received the Americana Music Trailblazer Award in 2017. Workin' On A World, her seventh album, started with the worry that woke DeMent up after the 2016 elections: how can we survive this?  “Every day some new trauma was being added to the old ones that kept repeating themselves, and like everybody else, I was just trying to bear up under it all,” she recalls. She returned to a truth she had known since childhood: music is medicine. “My mom always had a way of finding the song that would prove equal to whatever situation we were facing. Throughout my life, songs have been lending me a hand. Writing songs, singing songs, putting them on records, has been a way for me to extend that hand to others.” With grace, courage, and soul, Iris shares 13 anthems — love songs, really — to and for our broken inner and outer worlds. DeMent sets the stage for the album with the title track in which she moves from a sense of despair towards a place of promise. “Now I’m workin’ on a world I may never see / Joinin’ forces with the warriors of love / Who came before and will follow you and me.” She summons various social justice warriors, both past and present, to deliver messages of optimism. “How Long” references Martin Luther King, while “Warriors of Love” includes John Lewis and Rachel Corrie. “Goin’ Down To Sing in Texas” is an ode not only to gun control, but also to the brave folks who speak out against tyranny and endure the consequences in an unjust world. “I kept hearing a lot of talk about the arc of history that Dr. King so famously said bends towards justice,” she recalls. “I was having my doubts. But, then it dawned on me, he never said the arc would magically bend itself. Songs, over the course of history, have proven to be pretty good arc benders.” Bending inward, DeMent reaches agilely under the slippery surface of politics. She grapples with loss on the deeply honest “I Won’t Ask You Why,” while encouraging compassion over hate in the awe-inspiring “Say A Good Word.”  Album closer “Waycross, Georgia,” encompasses the end of the journey, thanking those along the way.  As she approaches subjects of aging, loss, suicide, and service, an arc of compassion elevated to something far beyond words is transmitted.  The delicate fierceness encompassed in the riveting power of her voice has somehow only grown over time. Stalled partway through by the pandemic, the record took six years to make with the help of three friends and co-producers: Richard Bennett, Pieta Brown, and Jim Rooney. It was Pieta Brown who gave the record its final push. “Pieta asked me what had come of the recordings I’d done with Jim and Richard in 2019 and 2020. I told her I’d pretty much given up on trying to make a record. She asked would I mind if she had a listen. So, I had everything we’d done sent over to her, and not long after that I got a text, bouncing with exclamation marks: ‘You have a record and it’s called Workin’ On A World!’” With Bennett back in the studio with them, Brown and DeMent recorded several more songs and put the final touches on the record in Nashville in April of 2022. The result is a hopeful album — shimmering with brilliant flashes of poignant humor and uplifting tenderness — that speaks the truth, “in the way that truth is always hopeful,” she explains.  Reflecting on the lyrics of the song “The Sacred Now” (“see these walls/ let’s bring ‘em on down / it’s not a dream; it’s the sacred now”), DeMent is reminded of Jesus saying the Kingdom of God is within you and the Buddhist activist monk Thich Nhat Hanh saying the rose is in the compost; the compost is in the rose. On Workin’ On A World, Iris DeMent demonstrates that songs are the healing and the healing arises through songAna EggeWebsite | Facebook | Instagram | Twitter “Ana is the folk Nina Simone.” – Lucinda WilliamsWhen conceiving Between Us, Ana Egge knew she wanted to do something new and different for her 12th album. The process started early in the pandemic, when she began collaborating online with Irish singer-songwriter Mick Flannery, whose path she had crossed at festivals over the years. They would FaceTime regularly for two-hour songwriting sessions. “It was so fun, and the writing happened so easily,” says Egge. “Almost every time we’d meet up, we would write a whole song.”Searching for a producer with a fresh sonic direction to bring these brilliant, thought-provoking songs to life, Egge met with Lorenzo Wolff after being fascinated by his work on the recent Judee Sill tribute Down Where the Valleys Are Low. They quickly found a common wavelength on how to approach her music. “She was interested in making a big, messy record that reinforced the message of this beautiful collection of songs,” Wolff explains. “I was able to make sonic choices in a very deliberate way to reinforce what she was already saying so eloquently in the songs. And since Ana has such adventurous ears, she would not only be accepting of this landscape, but push the arrangements into even more ambitious territory.”While Egge has long written insightfully about relationships, the stressful, ominous feelings caused by the pandemic and social unrest led her to take a “let’s get to the truth — let’s do that right now” attitude with her songwriting. On tracks like “Sorry,” “You Hurt Me,” “We Let the Devil,” and “Heartbroken Kind,” she delves into the complexities of troubled relationships — no one is free of blame; everyone has the ability to take some accountability for their actions — as well as the ways “to have some type of bridge between the space between us.”“Lie, Lie, Lie” and “We Lay Roses” were so personal to Egge that she felt compelled to include them on Between Us. “Lie, Lie, Lie,” the one song she wrote solo, addresses the frequently impossible attempt to make a loved one break out of his judgmental intolerances and hateful behavior. Egge wrote “We Lay Roses” with Grammy-winner Gary Nicholson as a eulogy for her nephew; she hopes it can help people in grief “who are looking for a song about honoring someone and letting them go.”The players Egge and Wolff assembled were all people she had never played with before (except for backing vocalist J. Hoard) and they brought eclectic musical backgrounds to the music. Corey Fonville, who told Wolff that “no one ever calls me to play on this kind of stuff,” plays drums with Charlie Hunter and is a founding member of the group Butcher Brown. Bassist Michael Isvara Montgomery and guitarist/steel guitarist Jonny Lam are part of the African psych-funk outfit Sinkane. Egge had seen flautist Anh Phung performing in a bluegrass band. New Orleans-schooled keyboardist Jon Cowherd has a long association with Brian Blades (Joshua Redman, Daniel Lanois, Joni Mitchell), while the horn players’ credits range from Ricky Martin to Rhiannon Giddens.Wolff (who also plays on the album) and Egge gave the musicians a lot of free reign. “It was really fun to hear the sounds that they came up with.” The percussion/drum-like sound on “You Hurt Me,” for instance, was actually played by Anh Phung on the flute. And the whimsical sound effects in the groove-heavy “Want Your Attention” were created by Egge’s seven-year-old daughter singing through a $19 echo microphone.Egge acknowledges Between Us won’t help those trying to categorize her music; however, the album does connect to her prior work. Synths and horns, for example, also were used on White Tiger and Is It the Kiss, although acoustic instruments are less prominent on Between Us. Egge remembers how much she has always loved Emmylou Harris’ Wrecking Ball and that groundbreaking album (which also features Cowherd’s frequent collaborator Blades on drums) provides some genre-splitting context for Between Us. “Synthesizers were one of the first things I heard, along with Willie Nelson and Bob Marley,” Egge elaborates. “It’s all totally natural and part of the air that I breathe just as much as pedal steel is. Even though some people might not call it organic, it really is to me.”Egge burst onto the music scene with her debut album, 1997’s River Under the Road, which All Music noted “signals the arrival of a unique songwriting perspective and moving new voice.” She was named “Best Singer Songwriter” and “Best Folk Artist” the following year at the Austin Music Awards. Since then, Egge has consistently garnered critical praise for her music, and has worked with producers Steve Earle, Joel Plaskett, Alec Spiegelman, and Stewart Lerman and recorded with Billy Strings, Anais Mitchell and Iris DeMent. Her songs have been licensed for TV shows on MTV and Showtime and recorded by other influential roots musicians like Dave Alvin, Laurie Lewis and Slaid Cleaves. No Depression hailed her 2017 release, White Tiger, as “nothing less than a balm for the soul” and Folk Alleyproclaimed that 2019’s Is It the Kiss brought “great, honest songs to the collective consciousness.”In the first months of 2021, Ana released a virtual two-sided single, Side A- “This Time,” which Rufus Wainwright described as “beautiful” and Anais Mitchell called “Perfect!!! Incredible,” and Side B- “The Ship,” which, in the words of American Songwriter, “speaks quietly but defiantly of a simmering revolution brewing in the world today, reconciled only by an understanding that working together achieves a harmonious goal.”"
"1685654070-7","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Then Sings My Soul: Beloved Hymns & Songs","https://www.eventbrite.com/e/then-sings-my-soul-beloved-hymns-songs-tickets-595085255017?aff=ebdssbdestsearch","The Red Caboose Motel","https://www.eventbrite.com/o/the-red-caboose-motel-11065204002","""Then Sings My Soul: Beloved Hymns & Songs Inspired by the Ministry of Billy Graham"" is an original musical presentation featuring over 30 hymns and how they connect to the life and ministry of Reverend Billy Graham. With professional vocalists and stunning piano accompaniment from Lancaster County, Pennsylvania.Featuring favorites such as How Great Thou Art, I’d Rather Have Jesus, Great is Thy Faithfulness, His Eye is on the Sparrow and Amazing Grace, there’s even a few old-fashioned hymn sing-a-longs, just like in the ""good old days""!""Then Sings My Soul"" has had the privilege of touring for five years to locations on the East Coast; performing at incredible venues across Pennsylvania; locations in New Jersey like the historic Great Auditorium in Ocean Grove, and at Dollywood Theme Park and the DreamMore Resort in Pigeon Forge, Tennessee.Presented in The Barn at Paradise Station, a beautifully restored 1812 Pennsylvania Bank Barn. Fully accessible and climate controlled with stunning farmland views! Option to include a Family Style Meal before the show (6PM). See ticketing for details.Tickets are required for this event. If you are a group of 20 or more, please contact us directly to book tickets at 717-288-7942 or email groups@redcaboosemotel.com."
"1685654074-8","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Richmond VegFest 2023","https://www.eventbrite.com/e/richmond-vegfest-2023-tickets-601453261897?aff=ebdssbdestsearch","Richmond VegFest","https://www.eventbrite.com/o/richmond-vegfest-63455942873","Calling all vegans, vegetarians, flexitarians, veg-curious and climate-friendly folks and animal-lovers! Join us for the 20th annual Richmond VegFest!This FREE, family-friendly event will be held on Saturday, October 7th in Byrd Park near the Carillon and Dogwood Dell from noon to 6pm.Discover over 100 local vendors and enjoy delicious vegan food and check out our main stage and music spot for some fantastic bands and other performers. Bring your kids to enjoy face painting, moon bounces and more.This event is FREE to attend thanks in large part to our generous sponsors. Find out more at veggiefest.org."
"1685654079-9","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Lancaster Compost Co-Ops: Orientation - Behind Culliton Park","https://www.eventbrite.com/e/lancaster-compost-co-ops-orientation-behind-culliton-park-tickets-612575268117?aff=ebdssbdestsearch","Lancaster Compost Co-Ops","https://www.eventbrite.com/o/lancaster-compost-co-ops-33141079935","About this eventThe Lancaster Compost Co-Ops (LCC) is a volunteer-led community initiative that enables Lancaster residents to participate in reducing landfill waste by creating high quality compost.Orientation: At this one-hour event, you will learn about composting, understand the roles and responsibilities of co-op membership, and meet other members. You will also have an opportunity to help with the composting processes. Attending the one-hour orientation is required to gain access to the bin. After attendance, you will receive a member agreement and then gain the ability start dropping-off your food scraps.IMPORTANT:- We request that all attendees abide by the CDC's COVID protocols, wearing a mask and staying socially distanced 6 feet apart if not fully vaccinated. We also recommend that attendees wear solid work shoes and bring gloves if possible.- If you would like to sit during the event, please bring your own chairs. Otherwise, participants may stand or sit on the ground.About UsWhen Lancaster Compost Co-Ops was started in April 2021, Lancaster residents had zero alternatives to divert organic food and garden scraps from the general waste stream beyond individual backyards. Composting is a mainstream activity in American cities – and we believed it was high time for Lancaster to address the existing community interest.LCC currently has several co-op sites in Lancaster City. Each site has a critter proof and smell proof compost bin in a public space that allows trained community members to create high quality compost. A local community member, or ""captain,"" independently runs the site with the support of the community participants.To learn more, check out our website (www.lancastercompost.us) or Instagram (LancasterCompost).  For questions, concerns, or partnership opportunities, email us at LancasterCompost@gmail.com."
"1685654084-10","https://www.eventbrite.com/d/dc--washington/climate/?page=3","Social Science Basics for Coastal Managers","https://www.eventbrite.com/e/social-science-basics-for-coastal-managers-registration-607481532617?aff=ebdssbdestsearch","DNREC Division of Climate, Coastal and Energy","https://www.eventbrite.com/o/dnrec-division-of-climate-coastal-and-energy-51722399013","This training is scheduled from 9am - 5pm The social sciences are a valuable but often overlooked element of coastal zone management. Issues from marsh restoration to flood mitigation all involve critical human elements— knowledge, values, and attitudes—of the people that live, work, and play in these areas. This training provides the basic knowledge and skills to help coastal managers understand their stakeholders. Training topics include: Understanding StakeholdersLeading Focus Groups Analyzing Qualitative DataThe DNREC Division of Climate, Coastal and Energy strives to provide training opportunities without barriers.  If you require a fee waiver to participate in this training, contact Lynne Pusey lynne.pusey@delaware.gov or 302-735-3417."
