web-scraper-order,web-scraper-start-url,event,event-href,organizer_link,organizer_link-href,full_description
"1685712627-1","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Craftivist Circle: Craftivist Year End Celebration","https://www.eventbrite.com/e/craftivist-circle-craftivist-year-end-celebration-tickets-646424271397?aff=ebdssbdestsearch","Smithsonian's Anacostia Community Museum","https://www.eventbrite.com/o/smithsonians-anacostia-community-museum-34014018025","Crafty hands and like minds come together to create change. Learn about historic conditions that have led our current society while crocheting and knitting. Topics change monthly and include mental health, food access, environmental justice, restorative justice and others. 2-3 p.m.: Beginner's Crochet Lessons and Current Project Support3-4 p.m.: Themed Community Discussion While Crafting"
"1685712631-2","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Sis! Building A Better You....Spring Mini Health & Beauty Expo 2023","https://www.eventbrite.com/e/sis-building-a-better-youspring-mini-health-beauty-expo-2023-tickets-592062774697?aff=ebdssbdestsearch","Joanna Rollins","https://www.eventbrite.com/o/joanna-rollins-13046725231","Sisterhood is the relationship and bond that is shared by all women regardless of race, ethnicity, socio-economic status, or demographics but it is about building the life and the spirit of a woman who looks and sounds just like you.  Join the Daughters of Zion Women's Ministry as we host our 2nd Annual Sis! Building a Better Your, Spring Community Women's Mini Health and Beauty Expo:  Empowering, Educating, & Uplifting our Sisters!  Because this is a day all about  and for you. When knowing the importance of  Self-Care it will help you to focus on your Mental Health, Spiritual Health, and Physical Health. Sis! you have to be everything to you first before you can be everything to othersThere will be outdoor onsite vendors and indoor  breakout seminar sessions throughout the day from health and wellness screenings to mental health advocacy to beauty is her name.  This is a FREE COMMUNITY EVENT that is open to all women near and far but registration is required if you want to be one of the first to receive your free gift. You can stay all day or for a few hours, it's all up to you I just want to see you there because your Health & Wellness matters to me. Our break out session times and presenters have been announced.....If you have any questions feel free to email them to Joanna Rollins (Women's Ministry Leader) at daughtersofzion2021@gmail.com bring your bestie, your daughters, your mom, or any phenomenal woman that you know bring your spouses and the men in your lives as well.  I encourage single fathers to attend this event just to know a little bit more about your daughters. Always remember Greatness Lives Inside of you and I am here to help bring the best out of you. Mask are Optional but is strongly suggested if you have a compromised immune system.  THE FIRST 50 WOMEN THAT REGISTERS BEFORE MAY 12, 2023 WILL RECEIVE A FREE GIFT. MUST BE PRESENT AND SHOW YOUR REGISTRATION (EITHER BY PRINT OR ON MOBILE DEVICE) **PLEASE NOTE IF YOU REGISTER FOR MORE THAN ONE TICKET ONLY ONE PERSON WILL RECEIVE THE GIFT. YOU MUST HAVE THE TICKET THAT SAYS FIRST 50 FREE GIFT.**ANNOUNCEMENT***Health Screenings will be conducted by Kaiser PermanenteOn-Site Vendors:Visual Affirmations: Claudia Faulcon Classy Essentials Boutique (Paparazzi): Peggy GulletteD﻿esert Sage Candle Company: Katie StoughC﻿olor Street: Candace FutrellW﻿ellthy Living Massage: Jodi FavazzaH﻿appy DNA Candy: Linda McBee3﻿forPeople: Ciera AbumereA﻿t Your Service, LLC: Marti GrossC﻿JE Consulting: Chiquita JacksonMaryland Insurance Administration: Kejuana WaltonZ﻿en Chiropractor Wellness: Dr. Octavia PrinceP﻿lanned Paper: Dr. Kamilah KellyW﻿ater Colors: Shalonda BarnesL﻿ispScript Cosmetics: Donica WhiteElisha Lee. LPCT﻿ranquility Telepsychiatry: Jabari DobsonA﻿new Skin Aesthetic Clinic & Medical Spa: Blessing DouglassS﻿oul Beauty Outreach: Wakia HaywardC﻿ondeza Beauty Studio: Yuliza ReedConversations Jewelry: Charmaine Davis3﻿65 Diversity Health Resources: Dr. Kimya Nuru DennisSovereign Designs: Angela FishersHarmonious Living Chiropractor Fitness/Wellness: Dr. Tiffany ButlerUnlimited Bounds Human Services:  Torkwase GreenE﻿bony Lux Beauty: Ebony DozierL﻿R Majestic Natural Soap: Janel ReavesA﻿va & Anya Boutique: Alesha Entsua-MensahL﻿yfe Magazine: Gerald AndersonKaiser Permanente: Tiffany VickersCivic Works Energy Programs: Samuel KnightS﻿imply Soft Sugar Scrubs: Rachel MillerS﻿eint Makeup: Shannon SmithF﻿lowidity Counseling: Khameelah TomlinA﻿ Little Bit of Flava: Akilah ScottMary Kay Consultant: Bertha RobertsonPlease note that Daughters of Zion Women's Ministry, New Genesis Total Praise Center, Inc and its affiliates will not be held liable or responsible for any information received or items purchased. They are not responsible for any one contracting an viral infections or becoming ill before, during, or after the event.  They nor its affiliates will be held liable or responsible for any damages to themselves or their accompanied guest.  All guest and vendors are to ensure that their personal items are with them at all times, for we will not be held liable and/or responsible for missing or stolen items. Please keep complete supervision of all minor children.  Even though mask are not mandatory, it is strongly suggested if you have a compromised immune system to to wear face coverings at your discretion. Merchandise purchase via this event site are non-refundable but may be exchange if items are have not been used. W﻿E RESERVE THE RIGHT TO ASK ANY GUEST AND/OR VENDOR TO LEAVE THE PREMISIS IF THEIR BEHAVIOR IS DETRIMENTAL TO THE EVENT AND WILL CAUSE HARM TO THE CHURCH, GUEST OR VENDORS.I﻿ am excited about seeing my sisters in June. Come ready to be inspired and WIN. If you have any questions please contact Joanna Rollins (Women's Ministry Leader) via email for a faster response at daughtersofzion2023@gmail.com"
"1685712635-3","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","1st Friday Vetworking","https://www.eventbrite.com/e/1st-friday-vetworking-tickets-634237751187?aff=ebdssbdestsearch","Uplift Leadership Consulting","https://www.eventbrite.com/o/uplift-leadership-consulting-31533638059","BLUF:  1st Friday Vetworking PROBLEM:  I read that experts distinguish between social isolation and loneliness.  Social isolation is an objective lack of social relationships or infrequency of social contact. Loneliness is a subjective feeling of isolation. A person can be socially isolated but not feel lonely. A person can also feel lonely when they are surrounded by people.  Nonetheless, isolation and loneliness are very much linked. Studies of loneliness’s causes, symptoms, and impacts shed light on the potential negative effects of social isolation.SOLUTION:  Let's come together to break bread, fellowship, and establish/cultivate relationships!"
"1685712639-4","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Sustainability Matters: Making Trash Bloom at Rappahannock County Landfill","https://www.eventbrite.com/e/sustainability-matters-making-trash-bloom-at-rappahannock-county-landfill-tickets-601410423767?aff=ebdssbdestsearch","Sustainability Matters","https://www.eventbrite.com/o/sustainability-matters-19220661364","Help us make trash bloom! This summer, Sustainability Matters is seeking volunteers for environmental data collection and community education. Join us on Saturday, June 17 for a morning of volunteer training at the Rappahannock County landfill, one of the sites for Sustainability Matters’ Making Trash Bloom project. From 10am-1pm, Sustainability Matters staff will train volunteers on how to collect data about native and invasive plants, as well as provide more information about future volunteer opportunities at the site this summer. Sustainability Matters’ Making Trash Bloom initiative reclaims ecologically barren land by planting native pollinator and wildlife habitat at landfills. Through bringing conservation to the most unexpected place of all - your local dump - we build community engagement around environmental transformation, inspiring and educating the public to create similar landscapes at home and elsewhere. Summer volunteer activities include: ""Sustainable Science Team"": data collection on native and invasive plants""Docents at the Dump"":  educate community members on the importance of native plants by leading guided tours of the Rappahannock County MTB siteNote that the event will be held entirely outdoors. We will be walking through tall grass, so please dress accordingly.Making Trash Bloom is geared at planting trash cells with bee and butterfly friendly native wildflower meadows. When landfills seal 5-10 acre trash cells, that land can never be built on, used to grow crops, or planted with trees. Landfills currently seed trash cells with turfgrass, which has no environmental value. Sustainability Matters is partnering with the Rappahannock County Landfill to plant pollinator and wildlife habitat instead. The pilot plot/demonstration garden was planted  in October 2022, and we are eager to see what's blooming this summer. To learn more about our Making Trash Bloom Initiative, feel free to watch the video below.  When you register for this program, we'll also sign you up for Sustainability Matters' email list. We never sell your info, and you may unsubscribe at any time. For more information, contact: kenny@sustainabilitymatters.earth"
"1685712643-5","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Byte Back's 26th Anniversary Celebration - Sponsor Levels","https://www.eventbrite.com/e/byte-backs-26th-anniversary-celebration-sponsor-levels-tickets-560893025137?aff=ebdssbdestsearch","Byte Back","https://www.eventbrite.com/o/byte-back-7651821417","For the past 25 years, Byte Back has worked tirelessly to close the digital divide in under-resourced and historically marginalized communities. To commemorate this historical achievement, we are hosting a Gala on October 13th and we aim to raise $260,000 to help fund our transformative programs.Join us for an evening of live music, heavy hors d'oeuvres, awards, a silent auction, and dancing - as we celebrate countless achievements in digital inclusivity and digital equity.Visit our gala website www.ByteBackGala.com today to nominate deserving awardees. Thank you for your continued support and we look forward to seeing you on October 13th!  Gala Committee 2023"
"1685712648-6","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","A Retreat for the Mind, Body, and Soul.","https://www.eventbrite.com/e/a-retreat-for-the-mind-body-and-soul-tickets-615168835547?aff=ebdssbdestsearch","Crystal Thompson","https://www.eventbrite.com/o/crystal-thompson-64176602423","Join us for a life-changing experience at this transformational retreat for personal growth! Discover valuable tools and insights to help you achieve your goals, as special guests share their expertise on healing and personal growth including Amazon best-selling author. Savor delicious food and exciting giveaways while learning practical tools for spiritual, emotional, and physical expansion. Come as you are - we welcome everyone, bring a friend or come solo. Don't miss out on this incredible opportunity to transform your life.We look forward to seeing you there!N﻿o refundsTaking time for a retreat is a great way to find peace and recharge. The sound of water is  calming to the mind."
"1685712653-7","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Achieving Optimal Health Conference 2023","https://www.eventbrite.com/e/achieving-optimal-health-conference-2023-tickets-626461502217?aff=ebdssbdestsearch","BB&R Wellness","https://www.eventbrite.com/o/bbampr-wellness-8403929577","This is YOUR chance to become ENERGIZED, EDUCATED and INSPIRED to take charge of your physical, mental and spiritual health. Each of us has the power to control our destiny as it relates to our own personal health, no matter where our health stands today.Learn to fuel your body better and create a life you loveReduce stress and maximize your brain healthExercise your mind and bodyCome and be inspired to make simple changes to your lifestyle that will benefit you for a lifetime.Registrants will receive access to all of the video archives. Saturday, October 14th 2023.This year's event times and speakers are still being finalized. We are working hard to bring you the best event yet.Warmly,Doro and TriciaSpeakers: To be announced."
"1685712658-8","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","On the Front Lines of Race, Equity, Diversity and Inclusion (REDI)","https://www.eventbrite.com/e/on-the-front-lines-of-race-equity-diversity-and-inclusion-redi-tickets-541526990807?aff=ebdssbdestsearch","The Living Well Center","https://www.eventbrite.com/o/the-living-well-center-17608036459","On the Front Lines of Race, Equity, Diversity and Inclusion (REDI)Disrupting practices and policies that reinforce the power of isms is not for the faint of heart. The philanthropic and business communities are targeting resources in the name of creating equity and improving outcomes for all groups. From corporations and nonprofits to universities and government agencies, many entities have constructed outward-facing equity statements and have directed management to lead the charge of achieving equity. However, frustration remains for those who are on the front lines working to disrupt and dismantle inequities within public health, education, housing, and workforce systems. To this end, Iona Concepts, Inc. has created a menu of Transformational Learning Circles. These sessions are designed to incorporate the voices of those who are at the forefront of this work and responsible for creating and implementing practices that move the needle of change toward progress. These collaborative convenings are iterative and build on the collective experiences of our Brain Trust, a cadre of seasoned practitioners who center liberatory practices and have a track record of executing models that are disrupting structural inequities and violence in organizational systems and communities. Transformational Learning Circles are curated for participants who aim to learn about and achieve sustainable and transferable practices that advance racial justice and healing inside and outside organizational systems and communities. Sessions are held at Baltimore Unity Hall 1505 Eutaw Place, Baltimore, MD 21217 at no cost, yet monetary donations are welcomed. We encourage Baltimore City’s social and public health organizations, social entrepreneurs,  educators, students, and researchers to join us. At the completion of each circle, p﻿articipants will receive a certificate of completion. For registration, we require the completion of this surveyT﻿o get in contact with our team, please reach us at: admin@livewellbemore.comTransformational Learning CirclesConducting Race Equity Audits and BenchmarksThursday, 5/22/23, 1 - 4 pm (date change from original 5/18/22)Funders are tying strings to connect resources by requesting that providers create equity strategies and benchmarks. This process begins with auditing policies, practices, and operational systems. Collecting information for analysis requires a multi-prong approach of reviewing pre-existing data, including the origin story of the institution, human resources data, and conducting key informant surveys and interviews.  This session will explore how this process can create organizational “white water” by triggering racial trauma for people of color and uncovering unconscious biases of supervisors and co-workers. Participants will learn:- Key indicators to facilitate an analysis that focuses on measuring the impact of REDI audits and benchmarking - Learn key strategies to navigate the turbulence of uncovering disparities that are often baked into organizational cultureWhen Race, Equity, Diversity, and Inclusion (REDI) Create PTSDThursday, 6/15/23, 1- 4 pmPost-traumatic stress disorder (PTSD) is a hidden condition that can be triggered by ongoing experiences with microaggression, discrimination, and retaliation for speaking up and out about inequitable policies, practices, and culture that undermines people who experience discrimination due to class, disability, educational/employment status, ethnicity, gender expression or identity, national origin, race and sexual orientation individually or with intersectionality. This condition can also be triggered when frontline REDI practitioners constantly experience covert, uninformed, and performative efforts without a real destination or plan of action.  This session will explore how Courageous Conversations designed to uncover workplace biases are often fatiguing and can trigger workplace PTSD. Participants will learn how to recognize the conditions of a toxic work environment and learn strategies to support and implement mindfulness within organizational operating norms.Healing the DEI OfficersThursday, 7/20/23, 1-4 pmFacilitating Diversity, Equity, and Inclusion initiatives should/must confront the history and apparatus of racism. DEI practitioners’ bodies become the container for the resistance of shifting power dynamics.  The DEI arena consists of practitioners who were promoted to often ambiguous positions without the benefit of committed leadership and the authority to move the needle of racial equity in policy and practice. This session will explore the restraining forces that take a toll on the economic, emotional, mental well-being of practitioners, and ultimately resulting in physical health challenges and a diminished quality of work life.  Participants will share strategies to cope in toxic environments and will learn ways to leverage healing technologies in the moment to develop a practice of self-care in the workplace.Interior Design Principles for Trauma-Exposed PublicsThursday, 8/17/23, 1-4 pmThe work environment can promote productivity and a healing space for those who work in trauma-exposed environments. Often, social health practitioners are exposed to vicarious trauma as a result of working with community members who are experiencing chronic and compound stress. The interior composition of a client serving environment can further induce toxic stress. This session will explore how the positioning of furniture in the workplace, color pallets, art, lighting, plants, sound and ergonomics can reduce stress for both provider and client. Participants will learn trauma informed design principles that promote wellness and biophilia in the workplace.Collaboration over CompetitionThursday, 9/21/23, 1-4 pmCapitalism is baked into institutions’ operating norms.  Disrupting Eurocentric ethos of rugged individualism, scarcity and competitiveness in the Black social uplift space is important to our collective movement and sustainability. Dismantling social determinants of health will require the disruption of silos that further reinforce competition over collective impact and outcomes.   To embrace the principles of Ubuntu (I am because we are) is to begin to unlearn the principles of bootstrapping.  Participants will learn how to incorporate the principles of Ubuntu, create and deepen partnerships and collaborations, and identify tools to interact with those who have not embraced the principles of Ubuntu.Dismantling the Myth of White Supremacy at WorkThursday, 10/19/23, 1-4 pmThe Myth of White Supremacy is centered in every aspect of workplace culture, interpersonally and structurally. It is not just the water in which we all exist; it is an anti-oppressive decision point that one ultimately decides to make or not to make. Dismantling the myth of white supremacy in work environments requires individuals, communities, and organizations to understand the stakes and range of possibilities of either choice. This session will explore the tactics used to promote the myth of white supremacy culture, including supervisory styles, communication practices, competitive environments, and performance reviews.  Participants will engage in experiential processes that uncover the operating norms, as well as, uncover strategies to dismantle operational practices, policies, and procedures that reinforce and burden internal and external stakeholders. Facilitating Data-Driven REDIThursday, 11/16/23, 1-3 pm With a standard in place that defines and identifies what it means to be diverse, equitable and inclusive it becomes possible to measure diversity, equity and inclusion in a company, understand that company’s “level” of diversity, equity and inclusion against the standard and drive measurable and methodical results - i.e. make the company more diverse, equitable and inclusive over time. This requires data skills on the part of the facilitator and leaders in the company. This session will introduce participants to a new measurement system and tool for diversity, equity and inclusion, and methods for understanding decision funnels in companies that can be analyzed and utilized to drive improvements.These sessions are in part sponsored by Innovation Works."
"1685712662-9","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","DOT HAZMAT Transportation Baltimore MD (Glen Burnie)","https://www.eventbrite.com/e/dot-hazmat-transportation-baltimore-md-glen-burnie-tickets-559770698227?aff=ebdssbdestsearch","Compliance Solutions Occupational Trainers, Inc.","https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933","DOT Hazardous Materials TransportationIf your company ships hazardous materials? Do you accept hazmat shipments? Are your employees certified to ship hazmat? If your answer to any of the above is “yes” then you need HAZMAT Transportation Training! Compliance Solutions is the nation's largest private provider of HAZMAT Training. Since 1995 we have helped companies across North America comply with DOT HAZMAT shipping regulation 49 CFR 172.704 and saved them thousands of dollars in the process!Who needs DOT HAZMAT Training?According to the DOT (The Department of Transportation) any company involved in the transport of hazardous materials by air, rail, ground or water must provide Hazmat transportation certification within 90 days of an employee starting work. Our DOT Hazmat Complete training is a one-day seminar designed to certify your employees in transporting hazardous materials. DOT regulations state: “Any person involved in offering a hazardous material for transportation must be properly trained” Upon completion, you will be able to:Demonstrate the correct methods used for the shipping, handling, and transporting of hazardous materialsIdentify the proper shipping methods for hazardous materials in air, water, and land.Recognize information needed on shipping papers for specific types of hazardous wastesUtilize proper labeling, marking, and placarding required for hazardous waste transportationDevelop information gathering techniques needed for required incident reporting and emergency notificationShow an understanding of the documentation for shipping papers and manifests.After your initial training, you will need to refresh your certification every 3 years or when the regulations ""substantially change"". This course qualifies as the “initial” training or “refresher” training. Be advised that should your certification lapse, you may not take part in any hazardous materials shipping functions “unsupervised” until your certification has been renewed.Our DOT Hazmat Course uses a unique ""10-step approach"" for shipping and handling hazardous materials properly. Each element is covered in detail through the use of ""real-world"" examples of what “to do” and “what NOT to do” when shipping hazardous materials.Industries using DOT Transportation certification include but are not limited to:Trucking CompaniesCDL DriversPackage Delivery CompaniesMedical Supply Delivery CompaniesHome Medical Supply CompaniesChemical Manufacturing or ShippingEnvironmental firms that package and ship hazardous wasteTreatment, Storage, and Disposal FacilitiesWarehouse PersonnelPlease be advised: Extensive Student participation and interaction during this class is REQUIRED. Students must complete hands-on exercises designed to prepare them for shipping of hazardous materials in the workplace. If you are not prepared to interact with other students and the instructor during class, we suggest you consider taking a web-based (online) DOT Hazmat Initial or Refresher training course instead.Registration Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to be bound by this policy.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%"
"1685712666-10","https://www.eventbrite.com/d/dc--washington/sustainability/?page=5","Onyx Farmers & Artisans Market 2023","https://www.eventbrite.com/e/onyx-farmers-artisans-market-2023-tickets-642454999197?aff=ebdssbdestsearch","Chef Zion","https://www.eventbrite.com/o/chef-zion-66370422413","Hey Folks!!! WE’RE BAAAAAAAAAAACK!!! Bigger and Better than before! Since last year we’ve been recalibrating, forging new connections, and getting ready to share the market of the summer!!  🌈🌱 This Saturday 5/27 at Our Time Kitchen (IG@ourtimekitchen) located at 117 W 24th Street, get ready for a vibrant fusion of art, culture, and agriculture at Onyx Farmers & Artisans Market, Presented by Onyx Marketplace Collective. Onyx Marketplace Collective is a QT BIPOC spirit-led artisans, facilitators, practitioners, and service-based providers! 🎨🌽Experience amazing vendors, fresh produce, delicious food, cultural events, workshops, and live music!🎉 Step into a world where creativity and sustainability collide. Discover stunning artworks, handcrafted treasures, and a bounty of farm-fresh delights all in one place! We give thanks to our farmers at Plantation Park Heights Urban Farm (IG@plantationparkheights_uf ) and Crone+Forest (IG@croneplusforest) 🌟🌾🏳️‍🌈🎨 Immerse yourself in a celebration of queer artistry as talented queer/trans artisans showcase their incredible creations. From unique jewelry and captivating designs, to clothing and crochet, you can see and support the creative expressions of our talented artisans! 🌈✨🍅🥕 But that's not all! Indulge your taste buds with the freshest, locally sourced produce and flavorful culinary creations from our dedicated chefs. This week we’re collaborating with  Black Bettys Cuisine (@BlackBettysCuisine) for Brunch in the Backyard, an offering from the OTK food truck. We also have treats from Chef Stephanie (IG@seraphim.fare) and Chef Zi (IG@earthseed.bakery) and more. Experience the flavors of the season, support sustainable agriculture, and nourish both your body and soul. 🌱🌈If you are interested in volunteering please DM or email us @ onyxmarketbaltimore@gmail.com and make sure to share, repost, and follow our IG for updates on our vendors! Can’t wait to see you! #catchavibe #fallinlove#OnyxMarket #ArtAndAgriculture #Baltimore"
