event-href,Full_description
https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-37,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-36,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-35,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-10,"The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Dr. Einat Lev
      
                                                                                          
            colloquiumcommittee@ldeo.columbia.edu"
https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-34,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-9,"The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Dr. Einat Lev
      
                                                                                          
            colloquiumcommittee@ldeo.columbia.edu"
https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-8,"The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Dr. Einat Lev
      
                                                                                          
            colloquiumcommittee@ldeo.columbia.edu"
https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-7,"The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Dr. Einat Lev
      
                                                                                          
            colloquiumcommittee@ldeo.columbia.edu"
https://www.climate.columbia.edu/events/ethics-action-role-cbos-and-ngos,"Discover how youth leadership and innovation can contribute to addressing global climate change and achieving the Sustainable Development Goals (SDGs) by joining our upcoming webinar series titled ""Fostering Youth-Led Innovation for the SDGs."" Delivered jointly by Entrepreneurship @ Environment at the University of Waterloo and Center for Sustainable Development at Columbia University, this series will explore ‘how’ and ‘why’ transformative approaches to education can be used as a vehicle for empowering young people to drive the type of innovations and entrepreneurial ventures that are necessary to drive progress on the 2030 agenda. 
The webinars, held from June to October, will cover topics such as sustainability curriculum design, scaling and commercializing sustainable ventures, climate communications and much more. Designed to be inclusive in its content delivery and relevancy, this series is open to all with a passion for driving systemic change for sustainable development. Additionally, this series will tie into COP28, where a white paper on sustainability education will be presented in Dubai to emphasize the criticality of transformative educational approaches that empower young entrepreneurs as global citizens for sustainability.
Webinar Series Details:
Purpose: Foster youth leadership, innovation, and entrepreneurial capabilities through transformative approaches to sustainability education and training.
Target Audience(s): Youth (18-30), educators, trainers, practitioners, entrepreneurs, and researchers.
Timeline: Spanning from June to October 2023, this webinar series consists of six virtual webinars led by experts in the field on topics including sustainability curriculum development, youth innovation and leadership skills development, and ethics in action, among other themes relating to Education for Sustainable Development (ESD), the Sustainable Development Goals (SDGs), and youth leadership.
Accessibility: Webinars will be delivered with live translation in English, French, and Spanish. Webinars will also incorporate a range of innovative approaches to knowledge dissemination, mobilization, and translation.
Registration forthcoming. 
 
 
 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Radhika Iyengar
      
                                                                                          
            ri2123@columbia.edu"
https://www.climate.columbia.edu/events/ldeo-earth-science-colloquium-6,"The Earth Science Colloquium Series, sponsored by Lamont-Doherty Earth Observatory and Columbia University Department of Earth and Environmental Sciences (DEES), provides a lively forum for discussing a wide variety of topics within the Earth sciences and related fields. Colloquia are attended by the full range of scientific and technical staff at LDEO. Colloquium attendance is required of all pre-orals DEES graduate students. The Colloquium Series supports the Lamont Seminar Diversity Initiative. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Dr. Einat Lev
      
                                                                                          
            colloquiumcommittee@ldeo.columbia.edu"
https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-33,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu"
