event-href,organizer_link,organizer_link-href,Full_description
https://www.eventbrite.com/e/nyc-yacht-party-cruise-tickets-665719273267?aff=ebdssbdestsearch,NYC Social Group,https://www.eventbrite.com/o/nyc-social-group-31639983301,"Join us for a fun cruise through NYC and sail by the Brooklyn Bridge, The Statue of Liberty, and the beautiful New York City Skyline on this spacious vessel to let loose late night on a 100 ft, 2-deck private yacht!Sail through the city and take in the sights while you enjoy music and drinks for the night. Grab your friends or come alone and get ready to enjoy an experience you won't forget!Live DJ & Dance Floor (DJ Plays All The Best Party Music)All Ages (21 & Over) Are Welcome To AttendAbout 75% Come Alone So Don't Worry If You're Coming By Yourself2 Fully Stocked Cash Bars So You Can Enjoy Amazing Cocktails• The boat will sail rain or shine! The boat has two levels. Both levels have climate controlled areas - indoor & outdoor• Great for Birthday Celebrations / bachelorette / bachelor / anniversary / graduations & more (Balloons & Cakes permitted - no other outside food allowed)• No specific dress code but we suggest Trendy/Neat Casual• There is paid parking at the marina, or you can try to find free parking on the street."
https://www.eventbrite.com/e/foodhack-nyc-meet-up-advances-in-agriculture-tickets-661755627897?aff=ebdssbdestsearch,FoodHack,https://www.eventbrite.com/o/foodhack-13624342445,"Join us for our next FoodHack NYC meetup in collaboration with Newlab! Hear a panel of experts discuss advances in agriculture and how new technologies are reframing our food system.  T﻿his event will feature speakers from Re-Nuble, Farmshelf and more! FoodHack meetups are for entrepreneurs, professionals, investors and food enthusiasts to network and hear from food industry speakers.Whether you're just starting your food business, looking to connect with startups to invest in or want to network with other like-minded professionals - this event is for you.K﻿ey Details:Topic: Advances in Agriculture: how new technologies are reframing our food systemDate:  Wednesday, July 12Hour:  6:30pm-8:30pm ETLanguage: English V﻿enue: Newlab, Brooklyn Navy Yard, 19 Morris Ave, Brooklyn, NY 11205, United StatesA﻿genda:Introductions from FoodHack NYC and NewlabPanel and Q&AP﻿itches from the audienceFood from our incredible local partners and networkingPitch: Are you launching a new product? Are you looking for your next R&D expert or your next CEO? Are you looking for a job or an internship? Join our 30-second pitch session and share your business update with the audience (open to anyone). About the Organizer:FoodHack is a community-driven platform that inspires, highlights and connects food entrepreneurs and innovators. With meetups across the globe, a bi-weekly food industry newsletter, a membership program and an annual summit.About the Host:Newlab is a center of invention applying innovation to some of the world’s most complex challenges in mobility, energy, and materials. The heart of Newlab is its community of inventors, engineers, scientists and entrepreneurs collaborating with partners across industries and sectors. Newlab pairs these solvers with challenges and fosters a culture of relentless incrementalism applied to real-world problems to build, test and scale world-changing solutions.About the Panelists:Tinia Pina - Founder & CEO of Re-Nuble Inc.Tinia Pina has a B.S. in Business Information Technology from Virginia Tech. She began her career in sustainability as a former student pursuing a Masters of Science degree at Columbia University prior to becoming the CEO and Founder of Re-Nuble, Inc., an agricultural technology company and social enterprise headquartered in New York City. A strong advocate for sustainable waste management and closed loop agriculture, she has been involved in management and business development roles within the sustainability industry for at least ten years and in finance for eight years. Her professional interests focus on using unique and distributed technologies to extract the optimal value from organic waste streams for closed-loop agriculture for growers.Jessica Monte - Head of Product, R&D at FarmshelfJessica Monte began her career in sustainability in 2014 as a research assistant on a grant funded by The Sustainable Agriculture Research and Education (SARE) program, while obtaining her B.S. from the Department of Plant Science and Plant Pathology at Montana State University. She has over a decade of experience in environmental science, and has spent the last 7 years immersed in the hardware and technology verticals. It was the symbiosis of the aforementioned industries that drew her to the plant science department of Farmshelf in 2018. Marrying hydroponic grow techniques with modular hardware and intelligent software, farmshelf aims deliver the ultimate growing experience for corporate food service, restaurants, schools, and individuals. Jessica is now the Head of Product, R&D at Farmshelf. She is a huge advocate for academic and industry collaboration. She believes that the advantages that are gained in their coexistence are inextricably linked for creating a path to a sustainable future. Sara Nejad (moderator) -Product Realization Specialist at NewlabSara is an innovation strategist, specializing in the convergence of design thinking, biology, and systems thinking. At Newlab, she spearheads the applied life science program and biolab, facilitating interdisciplinary innovation and fostering a diverse and collaborative network of biotech innovators in NYC and beyond.Sara holds a Master of Science in Integrated Design and Media from NYU, where she focused on circular design and sustainable food systems. An experienced educator, she has taught a graduate course in Biodesign at NYU, and conducted workshops on speculative and multispecies design at the MIT MediaLab and Genspace.There will also be a number of innovative food brands sampling their delicious creations! From mouthwatering pizza (@LaRossi) and vegan jerky (@jackandfriends), to delectable vegan sweet treats (@mmmly, @eat.edies & @eatschmutz) and tasty drinks (@bubluv, @brooklyncannery, @tomorrowfarms)  Come hungry!T﻿his event is free but registration is mandatory. Please let us know if you can't attend so we can release your ticket for someone else. Thank you!"
https://www.eventbrite.com/e/all-white-all-night-hip-hop-rb-boat-party-cruise-tickets-571082923397?aff=ebdssbdestsearch,Boat Parties of America,https://www.eventbrite.com/o/boat-parties-of-america-20030892557,"Get ready to set sail in style with the All White All Night Hip Hop Boat Party! Dress to impress in your best white outfit and dance the night away to the hottest beats on the water. Don't miss this unforgettable evening of music, drinks, and good vibes!Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Open-Air deck and a climate-controlled cabins;Live DJs playing all styles of Hip Hop, Oldies, R&B but also Latin, Reggaeton and more!Rain? No problem, there are indoor dance floors and indoor sitting areas! Food Available for Purchase.VIP Ticket Includes Express Line Entry.Free Street Parking Available around the area;Contact us for more information & special reservations: info@crustnation.com or call / text  Allan  (646) 263 -4593A﻿LL WHITE ATTIRE ENCOURAGED BUT NOT MANDATORY!Event Information:AVALON YACHTBoarding: 11:00 PMDeparture: 11:45 PMReturn: 2:30 AMEnds:3:00 AMRain or Shine21 & over with a physical ID (no photos of ID accepted)"
https://www.eventbrite.com/e/bailar-reggaeton-latin-music-boat-party-nyc-tickets-571055902577?aff=ebdssbdestsearch,Boat Parties of America,https://www.eventbrite.com/o/boat-parties-of-america-20030892557,"Join us for an unforgettable evening of music, dancing, and fun on the Bailar Reggaeton Boat Party! Set sail on the sparkling waters of the ocean as you enjoy the beats of the hottest Reggaeton tracks, with a live DJ spinning the latest hits.Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Open-Air deck and a climate-controlled cabins;Live DJs playing all styles of Latin, Reggaeton but also Hip Hop, Oldies, R&B and more!Rain? No problem, there are indoor dance floors and indoor sitting areas! Food Available for Purchase.VIP Ticket Includes Express Line Entry.Free Street Parking Available around the area;Contact us for more information & special reservations: info@crustnation.com or call / text  Allan  (646) 263 -4593Event Information:AVALON YACHTBoarding: 11:00 PMDeparture: 11:45 PMReturn: 2:30 AMEnds:3:00 AMRain or Shine21 & over with a physical ID (no photos of ID accepted)"
https://www.eventbrite.com/e/dasa-training-tickets-624295393327?aff=ebdssbdestsearch,Elite Community Foundation,https://www.eventbrite.com/o/elite-community-foundation-32864612113,"This Dignity for All Students Act (DASA) Training workshop is for educator certification in New York State.  DASA Training addresses harassment, bullying, and discrimination prevention and intervention in schools.  DASA Training is fully self-study online (6 hours) with an instructor.   This training can be completed same day or within 2 weeks of enrollment.This Dignity for All Students Act (DASA) Training workshop is for educator certification in New York State.  DASA Training addresses harassment, bullying, and discrimination prevention and intervention in schools.  DASA Training is fully self-study online (6 hours) with an instructor.   This training can be completed same day or within 2 weeks of enrollment.DASA TRAINING is available 24/7 online or at any time you choose.   This course requires reliable internet connection, speakers, and a laptop, tablet, or desktop computer.  Valid email address is required to receive instructions, course links, and other information. DASA Training content:Introduction to the Dignity ActUnderstanding Diversity, Multi-cultural Environments, and Examining Personal Biases.Developing sensitivity to the experiences of specific student populations.Participants will understand the indicators and early warning signs.Understanding how school climate and culture have an impact on student achievement and behavior.Understanding how school climate and culture have an impact on student achievement and behavior.Participants will learn intervention and prevention strategies including how to interact with families.Reporting requirements for educatorsThe course certificate is generated with the name of the person who purchases this course.  Under no circumstance will the names on certificates be substituted by our staff.  No refunds, access extension available.Certificate of Completion are available immediately (same day) after satisfactory completing the course.  Also, DASA training will be reported to the NYS Education Department electronically and posted in your Teach Account."
https://www.eventbrite.com/e/summer-meet-up-in-the-park-tickets-664853072437?aff=ebdssbdestsearch,Latinxs in Sustainability,https://www.eventbrite.com/o/latinxs-in-sustainability-34248779935,"Join Latinxs in Sustainability for an evening of in person networking in the park!

We are thrilled to announce our second in-person event this year! Join Latinxs in Sustainability on July 18 at 6:30pm EDT for a Summer Meet Up in the Park! 

You're invited to this after work hang at Washington Sq where we will connect with other professionals in or interested in the sustainability industry!

As always we are hoping to foster some meaningful connections within our community! About LISLatinxs in Sustainability is made up of a group of professionals determined to address and reduce the barriers that have led the environmental and climate field to be among the least ethnically and racially diverse across all disciplines. Our goal is to establish and facilitate pathways for underrepresented and under-resourced Latinx communities in an effort to diversify the sustainability workforce.


We hope you will join us and share this event with others! For future events follow us on Instagram or join our LinkedIn group, and check out our webpage here!"
https://www.eventbrite.com/e/the-1-hip-hop-rb-4th-of-july-fireworks-yacht-cruise-nyc-tickets-642252864607?aff=ebdssbdestsearch,iBoatNYC,https://www.eventbrite.com/o/iboatnyc-12316350145,"Get aboard #1 4th of July Cruise in New York City on the largest and most luxurious Hornblower's Infinity Yacht Cruise and dance the night away under the Fireworks right in front of the Statue! We sail directly to a front row seat of the Macy’s fireworks, best viewing show in the city.America’s most iconic Independence Day celebration is back for the biggest show yet!Grab the best seats while they last to watch Macy's 4th of July Fireworks on the best Yacht in New York City, right on the river! Create unforgettable memories with your loved ones while sailing on Manhattan waters during the Sunset filled with Live Music, Open Bar, delicious Meals and breathtaking Skyline views! There are 4 levels of music including an outdoor deck for dancing underneath the moonligh as well as the two large indoor dance floors! Your Fireworks Dinner Experience Includes:Scenic 3.5-hour cruise of the NYC harbor during the FIREWORKS Display.OPEN PREMIUM BAR (standard liquor drinks, beer, wine & soda).Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more.A delicious buffet for enjoyment ALL CRUISE LONG!Waitress Service Available ; Order Drinks directly to your table.VIP BOTTLE SERVICE available upon request .Open-Air deck and a climate-controlled cabin.The dress code is ""trendy"".Contact us for special reservations: rsvp@iboatnyc.com or call / text  Allan  (646) 263 -4593July 4th Menu Includes:STARTERS- Field Green Salad  - Kale Quinoa Salad ENTREES- Baked Ziti Pasta [Aged Reggiano Parmesan Cheese, Mozzarella Cheese, Cheese Spinach Sauce]- Over Roasted Flounder Filet [Spicy Tomato & White Bean Ragu] - Honey & Sesame Chicken [Scallions, Fresno Chilies] SIDES- Roasted Broccoli Florets [Toasted Garlic, Chili Flakes] - Mashed Potatoes [Idaho Potatoes, Roasted Garlic]DESSERTS- JULY 4TH  Special Dessert SelectionEvent Information:Location: PIER 40 - MEGA YACHT INFINITYEverything about the Hornblower Infinity is impressive. This isn’t just a yacht, it’s a first-class venue, with the added bonus of being on the water. And you can experience incredible views from all four decks. Join us for July 4th extravaganza  on the largest yacht with the State of the Art Sound System and maginificent LED lighting. Amongst many options, there is no other yacht like Infinity in New York City. Boarding: 5:30 PMDeparture: 6:30 PMReturn: 10:30 PMRain or ShineALL AGESDid you enjoy your concert cruise experiences? Learn more about our partner Hudson-360.com, one of NYC's premier audio and visual production companies that offers event production & marketing services, audio and visual solutions and can book any artist for your next event."
https://www.eventbrite.com/e/hip-hop-vs-reggae-nyc-jewel-yacht-party-cruise-skyport-marina-simmsmovement-tickets-667240513337?aff=ebdssbdestsearch,NYC Chase Simms Simmsmovement event group,https://www.eventbrite.com/o/nyc-chase-simms-simmsmovement-event-group-12071565564,"The Jewel Yacht Fridays & Saturdays read belowFRIDAY Dates June 30th, June 21st, July 28th  11:45pmThe Spring Edition Friday Midnight Yacht party Cruise at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Spring Edition Friday Midnight Yacht party Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets ** Limited CapacityWhat You'll GetCustomers can arrive by 11:45 p.m. for check-in with yachtBottle service priority Full name & email for priority reservation seating.The yacht will be sailing. Boarding 11:45pm, Sail 12:30am. The Yacht returns to Marina at 3:30am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!SATURDAY  Dates July 1st, July 8th, July 22, July 29th  11pm The NYC Hip Hop vs. Reggae ® Yacht party Cruises Skyport Marina Jewel Yacht (646) 717-2520The Official Hip Hop vs. Reggae ®Cruises Yacht party at Skyport Marina Jewel Yacht located at 2430 FDR Dr, New York, NY 10010. Join us at the Hottest Hip Hop vs. Reggae® Cruise Yacht Party in with NYC Hottests Djs while enjoying views of the Manhattan Cities Skyline!Limited Tickets ** Limited CapacityCustomers can arrive by :I﻿MPORTANT BOARDING INFORMATION:S﻿ATURDAY BOARDING 11:00pm (The yacht will be sailing. Boarding 10:45pm, Sail 11:30pm. The Yacht returns to Marina at 2:45am. Please arrive early so you don't miss the Yacht. No Refunds if you miss it!)Bottle service priorityFull name & email for priority reservation seating.ID is a Must. Drinks Bar onboard. 2 Floors of music with climate-controlled Main Floor & Upper Deck!Temperature readings upon entry so we can create a safe haven for our attendees!For more ticket information on NYC Hip Hop vs. Reggae ® Midnight Party Jewel Yacht Cruise call/ or text 6467172520 or Chasesimms.eventbrite.comHip Hop vs. Reggae ® is a registered trademark of Gametight New York. All rights reserved."
https://www.eventbrite.com/e/july-4th-1-nyc-yacht-party-cruise-fireworks-experience-tickets-642324388537?aff=ebdssbdestsearch,ICLUBNYC,https://www.eventbrite.com/o/iclubnyc-1717273352,"Get aboard #1 4th of July Cruise in New York City on the largest and most luxurious Hornblower's Infinity Yacht Cruise and dance the night away under the Fireworks right in front of the Statue!We sail directly to a front row seat of the Macy’s fireworks, best viewing show in the city.America’s most iconic Independence Day celebration is back for the biggest show yet!Grab the best seats while they last to watch Macy's 4th of July Fireworks on the best Yacht in New York City, right on the river!Create unforgettable memories with your loved ones while sailing on Manhattan waters during the Sunset filled with Live Music, Open Bar, delicious Meals and breathtaking Skyline views!There are 4 levels of music including an outdoor deck for dancing underneath the moonligh as well as the two large indoor dance floors!Your Fireworks Dinner Experience Includes:Scenic 3.5-hour cruise of the NYC harbor during the FIREWORKS Display.OPEN PREMIUM BAR (standard liquor drinks, beer, wine & soda).Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more.A delicious buffet for enjoyment ALL CRUISE LONG!Waitress Service Available ; Order Drinks directly to your table.VIP BOTTLE SERVICE available upon request .Open-Air deck and a climate-controlled cabin.The dress code is ""trendy"".Contact us for special reservations: rsvp@iclubnyc.com July 4th Menu Includes:STARTERS- Field Green Salad- Kale Quinoa SaladENTREES- Baked Ziti Pasta [Aged Reggiano Parmesan Cheese, Mozzarella Cheese, Cheese Spinach Sauce]- Over Roasted Flounder Filet [Spicy Tomato & White Bean Ragu]- Honey & Sesame Chicken [Scallions, Fresno Chilies]SIDES- Roasted Broccoli Florets [Toasted Garlic, Chili Flakes]- Mashed Potatoes [Idaho Potatoes, Roasted Garlic]DESSERTS- JULY 4TH Special Dessert SelectionEvent Information:Location: PIER 40 - MEGA YACHT INFINITYEverything about the Hornblower Infinity is impressive. This isn’t just a yacht, it’s a first-class venue, with the added bonus of being on the water. And you can experience incredible views from all four decks.Join us for July 4th extravaganza on the largest yacht with the State of the Art Sound System and maginificent LED lighting. Amongst many options, there is no other yacht like Infinity in New York City.Boarding: 5:30 PMDeparture: 6:30 PMReturn: 10:30 PMRain or ShineFAMILY FRIENDLY EVENT (12+)follow @iclubnyc all social media visit www.iclubnyc.com"
https://www.eventbrite.com/e/all-white-all-night-boat-party-cruise-tickets-571160304847?aff=ebdssbdestsearch,Boat Parties of America,https://www.eventbrite.com/o/boat-parties-of-america-19945329781,"Get ready to set sail in style with the All White Hip Hop Boat Party! Dress to impress in your best white outfit and dance the day away to the hottest beats on the water while smoking hookah!Pick your poison! We have Brunch Cruises, Sunset Cruise and Night Time Boat Parties!Your Cruise Experience Includes:Scenic 3-hour cruise of the NYC harbor;Captivating views of the Manhattan skyline including the Statue of Liberty, Brooklyn Bridge, Ellis Island, the Freedom Tower and more;Open-Air deck and a climate-controlled cabins;Live DJs playing all styles of Latin, Reggaeton but also Hip Hop, Oldies, R&B and more!Rain? No problem, there are indoor dance floors and indoor sitting areas! Food Available for Purchase.VIP Ticket Includes Express Line Entry.Free Street Parking Available around the area;Contact us for more information & special reservations: info@crustnation.com or call / text  Allan  (646) 263 -4593Event Information:Brunch  boarding: Boarding: 12:00 PMDeparture: 12:45 PMReturn: 3:30 PMEnds:4:00 PM---------------------Sunset Cruise Boarding:Boarding: 6:00 PMDeparture: 6:45 PMReturn: 9:30 PMEnds:10:00 PM---------------------Night Boat Party Boarding:Boarding: 11:00 PMDeparture: 11:45 PMReturn: 2:30 AMEnds:3:00 AM Rain or Shine21&over with the valid physical ID"
