event-href,organizer_link,organizer_link-href,Full_description
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-29th-pm-session-tickets-665622543947?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-22ndam-session-tickets-665602624367?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-wednesday-5th-am-session-tickets-663966239897?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/women-of-goodly-heritage-tickets-626487861057?aff=ebdssbdestsearch,CWC USA NATIONAL DIOCESE,https://www.eventbrite.com/o/cwc-usa-national-diocese-65083526763,O﻿ur Mission is to remain role model and provide sound virtuous examples of Christ mindsets for the younger women and ladies.
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-thursday-july-20tham-session-tickets-665594580307?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/how-to-turn-your-journal-into-a-self-empowerment-tool-elizabeth-tickets-520900295807?aff=ebdssbdestsearch,HONORARY KIN,https://www.eventbrite.com/o/honorary-kin-58839129833,"This workshop will be held live on Zoom.In just one hour, you’ll learn a simple journaling technique that will reconnect you to yourself and others. All that's required is an open mind and a willingness to be compassionate and supportive. Plan for 60 minutes on Sunday, from 12:00-1:00 PM EASTERN.This workshop is for you if: You're naturally everyone else's biggest cheerleader, and you're ready to prioritize being your own.  You need to remember how to make time for yourself. And you've grown accustomed to being on auto-pilot as you tend to the needs of everyone around you.  You're looking for a process that will guide you into a sustainable journaling practice that celebrates you. You're looking for a supportive community that will celebrate your wins alongside you and motivates you to keep going. If you’re tired of feeling disconnected, then this completely FREE workshop is for you. I’ve designed it to help people like you celebrate themselves, connect with like-minded people, and (finally!) start their journaling journey. Because let's face it. You've exceeded goals and met deadlines set by other people, all while sensing that something's missing. This sense is your desire knocking on the door. The desire to redefine what success means, to celebrate and capture your journey as it unfolds, and to do it alongside supportive, like-minded individuals. ANYONE CAN WRITE SOMETHING DOWN ON PAPER, BUT BUILDING A SUSTAINABLE JOURNALING PRACTICE THAT'S FUN REQUIRES CONSISTENCY. Are you ready to explore what journaling that celebrates yourself could look and feel like for you? Sign up today, check your email for details, and arrive ready to go all in! I can't wait to connect with you. ~ Claire"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-july-8th-pm-session-tickets-661654836427?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/woodworking-face-frame-cabinetry-tickets-653082997827?aff=ebdssbdestsearch,MakerSpace NYC,https://www.eventbrite.com/o/makerspace-nyc-18615337552,"Class Description:Over two sessions in this weekend intensive-style class, you'll learn to safely operate some of the most commonly-touched machines in the wood shop, and walk away with a small, two-shelf open cabinet. O﻿n day one, we will begin with a quick material & joinery discussion to foreground our cabinet-making, covering uses for hardwood vs plywood, and tongue / groove / rabbet 101s. We will then move into machine safety & set up for dimensioning & grooving our face frame parts. With our groove made, we will set up for putting a tongue on our plywood parts, testing for accuracy with both feel and measurements. We will have all cabinet parts cut & joinery completed, and will have covered the jointer, planer, router table & table saw with dado stack on day one.At the beginning of day two, we will begin by combining cabinet parts, learning about best glue up practices along the way, and then begin hand-sketching our cabinets to build, with dropped-down dimensions. Participants are encouraged to consider a space in their homes or offices for this small cabinet to live, and design accordingly. When ready, we'll begin cutting down our cabinet parts to final dimension, marking for through and pilot holes, and finish by screwing them together. By then end of our second day, we will have covered proper form with clamps, gluing & drills (screwguns), as well as further table saw practice. This is a great class for those new to woodworking, or those interested in brushing up on their essentials skills in a safe, supportive environment. While geared towards those who have used some (though perhaps not all) of these machines or processes before, beginners eager to dive right in are absolutely welcome. We will be moving at a quick pace, and any and all questions are greatly encouraged, especially the ones we’ve been taught to think we should already know the answer to.This class is welcoming to all, especially those traditionally underrepresented in the field of woodworking- in particular those who identify as female, trans*, non-binary & gender non-conforming, BIPOC, queer, disabled. Please reach out to the instructor in advance of class to discuss accommodations. C﻿lass limited to six participants, ages 18+T﻿iming & Pricing:5﻿hr sessions, Sundays 10a-3p (July 9 & 16)$﻿440 member / $500 non-member $55 materials feeInstructor:a e﻿ve samuels (she / they) began teaching with MakerSpace NYC in 2017, and is thrilled to be back with summer class offerings this year!  eve is a queer white woodworker & designer, who grew up in the Hudson Valley, and has called Brooklyn home since 2014.Both their small business Two Tree Studios (founded 2017), and education initiative The Level Up Project (founded 2020), are operated out of their East Williamsburg studio. Through these entities, samuels pursues slow & responsive design, translating the concept of 'sustainability' beyond material sourcing & waste management, into a larger working ethos.samuels' eye for minimalism, strong craftsmanship and appreciation for the natural world is felt throughout their wooden furniture, vessels & sculpture. From their production practices, to centering knowledge-sharing & redistribution, samuels strives to keep their footprint light, while contributing to a more equitable future within their industry."
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-saturday-8th-am-session-tickets-661757794377?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
https://www.eventbrite.com/e/fabscrap-bklyn-volunteer-friday-july-7th-pm-session-tickets-661654034027?aff=ebdssbdestsearch,FABSCRAP,https://www.eventbrite.com/o/fabscrap-12736454433,"FABSCRAP needs your help to save designer textiles from landfill! As a volunteer, you will sort through fabric samples and swatches, readying them to be saved for reuse.Thank you for wanting to be part of our work and mission! When you sign up, please consider also making a donation to keep us operational as a sustainable resource - FABSCRAP is the only option available for the fashion industry to recycle and redistribute unused material, and the most accessible way for consumers to find saved-from-landfill fabric, trim, leather, and yarn. Every dollar donated helps to further our mission!When registering, choose:First Time Volunteer Sorter if this is your first time volunteering with usReturning Volunteer Sorter if you’ve sorted with us before*N﻿ote: If you choose to donate, please make sure that you also choose a sorter ticket. *Please read below for additional information on your volunteering experience and directions to our space!*﻿*Important: unfortunately we do not have air conditioning in our warehouse space. However, we do have open windows for fresh air and fans going throughout the session. We encourage volunteers to bring water with them. Please take this into account when you are registering for sessions during these summer months.**---What to expect:Welcome: Intros and overview of FABSCRAP (10 minutes)Training: Learn how FABSCRAP sorts fabric for recycling (10 minutes)Sort: Sort through fabric samples and large pieces, pulling out usable fabrics for reuse and removing hardware and paper from fabric swatches for recycling (~2.5 hours)Shop for fabric! (after the sessions ends for 1 hour)***Sorting fabric requires the use of sharp scissors and moderate lifting (up to 20 lbs). By registering for a session, you are confirming that you have read, understood, and agreed to the volunteer waiver.***Tips for a successful volunteer session:Dress comfortably and wear comfortable shoes as most volunteers sort while standing; we can provide chairs if you prefer to sitBring your own bag to carry home any material you shop!We play music, but feel free to bring headphonesFeel free to bring water or beverages with a cap/lid; there are also vending machines in the entrance of the buildingAs the weather gets cooler, windows will only be open for ventilation depending on outside temperaturePlease be sure to register for every session you plan to attend, and have any guests who want to accompany you register as well.As a thank-you for completing a 3 hour volunteer session, we’re happy to:Give you 5 pounds of fabric for FREE and a 30% volunteer discount on any additional material you’d like to purchase… ORWaive the fee for recycling personal sewing scraps, up to 10 pounds and a 30% discount on any materials you purchase***FABSCRAP does not accept used garments or home linens for recycling.***Want to get even more involved? After volunteering 10 or more times, you are eligible to become a Reuse Volunteer! Reuse Volunteers help process materials for our reuse room after they leave the volunteer sorting tables.  It’s a great opportunity to get even more involved in our operations! We monitor our Eventbrite registrations closely. If you think you may have completed 10 sorting sessions and did not receive an invitation to sign up, let us know at volunteer@fabscrap.org using the email you register for sessions with.SafetyWe are committed to keeping our volunteers, community, and team safe:Masks are required to enter the FABSCRAP warehouse and are mandatory on the Brooklyn Army Terminal premises. The FABSCRAP team will be wearing masks at all times.Volunteer stations are comfortably spaced apart for individual use (unless you opt to share with a friend)Cleaning and sanitizing of volunteer stations and frequently touched surfaces will take place between all volunteer sessionsA First Aid kit, gloves and hand sanitizer will be available DIRECTIONS ARE IMPORTANT:The FABSCRAP warehouse is located in Building B within the Brooklyn Army Terminal (BAT), which is accessible by foot, bike/scooter, car, subway, bus, and ferry. Free indoor and outdoor bike parking is available at BAT Building B entrances (58th Street). This entrance is fully accessible. Free, secure on-site parking is available for cars at the Pier 4/NYC Ferry parking lot.How to locate FABSCRAP within BAT: Our website has in-depth directions with pictures to make sure you are easily able to find us!"
