Event_URL-href,Full_Description
https://www.reticenter.org/events/infinite-mussel-party,"Please join us for our Spring Celebration at the RETI Field Station on the Gowanus Bay at GBX Terminal. A climate-action barge floating in the industrial landscape of South Brooklyn.Tickets can be purchased here.Join RETI Center and learn about our Mussel and Sugar Kelp Aquaculture Program, BlueBlock Floating Gardens, Local Power, and more.An evening of gumbo, cocktails, and dancingGenerously sponsored by GBX~ Gowanus Bay Terminals"
https://www.reticenter.org/events/tour,"Ocean Stewardship from the Bronx to BrooklynA Boat Tour Envisioning Ecology, Economy and Equity for East River Communities 
A special event in support of New York Water Week and the UN Water Summit

Suggested donation: $55 with box lunch includedPURCHASE TICKETSNew Yorks's coastlines are rebounding with kelp farms, constructed salt marshes, floating gardens, and access for low-income populations, all built by community activists, but ecological restoration and environmental justice still aren't a priority for the city's megaprojects. Tour the East River from Bronx Kill Park to Gowanus Bay with community and environmental justice activists to see their remarkable revitalization projects as guide you  through the past, present and future of New York’s coastline and marginalized communities. New York Harbor is the 6th Borough, the defining feature and least empowered part of the metropolis. Learn how a community-driven response to the changing climate and a transition to a carbon-free economy can catalyze an equitable and sustainable future for our collective benefit.This 3-hour guided boat tour will take us from 34th St Ferry Landing to the Bronx, future site of South Bronx Unite’s Bronx Kill Park and then return downriver to Red Hook, Brooklyn to RETI Center’s BlueCity at GBX~ Gowanus Bay Terminal. The afternoon will be spent with advocates and activists representing communities along the East River and NY NJ Harbor Estuary who have expertise and knowledge on how large-scale infrastructure must meet the needs of our local citizens and ecosystems. We will be discussing NYC and other metropolis-scale plans for sea level rise and climate events. The focus will be on nature-based solutions, equitable access, and visionary solutions that can benefit all species in the face of hard infrastructure proposals such as the US Army Corps of Engineers Harbor & Tributaries Focus Area Feasibility Study [HATS]."
https://www.reticenter.org/events/local-power-community-solar-info-session,"S﻿witch your electric account to Local Power, a brand new community solar program that lets you cut your energy costs every month. You'll start getting your power from large-scale solar energy systems on commercial buildings in the neighborhood. That means you can go solar without installing a system on your roof - the savings guaranteed, and it's free to sign-up!H﻿elp us create our local green power system. You'll learn where the systems are being installed and we'll discuss opportunities for investment and even ownership in a program that benefits the whole community, including training and jobs for our low-income populations.Register here"
https://www.reticenter.org/events/stewards,"What will it take to expand New York City’s floating infrastructure for the development of ecologically sustainable water-borne uses around the coastal edge?Industry experts, academic and research institutions, and marine advocacy and nonprofit groups join city officials for an engaged analysis of the past and current state of affairs, and the prospects and strategies for the future of the blue/green economy on the city’s coastal waters.Please join the RETI Center and the Dutch Consulate for a half-day conference and workshop.Register here"
https://www.reticenter.org/events/blueblocks-floating-gardens-open-house-new-york,"Talks at noon and 2pm by the designers from thread collective and RETI Center staff.BlueBlocks are modular, floating, semi-submersible structures for challenging urban edge conditions, creating small salt marsh archipelagos that provide a range of ecological benefits for humans and other species. RETI Center BlueCity at GBX~ Gowanus Bay Terminal uses BlueBlocks to create a unique garden on the Red Hook waterfront.The tour will bring you out onto the barge where you will experience a unique spot in the industrial waterfront of New York. These gardens link to the issues of sea level rise, coastal adaptation, and nature-based solutions to create a more resilient future. Learn about the design and fabrication techniques employed to create a hospitable environment for a variety of marine life. In addition, we will showcase the Sugar Kelp marine farm, created in collaboration with LaGuardia College and Lazy Point Farms, that will be launched in the winter months."
https://www.reticenter.org/events/local-power-info-session-virtual,Local Power Community Solar- Info Session on how to Subscribe!Shrink Your Electric Bill and Your Carbon Footprint! Join us for an Information Session about the new community solar program in Red Hook.Register here.
https://www.reticenter.org/events/big-walk-2022,"CANCELED DUE TO RAIN! WATCH FOR SPRING 2023 DATES Please join professor Louise Harpman and other urban enthusiasts as we explore Brooklyn’s Working Waterfront for the 11th annual BIG WALK. Highlights include PortSide New York, Louis Valentino, Jr. Park and Pier, RETI Center’s BlueCity at the GBX Gowanus Bay Terminal, Culver Viaduct, and the Gowanus Dredgers Canoe Club.MORE INFORMATION HERE"
https://www.reticenter.org/events/event-one-3gzx8-xbtms-yfex7-86yms-cyb7z-596wg-pm9ta,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!
https://www.reticenter.org/events/event-one-3gzx8-xbtms-yfex7-86yms-cyb7z-596wg,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!
https://www.reticenter.org/events/event-one-3gzx8,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!
