web-scraper-order,web-scraper-start-url,event,event-href,organizer_link,organizer_link-href,full_description
"1685651253-1","https://www.eventbrite.com/d/wa--seattle/climate/?page=5","Refuge Day: Pride Edition","https://www.eventbrite.com/e/refuge-day-pride-edition-tickets-624833161807?aff=ebdssbdestsearch","Golden Bricks Events","https://www.eventbrite.com/o/golden-bricks-events-15393551822","We're celebrating Pride Month at our June Refuge Day! We are excited to celebrate our LGBTQIA+ community with an all-QTPOC (Queer, Trans, People of Color) led and centered event. This is a free family-friendly event, all are welcome.  Refuge Day is a seasonal event series with resources for outdoor recreation beginners, activities, outdoor-focused community organizations, healing practices, DJ sets, and flash learning sessions.If you’re unsure about making it for the full campout experience of Refuge Fest, join us for Refuge Day! Who is Refuge Day for? This is for you if you are:- Looking to learn more outdoor recreation skills.- Wanting to build more connections with folks who share similar interests.- Unable or unsure about attending the festival to still have access to outdoor recreation.- Wanting to have fun outside!What can you expect at Refuge Day?Expect to learn and connect! Refuge Days are free and open to the public. Attendees are welcomed to do as much or as little as they’d like- whether that’s vibing out with the DJ or practicing a new outdoor activity. Stay tuned for schedule announcements!Proudly supported by: Washington Trails Association, REI, The Wilderness Society, Birds Connect Seattle (formerly Seattle Audubon)"
"1685651262-2","https://www.eventbrite.com/d/wa--seattle/climate/?page=4","AHG Presents: SEATTLE Queer Industry Night","https://www.eventbrite.com/e/ahg-presents-seattle-queer-industry-night-tickets-639674201757?aff=ebdssbdestsearch","The After Hours Group","https://www.eventbrite.com/o/the-after-hours-group-65788557673","Allow Us to Introduce Ourselves! Queer Industry Night is the brain child of host Erin Roo from The After Hours Group - an event conceived in San Francisco celebrating the LGBTQ service industry and providing a queer-ass space for us all to connect and party during Pride month. We're bringing QIN to Seattle for the very first time, featuring an asbolutely stacked lineup of LGBTQ+ bartenders from the city's best cocktail bars ready to serve up a night of cocktails, community, and cruising. A portion of proceeds will be donated to The Groundswell Fund, a national organization focused on strengthening U.S. movements for reproductive and social justice by resourcing intersectional grassroots organizing and centering the leadership of women of color – particularly those who are Black, Indigenous, and transgender.   What to Expect: Cocktails from Seattle's best LGBTQ+ Bartenders! Adam Aly (Foreign National)John Fry (Rumba)Robin Kim (Damn the Weather)Celestina Nunez (Foreign National)Cera Grindstaff (Dreamland) Manny Contreras (En Rama)PLUS Your Host, Erin Roo and an all-LGBTQ team from Life on Mars!Music from some of Seattle's best LGBTQ+ DJ's! DJ Baby Van Beezly - DJ Baby Van Beezly is one of Seattle's premier nightlife and private event DJs. Her high energy sets are jam packed with turntablist tricks and hype girl vibes that will make it impossible for you not to get on your feet and let it rip on the dance floor! You can catch her playing at her residence venue Queer/Bar, also Supernova, Nectar, High Dive, The Cuff, The Woods, and so many more. They don't call her ""The Hardest Working DJ in Seattle"" for nothing! DJ MIXX America -  MIXX’s specialty is creating a festive party atmosphere by seamlessly weaving together Top 40 tracks across various genres. As an openly queer artist, MIXX has a passion for supporting the LGBTQ+ community with a special focus on the often underrepresented POC, trans and youth in the community, and has provided the soundtrack for notable city events for the rainbow community, such as the Seattle PRIDE parade, the PRIDE flag raising ceremony and the mayor’s PRIDE reception. Sponsored by Our Favorite Brands! A huge thank you to our spirits sponsors, Grey Goose Vodka, Bacardi Rum, Bombay Sapphire Gin, Cazadores Tequila, Old Forester Bourbon, Mr. Black Coffee Liqueur, The Pathfinder Amaro, Chambord Raspberry Liqueur,  Brucato Amaro, and St-Germain Elderflower Liqueur. Tickets Include: Each $25 ticket includes event entry, vegan snacks, and 2 drink tickets good for 1 cocktail or 2 beers. Additional drink tickets will be available for purchase at the event. Please remember that drink tickets don't include gratuity - bring cash and TIP YOUR BARTENDERS!A portion of each ticket will be donated to The Groundswell Fund with donations matched by our awesome sponsors!Housekeeping:This event is open to all members of the LGBTQ+ community who work in the service industry at large. Allies are welcome to attend with LGBTQ+ friends or partners, but encourage our allies to remember that ""showing up"" means more than just taking up space! We suggest choosing ""Sponsor a Ticket"" and purchasing a ticket for a community member in need, or covering a queer coworker's shift so that they can attend this event.This is a 21+ event. We strongly suggest that all attendees be fully vaccinated against Covid-19 and we recommend wearing masks while approaching the bar or interacting with staff. If you are interested in attending and are unable to afford a ticket, please send us an email through eventbrite - a select number of sponsored tickets are available for folks who are unable to purchase due to lack of funds."
"1685651270-3","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Socially Inept: Tech Roast Show","https://www.eventbrite.com/e/socially-inept-tech-roast-show-tickets-633681687987?aff=ebdssbdestsearch","Socially Inept","https://www.eventbrite.com/o/socially-inept-17062970520","Can you feel it?AI’s cold shallow breath on the back of your useless tech job.GPTeeth ripping through your soft skills. The final season of humanity sucks. Musk as the villain is boring and “helpful bot kills everyone” has been done a million times. Take a break from life’s shitty storytelling and come watch us publicly shame tech nerds for the unspeakable horrors they have so awkwardly unleashed.Socially Inept is a touring band of rogue tech comedians — we left our soul-crushing corporate jobs to roast tech companies and alleged humans like you. Now we sell out thousands of blatantly overpriced tickets in NY, SF, LA, Austin, Seattle, San Diegohnohelpiamtrappedinsidebing and Mountain View!Ages 18+, doors open 7:00PM, audience subject to random CAPTCHA tests.Exciting Venue InfoThis will be our second time at Benaroya Hall’s Illsley Ball Nordstrom Recital Hall. It’s an elegant symphony hall designed for acoustic excellence. It has three stage level unisex bathrooms and an exorbitant rental fee. We’re excited for you to see it."
"1685651275-4","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Enchanted Kingdom","https://www.eventbrite.com/e/enchanted-kingdom-tickets-598817448107?aff=ebdssbdestsearch","Resurgence","https://www.eventbrite.com/o/resurgence-11885833477","Presented By:Resurgencehttps://www.facebook.com/WeAreResurgenceLegion Of Basshttps://www.facebook.com/LegionOfBassTeam U4IChttps://www.facebook.com/teamu4icSquidbass Productionshttps://www.facebook.com/squidbassproductionsFriends & Fam Collectivehttps://www.facebook.com/friendsandfameventsEarly Night Recordshttps://www.facebook.com/profile.php?id=100064866048737&mibextid=LQQJ4dManifest Sound Productionshttps://www.facebook.com/ManifestSoundProductions🔥 Featuring the Northwest's Hottest DJs!😱 Multiple Genres including House, Dubstep, Riddim, Trap, Hardstyle, Trance and More!🎉 8:00PM - 2:00AM!18+Featuring Performances By:Steven CutterUnholy DistortionU4IXXJaggTrique Ponet B2B Tayden W.UGabe the Babe B2B Moons & ShroomsDulce DeejayHELLSHVDOWLest3rCuddyYSLCLT LDRSamora ArtworkRainbow King--= Tickets On Sale Now!Tier 1 - $15 - VERY LIMITED!Tier 2 - $18 - VERY LIMITED!Tier 3 - $20Tier 4 - $23***There are no differences between tiers except price so get your tickets right away to guarantee better price!Make your Double Dash down Rainbow Road, Bring Your Flow and Show us your Star Power!Grab your Trusty Dinosaur and Shuffle Stomp some Koopa Troopas as you Begin your Quest in Yoshi's Island!Bring Your Kandi, Swap a Bracelet, and Make New Friends as you Dance your way through Warp Zone!Bring Your Rave Fam and Join Forces with us to Restore the Enchanted Kingdom and help us Save the Princess!Come join us and dance the night away with us with or MASSIVE Sound System in this fully immersive audio/visual experience full of vendors, artists, kandi station, and fully curated experience at the:Freighthouse Square2501 E D St, Tacoma, WA 98421With TONS of FREE Garage Parking Across the Street!!!See you at the Enchanted Kingdom!"
"1685651280-5","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","BLASTFEST","https://www.eventbrite.com/e/blastfest-tickets-586320970807?aff=ebdssbdestsearch","BLAST Music Festival","https://www.eventbrite.com/o/blast-music-festival-62494006123","T﻿he high-energy rhythms of Africa are coming to Seattle, Washington. BLASTFEST is the brand new Afrobeats festival hitting The Seattle Center on July 29, 2023. Featuring a lineup of top-tier performers such as Asake, Tiwa Savage, Ayra Starr, Focalistic and more, BLASTFEST promises to be an unforgettable celebration of African music and culture.From the moment you step onto the festival grounds, you'll be immersed in a world of color, energy and excitement. Feast on delicious cuisine from local food trucks, shop for unique crafts and fashion from vendors, and dance the night away to the infectious drums of Afrobeats music.Located at the iconic Seattle Center, BLASTFEST offers a stunning backdrop of the city's skyline and Space Needle. Join us for a day of non-stop entertainment, cultural exchange, and celebration of Afrobeats music and culture. Don't miss out on this first-of-its-kind event - get your tickets to BLASTFEST now! L﻿et's go to the moon."
"1685651284-6","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Re-Evolution Festival - Music & Camping","https://www.eventbrite.com/e/re-evolution-festival-music-camping-tickets-588576767957?aff=ebdssbdestsearch","Re-Evolution Festival","https://www.eventbrite.com/o/re-evolution-festival-62579570913","The Re/Evolution continues at the beautiful Darrington Music Park in Darrington, WAAugust 4-6, 2023 - With a special Thursday early entry pass available.Comfortable camping among grassy meadows, evergreen forest, and slow winding river at the base of snowcapped Whitehorse Mountain.Located in the incredible city of Darrington, WA - Re/Evolution will be an event for the ages...Venue Address: Darrington Bluegrass Music Park42501 Ste Rte 530Darrington, WA 98241Camping, Music, Speakers, Workshops, and  more! Camping and General Parking are included with ticket price.A  3-day transformational experience! www.reevolutionfestival.comArtists featured are: The String Cheese Incident (2 days), Markus Schulz, Oliver Smith, Luttrell, Genix, Nox Vaughn, Bexxie, Holly Bowling, Yak Attack, Indubious, Nico Luminous, The Itals, Cytrus (x2), Indubious, High Step Society, Cappy Franti, VOLO, Cedric Swan, Spunj, & more artists TBA...Rain or Shine.. Artists subject to change without notice.. No Refunds... No Dogs.. No Glass...A﻿ll Ages... Children 12 and under free..."
"1685651288-7","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Seattle Tech Career Fair: Exclusive Tech Hiring Event","https://www.eventbrite.com/e/seattle-tech-career-fair-exclusive-tech-hiring-event-tickets-146585255445?aff=ebdssbdestsearch","Tech Career Fair","https://www.eventbrite.com/o/tech-career-fair-12448110053","Tech Career FairWe will be hosting a Tech Career Fair with our hiring partners from fast growing startups and Fortune 500 companies in technology.  There will be a focus on helping companies achieve their diversity and inclusivity initiative with more diverse candidates to their talent pool. Available roles that our hiring companies are looking to fill are of the following:Software EngineeringProduct ManagementData ScientistAI/Machine Learning EngineerData AnalystUI/UX DesignMarketingSalesTo make sure your profile is visible and accessible to hiring partners and companies in their system please make sure you complete your profile and upload your resume to the platform.Steps:Complete the Sign-up form here or the link below and upload your resume to the system to get your QR code/candidate profile link: https://careerscrossroad.com/signup?code=SeattleTCFImprove your profile while you are waiting for your profile to be approved * Completed and approved profiles will then be visible to different companies for each career fair where companies will then select who to send the invitation to attend their career fair with the next steps.Follow the instructions in your email invitation from the employers and attend the career fair with your QR code/digital profile link with the hiring companies that you have been assigned to.*Note: This is an ""invite-only"" event due to limited space and high demand. Signing up on Eventbrite alone does not give you access to the event. You would still need to apply with the steps above for a potential invitation.  Only shortlisted candidates will then be notified for  the next steps on how  to attend. Please make sure you complete your profile as completely as you can and upload your resume to the platform for approval(If  the reviewer feels your profile is incomplete, they might not approve it in order to maintain the quality of candidates being presented to  the companies). Approval process timeline varies depending on  the backlog. Once approved, your profile will be visible and accessible to hiring partners and companies  on the platform. To increase your chances to be selected by one of our hiring companies and partners to one of the hiring events, it is recommended that you constantly refine and improve your profile.Employers:To reserve your spot signup here to get your company or get your company on the waitlist here for the next event and we will reach out to you with more info if we can slot you in."
"1685651293-8","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Grow the Best Garden: 5-Part Workshop Series (In Person)","https://www.eventbrite.ca/e/grow-the-best-garden-5-part-workshop-series-in-person-tickets-461356247957?aff=ebdssbdestsearch","Compost Education Centre","https://www.eventbrite.ca/o/compost-education-centre-3022484318","Join us for a series that explores a wide variety of incredibly important gardening topics, from planning and planting, to harvest and seed saving!Whether you're a novice or an experienced gardener, this series will be certain to offer you tips and tricks, strategies and tools for growing your best garden ever.This series features five 3 hour long workshops, once per month for five months. We'll have at least 2 hours of instruction, a hands on activity in the gardens, and time for questions and answers.N﻿ote: If you live in outside Victoria area and would prefer an online option, the same series is happening online, accessed here. Series Outline:Grow the Best Garden #1: Plan and Prepare Your Garden - February 11 (9:30AM-12:30PM Pacific Time)It’s the time of year when gardeners get excited about plotting and planning what they will be planting in their garden. Here on Southern Vancouver Island, good planning makes it possible to harvest produce from our gardens during every month of the year. In this workshop we will cover: •	Why garden in the first place? •	Get to know your garden site, sun, soil, temperature •	Time and money budgeting•	Choosing what to grow, when to plant it, and when to transition to other crops for year-round growing•	Draw a garden plan! •	Take a mini tour of the Compost Education Centre’s annual veggie garden to see how we’ve planned things out for the seasonGrow the Best Garden #2: Seeding Techniques and Garden Care - March 11 (9:30AM-12:30PM Pacific Time)There are so many ways to grow plants, and in this workshop, we’ll learn about the most common seeding techniques, and then get into garden care during the different seasons of the year. We’ll cover: •	Seeding long season crops indoors, soils to use, what your seedlings will need & how to care for your babies•	Seed germination testing•	Direct seeding•	Transplanting seedlings•	Thinning, weeding, watering, fertilizing, mulching, companion planting, basics of pests and disease management, other common seasonal garden care practices•	We’ll take a tour of the CEC’s greenhouse to see seedling growing in process, and then seed some trays togetherCome away from this talk with the core principles of seeding techniques and a whole lot of insight into garden care throughout the seasons.  Grow the Best Garden #3: Build Incredible Soil - April 15 (9:30AM-12:30PM Pacific Time)In this workshop we’ll explore the basis of all life on earth: Healthy Soil! We’ll explore what soil is made of and the vast importance of soil microbes. We’ll answer these questions and many more:•	What is soil made of and why does soil chemistry matter for growing healthy gardens? •	What is the function of beneficial soil microbes?•	What are some gardening methods that can help my garden thrive with beneficial soil microbes and healthy soil chemistry?•	How can I compost like an expert, mulch like a superstar and build soil organic matter every day of the year? •	Check out on site composting operations in the demonstration gardens: Earth machines, hot compost, tumblers, sheet mulches and worm bins! Together we will build a compost pile. Come learn why soil is so important for plant growth and how to build incredible soil. Grow the Best Garden #4: Extending Your Harvest & Saving Seeds - May 6 (9:30AM-12:30PM Pacific Time)In this workshop we’ll explore timelines for seeding to ensure an extended harvest – be the one at a potluck in January with a backyard salad on offer! We’ll explore ways and ways to extend your harvest longer into the fall and winter. Then we’ll launch into the importance and practice of seed saving. We’ll explore topics such as: •	Cloches, cold frames, and greenhouses for season extension•	Seeding for winter crops – timing is everything•	Seed saving basics, so you can plant home grown seed next year!•	Explore Kayla’s seed saving operation and head out to the garden to look at some real life season extension infrastructure.Grow the Best Garden #5: Harvest & Preserve Your Bounty - June 4 (9:30AM-12:30PM Pacific Time)The most fun part of gardening is the delicious harvest and squirreling some away for winter enjoyment! In this workshop we’ll talk optimal harvest windows for different crops and cover the basics of food preservation. Preserving food is not only a delicious way to taste summer in the dark rainy days of winter, but it is also an act of sustainability and creates more security in the food system. In addition to harvesting techniques and guidelines, we’ll cover the basics of the following food preservation methods: •	Dehydrating •	Freezing•	Cold cellar storage•	Hot water bath canning•	Fermenting•	Get your hands into some cabbage and take away your own jar of sauerkraut to ferment at home!_﻿______________________________________________________________________________Instructor Bio: Kayla Siefried (she/her) is a settler in Lekwungen Territory and grew up in Anishinaabe and Haudenosaunee Territory. Kayla is the steward of the Compost Education Centre demonstration gardens and the curator and main educator of the Adult Education Program. She can be found growing seedlings for plant sales, working with volunteers to keep gardens healthy, flipping hot compost, arranging expert instructors to teach workshops, or out in the community teaching about soil health, organic gardening, and Do-It-Yourself tasks that increase our climate resilience.Kayla holds a Bachelor of Environmental Studies from the University of Waterloo, and she continued on with practical hands-on permaculture training, gardening and farming internships in various places on Turtle Island and beyond. Kayla is passionate about sharing her knowledge with people young and old through formal and informal education. She’s facilitated youth programs for sustainability all across Canada, Guatemala, and Cambodia, and has a zest for travel and adventure.Kayla sees the act of growing food and stewarding the soil as one that can heal on many levels. A keen sustainability activist, Kayla finds meaning in advocating for and living an environmentally sustainable life that involves bicycles, healthy food systems, and a good amount of outdoor dancing!_﻿_________________________________________________________________________________________________This workshop is happening in person only. Any health and safety protocols will be emailed to you 24 hours in advance. Please dress appropriately for all types of weather, the workshop may be outside or in our unheated strawbale building._﻿_________________________________________________________________________________________________You must pre-register for this event.Customers can request a refund within 30 days of ticket purchase.  After 30 days refunds and workshop exchanges are not permitted due to administrative staffing capacity. Please be in touch if you are no longer able to attend but hold a ticket so we can make your space available to someone else.You can also register for the event by calling our office at 250 386 9676 or via email by contacting office@compost.bc.caIf you identify as BIPOC or are someone who experiences significant financial barriers to being involved in our programming, please get in touch about a reduced ticket cost.  The Compost Education Centre is continually in the process of examining the ways in which our program accessibility can be improved for all members of our community. This ticket gesture is by no means a fulsome examination of the systems of oppression that exist for people inside and outside of our community. We welcome your ideas and feedback.  If you are a member and would like to redeem your workshop discounts for this series, please email office@compost.bc.ca._﻿_________________________________________________________________________________________________Accessibility info: The Compost Education Centre site has paths made of stone gravel (20%), and wood chips (80%). Mobility devices with wheels (such as wheelchairs, walkers etc.) are sometimes difficult to use on site, especially on the gravel paths. The strawbale learning classroom is accessed via a wooden ramp and has a wide double door and a ramp leading up to it. Once inside everything is flat. There is a single-stall gender neutral washroom on site. The washroom is not wheelchair accessible and has a small step up from the gravel pathway, and another small step up from the washroom boardwalk._﻿_________________________________________________________________________________________________The Compost Education Centre is located on unceeded and occupied Indigenous territories, specifically the land of the Lekwungen people— specifically the Esquimalt and Songhees Nations. These nations are two of many, made up of individuals who have lived within the porous boundaries of what is considered Coast Salish, Nuu-Chah-Nulth and Kwakwa'wakw Territory (Vancouver Island) since time immemorial. At the CEC we seek to respect, honour and continually grow our own understandings of Indigenous rights and history, and to fulfill our responsibilities as settlers, who live and work directly with the land and its complex, vital ecologies and our diverse, evolving communities.Compost Education Centre memberships get you free workshops, discounts at garden centres around town and more great perks! Sign up or learn more on our website."
"1685651298-9","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Solstice Pruning","https://www.eventbrite.com/e/solstice-pruning-tickets-615147431527?aff=ebdssbdestsearch","WSU Extension Whatcom County Master Gardeners","https://www.eventbrite.com/o/wsu-extension-whatcom-county-master-gardeners-61222084563","Interested in learning how to do some of your own pruning work around the summer solstice?End-of-spring, early-summer pruning benefits many small trees and shrubs in coastal Northwest gardens. As we near and pass the longest day of the year, plant growth slows noticeably. Plants hold back and respond as much as two-thirds less vigorously to pruning cuts (think fewer ""Hydra heads"" of resulting water sprouts).We'll talk timing, plant habits, and pruning cuts, and how to use selective pruning and thinning to ensure ample flowers and fruit.Instructor Erin Moore is a Plant Amnesty trained master pruner and Whatcom County WSU trained master gardener. She has worked in the field since 2015.Feel free to bring a lunch or snack to enjoy in the garden after class.Join our monthly mailing list for info on our upcoming classes and events, at http://eepurl.com/ilb1A9"
"1685651302-10","https://www.eventbrite.com/d/wa--seattle/climate/?page=3","Primo Golf","https://www.eventbrite.ca/e/primo-golf-tickets-625096960837?aff=ebdssbdestsearch","My One Canada - member events","https://www.eventbrite.ca/o/my-one-canada-member-events-61643947073","A golfer’s paradise with a pleasant climate and breathtaking coastal seascapes, Victoria and Vancouver Island draw golfers from around the world to experience their beautiful and challenging courses. Victoria is also the gateway to the Vancouver Island Golf Trail—a 250-kilometre-long network of 14 scenic courses. For both beginners and experts, Victoria offers golf experiences with some of the best vistas on earth. Cost will be collected by the event champion on the day of the event."
