event-href,organizer_link-href,full_description
https://www.eventbrite.com/e/government-outlook-on-sustainability-policies-monthly-sustainability-group-tickets-546502532787?aff=ebdssbdestsearch,https://www.eventbrite.com/o/hayvn-coworking-20026119377,"About HAYVN's Sustainability and Social Impact Group: Monthly meetings are free, in-person at HAYVN or by joining virtually - you decided when you register. If you are interested in learning about Sustainability and exploring topics/trends to make a difference please join us. You'll hear from experts, have social impact in our community, connect with like-minded peers. This group brings like-minded people together to help our planet, and ourselves, build a more sustainable future.SIGN UP IS OPEN NOW. More information on speakers and event still to come.QUESTIONS? Contact questions@hayvn.comCAN'T MAKE THIS EVENT? Get on our email list for future event notifications.CURIOUS ABOUT HAYVN?  Book a tourWANT TO SEE MORE? View our full calendar of eventsLEARN MORE about HAYVN's Sustainability and Social Impact group."
https://www.eventbrite.at/e/kick-start-business-sustainability-with-celemi-sustainabilitytm-demo-tickets-665127212397?aff=ebdssbdestsearch,https://www.eventbrite.at/o/make-shift-happen-62677048513,"Join us for a 60-minute webinar to experience how make SHIFT happen is helping businesses tackle today's sustainability challenges with a fun, interactive, gamified approach that provokes thought, conversation and action.We'll demonstrate how a world-class simulation can bring the thorny topic of sustainability to life and get people across your business engaged and involved.We look forward to meeting you there."
https://www.eventbrite.co.uk/e/the-sustainability-show-manchester-tickets-523717391817?aff=ebdssbdestsearch,https://www.eventbrite.co.uk/o/frontier-events-14731017319,"The Sustainability Show is the UK’s first large scale consumer show aimed at helping you tackle the Climate Crisis. It kicks off this year in Manchester - and it's FREE.H﻿ead down to Manchester Central for a weekend packed with sustainable ideas, brands and eco-pioneers - all in one place.We all want to help the planet but often get overwhelmed, and that's where The Sustainability Show steps in with the best brands, products, services, tips, hacks and more.S﻿upercharge your impact, more easily. Switch to the most sustainanble options, confidentially.S﻿hop guilt free with total ease, total trust and total delight.This packed, fun show helps you cut down the noise, understand the most eco-friendly things to do and inspires you to take action at home.What’s on...W﻿e're SO excited to welcome Hamza Yassin (cameraman and Strictly winner) to our main stage on Saturday 9 July for a keynote talk and a meet and greet session. Low waste chef and author, Max La Manna on Sunday 9 July, Max will be doing a talk, cooking demo and book signing.Your free ticket gets you entry to our exclusive live debate with Manchester Mayor Andy Burnham, Metro Mayor of Liverpool Steve Rotherham and the North West Youth Council about the future of renewables at 9.30am, Sat 8 July - come down early and have your say! We want you to come down and share your thoughts.P﻿lus the first 50 people through the doors on Sat 8 July for the debate get a free goodie bag worth £60.T﻿esla will be operating a test drive track to try out their latest EV cars - book your free slot via our Link in Bio on our Instagram.P﻿ick up expert tips and tricks at our panel talks on how to reduce the impact of your outfit, how to use your voice for environmental causes and how to eat good food that helps the planet. Here’s what you can find at the Sustainability Show at Manchester Central…Pick up realistic and actionable tips and tricks from our sustainable expertsBe inspired by and meet vegan chefs, sustainable authors and conservationistsGet up close and personal with the UK’s best eco-friendly brandsLearn how to be a savvy, circular consumerShop our exclusive secondhand fashion storeDrop in to our hands on workshops focusing on repair, upcycling, mending and makingJoin us for free daily mindfulness sessionsKids will love our drop in eco crafts and seed planting workshopsMeet other conscious people at our collaboration with People, Planet, Pint in a nearby pub from 6pm on Saturday 8 JulyAll of our tickets this year are FREE but they are limited. Grab your space today!U﻿nder 5s do not need a ticket. Assistance dogs only."
https://www.eventbrite.com/e/summer-series-presents-yerbana-yoga-in-the-park-tickets-640885785637?aff=ebdssbdestsearch,https://www.eventbrite.com/o/yerbana-46758311953,"Join us every Thursday for Summer Series Presents: Yerbana Yoga In The Park from Jun 22- Sept 21, 2023. Classes held from 6:30- 7:30 pm. This is a perfect opportunity to connect with yourself and like-minded individuals in one of our city's most iconic locations, Gas Works Park. Come experience the benefits of yoga and Yerba Mate with a stunning view of the Seattle skyline. Each week, experienced instructors from studios around Seattle will guide you through a new and invigorating yoga practice suitable for all levels. Whether you are an experienced yogi or just getting started, this series is for you. Bring your own mat and water bottle and get ready to unwind and recharge. Don't miss out on this unique experience! *﻿Limited mats available for borrow courtesy of Lululemon. Please bring your ID in exchange for mat rental Summer Series Presents: Yerbana Yoga In The Park is brought to you by Yerbana and made possible by our sponsors.Lululemon Experiential Store: shop, workout, dine, snack, meditate, lounge - this is the space for you to be your best.Studio ClassesTap into the incredible energy and mindfulness of our studio classes. Just grab your mat and get ready for grounding yoga, energizing HIIT and boot camp classes, and more.Community EventsMotivation, movement, and change are a click away. Join inspiring local leaders, teachers, and entrepreneurs for workshops and events designed to spark action in your community.""Come As You Are, Leave Better For It"" That’s what drives what we do at Bala Yoga each and every day. Founded in 2010, Bala Yoga is proud of the light, airy studio spaces we call home, our diverse group of knowledgeable and passionate instructors, and the wide variety of classes filling our schedule each week. Bala Yoga isn’t just another fitness studio; we’re a community celebrating movement, breath and light.Today we offer a wide range of yoga classes including power vinyasa, yin, restorative, prenatal, and kids yoga sessions. Regardless of which you select, each class will challenge and nurture, increasing strength and flexibility, encouraging breath and pause, and ultimately helping you go back out into the world more mindful and at ease than when you walked through our doors. You’ll find our studio heated to 85 degrees (not nearly as hot as hot yoga or bikram), making Bala a comfortable, welcoming place to practice yoga for beginners and advanced students alike. We look forward to greeting you at our Kirkland, Fremont or Sammamish locations.“Find Your Flow”	Experience the flow difference! Flow Fitness  has been focused on helping our members find their flow since 2015. With locations in Fremont and South Lake Union, we are more than just a studio or a gym alone. Instead, we offer variety of studio quality fitness classes like Yoga, Barre, Group Training and Cycle, plus open gym time, personal training and other amenities like saunas and convenient work spaces. When it comes specifically to Yoga, our highly skilled instructors specialize in breath-to-movement sequences which makes each class adaptable to all levels. Whether it be Candlelight Restorative or Power Vinyasa, we will lead you to find a Yoga practice that fits your style. Come visit us and “find your flow.”  There’s nothing like stepping onto padded floors in a room full of friends, stretching out tight muscles, and shaking off the day’s rust. We love the concentration through crux sequences, laughing at sideways falls onto padded floors, problems you get, and problems that leave you humbled. We meet up to pull on plastic in the city, to condition for our outdoor adventures. What is the Seattle Bouldering Project? It’s our drive to create the best climbing gyms in the world. And it’s our dream to develop and progress the sport in an accessible, and socially and environmentally responsible way. An inclusive and welcoming gym. Expansive climbing walls. Innovative routesetting. Fitness and yoga programs. Workshops led by experts in their fields. Youth programs to engage and educate kids. Community. Everything we know and love about climbing, wrapped up into one package we call Bouldering Projects.Prana is life force energy. Pranifying is the practice. Living Vital is the aim. Our mission at Pranify Yoga is to create experiences that elevate and enrich community. We are devoted to the details that matter most. To hold space for the stories of your life. Your triumphs. Your challenges. The stirrings of your heart. May this space provide you with the practices, tools and guidance to find a sacred pause and meet yourself exactly where you are so you can meet everything in real life. What is. As is. Here and now. We invite you to join this collection of conscious human beings committed to individual and collective care, come and visit us to breathe - know - be. Come visit our large studio space in Greenlake Village for regular hot yoga classes, workshops, events, training and ceremonies. Haute Yoga is a state-of-the-art studio located in the heart of Seattle’s Queen Anne neighborhood. We offer daily heated yoga classes taught by experienced Hot Hatha and Power Vinyasa instructors. Our quiet, insulated studio features an infrared heating system, an outdoor courtyard, cushioned hardwood flooring and an abundance of natural light. Our retail boutique is stocked with merchandise from BeLove, MeSheeky, NaLa, Alternative, Manduka, Yogitoes, Aveda, and Nama.“shefa” means abundance in hebrew, “to heal” in arabic and also translates to divine light and flow. Leah Zaccaria, owner, leads with the belief that there is enough for everyone. We can all be successful emotionally, spiritually and physically. Believing in abundance leads to an attitude of gratitude which leads to overall happiness.Shefa Yoga is located in Seattle’s Roosevelt neighborhood. We offer daily heated yoga classes taught by experienced Hot Hatha and Power Vinyasa instructors. Our quiet, insulated studio features an infrared heating system, cushioned hardwood flooring and an abundance of natural light. Our retail boutique is stocked with yoga apparel and accessories."
https://www.eventbrite.com/e/rock-the-boat-presents-clint-black-at-boxcar-park-tickets-609755092897?aff=ebdssbdestsearch,https://www.eventbrite.com/o/cruzin-to-colby-63942132543,"Come enjoy a great night of music with Clint Black, Santa Poco and Iris Drive. Doors open at 4:30 PM with a DJ set, Iris Drive will kick things off at 5:15, followed by Santa Poco at 6:30PM and Clint Black at 8:00 PM. We will have local food vendors, a beer garden serving beer,ciders,wine and cocktails."
https://www.eventbrite.com/e/re-evolution-festival-music-camping-tickets-588576767957?aff=ebdssbdestsearch,https://www.eventbrite.com/o/re-evolution-festival-62579570913,"The Re/Evolution continues at the beautiful Darrington Music Park in Darrington, WAAugust 4-6, 2023 - With a special Thursday early entry pass available.Comfortable camping among grassy meadows, evergreen forest, and slow winding river at the base of snowcapped Whitehorse Mountain.Located in the incredible city of Darrington, WA - Re/Evolution will be an event for the ages...Venue Address: Darrington Bluegrass Music Park42501 Ste Rte 530Darrington, WA 98241Camping, Music, Speakers, Workshops, and  more! Camping and General Parking are included with ticket price.A  3-day transformational experience! www.reevolutionfestival.comArtists featured are:  Markus Schulz, Oliver Smith, Kyau & Albert, Luttrell, Genix, Nox Vaughn, Bexxie, Holly Bowling, Yak Attack, Indubious, Nico Luminous, The Itals, Cytrus (x2), Indubious, High Step Society, Cappy Franti, VOLO, Cedric Swan, Spunj, and Family Mystic.Rain or Shine.. Artists subject to change without notice.. No Refunds... No Dogs.. No Glass...A﻿ll Ages... Children 12 and under free..."
https://www.eventbrite.com/e/seattle-tech-career-fair-exclusive-tech-hiring-event-tickets-146585255445?aff=ebdssbdestsearch,https://www.eventbrite.com/o/tech-career-fair-12448110053,"Tech Career FairWe will be hosting a Tech Career Fair with our hiring partners from fast growing startups and Fortune 500 companies in technology.  There will be a focus on helping companies achieve their diversity and inclusivity initiative with more diverse candidates to their talent pool. Available roles that our hiring companies are looking to fill are of the following:Software EngineeringProduct ManagementData ScientistAI/Machine Learning EngineerData AnalystUI/UX DesignMarketingSalesTo make sure your profile is visible and accessible to hiring partners and companies in their system please make sure you complete your profile and upload your resume to the platform.Steps:Complete the Sign-up form here or the link below and upload your resume to the system to get your QR code/candidate profile link: https://careerscrossroad.com/signup?code=SeattleTCFImprove your profile while you are waiting for your profile to be approved * Completed and approved profiles will then be visible to different companies for each career fair where companies will then select who to send the invitation to attend their career fair with the next steps.Follow the instructions in your email invitation from the employers and attend the career fair with your QR code/digital profile link with the hiring companies that you have been assigned to.*Note: This is an ""invite-only"" event due to limited space and high demand. Signing up on Eventbrite alone does not give you access to the event. You would still need to apply with the steps above for a potential invitation.  Only shortlisted candidates will then be notified for  the next steps on how  to attend. Please make sure you complete your profile as completely as you can and upload your resume to the platform for approval(If  the reviewer feels your profile is incomplete, they might not approve it in order to maintain the quality of candidates being presented to  the companies). Approval process timeline varies depending on  the backlog. Once approved, your profile will be visible and accessible to hiring partners and companies  on the platform. To increase your chances to be selected by one of our hiring companies and partners to one of the hiring events, it is recommended that you constantly refine and improve your profile.Employers:To reserve your spot signup here to get your company or get your company on the waitlist here for the next event and we will reach out to you with more info if we can slot you in."
https://www.eventbrite.com/e/blastfest-tickets-586320970807?aff=ebdssbdestsearch,https://www.eventbrite.com/o/blast-music-festival-62494006123,"T﻿he high-energy rhythms of Africa are coming to Seattle, Washington. BLASTFEST is the brand new Afrobeats festival hitting The Seattle Center on July 29, 2023. Featuring a lineup of top-tier performers such as Asake, Tiwa Savage, Ayra Starr, Focalistic and more, BLASTFEST promises to be an unforgettable celebration of African music and culture.From the moment you step onto the festival grounds, you'll be immersed in a world of color, energy and excitement. Feast on delicious cuisine from local food trucks, shop for unique crafts and fashion from vendors, and dance the night away to the infectious drums of Afrobeats music.Located at the iconic Seattle Center, BLASTFEST offers a stunning backdrop of the city's skyline and Space Needle. Join us for a day of non-stop entertainment, cultural exchange, and celebration of Afrobeats music and culture. Don't miss out on this first-of-its-kind event - get your tickets to BLASTFEST now! L﻿et's go to the moon."
https://www.eventbrite.ca/e/women-finance-summer-social-tickets-665717548107?aff=ebdssbdestsearch,https://www.eventbrite.ca/o/aimee-burton-47903260883,"1﻿00% of ticket proceeds will be donated to Soroptimist International Westshore Chapter ""Helping women and girls live their dreams."" W﻿e will discuss trends and issues facing women (even today in 2023!) related to financial independence and provide key education to support the growth of women in their personal finance goals as well as explore the career opportunities that exist in financial services.D﻿oors open at 6pm for networking and refreshments.P﻿resentation starts at 7pm. Stick around for door prizes after! Virtual Ticket Option for those who want to attend the presentation portion from home."
https://www.eventbrite.ca/e/food-with-a-side-of-community-tickets-668400362477?aff=ebdssbdestsearch,https://www.eventbrite.ca/o/support-network-for-indigenous-women-amp-women-of-colour-16569678479,"SNIWWOC is pleased to announce the return of our monthly event:“Food With A Side of Community”Reduce isolation and create meaningful connections!Taking place at 1025 Mason St. Between Cook and Vancouver St, in the BOSA rental building community room. Right beside Mason St playground. Please look for signs! This monthly event will be taking place the last Thursday of every month from June-November 2023. An awesome opportunity to connect with like minded community members in the local Victoria area! Come and have a delicious meal and an opportunity to meet new people- everyone welcome and free of charge!Sign up quickly though because spaces are limited.This event is designed to:-Reduce isolation-Connect people to local resources-Have platform to discuss happenings in our local community-Listen to and be inspired by local authors, poets, leaders, innovators and thinkers-Create opportunities for friendships and networking-Celebrate the joy and diversity of our local communityWe look forward to meeting members of our community at this exciting event!See you there!"
