event-href,organizer_link-href,full_description
https://www.eventbrite.com/e/spiral-of-stars-award-6-sharing-our-world-tickets-664991717127?aff=ebdssbdestsearch,https://www.eventbrite.com/o/spiralscouts-wild-oak-circle-536-44943838933,"For Spiral of Stars #6: Sharing Our World, SpiralScout level Scouts will work on this award together.We will do the following together at this meeting:Tell why we need to protect animals and plants.Name the top 5 endangered animals and tell why they are endangered. Play a game to learn this. What are some things we can do to help endangered species (plants or animals)?List ways to respect our planet. Come up with 3 jingles on what to do (either your own or what you've heard).Homework for Scouts to bring ready to share to the meeting:Name 3 major climates.Name 5 animals in each climate.Name 5 plants in each climate.Name 5 other things in each climate.Name 1 culture of people in each climate. If there aren't any, explain why.Visit a zoo, nature preserve, or other place that deals with animals. Share your experience with your Circle or Hearth.Visit a public garden, plant conservatory, or a place where you can see new and interesting plants. Share your experience with your Circle or Hearth. NOTE: A Field Trip is Planned to visit the UC Davis Botanical Conservatory on 7/7/23 @ 1pmConduct an experiment to see how living things respond to changes in their environment and discuss your observations with your Circle or Hearth.Earn, or have already earned, 2 of these awards: Ecology Award, Recycling Award, Global Ecology Badge, or Gardening Badge.RainDrop & FireFly level Scouts will be working to complete the Lughnasadh Sabbat Award.Learn of 4 other holidays celebrated at the same time as LughnasadhMake a Lunasadh craftLearn about who the festical of Lughnasadh was originally forLearn about the God Lughand more.SNACK OFFICER: OPEN(All Scouts, please make sure each of you SIGN UP for at least one Snack Officer spot for the year.)Meeting is at Colonial Heights Sacramento Public Library Meeting Room.  We are meeting here to avoid issues with the Sacramento summer heat and keep everyone comfortable. If you cannot make the meeting after RSVP'ing, please text Circle Leader Camille at (916)390-7601."
https://www.eventbrite.com/e/california-germany-agrivoltaics-conference-tickets-643893632187?aff=ebdssbdestsearch,https://www.eventbrite.com/o/representative-of-german-business-gacc-west-48537570183,"Resilience and Sustainability - How can Agrivoltaics contribute to both?Fighting climate change and helping agriculture to become more resilient - That’s the idea of Agrivoltaics, the co-location of farming and solar photovoltaics. It's time to bring transatlantic players together to pave the road forward for a more sustainable and resilient future:Questions we will tackle:What are the benefits of agrivoltaics, especially for farmers and developers?How can they contribute to farm optimization?Which kinds of technologies already exist and what are the types of agrivoltaics PVs?How can argivoltaics align resilience and sustainability?What can Germany and California learn from each other?The first California Germany Agrivoltaics Conference (#CGAV23) will bring together corporates, policy-makers, researchers, developers, and farmers to find answers to these questions in an interactive setting.The goal is to build strong German-American partnerships that will lead this growing market of agrivoltaics.P﻿rogram Sneak PeekDiscover with us and high-level representatives from research, industry and politics:A roadmap and future opportunities for transatlantic agrivoltaicsState of the art technology in the US and GermanyPolitical framework and incentivesUse-cases and best practices in the agricultural industryThe intersection of software and PVUtility perspective: agrivoltaics in energy supply Confirmed SpeakersProf. Majdi Abou Najm, Associate Professor (Land, Air and Water Resources) of the College of Agricultural & Environmental Sciences, UC DavisBrian Shobe, Deputy Policy Director @California Climate & Agriculture Network (CalCAN)Nick Boateng, Director of Solution Management @World4SolarAmanda Beck, Project Development Manager @SMUD (Sacramento Municipal Utility District)Travis Owens, Vice President of Sales @World4SolarSarah Moser, Director Farm Operations & Agrivoltaics @SavionHelge Biernath, President & CEO @Sunstall Inc.Franz Feuerherdt, VP of Sales & Marketing @Solar4America Technology, Inc.Kevin Logue, Commercial Sales Manager @Aztec Solar IncMartin Bond, Senior Business Development Manager @MCERebecca Boyles, Director of Customer Care & Marketing @Valley Clean EnergyKathleen Ave, Senior Climate & Ecosystem Strategist @SMUD (Sacramento Municipal Utility District)... more TBAA﻿bout the conferenceThe first California Germany Agrivoltaics Conference was created to strengthen transatlantic collaboration in this important sector, promote idea exchanges, and create an ecosystem from which all players involved can benefit. This conference is a joint initiative of the co-organizers Representative of German Business (GACC West), UC Davis, Sunzaun, Aztec Solar, and Solar4America, supported by the German Federal Ministry of Economics and Climate Protection."
https://www.eventbrite.com/e/2023-healdsburg-giro-vigneti-cycle-tour-tickets-526079817897?aff=ebdssbdestsearch,https://www.eventbrite.com/o/rotary-club-of-healdsburg-sunrise-32785204121,"The Rotary Club of Healdsburg Sunrise holds events that encourage physical activity, supports organizations addressing food insecurity and homelessness, leads vital projects to protect and improve our environment and awards youth scholarships.  Come ride with us!Packet pick-up will be at the following locations:Spoke Folk Cyclery, 201 Center St. Healdsburg, on Friday July 21st 4:00 p.m. to 6:00 p.m.																					 Packets will also be available at 6:30 a.m. on the day of the ride.	  Using Ride with GPS , you will tour through the vineyards, valleys and vales. Take your time or race your friends. Enjoy some of the most beautiful country in the world with a Mediterranean climate, home to world class wines, Michelin rated restaurants, and all for a good cause.  The rides  are as follows: 19.3 miles - Blue Route- Classic Ride Through Alexander Valley	 Ride With GPS Link -https://ridewithgps.com/routes/4285473938.5  miles - Green Route - Through Chalk Hill Road and Russian River Valley   Ride With GPS Link - https://ridewithgps.com/routes/4285496464.2 miles - Yellow Route - Chalk Hill Road, Russian River Valley, Dry Creek Valley and Alexander Valley. Ride With GPS Link -	https://ridewithgps.com/routes/427743871﻿02.5 miles  Red Route- Chalk Hill, Russian River & Dry Creek Valleys, 10 dead head up Rockpile, Cloverdale to Alexander Valley    Ride With GPS Link - https://ridewithgps.com/routes/42773525The Healdsburg Community Center at 1557 Healdsburg Avenue will be the starting point for the ride and we will gather there for after-ride activities.  Aid stations will be at the following locations:I﻿nformation to follow.All riders will enjoy a delicious lunch catered  by a local Chef.Valet bicycle parking will be provided in partnership with the Sonoma County Bicycle Coalition so that you may enjoy the lunch and not worry about getting back to your vehicle.  Please see the event website for additional information.   https://girovignetihealdsburg.org/ Cycle California Magazine listed Sonoma County as one of “The 7 Greatest Rides on Earth” — alongside the likes of Tuscany, Crested Butte, and Moab.EVENT JERSEYSCollectible event jersey will be available for purchase the day of the ride. T﻿HANK YOU EVENT SPONSORS"
https://www.eventbrite.com/e/dad-country-presents-leslie-mendelson-tickets-664195706237?aff=ebdssbdestsearch,https://www.eventbrite.com/o/little-saint-healdsburg-58071644783,"Brooklyn-based singer/songwriter Leslie Mendelson is supporting her most recent studio album ‘If You Can’t Say Anything Nice…,’ as well as a solo acoustic EP ‘In The Meantime,’ that was recorded during quarantine earlier this Spring. Described by Relix Magazine as an artist with “a loyal, cross-generational audience that hugs the hippie, hipster, coffee shop and society crowds,” Leslie’s timeless musicality and evocative songwriting indeed cuts a wide swath. All Music writes that Leslie evokes “1970s songwriter influences in the vein of Carole King and Carly Simon,” while The Aquarian declares she is “the closest thing one can get to a truly honest musical experience.”  Leslie Mendelson’s previous work, including 2009 Grammy-nominated debut album ‘Swan Feathers’ and 2017 album, ‘Love & Murder’ dealt with matters of the heart. When it came time to compose the songs that comprise ‘If You Can’t Say Anything Nice…,’ however, she and her longtime writing partner Steve McEwan set out to examine the anxiety stemming from the current socio-political climate with songs like ""Medication,"" ""I Need Something To Care About"" and ""Would You Give Up Your Gun.” It’s fitting extension of a more socially conscious outlook offered on “A Human Touch”—Leslie’s duet with Jackson Browne for the documentary film, ‘5B,’ released in 2019.  If Leslie Mendelson’s only collaboration with a legendary musician was Jackson Browne, it would be a worthy point to celebrate. What’s truly telling is that Leslie has also drawn the attention of The Grateful Dead’s Bob Weir who recorded a duet with her on Roy Orbison's standard, “Blue Bayou,” while no less than classic rock royalty The Who invited her to open two shows at Madison Square Garden last year. She was set to open three more dates for the band in 2020 that were unfortunately postponed due to the pandemic. With some of rock music’s most legitimate voices seeking Leslie out, it leaves no doubt the rarefied air she inhabits as an artist.—D﻿oors: 6:00pmS﻿how: 7:00pm"
https://www.eventbrite.com/e/pinot-beyond-tickets-308866386677?aff=ebdssbdestsearch,https://www.eventbrite.com/o/wine-road-sonoma-county-2427828664,"Are you Passionate for Pinot?!Don’t miss this fun and informative session that will both expand your knowledge and deepen your enjoyment of Pinot Noir. Join winemakers Gio Balistreri from Russian River Vineyards, Mike Sullivan from Benovia Winery,  Rod Berglund from Joseph Swan Vineyards  and John Viszlay from Viszlay Vineyards for a deep dive into the many aspects of Pinot Noir grown in the Russian River Valley. Taste examples of Pinot Noir from each winery along with the winemakers as they walk you through the particular nuance and characteristics that make Russian River Pinot Noir so special. You’ll learn about specific flavor profiles, aromas and textures, as they relate to the unique climate and soils found within the AVA’s six distinct neighborhoods from Sebastopol to Santa Rosa and Forestville to Healdsburg. This intimate experience is limited to 20 people.Tickets are $70 per person, $35 for Wine Road Insiders.Insider Details Here  FAQ's1. Is my registration/ticket transferrable? Yes, all they need is a copy of your pdf Ticket. 2. Do I have to bring my printed ticket to the event? Either print it or show it on your phone and your photo ID for age verification. Wineries do NOT have an RSVP list, you must have a ticket.3. The name on the registration/ticket doesn't match the attendee. Is that okay? Yes that is fine, as long as they have a valid ID when checking inREFUND POLICY: Sales are FINAL and non - refundable. No full or partial refunds are given to customers who will miss the event. The ticket is valid only on the date[s] of the event as listed and may not be exchanged or redeemed for any other dates."
https://www.eventbrite.com/e/the-dr-donald-l-mykles-distinguished-lecture-series-tickets-652386885737?aff=ebdssbdestsearch,https://www.eventbrite.com/o/uc-davis-coastal-and-marine-sciences-institute-8189432535,"About the Speaker:Melissa Pespeni is an Associate Professor of Biology at the University of Vermont, Director of Quantitative and Evolutionary STEM Training (QuEST) PhD program, and recipient of the prestigious National Science Foundation CAREER Award. Dr. Pespeni is an evolutionary biologist whose work aims to understand the genetic bases of complex traits and how organisms adapt to current and future environmental variation. She publishes in the leading journals of her field including Proceedings of the National Academy of Sciences, Nature Communications, and Proceedings of the Royal Society, and has given several keynote seminars at premier, international conferences. As the Director of QuEST, Dr. Pespeni aims to shift the dialogue in higher education to focus on diverse lived experiences as assets and to offer broader training opportunities in graduate education such as improv for science communication and applied internships with non-academic partners. Dr. Pespeni received her Ph.D. in Biology from Stanford University and a B.S. in Biology and B.A. in Critical Gender Studies from the University of California, San Diego.About the Lecture Series:The Dr. Donald L. Mykles Distinguished Lecture Series annually recognizes a leader in the field of integrative biology in marine or coastal environments by inviting them to deliver a research seminar and community lecture at the Bodega Marine Laboratory (BML) of the University of California Davis. The Mykles Distinguished Lecture (MDL) will illustrate how integrative approaches to biology can be used to address questions that span levels of organization within organisms, across organisms, within ecosystems, and/or over evolutionary time. The MDL invitation to BML honors the recipient in a way that advances the academic community at BML and establishes enduring links between awardees and the BML community. The MDL Series was established through a generous gift from Don’s wife Vicki and son Christopher Mykles."
https://www.eventbrite.com/e/cambium-napa-valley-a-biodynamic-masterclass-series-at-quintessa-registration-598091456647?aff=ebdssbdestsearch,https://www.eventbrite.com/o/biodynamic-demeter-alliance-63221009773,"Join domestic and domestic international wine producers and leaders in biodynamic viticulture for three days of masterclasses and tastings at the Quintessa estate in Napa Valley, California. Focused on viticultural practices and principles that build vineyard health and resilience, this immersive and conversational symposium is ideal for wine producers, consultants, viticulturists, sommeliers and wine educators. Attendance is limited to 75 guests.Our lineup of international winery proprietors includes Chiara Pepe of Emidio Pepe, Federico Ceretto of Ceretto, and Elisabetta Foradori of Foradori. Joining them are biologist Olga Barbosa, geologist and terroir specialist Brenna Quigley, and journalist Samantha Cole-Johnson. Finally, your international team of hosts includes Cambium Formazione founder Adriano Zago, Biodynamic Demeter Alliance's Daphne Amory, Montinore Estate's Rudy Marchesi and Quintessa's Rodrigo Soto.Over three collaborative days at Quintessa, we'll  look at biodynamic agriculture from a big picture standpoint down to specific practices and practical application. The producers will share knowledge and insights gained from biodynamic transformations on both large and small scales. Biodiversity and terroir specialists will layer their lenses over our conversation, as we explore farming and winegrowing in today's changing environment.Attendance is $1,750 inclusive of three days of masterclasses, plus producer-led tasting sessions and locally sourced lunches served outdoors among the vines.MASTERCLASS LINEUPTHURSDAY, JULY 278:00 a.m. Registration & coffee9:00 a.m. Setting the stage:  Adriano Zago, Daphne Amory, Rudy Marchesi, Rodrigo SotoWelcome remarks and our shared vision for gathering. The big picture of biodynamic agriculture, through Quintessa's lens: where we are, what we are doing and how we meet the changing environment.9:30 a.m. Foradori's transformation from monoculture to farm: Elisabetta Foradori, Adriano ZagoTurning a biodynamic property into a multifunctional farm: how our practices equip us for the changing climate. 10:45 a.m. Coffee break11:00 a.m. Biodynamic preparations as a foundation of farm health: Rodrigo Soto, Adriano ZagoThe role of biodynamic preparations in making plants and soil resilient. An exploration of preparations at Quintessa.12:30 p.m. Lunch2:00 p.m. A journalist's perspective on biodynamic viticulture: Samantha Cole-JohnsonEvolving perceptions of biodynamic practices and how to communicate the nuances of your work.  3:30 p.m. Tasting & Discussion, Foradori and Quintessa: Elisabetta Foradori, Rebekah Wineburg, Samantha Cole-Johnson5:30 p.m. Tasting concludesFRIDAY, JULY 288:00 a.m. Registration & coffee9:00 a.m. Why biodiversity matters: Olga BarbosaLeveraging natural capital in and around the vineyard: what can be done and where.10:15  a.m. Coffee break10:30 a.m. Emidio Pepe: A journey of biodynamic transformation: Chiara Pepe, Adriano ZagoKey elements of the conversion to biodynamic viticulture, and the results: an Abruzzo experience.12:00 p.m. Lunch1:30 p.m. Connecting the root ecosystem with farming and wine: Brenna Quigley Combining geology and pedology to understand a vineyard's soil and enhance its health.3:00 p.m. Tasting & Discussion, Emidio Pepe & Hamel Family Wines: Chiara Pepe, John Hamel, Samantha Cole-Johnson5:00 p.m. Tasting concludesSATURDAY, JULY 298:00 a.m. Registration & coffee9:00 a.m. How does our built environment support our work with the land? Daphne AmoryThe ethos of our biodynamic practice and how it translates toward our physical, built environments for the future – connecting people and the natural world.10:15 a.m. Coffee break10:30 a.m. Building organic matter at Ceretto: Federico Ceretto, Adriano Zago The Piedmont perspective: large-scale strategies for increasing organic matter in a biodynamic vineyard.12:00 p.m. Lunch1:30 p.m. Planning for Montinore’s outcomes now and in the future: Rudy Marchesi How we are using biodynamic viticulture to face the challenges of a changing climate, including practical results and development prospects.2:30 p.m. Coffee break2:45 p.m.Confronting our challenges: Adriano Zago, Rodrigo Soto, Daphne Amory, Rudy MarchesiCollaborative and open discussion around practical strategies for biodynamic viticulture as we face a changing environment.3:30 p.m. Tasting & Discussion, Ceretto and Montinore: Federico Ceretto, Rudy Marchesi, Samantha Cole-Johnson5:30 p.m. Tasting concludes"
https://www.eventbrite.com/e/weedem-out-native-restoration-cascade-creek-with-pie-ranch-and-amlt-tickets-663305373227?aff=ebdssbdestsearch,https://www.eventbrite.com/o/pie-ranch-18853700494,"Join Pie Ranch and the Amah Mutsun Land Trust to remove invasive species from Cascade Creek!9:30am - 2:30pm Volunteer work Session12pm - 1pm Lunch providedVolunteers are needed to help to remove invasive plants in a critical section of the creek. We especially need help removing eucalyptus sprouts from around the creek. Lunch will be served to volunteers between sessions. Spend time outdoors, meet new people, learn about invasive plants and creek habitat, and help restore the ancestral land of the Quiroste Tribe (represented by the Amah Mutsun Tribal Band and Land Trust).Due to the rough terrain, this event is best suited for participants age 16 years and older.When you arrive at Cascade Ranch, meet Pie Ranch and AMLT staff in the parking area next to the first white barn or, if late, follow on foot the event signs from the parking lot to the area of the creek we will be working on. Previous experience is not necessary. We will teach you how to identify the target species and how to remove and process them.Be aware that the areas in which we will be working may contain poison oak, blackberries and other prickly plants like thistle and stinging nettle. Please do your best to arrive on time so that we can all move to the creek area together!What to bring:Work glovesWater bottleHatSunscreenBackpackSturdy work boots or shoesSnacks or personal lunch if preferredLots of energy and a desire to weed out invasive species!Riparian (creekside) restoration is nowadays more important than ever. Indeed, healthy riparian ecosystems promote ecological and climate resilience both within and beyond riparian zones, lead to the accrual and sequestration of carbon and nitrogen in soil, absorb heat and buffer organisms against extreme temperatures. Cascade Ranch is within an area of high biological richness and surrounded by California protected areas. About 1.2 miles of Cascade Creek fall within the boundaries of the property, which is currently managed by the non-profit Pie Ranch. Cascade Creek represents an important habitat connectivity area for a wide array of plants and animals and a potential traditional food source for people. Unfortunately, the riparian zone has been highly affected by the spreading of invasive plant species, which are causing loss of biodiversity and related ecosystem services and products. The 2020 CZU complex fire has further contributed to the increase in number, variety and spread of invasive species along Cascade Creek.Your hard work and participation will help shape the future of this land! Thank you."
https://www.eventbrite.com/e/meteorology-and-climate-modeling-for-air-quality-conference-registration-619161858787?aff=ebdssbdestsearch,https://www.eventbrite.com/o/uc-davis-air-quality-research-center-54222860573,"The Meteorology and Climate - Modeling for Air Quality Conference is a biennial event hosted by the University of California, Davis. The three day conference brings together research scientists, experts, and professionals from around the world to discuss a wide range of topics related to meteorology for air quality applications. The primary focus is on understanding and improving meteorological modeling, understanding what is ""under the hood"" in the models, how experimental data can be used to improve them, and the importance of meteorology in air quality modeling applications.The 2023 Conference will be a hybrid event, with opportunities to attend both in-person and virtually. Host: UC Davis Air Quality Research CenterDates: September 13-15, 2023Location & Format: This will be a hybrid event with the opportunity to attend in-person at the UC Davis Conference Center, or virtually through a web-based event platform.Conference Audience: The conference is open to all individuals who are interested in meteorology and how it relates to air quality. The attendees range from government agencies and officials, academics, community groups, industry representatives, delegates, consultants, and more.T﻿his event is sponsored by The California Environmental Protection Agency's Air Resources Board."
https://www.eventbrite.com/e/eydis-evensen-tickets-607844538377?aff=ebdssbdestsearch,https://www.eventbrite.com/o/noise-pop-presents-27658561079,"“Classical music gamechanger” The Line Of Best Fit“Few artists are so effortlessly able to twist your heartstrings into a contortion of joy, sorrow and despair like Eydís Evensen” Wonderland Magazine​Some time ago, Eydís Evensen wrote a poem. This poem became the basis of a two-part choir composition, describing “a beautiful light that froze,” before concluding with a glimmer of hard-fought hope. “ljósið fagra lifir enn ljósið fagra lifir enn,” echoing voices on the second part of that composition insist – translating in English to “the beautiful light still survives.” The words were a reminder, to herself and to the world, that no matter the darkness around you, there’ll come a point when the pain will begin to thaw, so it’s always worth holding on. “It represents there always being something beautiful at the end of even the most terrible experience,” the Blönduós-born model-turned-piano sensation insists, “no matter how terrible the ordeal.” These words ripple through every note and melody of her astonishing second album, titled – what else? – The Light. It’s a record inspired by the resilience in all of us, she says – our ability to stand firm in the face of personal and collective catastrophe.The 29-year-old – who also sings on the album, for the first time – confronted her own hardships and sorrows in order to create The Light. Some were born from the crises we all endured together: the Covid-19 pandemic; her horror at Russia’s war on Ukraine; her dread that the glaciers and natural wonders of her native Iceland that inspired her to write music in the first place will soon be devastated by the impact of climate change. There were also personal ordeals – ghosts from her past to be exorcised, demons in her closet that pushed her to challenging brinks. As the toll of these situations weighed on her, Evensen did what she always did: she sat at her piano, stretched her fingers and began to play. “It’s always been like that,” smiles the artist. “I remember [as a child] walking to the piano and being able to let something out by playing the keys. It became a therapist and a best friend to me – I always felt better after I played.”Throughout her early life, Evensen never strayed far from that best friend. She played it every day growing up in the 800-person town of Blönduós, whenever her parents weren’t playing Led Zeppelin and Tchaikovsky on the family record player that is. When the composer later fell into a career as an international model, travelling the world, she sought out a piano wherever she was (even once knocking on a door in London when she heard the sound of piano from an open window, so she could ask to play). In 2021, she released her debut album Bylur and immediately found herself touted as a vital new voice in contemporary classical music. Millions of streams on Spotify were followed by millions more on YouTube, where a KEXP live session went viral (one of the top comments on the video states: “this music makes you forget about time” – not an inaccurate assessment).When her equally well-received 2022 EP Frost further cemented her reputation as a glimmering new talent, Evensen should have been on top of the world. Instead, there were historic traumas still to be worked through. It was only after heading back home to Blönduós, and a subsequent breakthrough in her recovery from a devastating childhood ordeal, that the creative floodgates opened for her and The Light really began to take shape. “For two days, I composed and cried. I put my phone on record and just played whatever I could play,” she recalls. “In those recordings I moved through all of these emotions.”Emotion is ever-present on The Light, a record that shows not just Evensen’s personal growth but a musical expanding of wings, too. Opener Anna’s Theme is a competitive float that pulls you into a dream-like state, teetered tonally between heartache and hope. Choral composition The Light II underlines Evensen’s new-found boldness away from piano (not to mention her eventual aspirations to move into film scoring: “that’s definitely a dream of mine”). Finally, horns and strings entwine on the soaring Tephra Horizon before Full Circle begins to pull the album’s narrative back towards brightness – back towards that beautiful light that still survives. Perhaps most personal to the 29-year-old is the track Near Ending. “I composed that piece following my experience in Blönduós,” Evensen reveals. “I hadn’t played it since I composed it and I didn’t want to practise or demo it before recording it for the album. I wanted it to be completely raw. What’s on the album is the only take I did, in complete free-flow.”Why share all this? “I thought it’s important to be honest about these emotions so that maybe it can help people,” says the composer. “It’s been a really hard last couple of years for everyone. In that time, I’ve had a lot of messages about how my music has helped them with personal experiences, losing relatives and going through illnesses. Those messages have been such a gift.” The Light is Evensen’s gift in return – an astonishingly powerful call-to-arms to carry on, because after the darkness comes dawn. It always has, and it always will."
