event-href,organizer_link-href,full_description
https://www.eventbrite.com/e/fire-resistant-future-icf-sustainable-building-symposium-tickets-617455665517?aff=ebdssbdestsearch,https://www.eventbrite.com/o/david-horobin-64396984373,"Discover the future of fire-safe and sustainable construction at our groundbreaking Innovations in Fire-Safe & ICF Construction Symposium! Unveil cutting-edge design methodologies and eco-friendly materials that will revolutionize the way we build. Join industry leaders and like-minded professionals as we delve into discussions and demonstrations on ICF, energy-efficiency, and building safety. Don't miss this must-attend event to learn, network, and elevate your construction projects. Secure your spot now and help shape a greener, safer future for our communities."
https://www.eventbrite.com/e/fruit-tree-pruning-tickets-529784017257?aff=ebdssbdestsearch,https://www.eventbrite.com/o/biofuel-oasis-cooperative-9808060167,"Winter only pruning encourages trees to respond with excessive growth, while year-round pruning and training maintains an accessible height, and better fruiting, with less disease, getting us out of that winter only pruning rut. We will cover which trees do best with year-round pruning, types of pruning cuts, disease, equipment, and any questions attendees will have.  This is a hands on class, and participants will have an opportunity to make some cuts with instructor supervision, in addition to getting tips on cleaning and sharpening the tools you bring. Bring your own pruning shears or loppers. Instructor: John Valenzuela is a horticulturist, consultant, and permaculture educator with Cornucopia Food Forest Gardens. His special interests are rare and heirloom fruit trees, home gardens, plant propagation, food forests, agroforestry, ethnobotany, and native ecosystems. John serves on the boards of the California Rare Fruit Growers and the Felix Gillet Institute."
https://www.eventbrite.com/e/express-yourself-friday-tickets-663116889467?aff=ebdssbdestsearch,https://www.eventbrite.com/o/bay-peace-32077250897,"Join us for A youth-led arts showcasing and community building space for creative release and relief where we inspire healing through community-centered self-expression & creativity.Where:  PLACE 1121 64th St, Oakland, CA 94608When: July 7th, 2023All Mediums welcomed:- Poets- Musicians (Bring your instruments or play with the drums, hand instruments provided by PLACE)- Comedians- Dancers- Visual Artists-  Actors- Art enthusiasts This is a  SAFE SPACE to RELEASE and gain RELIEF through ART and COMMUNITY. This is how we CULTIVATE HEALING TOGETHER!												 Let loose and let Be, let art set you free. F﻿or more information about BAY-Peace please visit our website: baypeace.org"
https://www.eventbrite.com/e/fall-equinox-ceremony-native-flute-meditation-and-shamanic-journey-tickets-664940122807?aff=ebdssbdestsearch,https://www.eventbrite.com/o/spirit-tribe-music-20228091353,"Gather in virtual sacred circle to celebrate the Autumnal Equinox as we appreciate the abundance of harvest time and restore balance to our life.Let go of everyday concerns and rest in peaceful meditation to the soothing sounds of Native American Flute music played live.Journey with the drum to the unseen realms to connect with compassionate guardian spirits for guidance and healing through direct revelation.Sonya Jason is a professional musician, wisdom teacher, shamanic counselor and ceremonialist. Her work masterfully empowers each person’s innate connection with Spirit for guidance and healing. Sonya plays Native American wood flutes, frame drum, conch shell, gourd rattles and chakapa (Peruvian leaf rattle) to create powerful moving ceremonies, healing meditation music, and insightful shamanic journeys.“Just beautiful. So healing and calming and uplifting.” ~ Jennifer Berezan, Musician, Activist and Producer in Berkeley CAThis is what people are saying about our events:“The meditation, journeys, and exquisite flute music were magical.” ~ San Francisco CA“This experience was immensely healing. I felt a lot of cleansing that I really needed that was very detailed and visceral. I had some reflection, and I got information about some issues that was really helpful.” ~ Santa Cruz CA“For me, it was like a respite from the world; just a reminder that we don’t have to be thinking about everything that we are dealing with every day. It was just nice for that period of time just to be able to let go.” ~ Redwood City CA“I experienced a feeling of inner peace, a feeling of warmth, a feeling of connection back in time to previous generations, and I felt a connection to the animal world.” ~ San Mateo CA“Thank you for this opportunity to go deeper and learn new ways to ask for help. Thanks for your caring, understanding and encouragement.” ~ Half Moon Bay CADATE: Friday, September 22, 2023TIME: 7:00-9:00 pm (please arrive 15-30 minutes early so we start on time).WHERE: The Community United Methodist Church located at 777 Miramontes Street in Half Moon Bay, CA 94019. We will meet in the spacious Social Hall which is easily accessible through the double glass doors facing Miramontes Street.PARKING: Free street parking available throughout the neighborhood.WHO: Adults age 18+, no previous meditation or journeying experience necessary.HOW MUCH: $45 per person purchased online. Space is limited so please buy your tickets in advance. Receive helpful suggestions for a more meaningful experience with your ticket confirmation. $50 Cash/Venmo at the door, space permitting.A portion of proceeds benefits the Lakota People’s Law Project (LakotaLaw.org) which partners with Native communities to protect sacred lands, safeguard human rights, promote sustainability, reunite indigenous families, and much more.By registering for this event, you agree to receive email updates from Sonya of Spirit Tribe Music (SonyaNews@SonyaJason.com) about this and related offerings. Of course, you may unsubscribe at any time."
https://www.eventbrite.com/e/24-hour-hazwoper-training-training-in-oakland-ca-tickets-631182873967?aff=ebdssbdestsearch,https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,"Since 1995, Compliance Solutions has become the nation's largest private provider of OSHA HAZWOPER Training classes. Our classes are available in 50+ U.S. cities- nine different cities each week!These highly interactive Instructor-Led training courses meet or exceed OSHA training requirements under 29 CFR 1910.120(e) - HAZWOPER (40, 24, 16 & 8 Hour)Who needs 24 Hour HAZWOPER Training?The 24-Hour HAZWOPER course is designed for workers who are NOT required to deal directly with cleanup (this would generally be described as not working in conditions that require a protection level of “C or above) such as drillers, surveyors, contractors, administrative personnel, drivers, etc. These job titles must be fully trained pursuant to the HAZWOPER standard (29 CFR 1910.120(e)). Workers attending this course cover health and safety procedures during work operations at hazardous material sites.What is 24-Hour HAZWOPER Training?OSHA requires 24 hours of safety training under OSHA 29 CFR1910.120(e) for individuals who work on controlled or uncontrolled hazardous sites. Course ObjectivesThe two main objectives of HAZWOPER training are:•	Control or eliminate the potential hazards and/or losses, and•	Protect the health and safety of workers, the public, and the environment.PER OSHA’s Hazardous Waste Operations and Emergency Response (HAZWOPER) Standard (29 CFR 1910.120), the purpose of this seminar is to ensure awareness and promote safety among employees who may be exposed to hazardous waste and chemical hazards on work-sites. The objective is to ensure that employees operate in the safest possible manner in situations where contact with potentially hazardous materials is likely.At the conclusion of the 24-Hour HAZWOPER course, students will:•	Understand how hazardous materials are handled, identified, and what the human responses to exposure are•	Learn the importance of the Health and Safety Plan (HSP)•	Incorporate the knowledge of what to do in case of site emergencies•	Use appropriate safety methods and work practice controls•	Recognize signs and labels that are used to alert personnel of danger involving hazardous materialImportant Registration Note: All employees who have regular duties related to handling or cleaning up hazardous materials or waste in any of these functions should take the 40-hour HAZWOPER course. The 24-hour course is designed for “Occasional Site Workers” meaning those individuals whose job functions do not include the handling of waste or hazardous materials as an integral part of their job.Act now and buy your ticket today. Classes fill up quickly. Multiple registration discounts (same course, same class) are available. Please call 800-711-2706 for information!Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to this policy and provisions.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%"
https://www.eventbrite.com/e/40-hour-hazwoper-training-in-oakland-ca-tickets-631745115647?aff=ebdssbdestsearch,https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,"Compliance Solutions, the nation's largest provider of OSHA HAZWOPER Training, is pleased to offer open enrollment for 40-Hour OSHA HAZWOPER Site Worker training in 50+ U.S. cities-Nine different cities every week!Our instructor-led seminars meet or exceed OSHA’s suggested training curricula and meet OSHA’s mandated training requirements under 29 CFR 1910.120(e and q) including hands-on training!Compliance Solutions is the largest private provider of HAZWOPER and DOT Hazmat Training nationally and has earned the trust of the industry by providing quality training since 1995Who needs 40 Hour HAZWOPER Training?40-Hour HAZWOPER training is mandated for employees who have responsibilities to remediate (clean up) hazardous materials at controlled and uncontrolled sites with hazards or work activities that present an Immediate Danger to Life or Health (IDLH). This includes clean-up operations, emergency response operations, storage, disposal, or treatment of hazardous materials and hazardous waste sites. 40-Hour HAZWOPER training is also required prior to OSHA Site-Supervisor training.What is 40 Hour HAZWOPER Training?The 40-Hour HAZWOPER course provides structured classroom training mandated by 29 CFR1910.120 (e and q) including student exercises and a hands-on dress-out to acclimate workers with required Personal Protective Equipment (PPE). Workers attending this instructor-led course will cover 18 different OSHA-suggested topics including health and safety procedures, PPE used during work operations at hazardous material sites, medical monitoring, and many others.Instructors emphasize a practical approach to worksite health and safety, as such, attendees learn to recognize site hazards and take appropriate steps to prevent illness or injuries while on the job site.Register Early! Pre-registration for all classes is required (no walk-in’s) and classes do fill up quickly.Registration Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to be bound by this policy.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%For Multiple purchase discounts or onsite Group pricing, call 800-711-2706 Ext 1"
https://www.eventbrite.com/e/fiscal-sponsorship-101-tickets-668448666957?aff=ebdssbdestsearch,https://www.eventbrite.com/o/san-francisco-parks-alliance-66109277103,"Is your community group ready for the next step? SFPA offers centralized administrative services through fiscal sponsorship as a member of the Community Partner Network (CPN). We will be accepting applications to the CPN in August.If you are wondering if this program is right for you, come to Joining the Community Partner Network: Fiscal Sponsorship 101 on Wednesday, August 2nd from 4pm to 6pm. This event will take place in person at the SFPA Co-Lab in SoMa. We will be sharing information about what it means to join the Community Partner Network, as well as hosting a happy hour where you can meet current members of the CPN. We look forward to seeing you there!In the meantime, if you have any questions about our program or fiscal sponsorship, please reach out to partners@sfparksalliance.org."
https://www.eventbrite.com/e/8-hour-hazwoper-refresher-training-in-oakland-ca-tickets-631760401367?aff=ebdssbdestsearch,https://www.eventbrite.com/o/compliance-solutions-occupational-trainers-inc-61045768933,"Compliance Solutions, the nation's largest provider of OSHA, DOT, EPA, and RCRA Training is pleased to offer open enrollment for our 8-Hour OSHA HAZWOPER Annual Refresher training. Classes are delivered in 50+ U.S cities -Nine different cities every week!Our instructor-led seminars meet or exceed OSHA’s suggested training curricula and meet OSHA’s mandated training requirements under 29 CFR 1910.120(e and q).8 Hour HAZWOPER (HAZWOPER Refresher)The 8-Hour HAZWOPER course meets OSHA’s annual refresher requirements for employees who have completed their initial 24-Hour 40-Hour HAZWOPER certification. Mandated training can be found in 29 CFR1910.120. Students attending the 8-Hour HAZWOPER are updated on changes in related regulations, participate in multiple class safety activities, complete a mock dress-out and receive instruction in health and safety procedures, and personnel protection during work operations at hazardous material sites. Unlike our competitors, our training content and exercises are updated annually so your employees don’t take the same class over and over again every year!Who needs 8 Hour HAZWOPER Training? Students must have completed an initial 24-Hour or 40-Hour HAZWOPER course and have maintained certification through annual refresher training. If certification has not been refreshed under OSHA guidelines, the 24-Hour or 40 Hour HAZWOPER should be re-taken to maintain certification.Upon successful completion of the course, students will:Understand changes in HAZWOPER/related regulations in the past year.Describe the effects of hazardous materials on people and the environmentIdentify safe methods and work practices.Recognize signs and labels used to alert personnel of dangers involving hazardous materials.Recognize and identify site and personnel hazards.Register Early! Pre-registration for all classes is required (no walk-in’s) and classes do fill up quickly.Registration Note: This event does NOT issue paper tickets. After registration, you will receive an email confirmation from Compliance Solutions that includes the date, time, and location of the class. Prior to registering read a copy of our cancellation and refund policy. Once registered, you acknowledge you have read and agree to be bound by this policy.Group DiscountsOffered for registrations of the same course type, date, and city. To receive a group discount all students MUST register at the same time:5 to 9 students= 10% 10 or more = 15%Call 800-711-2706 Ext 1 to register multiple students or inquire about Group training."
https://www.eventbrite.com/e/global-innovation-ventures-summit-onsite-virtual-tickets-569982532097?aff=ebdssbdestsearch,https://www.eventbrite.com/o/onetraction-impact-ventures-43598758823,"Global Innovation Ventures SummitAnnual Conference, with a focus on mission-driven Innovation and Investing, that help accelerate resolution to pressing challenges and improve human life at the global scale. While leveraging emerging deep tech, among disruptive startup, academic scientists, and global Fortune 500 companies seeking to shorten time to market or invest in transformative innovation that lead us to a better tomorrow with a positive impact on humanity.Industry: Digital, Scientific, and Hardware Startup Innovation from idea to unicorn stage in any sector powering the current global economy of $100 Trillion or accelerating the $200 Trillion Net Zero Transition. Key Sectors: Enterprise, Consumer, CPG, TMT, Finance, Education, Health, BioTech, Food,  Farming, Energy, Mobility, Industry 4.0, SCM, Web3, ChatGPT, Cybersecurity, CSR, The Future of Work, Safety, Transportation, Smart Cities. Audience: We expect over 2,000 decision-makers and C suite level, comprised of Startup across stages through Unicorns / Post IPO, Top Universities Scientists, Global Fortune 500 Companies Executive, Serial Entrepreneurs, HNWI investors, Family Office, CVC, LP's, SF's, Private Equity and Endowments with a combined $500 Billion+ Funds.Speakers: Thought Leaders from the most Innovative Institution in the world, including VC Midas List, Fortune 500 CVC and top 100 Unicorns.Agenda: Thought Leadership, QA Sessions, Pitching, Demo, Expo, and Networking with Breakout Room and VIP Reception. Loaded with over 50 sessions and 100 speakers.Day I: 9 am - 5:30 pm Innovation: Emerging Tech with Impact Thought Leadership and QA sessions (Digital, Scientific, and Hardware) Day II: 9 am - 5:30 pm Funding: Emerging Trends and Challenges panels, plus (Pre-Seed to Unicorn Stages Pitch by 100 Startups) 5:30 pm Book Signing & Giveaway:  The Future of Innovation - Masters of Corporate VC. - Blitzscaling6 pm - 9 pm VIP Reception* (Open Bar / Dinner). Fireside Chat during the VIP Reception with industry icons.   Day III: 10 am - 4 pm Go-to-Market (Demo and Expo)** (Indoor and Outdoor) by 200 Startups (Expo Setup Session: 8 am - 10 am and 4 pm - 5:30 pm) Breakout Room (Upon request for Corporate and Investors to meet recommended Startups). Programs Detailed Schedule (Open Here), visit OneTraction.com / ExchangeDress Code: Business Attire, Age: 21 or older (Indoor)Venues: CHM and Stanford University (will email final schedule 30 days prior).Registration: By Ticket Type (Exclusive to our Members Only)VIP Pass (Fortune 500, Top 500 Unicorns, Top 100 Family Office / PE, Endowment)Corporate: Click on get Ticket  (Speak / Breakout room)Startup  Click on get Ticket  (Demo: Must use your business email)Investor: Click on get Ticket (must be accredited and actively investing)University: (Faculty, Employees, Endowment, Alumni and Students***)  use .edu emailGroup: 12+ Contacts us from this page for discount (must use your business email)Media: Contacts us from this page for pass (must use your business email)Non-Members: Register through our website / Exchange / Conference / Join if you are at Level I and above. Otherwise upgrade once logged-in. Founder, Startup, Investor and Speaker: To attend, demo, or pitch at the conference you must be a member, sign up free here: OneTraction.com / Exchange ""upon  ticket purchase"". *Startup Pitch: Free and open to members (idea to growth stage) (30min access to pitch only). Create a profile to describe your pitch here: OneTraction.com / Exchange (Our team will reach out 2 weeks prior if selected to pitch). Will have 100 Startup Pitch on Day I ""1min - 3min verbal"". Startup with revenues or post seed stage must get GTM Demo pass and pitch ""individually during the Expo"".**Investor: To attend startup pitch sessions, you must create a complete profile to ensure startup and accredited investors are in compliance and can reach each other's here: OneTraction.com / Exchange. Min investment: $500k. Optional if attending conference only.***Students: Add your name to the waiting list using edu email and our team will release your ticket upon vetting (must be graduate level, MS, MBA, Phd, MD, JD).Panel Speakers: Select 1 Session from the Programs Schedule above, and contact us from this page ""upon purchase of your ticket - Open for VIP Pass, Corporate, Family Office, and Unicorns leadership. To speak you must become a member here (OneTraction.com / Exchange ).Demo/Expo (200): 100 Indoor open for Startup (4x4 per ticket), plus Outdoor open for Mobility, Hardware, and any other large physical objects 100 spaces (1 compact parking per ticket).Food / Beverage: Included for Full 3 Days Conference Pass holders on Day I - Day III (Breakfast, Lunch, and Coffee/Tea/Water/Beverages.)Free Parking with Shuttle to Mountain View CalTrain, plus (Stanford University Group of 24+, Upon Request). Sponsors Package: get a standard VIP pass from this page or Contact us for larger and custom requests.Past Events: We hosted over 100 conferences  (View List)Organizer: OneTraction Impact VenturesFeatured Video from Past Conference at Stanford - SF Fairmont Hotel - Global. Featured Invited Panel Speakers.  OneTraction.com / Exchange / Sign upFeatured Past and Current Speakers: Featured Indoor Expo: Featured Outdoor Expo:"
https://www.eventbrite.com/e/metaverse-leadership-speed-networking-tickets-560054667587?aff=ebdssbdestsearch,https://www.eventbrite.com/o/metaverse-club-40646144193,"The event start at 10:00pm HongKong Time (Time Zone: GMT+8)What is the ""Metaverse Leadership Speed Networking"" event ?The goal of the ""Metaverse Leadership Speed Networking"" event is to provide a platform for leaders in the Metaverse space to come together, share their experiences, and discuss key issues related to the development of the Metaverse. Through the event, participants can build relationships and connect with others who have similar interests and goals. By exchanging ideas and best practices, leaders can also learn from each other and explore new ways to address complex challenges and opportunities that arise in the Metaverse. This event can provide valuable opportunities for exchanging leadership experiences in the rapidly evolving field of the Metaverse, and for staying at the forefront of its developments.How will the event work?The ""Metaverse Leadership Speed Networking"" event is a highly efficient and structured online networking session designed to foster connections and exchange insights and ideas among Metaverse leaders worldwide. The session typically lasts for approximately 1.5 hours and enables participants to engage in one-on-one and small group conversations with other attendees.Participants will be provided with a list of conversation prompts or questions to help guide the discussion and facilitate meaningful exchanges. By offering a set of questions that are tailored to the theme and topic of the event, participants are encouraged to share their experiences and perspectives on the Metaverse industry and explore new ideas, challenges and opportunities.During the event, participants are encouraged to exchange business cards or contact information with each other to continue the conversation and stay in touch after the event.What value will you get from the event?This event provides Metaverse leaders with a unique opportunity to connect with like-minded individuals, share their knowledge, and learn from one another while exploring innovative solutions to complex challenges and opportunities. By attending, leaders will expand their network, stay up to date on the latest industry trends, discover new business opportunities, and form valuable partnerships that drive innovation and growth within their Metaverse space.- Networking: The event provides a platform for Metaverse leaders from around the world to connect and exchange ideas, experiences, and insights. Participants can build their professional network and establish new relationships that can lead to future collaborations, partnerships, or career opportunities.- Knowledge sharing: Through one-on-one and small group conversations, participants can learn from each other and gain new perspectives on the Metaverse industry. The event allows attendees to discuss and exchange best practices, innovative ideas, and emerging trends.- Business opportunities: The event can help participants discover new business opportunities or partnerships within the Metaverse industry. By connecting with other industry leaders, attendees can explore new ways to address complex challenges and capitalize on emerging trends.- Personal development: The event can help attendees develop their leadership and communication skills. By engaging in meaningful conversations with other professionals, participants can practice their networking and interpersonal skills and gain confidence in their abilities.Who Sould Attend?The ""Metaverse Leadership Speed Networking"" event targets Metaverse leaders from around the world. This includes executives, entrepreneurs, investors, thought leaders, and other professionals who are interested in the Metaverse space and are looking to build connections and exchange ideas with like-minded individuals. Attendees should have a strong interest in the Metaverse industry, and have a level of experience or expertise that would allow them to contribute meaningfully to the conversation. The event is open to all individuals who meet these criteria and are interested in networking with other Metaverse leaders.Schdule Arrangements:What do participants need to prepare?* The  Metaverse Leadership Spee Networking event requires only a computer and internet connection for registered attendees to participate.* Two days before the event, attendees will receive a registration link for the speed networking session via email.* Attendees will also receive ievent nstructions and a list of topics to be discussed at the event via email two days before the event.* We encourage attendees to prepare in advance so that they can make the most of their networking opportunities. Any questions please email: shanmo@metaverse-club.netP﻿ast  Metaverse  Event  Partners:"
