Event Name,Description,Start,End,Location,City,Event URL,organizer_link-href,full_description,Full_description
City of Water Day,"Now in its 16th year, City of Water Day — taking place this year on Saturday, July 15 — is a region-wide day organized by Waterfront Alliance and New York–New Jersey Harbor & Estuary Program (HEP), to champion a climate-resilient New York and New Jersey harbor.",15-Jul-23,15-Jul-23,Not provided,NYC,https://www.cityofwaterday.org/,,City of Water Day is a  region-wide day organized by Waterfront Alliance and New York–New Jersey Harbor & Estuary Program (HEP) to champion a climate-resilient New York and New Jersey harbor.,
City of Water Day - Resilience Street Fair & Papermaking Workshop,"Join Waterfront Alliance + partner resilience organizations for an afternoon of free programs, activities, and engagement on climate action","July 15, 2023, 12:00 PM","July 15, 2023, 5:00 PM","South Street Seaport Museum, Wavertree, Pier 16, South Street at the foot of Burling Slip (John Street) New York, NY 10038",NYC,https://resiliencestreetfair.eventbrite.com/,,"Join Waterfront Alliance and partner organizations on Saturday, July 15 to celebrate City of Water Day with a “Resilience Street Fair” on Pier 16/South Street Seaport Museum, at the Seaport in Lower Manhattan.",
City of Water Day: Castle Hill YMCA & Waterfront Alliance Coastal Cleanup,"Clean up the shorelines near the YMCA, take a waterfront walk and ecology tour, and get on the water with canoeing in Westchester Creek.","July 15, 2023, 10:00 AM","July 15, 2023, 2:00 PM","2 Castle Hill Avenue The Bronx, NY 10473",NYC,https://castlehillcleanup.eventbrite.com/,,"Clean up the shorelines near the YMCA, take a waterfront walk and ecology tour, and get on the water with kayaking in Westchester Creek.",
Biking the Waterfront,"Resilience, Access, and Opportunities offer participants a unique view of the waterfronts of East Harlem, Randall’s Island, and the South Bronx. This event includes a bike tour and a lunch, and participants are welcome to attend one or both.","July 15, 2021, 10:00 am","July 15, 2021, 2:00 pm",Thomas Jefferson Park (At the corner of 114 St and 1 Av),NYC,https://randallsisland.org/events/biking-the-waterfront/,,"Resilience, Access, and Opportunities offer participants a unique view of the waterfronts of East Harlem, Randall’s Island, and the South Bronx. This event includes a bike tour and a lunch, and participants are welcome to attend one or both.",
Sunset Boat Tour: Explore our Region's Port Infrastructure,See container ships and cargo infrastructure up close on this cruise through the Port of NY and NJ with commentary from the Port's Director.,"August 1, 2023, 6:20 PM","August 1, 2023, 9:00 PM","Pier 83 (Circle Line Cruises), 12th Avenue and West 43rd Street, New York, NY 10036",NYC,https://www.eventbrite.com/e/sunset-boat-tour-explore-our-regions-port-infrastructure-tickets-664788569507,,"Join us on Tuesday, August 1 for a summer evening cruise of New York Harbor to learn about the immense scale and complexity of New York's local and global port activity with Bethann Rooney, Port Director at the Port Authority of New York & New Jersey and a 30+ year veteran in the maritime industry.",
Infinite Mussel Party,Please join us for our Spring Celebration at the RETI Field Station on the Gowanus Bay at GBX Terminal. A climate-action barge floating in the industrial landscape of South Brooklyn.,"May 18, 2023, 6:00 PM","May 18, 2023, 11:00 PM","RETI Center, 701 Columbia Street, Brooklyn, NY, 11231, United States",NYC,https://www.reticenter.org/events/infinite-mussel-party,,"Please join us for our Spring Celebration at the RETI Field Station on the Gowanus Bay at GBX Terminal. A climate-action barge floating in the industrial landscape of South Brooklyn.Tickets can be purchased here.Join RETI Center and learn about our Mussel and Sugar Kelp Aquaculture Program, BlueBlock Floating Gardens, Local Power, and more.An evening of gumbo, cocktails, and dancingGenerously sponsored by GBX~ Gowanus Bay Terminals",
Ocean Stewardship from the Bronx to Brooklyn,"A Boat Tour Envisioning Ecology, Economy and Equity for East River Communities","March 24, 2023, 1:00 PM","March 24, 2023, 4:00 PM","34th St Ferry Landing, New York, NY",NYC,https://www.reticenter.org/events/tour,,"Ocean Stewardship from the Bronx to BrooklynA Boat Tour Envisioning Ecology, Economy and Equity for East River Communities 
A special event in support of New York Water Week and the UN Water Summit

Suggested donation: $55 with box lunch includedPURCHASE TICKETSNew Yorks's coastlines are rebounding with kelp farms, constructed salt marshes, floating gardens, and access for low-income populations, all built by community activists, but ecological restoration and environmental justice still aren't a priority for the city's megaprojects. Tour the East River from Bronx Kill Park to Gowanus Bay with community and environmental justice activists to see their remarkable revitalization projects as guide you  through the past, present and future of New York’s coastline and marginalized communities. New York Harbor is the 6th Borough, the defining feature and least empowered part of the metropolis. Learn how a community-driven response to the changing climate and a transition to a carbon-free economy can catalyze an equitable and sustainable future for our collective benefit.This 3-hour guided boat tour will take us from 34th St Ferry Landing to the Bronx, future site of South Bronx Unite’s Bronx Kill Park and then return downriver to Red Hook, Brooklyn to RETI Center’s BlueCity at GBX~ Gowanus Bay Terminal. The afternoon will be spent with advocates and activists representing communities along the East River and NY NJ Harbor Estuary who have expertise and knowledge on how large-scale infrastructure must meet the needs of our local citizens and ecosystems. We will be discussing NYC and other metropolis-scale plans for sea level rise and climate events. The focus will be on nature-based solutions, equitable access, and visionary solutions that can benefit all species in the face of hard infrastructure proposals such as the US Army Corps of Engineers Harbor & Tributaries Focus Area Feasibility Study [HATS].",
Local Power Community Solar Info Session,"Switch your electric account to Local Power, a brand new community solar program that lets you cut your energy costs every month. You'll start getting your power from large-scale solar energy systems on commercial buildings in the neighborhood. That means you can go solar without installing a system on your roof - the savings guaranteed, and it's free to sign-up!H﻿elp us create our local green power system. You'll learn where the systems are being installed and we'll discuss opportunities for investment and even ownership in a program that benefits the whole community, including training and jobs for our low-income populations.","November 17, 2022, 6:30 PM","November 17, 2022, 7:35 PM",,NYC,https://www.reticenter.org/events/local-power-community-solar-info-session,,"S﻿witch your electric account to Local Power, a brand new community solar program that lets you cut your energy costs every month. You'll start getting your power from large-scale solar energy systems on commercial buildings in the neighborhood. That means you can go solar without installing a system on your roof - the savings guaranteed, and it's free to sign-up!H﻿elp us create our local green power system. You'll learn where the systems are being installed and we'll discuss opportunities for investment and even ownership in a program that benefits the whole community, including training and jobs for our low-income populations.Register here",
Urban Ocean Stewardship,An initiative to ensure restoration and equity in our sixth borough,"November 9, 2022, 9:00 AM","November 9, 2022, 12:00 PM",N/A,NYC,https://www.reticenter.org/events/stewards,,"What will it take to expand New York City’s floating infrastructure for the development of ecologically sustainable water-borne uses around the coastal edge?Industry experts, academic and research institutions, and marine advocacy and nonprofit groups join city officials for an engaged analysis of the past and current state of affairs, and the prospects and strategies for the future of the blue/green economy on the city’s coastal waters.Please join the RETI Center and the Dutch Consulate for a half-day conference and workshop.Register here",
BlueBlocks Floating Gardens - Open House New York,"BlueBlocks are modular, floating, semi-submersible structures for challenging urban edge conditions, creating small salt marsh archipelagos that provide a range of ecological benefits for humans and other species. RETI Center BlueCity at GBX~ Gowanus Bay Terminal uses BlueBlocks to create a unique garden on the Red Hook waterfront.","October 22, 2022,11:00 AM","October 22, 2022,3:00 PM","RETI Center BlueCity, GBX~ Gowanus Bay Terminal, Red Hook waterfront, New York",NYC,https://www.reticenter.org/events/blueblocks-floating-gardens-open-house-new-york,,"Talks at noon and 2pm by the designers from thread collective and RETI Center staff.BlueBlocks are modular, floating, semi-submersible structures for challenging urban edge conditions, creating small salt marsh archipelagos that provide a range of ecological benefits for humans and other species. RETI Center BlueCity at GBX~ Gowanus Bay Terminal uses BlueBlocks to create a unique garden on the Red Hook waterfront.The tour will bring you out onto the barge where you will experience a unique spot in the industrial waterfront of New York. These gardens link to the issues of sea level rise, coastal adaptation, and nature-based solutions to create a more resilient future. Learn about the design and fabrication techniques employed to create a hospitable environment for a variety of marine life. In addition, we will showcase the Sugar Kelp marine farm, created in collaboration with LaGuardia College and Lazy Point Farms, that will be launched in the winter months.",
Big Walk 2022,"Please join professor Louise Harpman and other urban enthusiasts as we explore Brooklyn’s Working Waterfront for the 11th annual BIG WALK. Highlights include PortSide New York, Louis Valentino, Jr. Park and Pier, RETI Center’s BlueCity at the GBX Gowanus Bay Terminal, Culver Viaduct, and the Gowanus Dredgers Canoe Club.","October 1, 2022, 10:30 AM","October 1, 2022, 3:30 PM","Brooklyn, New York",NYC,https://www.reticenter.org/events/big-walk-2022,,"CANCELED DUE TO RAIN! WATCH FOR SPRING 2023 DATES Please join professor Louise Harpman and other urban enthusiasts as we explore Brooklyn’s Working Waterfront for the 11th annual BIG WALK. Highlights include PortSide New York, Louis Valentino, Jr. Park and Pier, RETI Center’s BlueCity at the GBX Gowanus Bay Terminal, Culver Viaduct, and the Gowanus Dredgers Canoe Club.MORE INFORMATION HERE",
Fridays for Future Volunteer Day,"Fridays for Future is a youth-led and -organized movement that began in August 2018, after 15-year-old Greta Thunberg and other young activists sat in front of the Swedish parliament every schoolday for three weeks to protest against the lack of action on the climate crisis.","September 30, 2022, 4:00 PM","September 30, 2022, 8:00 PM","701 Columbia St, NY, 11231, United States",NYC,https://www.reticenter.org/events/event-one-3gzx8-xbtms-yfex7-86yms-cyb7z-596wg-pm9ta,,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!,
Fridays for Future Volunteer Day,"Fridays for Future is a youth-led and -organized movement that began in August 2018, after 15-year-old Greta Thunberg and other young activists sat in front of the Swedish parliament every schoolday for three weeks to protest against the lack of action on the climate crisis.","September 23, 2022, 4:00 PM","September 23, 2022, 8:00 PM","RETI Center BlueCity, 701 Columbia St, NY, 11231, United States",NYC,https://www.reticenter.org/events/event-one-3gzx8-xbtms-yfex7-86yms-cyb7z-596wg,,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!,
Fridays for Future Volunteer Day,"Fridays for Future is a youth-led and -organized movement that began in August 2018, after 15-year-old Greta Thunberg and other young activists sat in front of the Swedish parliament every schoolday for three weeks to protest against the lack of action on the climate crisis.","September 16, 2022, 4:00 PM","September 16, 2022, 8:00 PM","RETI Center BlueCity, 701 Columbia St, NY, 11231, United States",NYC,https://www.reticenter.org/events/event-one-3gzx8,,A weekly all-ages volunteer day focused on developing resilient technology and construction projects on our Field Station in the Gowanus Bay. No experience necessary!,
Y(our) Legacy July Pop-Up Workshop," An accessible, safe and inclusive space created for people to uncover their visual stories deeply rooted within our bodies using Linocut."," July 22, 2023, 12:00 PM PDT"," July 22, 2023, 3:00 PM PDT"," Moments Cooperative, 410 13th Street Oakland, CA 94612",SF,https://www.eventbrite.com/e/your-legacy-july-pop-up-workshop-registration-673986560947,https://www.eventbrite.com/o/art-for-the-people-project-65523404503,"Now offering, 'Y(our) Legacy' pop-ups, is available to the public- we welcome all adults interested in learning a new art skill and discovering their personal liberation story. We welcome donations and participant sponsorship's to promote accessibility and inclusive to community members interested in this workshop. Participants will be offered materials at no cost, the opportunity to leave with personal lino-cuts and prints of their final work. Participants will be offered the opportunity to share their artwork to be published in the 2nd volume of 'Y(our) Legacy' Zine. A﻿LL DONATIONS ARE NON-REFUNDABLE. Donations support the facilitator and the repurchase of supplies to keep pop-ups afloat. In 2018, 'Y(our) Legacy' was created by Sen Mendez, an indigenous multidisciplinary artist from Oakland (Huichin Territory), CA. Their goal was to create a safe and inclusive space for Refugee and Immigrant participants to explore creative expressions and personal narratives to develop and envision their own liberation story through visual storytelling using block printing methods. We look forward to seeing you there and appreciate your support!",
OPEN SV Annual Forum 2023 - The Age Of A.I.,"OPEN Silicon Valley is organizing its Annual Forum 2023 with a focus on A.I., Tech & Beyond and Sustainability.","November 4, 2023, 8:00 AM","November 4, 2023, 5:00 PM","Santa Clara Convention Center, 5001 Great America Parkway Santa Clara, CA 95054",SF,https://www.eventbrite.com/e/open-sv-annual-forum-2023-the-age-of-ai-tickets-640306302387,https://www.eventbrite.com/o/open-silicon-valley-11897994009,D﻿etails and Agenda to follow,
