Event Name,Description,Start,End,Location,City,Event URL,Full_Description,organizer_link-href
City of Water Day,"Now in its 16th year, City of Water Day — taking place this year on Saturday, July 15 — is a region-wide day organized by Waterfront Alliance and New York–New Jersey Harbor & Estuary Program (HEP), to champion a climate-resilient New York and New Jersey harbor.","July 15, 2023, 12:00 AM","July 15, 2023, 11:59 PM",N/A,NYC,https://www.cityofwaterday.org/,City of Water Day is a  region-wide day organized by Waterfront Alliance and New York–New Jersey Harbor & Estuary Program (HEP) to champion a climate-resilient New York and New Jersey harbor.,
City of Water Day - Resilience Street Fair & Papermaking Workshop,"Join Waterfront Alliance + partner resilience organizations for an afternoon of free programs, activities, and engagement on climate action","July 15, 2023, 12:30 PM","July 15, 2023, 5:00 PM","South Street Seaport Museum, Wavertree Pier 16, South Street at the foot of Burling Slip (John Street) New York, NY 10038",NYC,https://resiliencestreetfair.eventbrite.com/,"Join Waterfront Alliance and partner organizations on Saturday, July 15 to celebrate City of Water Day with a “Resilience Street Fair” on Pier 16/South Street Seaport Museum, at the Seaport in Lower Manhattan.",
City of Water Day: Castle Hill YMCA & Waterfront Alliance Coastal Cleanup,"Clean up the shorelines near the YMCA, take a waterfront walk and ecology tour, and get on the water with canoeing in Westchester Creek.","July 15, 2023, 10:00 AM","July 15, 2023, 2:00 PM","2 Castle Hill Avenue The Bronx, NY 10473",NYC,https://castlehillcleanup.eventbrite.com/,"Clean up the shorelines near the YMCA, take a waterfront walk and ecology tour, and get on the water with kayaking in Westchester Creek.",
Biking the Waterfront,"Resilience, Access, and Opportunities offer participants a unique view of the waterfronts of East Harlem, Randall’s Island, and the South Bronx. This event includes a bike tour and a lunch, and participants are welcome to attend one or both. Starting at 10 am and meeting at 114th and 1st Ave at the corner of Thomas Jefferson Park, join us for a two-hour tour highlighting the challenges, changes, and opportunities for creating more equitable public access and resiliency opportunities along our waterfronts. The tour will be led by bike advocates, waterfront experts, and community leaders sharing their knowledge and ways for you to get more involved in shaping the future of our shorelines","July 15, Year, 10:00 am","July 15, Year, 2:00 pm",Thomas Jefferson Park (At the corner of 114 St and 1 Av),NYC,https://randallsisland.org/events/biking-the-waterfront/,"Resilience, Access, and Opportunities offer participants a unique view of the waterfronts of East Harlem, Randall’s Island, and the South Bronx. This event includes a bike tour and a lunch, and participants are welcome to attend one or both.",
Sunset Boat Tour: Explore our Region's Port Infrastructure,See container ships and cargo infrastructure up close on this cruise through the Port of NY and NJ with commentary from the Port's Director.,"August 1, 2023, 6:20 PM","August 1, 2023, 9:00 PM","Pier 83 (Circle Line Cruises), 12th Avenue and West 43rd Street New York, NY 10036",NYC,https://www.eventbrite.com/e/sunset-boat-tour-explore-our-regions-port-infrastructure-tickets-664788569507,"Join us on Tuesday, August 1 for a summer evening cruise of New York Harbor to learn about the immense scale and complexity of New York's local and global port activity with Bethann Rooney, Port Director at the Port Authority of New York & New Jersey and a 30+ year veteran in the maritime industry.",
Infinite Mussel Party,Please join us for our Spring Celebration at the RETI Field Station on the Gowanus Bay at GBX Terminal. A climate-action barge floating in the industrial landscape of South Brooklyn.,"May 18, 2023, 6:00 PM","May 18, 2023, 11:00 PM","RETI Center, 701 Columbia Street, Brooklyn, NY, 11231, United States",NYC,https://www.reticenter.org/events/infinite-mussel-party,"Please join us for our Spring Celebration at the RETI Field Station on the Gowanus Bay at GBX Terminal. A climate-action barge floating in the industrial landscape of South Brooklyn.Tickets can be purchased here.Join RETI Center and learn about our Mussel and Sugar Kelp Aquaculture Program, BlueBlock Floating Gardens, Local Power, and more.An evening of gumbo, cocktails, and dancingGenerously sponsored by GBX~ Gowanus Bay Terminals",
Ocean Stewardship from the Bronx to Brooklyn,"A Boat Tour Envisioning Ecology, Economy and Equity for East River Communities","March 24, 2023, 1:00 PM","March 24, 2023, 4:00 PM",Not provided,NYC,https://www.reticenter.org/events/tour,"Ocean Stewardship from the Bronx to BrooklynA Boat Tour Envisioning Ecology, Economy and Equity for East River Communities 
A special event in support of New York Water Week and the UN Water Summit

Suggested donation: $55 with box lunch includedPURCHASE TICKETSNew Yorks's coastlines are rebounding with kelp farms, constructed salt marshes, floating gardens, and access for low-income populations, all built by community activists, but ecological restoration and environmental justice still aren't a priority for the city's megaprojects. Tour the East River from Bronx Kill Park to Gowanus Bay with community and environmental justice activists to see their remarkable revitalization projects as guide you  through the past, present and future of New York’s coastline and marginalized communities. New York Harbor is the 6th Borough, the defining feature and least empowered part of the metropolis. Learn how a community-driven response to the changing climate and a transition to a carbon-free economy can catalyze an equitable and sustainable future for our collective benefit.This 3-hour guided boat tour will take us from 34th St Ferry Landing to the Bronx, future site of South Bronx Unite’s Bronx Kill Park and then return downriver to Red Hook, Brooklyn to RETI Center’s BlueCity at GBX~ Gowanus Bay Terminal. The afternoon will be spent with advocates and activists representing communities along the East River and NY NJ Harbor Estuary who have expertise and knowledge on how large-scale infrastructure must meet the needs of our local citizens and ecosystems. We will be discussing NYC and other metropolis-scale plans for sea level rise and climate events. The focus will be on nature-based solutions, equitable access, and visionary solutions that can benefit all species in the face of hard infrastructure proposals such as the US Army Corps of Engineers Harbor & Tributaries Focus Area Feasibility Study [HATS].",
Urban Ocean Stewardship,An initiative to ensure restoration and equity in our sixth borough,"November 9, 2022, 9:00 AM","November 9, 2022, 12:00 PM",Not provided,NYC,https://www.reticenter.org/events/stewards,"What will it take to expand New York City’s floating infrastructure for the development of ecologically sustainable water-borne uses around the coastal edge?Industry experts, academic and research institutions, and marine advocacy and nonprofit groups join city officials for an engaged analysis of the past and current state of affairs, and the prospects and strategies for the future of the blue/green economy on the city’s coastal waters.Please join the RETI Center and the Dutch Consulate for a half-day conference and workshop.Register here",
BlueBlocks Floating Gardens - Open House New York,"BlueBlocks are modular, floating, semi-submersible structures for challenging urban edge conditions, creating small salt marsh archipelagos that provide a range of ecological benefits for humans and other species. RETI Center BlueCity at GBX~ Gowanus Bay Terminal uses BlueBlocks to create a unique garden on the Red Hook waterfront.","October 22, 2022, 11:00 AM","October 22, 2022, 3:00 PM","RETI Center BlueCity at GBX~ Gowanus Bay Terminal, Red Hook waterfront, New York",NYC,https://www.reticenter.org/events/blueblocks-floating-gardens-open-house-new-york,"Talks at noon and 2pm by the designers from thread collective and RETI Center staff.BlueBlocks are modular, floating, semi-submersible structures for challenging urban edge conditions, creating small salt marsh archipelagos that provide a range of ecological benefits for humans and other species. RETI Center BlueCity at GBX~ Gowanus Bay Terminal uses BlueBlocks to create a unique garden on the Red Hook waterfront.The tour will bring you out onto the barge where you will experience a unique spot in the industrial waterfront of New York. These gardens link to the issues of sea level rise, coastal adaptation, and nature-based solutions to create a more resilient future. Learn about the design and fabrication techniques employed to create a hospitable environment for a variety of marine life. In addition, we will showcase the Sugar Kelp marine farm, created in collaboration with LaGuardia College and Lazy Point Farms, that will be launched in the winter months.",
Local Power Info Session (Virtual),Local Power Community Solar- Info Session on how to Subscribe! Shrink Your Electric Bill and Your Carbon Footprint! Join us for an Information Session about the new community solar program in Red Hook,"October 11, 2022, 6:30 PM","October 11, 2022, 8:00 PM",N/A,NYC,https://www.reticenter.org/events/local-power-info-session-virtual,Local Power Community Solar- Info Session on how to Subscribe!Shrink Your Electric Bill and Your Carbon Footprint! Join us for an Information Session about the new community solar program in Red Hook.Register here.,
