Event Name,Short Description,Start,End,Location,City,Event URL,organizer_link-href,full_description
Using nature as a guide. Exploring the potential of natural processes,Exploring the potential of natural processes in a man-made landscape.,6/12/23 13:00,6/12/23 19:00,Bosland 16 Kiefhoekstraat 3941 Hechtel-Eksel Belgium,Hechtel-Eksel,https://www.eventbrite.com/e/using-nature-as-a-guide-exploring-the-potential-of-natural-processes-tickets-489330800597,https://www.eventbrite.com/o/natuurinvest-56861593303,"Welcome to Nature As A Guide. We'll be exploring the potential of natural processes in a man-made landscape on the 12th of June.International conference of the Erasmus+ project ‘Process oriented nature conservation'.Programme:1pm - 5pm: Conference with international speakers including sir Charles Burrell (Knepp Estate, UK), Liesbeth Bakker (professor in Rewilding Ecology, WUR, NL) and Jörgen Andersson (Fjällbete/Savory Institute Nordic Hub, SE)5pm - 7pm: Networking event"
TValley Tech Conference 2023,Get ready for the TValley Tech Conference on 31 May! Together we empower future industries with smart technology.,5/31/23 12:30,5/31/23 18:00,De Grolsch Veste - Hatrans Lounge 65 Colosseum 7521 PP Enschede Netherlands,Enschede,https://www.eventbrite.nl/e/tvalley-tech-conference-2023-tickets-537764045737,https://www.eventbrite.nl/o/tvalley-19926896646,"TVALLEY: ENGINEERING FUTURE INDUSTRIES TOGETHERGet ready for the TValley Tech Conference on 31 May! Together we empower future industries with smart technology.Gain and share knowledge, connect with hightech companies, like Voortman Steel Machinery, VIRO, Demcon, and meet upcoming talent. All you need to do: sign up, receive a free ticket and mark 31 May 2023 in your calendar! Date | Wednesday the 31st of MayTime | 12:30 - 18:00 Place | De Grolsch Veste, EnschedeMain language | EnglishWatch the 2022 aftermovieEMPOWER FUTURE INDUSTRIES WITH SMART TECHNOLOGYMinister for Economic Affairs and Climate, Micky Adriaansens, states, in the context of EDIH, that ""Sustainability and digitization of our economy create jobs and income. The Netherlands is already leading the way with digital infrastructure and using data by entrepreneurs in their processes and products, for example. But we can and must take further steps. Think of the use of artificial intelligence by SMEs.”TValley contributes to this ambition by creating the preliminary conditions for knowledge transfer, networking and multidisciplinary R&D projects. We specifically stimulate further development in 4 roadmap tracks: Autonomous Systems, Recognition, Data Analytics and Systems Engineering. A number of key concepts within Smart Industry.Through our rich network containing various areas of expertise, we organize a variety of knowledge and inspiration sessions. Not only do we broaden and deepen our knowledge, but we also ensure that students gain the proper knowledge during their education.In addition, we share challenges and solutions to help each other move forward based on challenge-based innovation. If You Want to Go Fast, Engineer Alone. If You Want to Go Far, Engineer Together. OUR PROGRAMAn afternoon filled with interactive knowledge sessions Business fair presenting the entire TValley communityPlenty of smart technology demonstrators Matchmaking: meet regional frontrunners, passionate engineers, talent and potential cooperation partners!We will discuss the developments of the last few years and, of course, the possibilities of the future, some of them developed today by TValley partners. Enjoy in-depth knowledge sessions, prepare to be blown away by innovative demonstrators and allow fellow engineers and entrepreneurs to impress you.DON’T MISS OUT!Engineers and technicians looking to improve their knowledge of smart technology topics such as autonomous systems, vision, systems engineering and data analytics.IT professionals interested in the application of technology in the industrial sector and the integration of smart technology solutions.Entrepreneurs and managers looking to learn about the latest technologies and trends in industry automation and digitization.Researchers and academics interested in learning about the latest developments and challenges in industrial automation.Students who want to be introduced to high-tech companies to boost their careers.Investors and entrepreneurs seeking to explore new business opportunities in the field of smart industry.Overall, it’s the ultimate opportunity to network with peers, attend informative sessions and workshops, and gain a better understanding of how smart industry can benefit your business or career."
DESIGN FOR CHANGE Retreat,New Order of Fashion (NOoF) invites (aspiring) fashion design professionals to join us for an invigorating week-long programme exploring the knowledge and skills we need for a better fashion future!,7/10/23 10:00,7/14/23 15:30,New Order of Fashion LAB,Eindhoven,https://www.eventbrite.co.uk/e/design-for-change-retreat-tickets-631108521577,https://www.eventbrite.co.uk/o/new-order-of-fashion-lab-46145471893,"DESIGN FOR CHANGE RETREATNew Order of Fashion (NOoF) invites (aspiring) fashion design professionals to join us for an invigorating week-long programme exploring the knowledge and skills we need for a better fashion future!Located at the NOoF LAB in Eindhoven, the ‘Design for Change’ retreat addresses the contemporary issues fashion faces: on climate, environment, production, consumption, and wellbeing for people. Through a combination of theory and hands-on exercises, we’ll examine the various paths that can be taken to a cleaner, smarter and more caring fashion future. Together with a stellar line up of international speakers, experts and workshop hosts, we will collectively investigate the overarching goal of sustainable and circular fashion design. The program includes topics and methodologies such as systemic thinking, local regeneration, material understanding & value, crafts, remake and repair skills, and building resilient communities. Join us at NOoF's sustainable fashion and textile LAB for a fun and exploratory week with a group of like-minded individuals who wish to commit to a better fashion future!PROGRAM OUTLINEDay one: Getting to know you and what you want to achieve this week. What is sustainable fashion? What is the difference between circular and regenerative? Deepening systemic understanding both theoretically as in practice, followed by a upcycling dinner party!Day two: Business routes for circular visions & the role of community.  Learning to value materials. Upcylcing through bio-based screen printing and a remake workshop.Day three: Circular context in practice, Material understanding, and an excursion to visit regeneratively grazing sheep in the Strabrechtse Heide.Day four: Connecting twines workshop, developing cordage, basketry and weaving techniques with the natural material, Esparto grass.Day five: dedicated to finishing your Design for Change assignment using the NOoF LAB facilities, machines and expert mentorship. Presentation of your end results to the retreat participants and staff. Wrap up. E﻿XPERTS & MENTORS (More to be announced)Dr. Troy NachtigallDr Troy Nachtigall is a Designer and Design Researcher exploring the data-material relationship through Fashion and Design.  As a Professor at Amsterdam University of Applied Sciences and researcher at TU/e, Troy leads research into personalized computational fabrication of clothing, shoes, and accessories. For the Design for Change retreat, Troy will introduce the concept of Systems Thinking and guide participants actively into this way of thinking by collectively playing a designerly game called ‘Loopholes’. The Loopholes game has been collaboratively developed by Amsterdam University of Applied Sciences, New Order of Fashion, Elisava University School of Design and Engineering of Barcelona, and other European knowledge partners of the EU Transitions project,.Evey Kwong [futurprimitiv]Evey Kwong is a designer and researcher whose practice evolves in the theme of craft-based technology by connecting with the origin of material cultures, people and place.Her works have been exhibited at the Museum of European Cultures [DE], HOW&WOW BASK IT! [Dutch Design Week] and U-JOINTS: Knots & Knits [Fiskars Biennale, FI]. fueled by her desire to promote crafts making, she collaborates with various institutions on design research projects and workshops. For the Design for Change Retreat, Evey will lead the workshop ‘Connecting Twines’. The earliest twine was made by twisting, untwisting and braiding lengths of plant fiber. Twine is most commonly used in textiles and basketry. The invention of twine is at least as important as the development of stone tools for early humans. Archaeologists have called the development of twine, which can be made stronger and longer than its component fibers, “the string revolution”.Pollyanna MossPollyanna Moss engages in local practices of crafts and explores their inherent narratives. Her work materialises subjective and complex relationships between humans and the environment through design pieces and video installations, which together provide a careful reading of the landscapes she investigates. Through her design practice, Pollyanna develops strong working relationships with multiple parties - co-ordinating and communicating through shared care for the environment, and the species that inhabit various local domains. For the Design for Change Retreat, Pollyanna will be taking participants to the sheep stall in Heeze, near Eindhoven, for an afternoon of grounding and embodied learning experiences about  the local endemic Kempisch Heideschaap. You will see and feel the landscape the sheep regeneratively graze, hear from a local shepherd and work with the precious wool collectively.PRACTICALThe Design for Change Retreat offers a limited number of seats to ensure an intensive, safe and intimate learning environment, where exchange, fee sharing of ideas and open discussion are at the heart of the learning experience. Tickets include a daily lunch, coffee, tea and other non-alcoholic drinks, a daily closing drink and a welcome diner. STUDENTSPast the Early Bird period (9 June 2023), s﻿pecial Student Only fees apply. Please e-mail anouk@neworderoffashion.com for more info on Student tickets."
TEDxEindhoven 2023,RESHAPING OUR FUTURE! We’ll be guided by designers and innovators from different fields who are all committed to creating a better future.,6/2/23 10:00,6/2/23 18:00,To be announced 5611DK Eindhoven Netherlands,Eindhoven,https://www.eventbrite.com/e/tedxeindhoven-2023-reshaping-our-future-tickets-621959255877,https://www.eventbrite.com/o/tedxeindhoven-64737310093,"What will the future look like? It’s a question that has fascinated thinkers and dreamers for centuries. But as we stand on the cusp of a new era, the need to reshape the future has never been more urgent. From climate change and technological disruption to political instability and social inequality, our world faces unprecedented challenges that demand innovative solutions.At TEDxEindhoven 2023, we’ll be guided by designers and innovators from different fields who are all committed to creating a better future. They’ll share their bold ideas, cutting-edge researches, and inspiring stories to help us imagine a better tomorrow. We’ll explore the role of technology, the importance of building sustainable and resilient communities, and the power of human connection to drive positive change.At a time of great changes and challenges we need a new perspective on what’s possible.Don’t miss out on this opportunity to be a part of TEDxEindhoven community! Tickets are selling fast, so don’t wait too long to secure your spot. Join us for a day of inspiring talks, networking opportunities, and delicious food and drinks. Be sure to book your ticket soon before they’re all gone!"
The Vibe of the Future Festival 2023,Inspiration festival for innovators in Health & High Tech,9/21/23 16:00,9/21/23 21:00,"Noviotech Campus, 7N Transistorweg 6534 AD Nijmegen Netherlands",Nijmegen,https://www.eventbrite.nl/e/tickets-the-vibe-of-the-future-festival-2023-500047474457,https://www.eventbrite.nl/o/noviotech-campus-49394688303,"Curious about what the future of Health & High Tech looks like? Experience it at The Vibe of the Future Festival! Immerse yourself in a world of innovation and technology, and discover what it takes to create a healthier, more sustainable world. At The Vibe of the Future Festival, we bring together talented students, inspiring teachers, cutting-edge scientists, and visionary entrepreneurs working to build a future-proof society. You'll hear their inspiring stories and discover how they gain knowledge, overcome challenges, and make a positive impact. All while enjoying a relaxing atmosphere with delicious food, drinks, and artistic performances.Don't miss this chance to dive into the minds of those shaping our future. Get your free tickets  and join us for a truly unforgettable event!"
Eco-Anxiety Workshop,Workshop about the ways to deal with Climate induced anxiety.,6/14/23 14:30,6/14/23 17:30,"Atlas TU Eindhoven, Groene Loper 3, 5612 AE Eindhoven, Netherlands",Eindhoven,https://www.eventbrite.nl/e/eco-anxiety-workshop-tickets-645821989957,https://www.eventbrite.nl/o/tint-eindhoven-28231096971,"How optimistic are you about our planet's future? 🌍️

How much do you think climate change really affects you? 🤔

Or do you not care at all? 🤷

It can be quite difficult to grasp what it truly means that our climate is changing. Actions need to be taken on a global scale to slow down the change and halt it. But during everyday life, nothing seems to be out of the ordinary. 

If you've ever wondered or had doubts about your future because of climate change, this is for you. 

We teamed up with TGD and Green Week TU/e  to create a unique workshop to help you with anxiety or apathy due to climate change.
We'll look at ways of dealing with the stress and pressure you can experience if you are taking action, to avoid burnout!

This workshop is for everyone and all can find something to learn!

If you're hooked on more information, click the link in the bio and reserve your spot now!"
Yoga for Eco-Anxiety,A restorative yoga practice that can help you relieve stress and eco-anxiety through supported and gentle asanas,5/31/23 19:00,5/31/23 20:00,"Stieltjesstraat 2, 2 Stieltjesstraat 6511 AC Nijmegen Netherlands",Nijmegen,https://www.eventbrite.nl/e/yoga-for-eco-anxiety-tickets-638057295547,https://www.eventbrite.nl/o/askolto-yoga-66031536703,"Eco-anxiety is the chronic fear of environmental cataclysm emerging from our observation of the irrevocable impact of climate change and our associated concerns for the future. To ease the effects of anxiety, yoga can help you. The practice of yoga helps you to build a resilient response to stress. Through asanas, pranayama (breathing techniques), and meditation, your nervous system receives the stimulus to 'relax and digest' by activating the parasympathetic nervous system. In every class you learn techniques that can help you build resilience and strategies to deal with eco-anxiety."
Libraries as Actors of Climate Empowerment,"A satellite conference prior to the IFLA World Library and Information Congress 2023 in Rotterdam, the Netherlands focusing on Libraries as Actors of Climate Empowerment",8/19/23 9:00,8/19/23 18:00,De Bibliotheek LocHal,Tilburg,https://www.eventbrite.com/e/libraries-as-actors-of-climate-empowerment-tickets-623591016517,https://www.eventbrite.com/o/bibliotheek-midden-brabant-and-ensulib-amp-pls-64783058103,"The IFLA Environment, Sustainability and Libraries Section (ENSULIB) together with the Public Libraries Section (PLS) in collaboration with Bibliotheek Midden-Brabant, LocHal are organising a satellite conference prior to the IFLA World Library and Information Congress 2023 in Rotterdam, the Netherlands. The focus will be on “Libraries as Actors of Climate Empowerment”. Libraries can empower all members of society to engage in climate action. They are deeply connected to their communities and can reach people of all demographics. As such, they are in a unique position to provide public awareness and to create platforms for engagement in climate action for all members of society. This one-day conference will emphasise exchange and interaction between participants. Participants will play an active role in shaping the outcome of the day by coming together, sharing ideas and developing plans. With a mix of keynotes, lightning talks and workshops, it will be an interactive, engaging and inspiring day. One keynote will be given by Ton van Vlimmeren. He has been President of EBLIDA (European Bureau of Library, Information and Documentation Associations) since 2018, is active as one of the founders of Public Libraries 2030 and was Director Governor of the Utrecht Public Library for 20 years. The full programme will be published in early June."
African Architecture Matters x Nieuwe Instituut,Join African Architecture Matters to shape a resilient future against rising sea levels in African island communities.,10/14/23 15:00,10/14/23 17:30,"Nieuwe Instituut, Museumpark 25 3015 CB Rotterdam Netherlands",Rotterdam,https://www.eventbrite.nl/e/african-architecture-matters-x-nieuwe-instituut-tickets-634668549717,https://www.eventbrite.nl/o/nieuwe-instituut-8317002316,"Through a number of case studies, discover how rising sea levels especially affect the culture and economy of communities living and working on islands. As part of Water cities Rotterdam, research and consultancy platform African Architecture Matters addresses the specific vulnerability of island communities in Africa and elsewhere, and the urgency they experience in translating their own local situations into a resilient and agile future.More details about the programme will follow soon. Water Cities Public ProgrammeFor the exhibition Water Cities Rotterdam. By Kunlé Adeyemi, Nieuwe Instituut organises an extensive public programme with activities linked to themes explored in the exhibition and on the floating pavilions in the ponds around the institute, from Sunday morning yoga to documentaries, and from talk shows to live radio.I﻿mage credit: Alexandra Papadaki"
De Stad op Ooghoogte en Placemaking Training 2024 (NL)," leer hoe je betere steden, straten en plekken creëert d.m.v. placemaking met een focus op menselijke maat.",3/14/23 9:00,3/28/23 17:30,MidWest 1 Cabralstraat 1057 CD Amsterdam Netherlands,Amsterdam,https://www.eventbrite.nl/e/de-stad-op-ooghoogte-en-placemaking-training-2024-nl-3-donderdagen-tickets-619692746687,https://www.eventbrite.nl/o/stipo-team-voor-betere-steden-53289341363,"Trainingsdagen op donderdag 14, 21 en 28 maart 2023Steden over de hele wereld staan elk voor eigen sociale en economische uitdagingen die kunnen bijdragen aan de kwaliteit van de openbare ruimte. Maar hoe creëren we geweldige straten en plekken waar mensen willen zijn? Doe mee met onze City at Eye Level training en leer hoe je steden, straten en plekken kunt verbeteren door een mensgerichte benadering van placemaking te ontwikkelen. Leer meer over het analyseren van plekken met de placegame, ontwikkel specifieke strategieën met behulp van de City at Eye Level-toolbox en laat je inspireren hoe je geweldige straten en plekken voor en door mensen kunt creëren.Ben je een stedenbouwkundige, projectmanager, ontwerper, ontwikkelaar, investeerder, stadsmaker, plaatsmaker, gemeenschapsleider, manager of vastgoedeigenaar die werkt om je stad inclusiever, interactiever, duurzamer of functioneler te maken op menselijke schaal? Wil jij al doende leren om mooie straten, plekken, parken, pleinen, speeltuinen en andere openbare ruimtes in gebieden te creëren? Plekken die gebouwd zijn rond het sociale leven, waar de gebruikers zich thuis voelen, die betrokken zijn bij het mede vormgeven en programmeren van de plek en die ook helpen om de gemeenschap op te bouwen? Dan hebben wij een fantastische training voor jou!VOOR WIE?Het verbeteren van steden, creëren van mooie straten en plekken voor mensen staan ​​wereldwijd steeds meer op de agenda. Maar hoe kunnen we dit in de praktijk goed organiseren? Doe mee met de City at Eye Level & Placemaking training, waar je samen met andere Nederlandse deelnemers leert over de openbare ruimte op menselijke schaal, placemaking en place-management, fietsvriendelijke steden, tactical urbanism en hoe langetermijnstrategieën voor steden kunnen worden geïmplementeerd.STIPO organiseerde eerder al City at Eye Level & Placemaking masterclasses, workshops en place games in Vancouver, Barcelona, ​​Stockholm, Thessaloniki, Rome, Bratislava, Darmstadt, Kuala Lumpur, Libanon, Den Haag, Utrecht, Groningen, Dordrecht en Delft. Naast deze on-site activiteiten organiseren we ook deze masterclasses in Amsterdam, waarvan dit de eerste editie is die volledig Nederlands is!De trainingsdagen vinden plaats op drie donderdagen in maart 2023.Dag 1 vindt plaats op 14 maartDag 2 vindt plaats op 21 maartDag 3 vindt plaats op 28 maartElementen in de trainingThe City at Eye Level: het creëren van straten op mensenmaat met interactie tussen gebouwen en straten.Leer de mechanismen om geweldige plinten en bloeiende openbaar ruimtes te creëren.Placemaking: maak van de openbare ruimte fijne plekken waar mensen zich thuis voelen.Placemaking als onderdeel van een systemische en lange termijn aanpak: de ontwikkeling van placemaking naar place-led development, place-management en de businesscase van placemaking voor systeemverandering.Hoe kun je de community op een inclusieve en duurzame manier betrekken bij de co-creatie van de openbare ruimte?Learning-by-doing: hands-on tools om de nieuwe kennis direct toe te passen door middel van de Eye Level Game en de Place Game. Pas de tools toe op een inspirerende cases in Amsterdam.Dag 1: GEWELDIGE STRATEN – The City at Eye Level & The Eye Level Game in de openbare ruimteDag 2: GEWELDIGE PLAATSEN – Placemaking & The Place Game in de openbare ruimteDag 3: JOUW GEWELDIGE PRAKTIJK – Lessen in je praktijk brengen en samen aan je uitdagingen werkenBlijf op de hoogte voor het volledige programma.TaalDit is de Nederlandse versie, die plaatsvindt op 14, 21 en 28 maart 2024.Praktische informatieDit is een Nederlandse editie! De trainingen zullen dus gegeven worden in het Nederlands.Deadline voor registratie: 29 februari 2024.Lunch, koffie, snacks worden alle drie de dagen verstrekt.Op dag 1 wordt een groepsdiner georganiseerd en verzorgd.Op dag 3 wordt er gezorgd voor hapjes en drankjes voor de afsluiting van de groep.Locatie: Amsterdam-West. De specifieke locatie wordt later bekend gemaakt.De training vindt plaats op drie donderdagen in maart 2023, 14, 21 & 28.Het programma is elke dag van 9.00 uur tot 17.00 uur.Ontvang een officieel certificaat van voltooiing.Ticketprijzen excl. BTW: Early Bird Gereduceerd ticket (€800), Early Bird Regulier Ticket (€1100), Gereduceerd Ticket (€950), Regulier Ticket (€1250) ** Voorwaarden om in aanmerking te komen voor een (Early Bird) Gereduceerd Ticket:- je bent werkzaam bij een kleinere, meer maatschappelijk georiënteerde organisatie- je werkt als onafhankelijke ZZP'erTwijfel je of je in aanmerking komt voor een Gereduceerd Ticket stuur dan een mail naar olga.sowa@stipo.nl"
