Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Source CSV,organizer_link-href,full_description,Full_description
Using nature as a guide. Exploring the potential of natural processes,Exploring the potential of natural processes in a man-made landscape.,2023-06-12 13:00,2023-06-12 19:00,"Bosland, 16 Kiefhoekstraat, 3941 Hechtel-Eksel, Belgium",Hechtel-Eksel,FALSE,https://www.eventbrite.com/e/using-nature-as-a-guide-exploring-the-potential-of-natural-processes-tickets-489330800597,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/natuurinvest-56861593303,"Welcome to Nature As A Guide. We'll be exploring the potential of natural processes in a man-made landscape on the 12th of June.International conference of the Erasmus+ project ‘Process oriented nature conservation'.Programme:1pm - 5pm: Conference with international speakers including sir Charles Burrell (Knepp Estate, UK), Liesbeth Bakker (professor in Rewilding Ecology, WUR, NL) and Jörgen Andersson (Fjällbete/Savory Institute Nordic Hub, SE)5pm - 7pm: Networking event",
TValley Tech Conference 2023,A conference to empower future industries with smart technology,2023-05-31 12:30,2023-05-31 18:00,"De Grolsch Veste - Hatrans Lounge, 65 Colosseum, 7521 PP, Enschede, Netherlands",Enschede,TRUE.,https://www.eventbrite.nl/e/tvalley-tech-conference-2023-tickets-537764045737,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/tvalley-19926896646,"TVALLEY: ENGINEERING FUTURE INDUSTRIES TOGETHERGet ready for the TValley Tech Conference on 31 May! Together we empower future industries with smart technology.Gain and share knowledge, connect with hightech companies, like Voortman Steel Machinery, VIRO, Demcon, and meet upcoming talent. All you need to do: sign up, receive a free ticket and mark 31 May 2023 in your calendar! Date | Wednesday the 31st of MayTime | 12:30 - 18:00 Place | De Grolsch Veste, EnschedeMain language | EnglishWatch the 2022 aftermovieEMPOWER FUTURE INDUSTRIES WITH SMART TECHNOLOGYMinister for Economic Affairs and Climate, Micky Adriaansens, states, in the context of EDIH, that ""Sustainability and digitization of our economy create jobs and income. The Netherlands is already leading the way with digital infrastructure and using data by entrepreneurs in their processes and products, for example. But we can and must take further steps. Think of the use of artificial intelligence by SMEs.”TValley contributes to this ambition by creating the preliminary conditions for knowledge transfer, networking and multidisciplinary R&D projects. We specifically stimulate further development in 4 roadmap tracks: Autonomous Systems, Recognition, Data Analytics and Systems Engineering. A number of key concepts within Smart Industry.Through our rich network containing various areas of expertise, we organize a variety of knowledge and inspiration sessions. Not only do we broaden and deepen our knowledge, but we also ensure that students gain the proper knowledge during their education.In addition, we share challenges and solutions to help each other move forward based on challenge-based innovation. If You Want to Go Fast, Engineer Alone. If You Want to Go Far, Engineer Together. OUR PROGRAMAn afternoon filled with interactive knowledge sessions Business fair presenting the entire TValley communityPlenty of smart technology demonstrators Matchmaking: meet regional frontrunners, passionate engineers, talent and potential cooperation partners!We will discuss the developments of the last few years and, of course, the possibilities of the future, some of them developed today by TValley partners. Enjoy in-depth knowledge sessions, prepare to be blown away by innovative demonstrators and allow fellow engineers and entrepreneurs to impress you.DON’T MISS OUT!Engineers and technicians looking to improve their knowledge of smart technology topics such as autonomous systems, vision, systems engineering and data analytics.IT professionals interested in the application of technology in the industrial sector and the integration of smart technology solutions.Entrepreneurs and managers looking to learn about the latest technologies and trends in industry automation and digitization.Researchers and academics interested in learning about the latest developments and challenges in industrial automation.Students who want to be introduced to high-tech companies to boost their careers.Investors and entrepreneurs seeking to explore new business opportunities in the field of smart industry.Overall, it’s the ultimate opportunity to network with peers, attend informative sessions and workshops, and gain a better understanding of how smart industry can benefit your business or career.",
DESIGN FOR CHANGE Retreat,New Order of Fashion (NOoF) invites (aspiring) fashion design professionals to join us for an invigorating week-long programme exploring the knowledge and skills we need for a better fashion future!,2023-07-10 10:00,2023-07-14 15:30,"New Order of Fashion LAB, 22-06 Torenallee 5617 BD Eindhoven Netherlands",Eindhoven,TRUE,https://www.eventbrite.co.uk/e/design-for-change-retreat-tickets-631108521577,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.co.uk/o/new-order-of-fashion-lab-46145471893,"DESIGN FOR CHANGE RETREATNew Order of Fashion (NOoF) invites (aspiring) fashion design professionals to join us for an invigorating week-long programme exploring the knowledge and skills we need for a better fashion future!Located at the NOoF LAB in Eindhoven, the ‘Design for Change’ retreat addresses the contemporary issues fashion faces: on climate, environment, production, consumption, and wellbeing for people. Through a combination of theory and hands-on exercises, we’ll examine the various paths that can be taken to a cleaner, smarter and more caring fashion future. Together with a stellar line up of international speakers, experts and workshop hosts, we will collectively investigate the overarching goal of sustainable and circular fashion design. The program includes topics and methodologies such as systemic thinking, local regeneration, material understanding & value, crafts, remake and repair skills, and building resilient communities. Join us at NOoF's sustainable fashion and textile LAB for a fun and exploratory week with a group of like-minded individuals who wish to commit to a better fashion future!PROGRAM OUTLINEDay one: Getting to know you and what you want to achieve this week. What is sustainable fashion? What is the difference between circular and regenerative? Deepening systemic Understanding both theoretically as in practice.Day two: Deepening your material understanding. Learning to value materials. Circular context in practice, and the role of community. Day three: Craft Methodologies, including fibres and basketry.Day four: Introduction of Remake and Repair principles. Learning upcycle and remake skills. And start of the assignment.Day five: dedicated to finishing your Design for Change assignment using the NOoF LAB facilities, machines and expert mentorship. Presentation of your end results to the retreat participants and staff. Wrap up. PRACTICALThe Design for Change Retreat offers a limited number of seats to ensure an intensive, safe and intimate learning environment, where exchange, fee sharing of ideas and open discussion are at the heart of the learning experience. Tickets include a daily lunch, coffee, tea and other non-alcoholic drinks, a daily closing drink and a welcome diner. STUDENTSPast the Early Bird period (25 May 2023), s﻿pecial Student Only fees apply. Please e-mail anouk@neworderoffashion.com for more info on Student tickets.",
TEDxEindhoven 2023,RESHAPING OUR FUTURE! We’ll be guided by designers and innovators from different fields who are all committed to creating a better future.,2023-06-02 10:00,2023-06-02 18:00,To be announced 5611DK Eindhoven Netherlands,Eindhoven,TRUE,https://www.eventbrite.com/e/tedxeindhoven-2023-reshaping-our-future-tickets-621959255877,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/tedxeindhoven-64737310093,"What will the future look like? It’s a question that has fascinated thinkers and dreamers for centuries. But as we stand on the cusp of a new era, the need to reshape the future has never been more urgent. From climate change and technological disruption to political instability and social inequality, our world faces unprecedented challenges that demand innovative solutions.At TEDxEindhoven 2023, we’ll be guided by designers and innovators from different fields who are all committed to creating a better future. They’ll share their bold ideas, cutting-edge researches, and inspiring stories to help us imagine a better tomorrow. We’ll explore the role of technology, the importance of building sustainable and resilient communities, and the power of human connection to drive positive change.At a time of great changes and challenges we need a new perspective on what’s possible.Don’t miss out on this opportunity to be a part of TEDxEindhoven community! Tickets are selling fast, so don’t wait too long to secure your spot. Join us for a day of inspiring talks, networking opportunities, and delicious food and drinks. Be sure to book your ticket soon before they’re all gone!",
The Vibe of the Future Festival 2023,Inspiration festival for innovators in Health & High Tech,2023-09-21 16:00,2023-09-21 21:00,"Noviotech Campus, 7N Transistorweg 6534 AD Nijmegen Netherlands",Nijmegen,TRUE,https://www.eventbrite.nl/e/tickets-the-vibe-of-the-future-festival-2023-500047474457,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/noviotech-campus-49394688303,"Curious about what the future of Health & High Tech looks like? Experience it at The Vibe of the Future Festival! Immerse yourself in a world of innovation and technology, and discover what it takes to create a healthier, more sustainable world. At The Vibe of the Future Festival, we bring together talented students, inspiring teachers, cutting-edge scientists, and visionary entrepreneurs working to build a future-proof society. You'll hear their inspiring stories and discover how they gain knowledge, overcome challenges, and make a positive impact. All while enjoying a relaxing atmosphere with delicious food, drinks, and artistic performances.Don't miss this chance to dive into the minds of those shaping our future. Get your free tickets  and join us for a truly unforgettable event!",
Yoga for Eco-Anxiety,A restorative yoga practice that can help you relieve stress and eco-anxiety through supported and gentle asanas,2023-05-31 19:00,2023-05-31 20:00,"Stieltjesstraat 2, 2 Stieltjesstraat, 6511 AC Nijmegen, Netherlands",Nijmegen,TRUE,https://www.eventbrite.nl/e/yoga-for-eco-anxiety-tickets-638057295547,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/askolto-yoga-66031536703,"Eco-anxiety is the chronic fear of environmental cataclysm emerging from our observation of the irrevocable impact of climate change and our associated concerns for the future. To ease the effects of anxiety, yoga can help you. The practice of yoga helps you to build a resilient response to stress. Through asanas, pranayama (breathing techniques), and meditation, your nervous system receives the stimulus to 'relax and digest' by activating the parasympathetic nervous system. In every class you learn techniques that can help you build resilience and strategies to deal with eco-anxiety.",
Libraries as Actors of Climate Empowerment,Pre-conference to the IFLA World Library and Information Congress 2023 on „Libraries as Actors of Climate Empowerment“ by ENSULIB & PLS.,2023-08-19 09:00,2023-08-19 18:00,"De Bibliotheek LocHal, 1000 Burgemeester Brokxlaan, 5041 SG, Tilburg, Netherlands",Tilburg,TRUE.,https://www.eventbrite.com/e/libraries-as-actors-of-climate-empowerment-tickets-623591016517,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/bibliotheek-midden-brabant-and-ensulib-amp-pls-64783058103,"The IFLA Environment, Sustainability and Libraries Section (ENSULIB) together with the Public Libraries Section (PLS) in collaboration with Bibliotheek Midden-Brabant, LocHal are organising a satellite conference prior to the IFLA World Library and Information Congress 2023 in Rotterdam, the Netherlands. The focus will be on “Libraries as Actors of Climate Empowerment”. Libraries can empower all members of society to engage in climate action. They are deeply connected to their communities and can reach people of all demographics. As such, they are in a unique position to provide public awareness and to create platforms for engagement in climate action for all members of society. This one-day conference will emphasise exchange and interaction between participants. Participants will play an active role in shaping the outcome of the day by coming together, sharing ideas and developing plans. With a mix of keynotes, lightning talks and workshops, it will be an interactive, engaging and inspiring day. One keynote will be given by Ton van Vlimmeren. He has been President of EBLIDA (European Bureau of Library, Information and Documentation Associations) since 2018, is active as one of the founders of Public Libraries 2030 and was Director Governor of the Utrecht Public Library for 20 years. The full programme will be published in early June.",
Fixing Capitalism with Universal Property,The first symposium to kick off the European Citizens Initiative to fundamentally alter the way the capitalist market economy operates.,2023-05-30 18:00,2023-05-30 20:30,"Erasmus Paviljoen, 350 Burgemeester Oudlaan 3062 PA Rotterdam Netherlands",Rotterdam,TRUE,https://www.eventbrite.nl/e/tickets-fixing-capitalism-with-universal-property-622930370507,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/the-institute-for-communal-capitalism-64813338593,"'The capitalist market incentivizes behavior which is not in line with the 'common good'. Can Universal Property change this?'Our capitalist market economy incentivizes the wrong behavior. Driven by the desire for profit human activities lead to a devastiging climate crisis, tremendous biodiversity loss, and excessive inequality. But what if there is a way to restore the balance? What if there is a way to ensure that what is profitable is also what is the best for the common good, including for our natural ecosystems?Universal Property has the potential to restore this balance. By making the people common owners of natural assets, like the sky, we can limit exploitation of nature, charge corporations, and distribute the revenues to the people as a legitimate Universal Property Income. In collaboration with the research group Dynamics of Inclusive Prosperity and The Global Shapers The Hague, The Institute of Communal Capitalism organizes their first event to kick off their European Citizens Initiative Campaign for the introduction of Universal Property. After a brief introduction of the idea by the initiators, a panel of experts will discuss the idea of Universal Property on the basis of two statements.The event will take place from 18:00 - 19:30, whereafter everyone is invited to have some drinks and snacks on the house until 20:30!",
TECH SUMMIT 2023: Live Longer with Better Tech,A summit focused on exploring new technologies that can lead to a longer and better quality of life.,2023-05-15 09:00,2023-05-18 17:00,Unknown,Unknown,TRUE,https://www.eventbrite.com/e/tech-summit-2023-live-longer-with-better-tech-tickets-628605304387,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.com/o/erasmus-tech-community-34829752473,"The 2023 Erasmus Tech Summit, Live Longer and Better with Tech, is finally here! 🎉 Join us on May 26th at Erasmus University for a one-day tech summit featuring 🔑 keynote speeches, 🤝 panel discussions, and 🧩 interactive case studies led by experts in the fields of 🩺 health tech, 🌾 agri-tech, and 🤖 automation. Discover the latest trends in technology and explore solutions that can drastically impact our lifespan and life quality. Don't miss out on learning about 🧬 biotech, 💊 healthtech, and 🤖 automation!",
Water Cities Rotterdam: African Architecture Matters x Nieuwe Instituut,Join African Architecture Matters to shape a resilient future against rising sea levels in African island communities.,2023-10-14 15:00,2023-10-14 17:30,"Nieuwe Instituut, Museumpark 25 3015 CB Rotterdam Netherlands",Rotterdam,TRUE,https://www.eventbrite.nl/e/water-cities-rotterdam-african-architecture-matters-x-nieuwe-instituut-tickets-634668549717,,/Users/raiidahmed/PycharmProjects/CTC-Scraper-GPT-Live/CSV URL Data/climate_tech_eventbrite_climate_amsterdam.csv,https://www.eventbrite.nl/o/nieuwe-instituut-8317002316,"Through a number of case studies, discover how rising sea levels especially affect the culture and economy of communities living and working on islands. As part of Water cities Rotterdam, research and consultancy platform African Architecture Matters addresses the specific vulnerability of island communities in Africa and elsewhere, and the urgency they experience in translating their own local situations into a resilient and agile future.More details about the programme will follow soon. Water Cities Public ProgrammeFor the exhibition Water Cities Rotterdam. By Kunlé Adeyemi, Nieuwe Instituut organises an extensive public programme with activities linked to themes explored in the exhibition and on the floating pavilions in the ponds around the institute, from Sunday morning yoga to documentaries, and from talk shows to live radio.I﻿mage credit: Alexandra Papadaki",
