Event Name,Short Description,Start,End,Location,City,Relevance,Event URL,Extra1,Extra2,Source CSV,Full_description,organizer_link,organizer_link-href,full_description,web-scraper-start-url,event_details,event_details-href,Link,Full_Description
IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,The International Research Institute for Climate and Society presents its climate forecast briefing.,2024-01-18 14:00,2024-01-18 15:00,,Online,,FALSE.,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-36,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-12-21 14:00,2023-12-21 15:00,Online,,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-35,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-11-16 14:00,2023-11-16 15:00,Online,,,,TRUE.,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-34,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
IRI's monthly climate forecast briefing,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh",2023-10-19 14:00,2023-10-19 15:00,Online,,New York,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-33,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
Lamont-Doherty Earth Observatory (LDEO) Open House,"Join us for lab tours, participate in hands-on earth science activities with our scientists, and learn from world-renowned researchers about their latest discoveries",2023-10-14 10:00,2023-10-14 16:00,"61 Route 9W, Palisades, NY 10964",Palisades,TRUE,https://www.climate.columbia.edu/events/lamont-doherty-earth-observatory-ldeo-open-house-0,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"We will be back on campus for the next Open House on October 14, 2023. Program details will be posted as it comes available. Please visit the Open House Website for the latest information.
Whether you’re an aspiring young scientist or a long-time science enthusiast, you’re sure to enjoy Lamont-Doherty’s Open House. Join us for lab tours, participate in hands-on earth science activities with our scientists, and learn from world-renowned researchers about their latest discoveries.
Open House is free and open to the public, with a $5 suggested donation.
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Climate School Events
      
                                                                                          
            events@climate.columbia.edu",,,,,,,,
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,"A briefing on IRI's seasonal, sub-seasonal and ENSO forecasts presented by IRI climate scientists Azhar Ehsan and Bohar Singh",2023-09-21 14:00,2023-09-21 15:00,,Online,,FALSE.,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-32,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
IRI's climate forecast briefing,Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,2023-08-17 14:00,2023-08-17 15:00,Online,,,,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-31,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-07-20 14:00,2023-07-20 15:00,Online,New York,TRUE.,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-30,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Events

          
            
                      Current and Upcoming
                  
        
        Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.

        

        
            
                
                    
                      Share
                    
                    
                      Add to Calendar:
                        
                                                        Calendar / Outlook
                                                        Google
                            Yahoo
                        
                    
                

                
                
                  
                    
                      
                      
                        July 20, 2023
                        2:00 PM - 3:00 PM
                                                America/New_York
                                                                                              
                    

                                        
                      
                      
                        
                          
                 Online 
      
                        

                                              
                    
                                      
                

                
                  
                                                                                  
                        
            The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu
      
                                                                
                    
                                                                  
                  

                                                        
                      AddThis Sharing ButtonsShare to FacebookFacebookShare to TwitterTwitterShare to LinkedInLinkedInShare to PrintPrint",,,,,,,,
Monthly overview of IRI's Global Seasonal Climate Forecasts and ENSO status and forecast.,The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing.,2023-07-20 14:00,2023-07-20 15:00,,Online,,TRUE,https://www.climate.columbia.edu/events/monthly-overview-iris-global-seasonal-climate-forecasts-and-enso-status-and-forecast-30,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"The International Research Institute for Climate and Society (IRI) presents its climate forecast briefing. The IRI's seasonal, sub-seasonal and ENSO (El Niño Southern Oscillation) forecasts are discussed in this monthly briefing by IRI climate scientists Azhar Ehsan and Bohar Singh.
For more information, please see: https://iri.columbia.edu/our-expertise/climate/
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            IRI Seminar
      
                                                                                          
            Seminar@iri.columbia.edu",,,,,,,,
AgMIP9: 9th AgMIP Global Workshop,"The Ninth Global Workshop of the Agricultural Model Intercomparison and Improvement Project (AgMIP9) will be held at Columbia University in New York, NY, USA on June 26-30, 2023.",2023-06-26 09:00,2023-06-30 17:00,"Faculty House, 64 Morningside Dr., New York, NY 10027",New York,TRUE,https://www.climate.columbia.edu/events/agmip9-9th-agmip-global-workshop,,,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,"Register on CU Events 
                      
                                                              
                        
            The Ninth Global Workshop of the Agricultural Model Intercomparison and Improvement Project (AgMIP9) will be held at Columbia University in New York, NY, USA on June 26-30, 2023. The workshop will convene many scientists, stakeholders, and policy-makers with technical and expert knowledge to address one of the biggest challenges of our day: to enable agricultural transformation that enhances resilience to and mitigation of climate change and other impacts, while improving food and nutrition security and the wellbeing of rural communities worldwide.
Please click ""Register"" below to complete your registration and payment. 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Erik Mencos
      
                                                                                          
            agmip@columbia.edu
      
                                                                
                    
                                              
                      
                        Register on CU Events",,,,,,,,
