Event Name,Short Description,Start,End,Location,City,Event URL,Source CSV,organizer_link-href,Full_description
FPA/OTR Elizabeth French Hitchcock Lecture 2023,Annual lecture on May 31st delivered by Professor Karen C. Seto on how cities can mitigate climate change,5/31/23 13:00,5/31/23 14:00,"New York City Bar Association, 42 West 44th Street, New York, NY 10036",NYC,https://www.eventbrite.com/e/fpaotr-elizabeth-french-hitchcock-lecture-2023-tickets-542982012817,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/foreign-policy-association-and-off-the-record-43446973713,"This year's Hitchcock Lecture will be delivered by Professor Karen C. Seto, Hixon Professor of Geography and Urbanization at the Yale School of the Environment. Professor Seto was the Coordinating Lead Author and co-led the chapter on how cities can mitigate climate change for two UN climate reports, one in 2014 and the other in 2022. You can register for this event on Eventbrite or by contacting mbarbari@fpa.org. The lecture is also available via Zoom: https://nam04.safelinks.protection.outlook.com/?url=https%3A%2F%2Fus02web.zoom.us%2Fwebinar%2Fregister%2FWN_OmThPezjQtGlwVNAxhXehw&data=05%7C01%7Cmbarbari%40fpa.org%7Cbb5c039acd774a98d74b08db36d2f15d%7Cb7d17acc704449579e5377a8c5f62a7f%7C0%7C0%7C638164051856572107%7CUnknown%7CTWFpbGZsb3d8eyJWIjoiMC4wLjAwMDAiLCJQIjoiV2luMzIiLCJBTiI6Ik1haWwiLCJXVCI6Mn0%3D%7C3000%7C%7C%7C&sdata=nfPaQeh5BqagYtPY9ZHW1okGWo55bS2XNlhIcUN7Ls0%3D&reserved=0"
Is My Microphone On?,An urgent and lyrical play with music about the global climate emergency.,5/31/23 19:30,5/31/23 21:00,"The Center at West Park, 165 West 86th Street Entrance on Amsterdam Ave. New York, NY 10024, United States",NYC,https://www.eventbrite.com/e/is-my-microphone-on-tickets-619051619057,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/the-center-at-west-park-15248391765,"Is My Microphone On? by Jordan Tannahill is an urgent and lyrical play with music about the global climate emergency. In a theater in New York City, seven teens gather to put on a play because our world is burning and they have something to say about it. In this visceral and confronting new play, a cast of teenagers grapple with the realities of the world they are inheriting, hold the audience to account, and imagine new pathways forward together. Directed by Nick J. Browne with original music by Curtis Gillen, Is My Microphone On? is inspired by Greta Thurnberg and the tenacity of youth across the globe who are taking a stand for themselves and future generations. With music, confronting dialogue, and poetic language this play is a platform for the youth of New York to lift their voices, inspire dialogue regarding the climate crisis, and investigate how to heal a burning world if those in positions of power refuse to wake up and enact meaningful change now. This is the alarm. Friday May 26th, 7:30 PM Saturday May 27th, 2:00 PM Saturday May 27th, 7:30 PM Wednesday May 31st, 7:30 PM Thursday June 1st, 7:30 PM Friday June 2nd, 7:30 PM Saturday June 3rd, 2:00 PM Saturday June 3rd, 7:30 PMThe running time is 70 minutes with no intermission. Content Warning: This play contains adult language, and heavy themes relating to war, the climate emergency, and natural disasters.Not recommended for individuals under the age of 13 without adult supervision. Production Team: Directed by: 			Nick J. BrowneCo-Produced by: 	The Center at West Park, Nick J. Browne, Lauren GundrumOriginal Music:		Curtis GillenAssitant Director: 		Lia HauserLighting Design: 		Jennifer Leno Costume Design: 		Jorie KoselTechnical Director:		Hank Boyan  Stage Manager:		Sara Beth Samuels Assistant Stage Manager:	Victoria Blas Choreography:			William HinCast Members: Camron Chapple, Paloma Garcia, Gracie Greenberg, Alina Kazi, James Ragen, Riley Schwab, Zara Zeidman"
Climate Finance Solutions for Latin America,The role of Development Financial Institutions in financing mitigation and adaptation infrastructure in Latin America,6/1/23 15:00,6/1/23 16:30,Online Event,Online,https://www.climate.columbia.edu/events/climate-finance-solutions-latin-america,/Users/raiidahmed/Desktop/climate_tech_columbia_climate_nyc.csv,,"Climate Finance Solutions for Latin America: The role of Development Financial Institutions in financing mitigation and adaptation infrastructure in Latin America
Join us for a discussion on the trends and challenges of financing the transition in Latin America. The discussion aims to spread awareness of the relevance of DFIs in committing capital (either debt or equity) aligned with COP27.
Speakers:
Goldie Schturman, Managing Director, Latin America Investment Funds at DFC
Elizabeth Layton, Investment Management Officer, Inter American Development Bank
Moderator: Dr. Satjayit Bose (cc)
Organized by Ignacio Neri, Master of Science in Sustainability Management, Columbia University; Earth Institute SUMA Fellow
Hosted by the Columbia Environmental Entrepreneurs Association, Verdonck Partners, and the Columbia Climate School.
Please register here: https://columbiauniversity.zoom.us/webinar/register/WN_DlWOLrgDSuewYzwltPM2kw 
      
                    
                    
                    
                    
                                        
                      Contact Information
                                              
            Ignacio Neri
      
                                                                                          
            jin2112@columbia.edu"
Climate Cafe (6/1),Join us for a Climate Cafe on June 1st to discuss the difficult emotions that arise out of the ongoing climate emergency,6/1/23 18:30,6/1/23 20:00,"176 9th Avenue New York, NY 10011",NYC,https://www.eventbrite.com/e/climate-cafe-61-tickets-633635409567,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/climate-cafe-nyc-65667042983,"Join us for the NYC Climate Cafe on Thu Jun 1 at 6:30-8 PM  at 176 9th Avenue, New York, NY 10011. This is an in-person event. Climate Cafes represent an opportunity to discuss difficult emotions that arise out of the climate crisis - everything from anxiety, fear, dread, hopelessness, and anger - in a supportive environment of peers. Climate Cafes are non-clinical, non-directive spaces where attendees can hold space for each others’ emotions without trying to fix other people. At it’s core, it can be meaningful to spend time with others who feel the same way.Participating in Climate Cafes can be cathartic for many who are aware of the ongoing climate emergency. It can break through the “business as usual” of daily life. Especially in local environments, it can be an opportunity to connect with neighbors or friends on ways to deepen our communities and increase our collective resiliency to the coming challenges.This event is open to all and nobody will be turned away for lack of funds. There is a suggested donation of $10 to cover snacks + location fees if you're able to. Any proceeds beyond break-even will be donated to GrowNYC and Earthjustice. Contact us at @climatecafenyc on Instagram with any questions!"
It’s All Our Backyard: Just Transitions to Regional Sustainability,Roosevelt Institute Director of Climate Policy Rhiana Gunn-Wright explores the interconnections between environmental and racial justice,6/1/23 19:00,6/1/23 20:00,"20 Jesup Road Westport, 06880",Westport,https://www.eventbrite.com/e/its-all-our-backyard-just-transitions-to-regional-sustainability-tickets-630964811737,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/the-westport-library-27895659229,"Roosevelt Institute Director of Climate Policy Rhiana Gunn-Wright will explore the interconnections between environmental and racial justice and to cultivate regional responses to the climate crisis, recognizing that environmental impacts cross town lines.The talk is inspired by Westport's commitment to becoming a sustainable, thriving community — economically, environmentally, and socially — and by our ongoing community-based efforts to dismantle systemic racism. It was conceived as part of a Lilly Foundation-funded initiative at Saugatuck Congregational Church to “embrace our coastal community.” Brought to you by The Westport Library, Saugatuck Congregational Church, Sustainable Westport, and TEAM Westport.As director of climate policy at the Roosevelt Institute, Rhiana Gunn-Wright leads the think tank’s research at the intersection of climate policy, public investment, racial equity, and public power. Along with her colleagues, Gunn-Wright aims to create a body of work that examines the role of economic policy and large-scale economic transformation in catalyzing just and rapid responses to the climate crisis. She also supports Roosevelt’s engagement with the Green New Deal Network and other partners in the climate movement.Prior to joining Roosevelt, Gunn-Wright was the policy director for New Consensus, charged with developing and promoting the Green New Deal, and the policy director for Abdul El-Sayed’s 2018 Michigan gubernatorial campaign. A 2013 Rhodes Scholar, she has also worked as the policy analyst for the Detroit Health Department, acted as the Mariam K. Chamberlain Fellow of Women and Public Policy at the Institute for Women’s Policy Research, and served on the policy team for former First Lady Michelle Obama."
"6th Fest - ""Just Us"" - First Weekend","A collection of scenes, verbatim interviews, and other performance arts to tell the story of our planet and what we can do to save it",6/1/23 19:00,6/1/23 20:30,"The Gene Frankel Theatre, 24 Bond Street, New York, NY 10001",NYC,https://www.eventbrite.com/e/2023-6th-fest-just-us-first-weekend-tickets-635600838217,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/the-sixth-festival-46517558393,"The third annual Sixth Fest presents its centerpiece production...JUST USa new play on climate changedirected by Mahayana Landowne and Nate Smithfeaturing scenes from around the countryand interviews from around the world90 minutes.About:Ever had a girlfriend have to leave because she's going to the other side of the world to watch over a bunker full of seeds? Or heard there was going to be a little rain and then had your roof cave in? Climate change puts us in a whole new world, literally. This performance of 7 scenes from outer space to under an elephant's backside and beyond, mixed with interviews from digruntled renewable energy experts and the youth we're waiting on to save everything will open your eyes, break your heart, and put you on your toes for what you can be doing at the most important moment in human history.Reviews:""Better than anything I ever wrote."" - Shakespeare""Lit."" - The Sun""This is actually happening?"" - one of the actors about a story in the play (the answer is ""yes."")About the Festival:Named after the sixth mass extinction event currently underway, the Sixth Fest has put on more than 40 events and productions in New York, Chicago, and online. From poetry to panels, pageants to protests, we are a fringe festival both in that we encourage people to create their own events, and that those events can be of whatever kind. For all life on earth.FIND OUT MORE ABOUT THE 2023 FESTIVALHAPPENING JUNE 1 - 11"
CRETF Pizza & Games Social,Join the Climate & Resilience Education Task Force in New York City for an End-of-School-Year Social with  pizza and games!,6/2/23 4:30,6/2/23 6:30,"Hunter College  North Building,  Dept. of Geography and Environmental Science, 695 Park Avenue Classroom 1022HN New York, NY 10065",NYC,https://www.eventbrite.com/e/youre-invited-cretf-pizza-games-social-tickets-643124943017,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/climate-and-resilience-education-task-force-40166338903,"YOU'RE INVITED! Educators, students, NGO partners, and community members in the climate education space who live in and around NYC are invited to join the Climate and Resilience Education Task Force (CRETF) for a late afternoon/evening of food, fun, networking, and conversation. If you're new in this space-- welcome! We'd love to meet you!This is CRETF's first in-person event since 2020 and will center around connecting NYC's climate education community. With the end of the school year approaching, we want to provide an opportunity to get to know each other and celebrate the great work we've accomplished together this year!WHEN: FRIDAY, JUNE 2, 2023, 4:30 pm - 6:30 pmWHERE: Hunter College, 695 Park Avenue, Dept. of Geography and Environmental Science, New York NY 10065R﻿SVP: Please RSVP via Eventbrite by Wednesday, May 31, 2023As the event is catered and space is limited, please let us know within 72 hours of the event if your circumstances change and you're unable to attend.NOTE: The campus can be accessed through the East Building at the corner of 68th Street and Lexington Avenue, right above the 68th Street - Hunter College subway station. The entrance is on the southwest corner, and is currently obscured by constructions sheds for the subway renovations.Attendees will need to check in at the front desk in the lobby of the East Building."
THE CLIMATE FABLES,Two Climate Crisis Plays written by Padraig Bond premiering in NYC before going off to EdFringe this summer.,6/2/23 19:30,6/2/23 22:00,"458 West 37th Street New York, NY 10018",NYC,https://www.eventbrite.com/e/the-climate-fables-tickets-635585773157,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/torch-ensemblle-65836782903,"Check Us Out! The Torch Ensemble is a new theater company started by Padraig Bond, Penelope Deen, Luis Feliciano, Kristen Hoffman, and Tibor Lazar. The five of us met as theatre majors at Hunter College, a public university in New York City. Our mission is to premiere two of Padraig’s original plays, The Trash Garden and Debating Extinction, at the Edinburgh International Fringe Festival this August. We have already been accepted into the festival, and have been offered fifteen performances at Greenside Venues, one of Edinburgh’s central theaters! We need your help to bring us there. The Edinburgh Fringe is the largest arts festival in the world, and we are using it as a jumpstart to our five careers like many artists have done before us, from Phoebe Waller-Bridge to Robin Williams to John Cleese to Alan Rickman.The Trash Gardena new play by Padraig Bonddirected by Padraig Bondstarring Luis Feliciano, Kristen Hoffman, and Tibor LazarThe Trash Garden is an environmentalist comedy inverting Adam and Eve, and introducing us to the last two people left on Earth after climate change, Atlas and Evelyn. Trapped together in dystopia, they explore the meaning of their lives together through imagination, play, and reminiscences of the past. It is a play about human resilience, love and hate, isolation and friendship, environmental collapse, and of course, recycling.Debating Extinctiona new play by Padraig Bonddirected by Padraig Bondstarring Penelope Deen, Kristen Hoffman, and Tibor LazarDebating Extinction is a bold romance about the modern question of whether or not to have children in the face of the climate crisis. Susan and Teddy are young lovers living post climate change, and are preparing to have a child to restart humanity, but they must keep it secret from Susan’s tyrannical, yet deeply environmentalist mother. It is a play about the future, about love and death, environmental collapse, and the spirit and true nature of humanity.Our performances will be:J﻿une 2-4, 2023N﻿ew Perspectives TheatreM﻿anhattan, NYCAugust 4 - 19, 2023Fern Studio, Greenside VenuesEdinburgh Fringe Festivalhttps://www.gofundme.com/f/bring-our-work-to-the-edinburgh-fringe-festival"
People’s Power Party,"Want to cut your carbon footprint, reduce waste, avoid plastic? Come to our People Power Party on Saturday June 3,5-7, Terraza 7 (40-19 Gleane St., Elmhurst) all about personal choices!  Learn how your daily choices can help save energy, reduce single-use plastic, and finance a green future! If you have a favorite green product, bring it! Live music by Flor de Lis, free drinks for actions done, empowerment for all!",6/3/23 17:00,6/3/23 19:00,"Terraza 7, 40-19 Gleane Street Queens, NY 11373",NYC,https://www.eventbrite.com/e/peoples-power-party-tickets-644079788987,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/queens-climate-project-63493191803,"Want to cut your carbon footprint, reduce waste, avoid plastic? Come to our People Power Party on Saturday June 3,5-7, Terraza 7 (40-19 Gleane St., Elmhurst) all about personal choices!  Learn how your daily choices can help save energy, reduce single-use plastic, and finance a green future! If you have a favorite green product, bring it! Live music by Flor de Lis, free drinks for actions done, empowerment for all!"
ClimateSTEM Series Culminating Event! Share Successes & Learn from Others!,Join alumni from across our ClimateSTEM workshop series to share your teacher success stories and learn from others!,6/4/23 14:00,6/4/23 16:30,"STEMteachersNYC, Via Zoom New York, NY 10027",NYC,https://www.eventbrite.com/e/climatestem-series-culminating-event-share-successes-learn-from-others-tickets-559770076367,/Users/raiidahmed/Desktop/climate_tech_eventbrite_climate_nyc.csv,https://www.eventbrite.com/o/stemteachersnyc-3148482172,"Leaders:  Facilitators from all workshops in our 2022-2023 ClimateSTEM Series and alumni!Date: June 4, 2:00-4:30pm ET. (Subject to change; please RSVP to be notified!)All events and workshops offered in our K12 ClimateSTEM Series have been made possible by ConEd.Please join us for an afternoon of cross-curricular cross pollenation around climate change lessons, units and teaching tools! Over the course of the fall and spring semesters STEMteachersNYC has offered a series of 16 workshops focused on Climate Change. On May 6 we will be inviting all faciliators and their alumni to return and share what they have tried and to tell stories of how students responded. This event is open to all! List of workshops offered in our 2022-2023 ClimateSTEM Series (more details of each workshop can be found here):A Bird Walk in Central Park: Come enjoy the fall migration! (ES/MS/HS)Eco-Social Assessment Mapping of Parks w/Urban Field Station!Visualizing Student Eco-Systems Thinking with SageModeler (ES/MS)Climate Physics Modeling (HS)Earth's Energy Budget Using My NASA Data Products (HS)(Postponed)Climate Models & Data Part 1 - Visualizing Climate Projections (HS)Climate Models & Data Part 2 - Using En-ROADS for Climate Solutions (HS)Introduction to Student-Centered Environmental Science (HS)How Our Food Moves Water Around the Planet (MS/HS)Decarbonize New York City with the game of Energetic! (HS)  Ecology Disrupted: Connecting Daily Life to Environmental Issues ALLTeaching Hudson River Data - Take Classroom Research Outside! (ES/MS)Prep For Earth Week! Start Moving Towards Sustainability!Sound Across the Curriculum - Project Based STEAM (3 Part Workshop)A Bird Walk in Central Park: Come enjoy the spring migration! (ALL)This event is open to all! You do not need to have attended a past workshop to join us. Detailed agenda forthcoming!Cost:  FREE! (Ticket sales will support sharing of outcomes and planning for future ClimateSTEM workshops! Thank you!)STEMteachersNYC delivers professional development workshops for teachers, by teachers, about teaching, since 2011. CUNY Pre-service teachers may attend for free. Please reach out if your school requires an invoice. We are an NYCDOE MTAC Vendor.Current CUNY students with valid ID may attend workshops at a discount or for FREE! Please email preservice@stemteachersnyc.org for details.Email general questions to Registration@STEMteachersNYC.org. Note this workshop requires a minimum number of participants. In the event there are not enough participants, the workshop will be cancelled, and a refund will be issued. Interested in an Invoice/Purchase Order Request?Teachers! Ask your school to pay for your ticket! All the school needs to do is send us a Purchase Order (PO). Fill out our PO/Invoice survey and we will prepare you an invoice for you to submit to your school/district. Or just copy and paste the information above and let them know the workshop you want to attend. Don't be afraid to ask. There's always a chance the money will be available and they'll say yes, but if you don't ask, there's no chance at all.Districts/Schools, to request an invoice for a STEMteachersNYC Workshop, please fill out a quick invoice survey. This is a required step in order to process your request. Any questions regarding the PO process please contact bookkeeper@stemteachersnyc.orgPlease send Purchase Orders (POs) to our Billing OfficeVia Email: bookkeeper@stemteachersnyc.orgOR Via US Mail: STEMteachersNYC - Billing Office 245 West 107th Street, Suite 10B New York, NY 10025.Please read the FAQs section below carefully before registering.FAQsIs STEMteachersNYC an approved NYC DOE CTLE Vendor?Yes. STEMteachersNYC is a Continuing Teacher and Leader Education (CTLE) vendor for the New York City Department of Education (#STE-068881). New York State Teachers will receive a CTLE certificate at the end of the workshop.  (CTLE ID # 23385)How can I contact the organizer with any questions?Questions about registration or tickets should be addressed to registration@STEMteachersNYC.org.Questions about invoice/PO issues should be addressed to bookkeeper@STEMteachersNYC.orgQuestions about our programs should be addressed to info@STEMteachersNYC.org Is the full workshop fee or the balance of the workshop fee refundable? Refunds for the balance of the full workshop fee (that is, the full fee minus the reservation fee) must be requested within one (1) week of payment and at least four (4) weeks before the start of the workshop. All such requests must be accompanied by an acceptable, documented explanation. Judgments about acceptability of explanations and documentation, and about whether or not a refund will be issued are at the sole discretion of STEMteachersNYC and are final. Refunds will not include fees charged on the initial payment by Eventbrite, credit cards, and/or banks.Is my reservation/ticket transferrable?If your school or organization has made the ticket purchase for you, your credit may be transferable to a school or organization colleague. Authorization from our team will be required. Please contact the STEMteachersNYC Registrar (Registration@STEMteachersNYC.org) if you need to transfer your reservation to a different person/name, or if you wish to transfer your reservation to a different workshop. Can I update my reservation information?Yes, you can update your reservation information. The name on the reservation/ticket doesn't match the attendee. Is that okay?No, please contact the STEMteachersNYC Registrar (Registration@STEMteachersNYC.org) to address this. Can I receive college level credits?In-service teachers will receive CTLE hours.Pre-service teachers whose college is participating in our ""field-site hours"" program will recieve field site hours or credit depending on that institution's partnership agreement. Please make sure to include your faculty advisor or course professor's name and contact when registering. For more information about either of these, please contact info@stemteachersnyc.org. Where can I find more information about STEMteachersNYC? Visit our website: http://STEMTeachersNYC.org or email info@stemteachersnyc.org How can I join STEMteachersNYC?Click here - it's free! http://stemteachersnyc.org/join/Members find out about workshops first and can sign up before others.Please note: We take screenshots, photographs and record video of our workshops in order to publicize a positive image of science teaching, and of STEMteachersNYC - a recognized 501(c)(3) non-profit organization - and to support future teacher leaders. If you register, you are agreeing to be photographed and to have your voice and image video-recorded. You are also agreeing to relinquish all your rights to the photographs and video recordings.If you do not wish to be photographed or video-recorded - you must inform us before the workshop starts. For in-person workshops, we will take one photograph of your face so that we can erase your image if we happen to catch it by chance during the workshop, and we will do our best to avoid you. We would also appreciate your cooperation in positioning yourself at the edge of the group so as to help us avoid you."
